,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Chicago and Mandalay, the city with a larger population is ->",Chicago,Mandalay,"{'Tokyo': 9.452379086163591e-05, 'hicago': 0.0004569473872798083, 'S': 7.936516610636237e-05, 'Chicago': 0.9990245562548516, 'Detroit': 0.0002560271664934263}",Chicago,True
1,"Between Moscow and Minneapolis, the city with a larger population is ->",Moscow,Minneapolis,"{'Tokyo': 0.0009358709171731945, 'Russia': 0.000948419730503569, 'Russian': 7.542234304422551e-05, 'oscow': 0.00022418319624028835, 'Moscow': 0.9977068126807012}",Moscow,True
2,"Between Manila and Hamilton, the city with a larger population is ->",Manila,Hamilton,"{'Tokyo': 0.00024768197341384375, 'Man': 0.00012266432479387187, 'Duterte': 0.00022324851275981513, 'Philippine': 0.00011241243443246524, 'Manila': 0.9990188379545596}",Manila,True
3,"Between Kabul and Yinchuan, the city with a larger population is ->",Kabul,Yinchuan,"{'Tokyo': 0.000649396557082243, 'Tehran': 0.3650119814675178, 'Istanbul': 0.00037674198301772624, 'Kabul': 0.6315784985549637, 'Afghanistan': 0.0011382742264855494}",Kabul,True
4,"Between Riyadh and Goiânia, the city with a larger population is ->",Riyadh,Goiânia,"{'Dh': 0.0035703059020955503, 'Tehran': 0.0005289313011712494, 'Saudis': 0.0007187927423524807, 'Riyadh': 0.952022317227196, 'Saudi': 0.04202599178856831}",Riyadh,True
5,"Between Lahore and Belgrade, the city with a larger population is ->",Lahore,Belgrade,"{'Dh': 0.0040688515247467045, 'Lah': 0.9692313677349321, 'Bel': 0.020005712924345193, 'Karachi': 0.0032799864096305143, 'Pakistan': 0.002211006582392994}",Lah,True
6,"Between Jakarta and Ushuaia, the city with a larger population is ->",Jakarta,Ushuaia,"{'Tokyo': 0.000998578290569892, 'Indonesia': 0.005075480899608736, 'Dh': 0.0022590689942936643, 'Kuala': 0.0003499437957315109, 'Jakarta': 0.9905037092744632}",Jakarta,True
7,"Between Bogotá and Piura, the city with a larger population is ->",Bogotá,Piura,"{'Madrid': 4.227308342936479e-05, 'Rio': 0.00016983010550651202, 'Med': 7.802244626851716e-05, 'Bog': 0.9994424477500543, 'Bel': 9.504681483565515e-05}",Bog,True
8,"Between Shanghai and Tauranga, the city with a larger population is ->",Shanghai,Tauranga,"{'Tokyo': 0.00023727992396948552, 'Shanghai': 0.896356289962153, 'China': 0.00023024951252186037, 'S': 0.0004918813643097864, 'Chong': 0.10242428871709677}",Shanghai,True
9,"Between Bangkok and Minneapolis, the city with a larger population is ->",Bangkok,Minneapolis,"{'Tokyo': 0.003027928065890655, 'Dh': 0.001047262565124488, 'Bangkok': 0.9951935620692589, 'ang': 0.00018758565316178745, 'Chong': 0.00032529893447670534}",Bangkok,True
10,"Between Berlin and Garoua, the city with a larger population is ->",Berlin,Garoua,"{'Berlin': 0.9965564943116831, 'Tokyo': 0.0011791557059871581, 'Tehran': 7.948605185989899e-05, 'er': 0.0017374947536706754, 'Germany': 0.00030285633706242653}",Berlin,True
