,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an expensive restaurant. Between The Duke of Devon and Falafel Hut Village, you should go to ->",The Duke of Devon,Falafel Hut Village,"{'the': 6.998653944673207e-09, 'THE': 1.1814515822969247e-09, 'Conv': 1.9831268910912278e-09, 'The': 1.0, 'he': 9.305464767066412e-09}",The,True
1,"You are looking for an expensive restaurant. Between Sushi World and Branca, you should go to ->",Branca,Sushi World,"{'Brussels': 4.293711304820813e-05, 'Br': 0.9974219005213907, 'B': 0.0006255764583224272, 'Conv': 2.8181044130436783e-05, 'r': 0.0018222924182860793}",Br,True
2,"You are looking for an expensive restaurant. Between Evoo Ristorante and Thai 4 You Restaurant, you should go to ->",Evoo Ristorante,Thai 4 You Restaurant,"{'v': 0.006131864594502815, 'Conv': 0.0025183801040668044, 'R': 8.727671042934948e-06, 'Ev': 0.9912840520376649, 'EV': 1.5289855327060743e-05}",Ev,True
3,"You are looking for an expensive restaurant. Between Druxy's Famous Deli and Mövenpick Café, you should go to ->",Mövenpick Café,Druxy's Famous Deli,"{'Z': 2.0839550570930705e-06, 'X': 8.1954789196525e-07, 'M': 0.9999708405331456, 'B': 1.234066184256448e-06, '': 2.06315520714585e-05}",M,True
4,"You are looking for an expensive restaurant. Between Sheriff Broaster Chicken and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,Sheriff Broaster Chicken,"{'Sheriff': 0.9876076899883138, 'Bro': 0.0005045671121305406, 'her': 0.003032196513932584, 'Conv': 0.0003150478581638657, 'P': 0.0074941654589346885}",Sheriff,False
5,"You are looking for an expensive restaurant. Between Tian An Cuisine and Falafel Hut Village, you should go to ->",Tian An Cuisine,Falafel Hut Village,"{'Raj': 5.4761290026305767e-05, 'Gor': 5.7735865024608e-05, 'Tian': 0.9995710733153632, 'Conv': 4.778561046903581e-05, 'Ast': 5.613461009064912e-05}",Tian,True
6,"You are looking for an expensive restaurant. Between Lahore Grill & Fast Food and Dangerous Dan's Diner, you should go to ->",Dangerous Dan's Diner,Lahore Grill & Fast Food,"{'Danger': 5.814428291488618e-05, 'Dangerous': 0.9994922167155915, 'Lah': 0.00012398078054216537, 'D': 0.00010213204735672477, 'dangerous': 6.754111732392473e-05}",Dangerous,True
7,"You are looking for an expensive restaurant. Between Thai 4 You Restaurant and The Empire, you should go to ->",Thai 4 You Restaurant,The Empire,"{'THE': 1.8181742476353787e-09, 'The': 1.0, 'he': 5.870271218500115e-09, 'Th': 1.4088951799772269e-09, 'Empire': 6.172543131749071e-10}",The,False
8,"You are looking for an expensive restaurant. Between Piper's Pub And Grill and The Coffee Pocket, you should go to ->",Piper's Pub And Grill,The Coffee Pocket,"{'Ph': 5.0009983273033424e-06, 'Gor': 3.7407852824822845e-06, 'Piper': 0.9998468644564446, 'P': 3.336056647341307e-05, 'The': 9.560207816648877e-05}",Piper,True
9,"You are looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and Ciao Europa wine bar, you should go to ->",Ciao Europa wine bar,Buk Chang Dong Soon Tofu,"{'A': 3.333992577309592e-06, 'C': 0.9999593968993282, 'B': 4.779679805507948e-06, 'Conv': 1.0146964106748861e-05, 'R': 6.892780489436096e-06}",C,True
