,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants nearby. Between JJ Bean and Sushi Shop, this person should go to ->",Sushi Shop,JJ Bean,"{'S': 1.5712256207494095e-05, 'J': 3.603856294172926e-05, 'JJ': 0.998434887567919, 'j': 1.0074349681064361e-05}",JJ,False
1,"Someone is looking for restaurants nearby. Between Carole's Cheesecake Cafe and Anatolia Restaurant, this person should go to ->",Anatolia Restaurant,Carole's Cheesecake Cafe,"{'restaurants': 2.4248567851375312e-05, 'Car': 0.9951686497006366, 'Che': 0.004514885736336938, 'he': 8.273482038420328e-05, 'ar': 0.00010245857371070408}",Car,False
2,"Someone is looking for restaurants nearby. Between EJ Sushi and Harry's Char Broil & Dining Lounge, this person should go to ->",Harry's Char Broil & Dining Lounge,EJ Sushi,"{'arry': 0.0037658751544512696, '': 0.00040351132650656653, 'E': 0.4141747470043997, 'Harry': 0.581467848023015, 'Beach': 6.930475773086269e-05}",Harry,True
3,"Someone is looking for restaurants nearby. Between Hawthorne Food and Drink and Juice & Java Cafe, this person should go to ->",Juice & Java Cafe,Hawthorne Food and Drink,"{'restaurants': 0.002544371281925418, 'Juice': 0.9638778982116715, 'F': 0.0016731051630283539, 'Hawth': 0.024173680990998626, 'Beach': 0.0026378238526055565}",Juice,True
4,"Someone is looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, this person should go to ->",Kairali - Taste of Kerala,St. Clair Shawarma and Falafel,"{'Kom': 6.110989721548557e-08, '': 1.050393187083393e-06, 'K': 0.9999975456765119, 'St': 6.378108952289335e-07, 'Fal': 4.758714891231955e-07}",K,True
5,"Someone is looking for restaurants nearby. Between Eastern legend and Juice & Java Cafe, this person should go to ->",Juice & Java Cafe,Eastern legend,"{'juice': 0.0006144593392401014, 'u': 0.0002098337515626352, 'Juice': 0.9983489968077383, 'nearby': 4.375656059263076e-05, 'Eastern': 0.0006685515844009289}",Juice,True
6,"Someone is looking for restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, this person should go to ->",Kim PO Vietnamese,Banjara Indian Cuisine,"{'Ban': 0.9370239151160492, 'Nik': 0.0002981705260666401, 'im': 0.0005876925035497608, 'an': 0.007505061645547996, 'Kim': 0.053910646358820306}",Ban,False
7,"Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Branca, this person should go to ->",Branca,Mirage Grill & Lounge,"{'restaurants': 0.0024280631428667382, 'Br': 0.5864478688531479, 'ir': 0.0035245271273009826, 'Mirage': 0.3749817203249405, 'r': 0.02669152178883106}",Br,True
8,"Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to ->",La Cocina De Dona Luz,Helena's Magic Kitchen,"{'restaurants': 4.899285925318813e-05, 'el': 8.357810283447365e-05, 'Helen': 4.318497172385428e-05, 'Helena': 0.984002496342172, 'Magic': 0.015657264255639132}",Helena,False
9,"Someone is looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Freshii, this person should go to ->",Popeyes Louisiana Kitchen,Freshii,"{'restaurants': 0.00023310676277724966, 'Fresh': 0.9579136085923791, 'nearby': 0.0002914519216739581, 'Pop': 0.03990512568714738, 'Beach': 0.0012479625718368125}",Fresh,False
10,"Someone is looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, this person should go to ->",Breakfast Room,Shawarma Twist,"{'restaurants': 0.00021230386161396982, 'breakfast': 0.0030990285114782076, 'Shaw': 0.5384802979301242, 'Breakfast': 0.4554056130001185, 'Beach': 0.002346634042313875}",Shaw,False
11,"Someone is looking for restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, this person should go to ->",Mamma's Pizza,Mt Everest Restaurant,"{'restaurants': 0.009873251965658551, 'Mt': 0.04709737556502505, 'Mam': 0.9317072211928326, 'nearby': 0.0024080848871938267, 'Beach': 0.002475628440101412}",Mam,True
12,"Someone is looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, this person should go to ->",Delicious Paradise Kitchen,Buk Chang Dong Soon Tofu,"{'restaurants': 0.002163200156000534, 'B': 0.019891602922438113, 'Buk': 0.9727544426736681, 'Delicious': 0.000777660892210557, 'Beach': 0.001360517958366117}",Buk,False
13,"Someone is looking for restaurants nearby. Between Mi Mi Restaurant and La Pupusa Loka, this person should go to ->",La Pupusa Loka,Mi Mi Restaurant,"{'Mi': 0.4458888826693809, 'P': 0.16752243439486028, 'L': 0.016618811538895554, 'i': 0.06401598891673534, 'La': 0.2511379724096351}",Mi,False
14,"Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, this person should go to ->",Warung Indonesia D'Eglinton,Helena's Magic Kitchen,"{'ar': 0.00018637663728908468, 'War': 0.021063988557788252, 'Helena': 0.9689218504830737, 'Magic': 0.009298920135751983, 'nearby': 9.104797432307327e-05}",Helena,False
15,"Someone is looking for restaurants nearby. Between Tierra Azteca and Dangerous Dan's Diner, this person should go to ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.11206319788447909, 'Danger': 0.020498437812700068, 'Dangerous': 0.7260120474581879, '': 0.018003982420028906, 'D': 0.11106436287440637}",Dangerous,True
16,"Someone is looking for restaurants nearby. Between Eastern legend and The Empire, this person should go to ->",The Empire,Eastern legend,"{'restaurants': 1.023376510764347e-05, 'the': 1.1162117185899919e-06, 'The': 0.9983448249156671, 'Empire': 6.506147277462405e-05, 'Eastern': 0.0015757283013959887}",The,True
17,"Someone is looking for restaurants nearby. Between Basil Express Restaurant and Grappa Ristorante, this person should go to ->",Basil Express Restaurant,Grappa Ristorante,"{'as': 0.0016312077297923257, 'Basil': 0.23119825263952418, 'R': 0.6993905262385557, 'basil': 0.017740583692868798, 'Gra': 0.048098047269606134}",R,True
18,"Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, this person should go to ->",Chick Fiesta,Mirage Grill & Lounge,"{'restaurants': 0.005997044586635945, 'ir': 0.0044530207182655705, 'Chick': 0.023120398480748372, 'Mirage': 0.9465968000335647, 'Beach': 0.010449355260860488}",Mirage,False
19,"Someone is looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, this person should go to ->",Amaya Express,Helena's Magic Kitchen,"{'el': 4.790891279402346e-05, 'Am': 4.17566849885057e-05, 'Helena': 0.987889264481567, 'Magic': 0.011745344848495463, 'nearby': 4.621759445571683e-05}",Helena,False
20,"Someone is looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Domino's Pizza, this person should go to ->",Buk Chang Dong Soon Tofu,Domino's Pizza,"{'om': 0.0006303321848506111, 'B': 0.001100319155386713, 'Buk': 0.9647341286080674, 'nearby': 0.00025006791924988533, 'Dom': 0.03259289366852053}",Buk,True
21,"Someone is looking for restaurants nearby. Between Sushi World and Magic Oven, this person should go to ->",Sushi World,Magic Oven,"{'restaurants': 8.023202456435108e-07, 'agic': 9.922566930298653e-07, 'S': 0.00027260573521045283, 'Magic': 0.9997243779907269, 'nearby': 2.67479475675688e-07}",Magic,False
22,"Someone is looking for restaurants nearby. Between Ici Bistro and La Pupusa Loka, this person should go to ->",La Pupusa Loka,Ici Bistro,"{'I': 0.0004139618657899392, 'B': 0.99957524386444, 'P': 2.061241678900197e-06, 'L': 8.025223811930193e-06, 'Beach': 3.076192561519747e-07}",B,False
23,"Someone is looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, this person should go to ->",Chick Fiesta,Nutella Cafe by Pusateri's,"{'Nut': 1.044677750330107e-05, 'Chick': 6.556740195056265e-06, 'P': 0.9999796626968057, '': 2.6567924729877407e-06, 'ut': 2.645143060407833e-07}",P,False
