,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Milo's Pita I would go to ->",Milo's Pita,Domino's Pizza,"{'Pizza': 2.7327910920651735e-05, 'om': 0.0018420669416128591, 'Milo': 0.9652981052411006, 'P': 0.00377804915173258, 'Dom': 0.028984261593065722}",Milo,True
1,"You don't like expensive restaurants. If I were you, between Aroma Espresso Bar and Bake Island I would go to ->",Bake Island,Aroma Espresso Bar,"{'baked': 7.497170959274743e-08, 'bake': 9.224342973176184e-05, 'A': 0.9869747455086234, '': 2.334128646842579e-07, 'Bake': 0.012932565388005308}",A,False
2,"You don't like expensive restaurants. If I were you, between Pisco 1641 and Shawarma Twist I would go to ->",Shawarma Twist,Pisco 1641,"{'Shaw': 0.5781347187765575, 'haw': 5.706053095563974e-06, 'P': 0.42185328131835764, '': 6.678929037436775e-07, 'Sh': 6.097571950012201e-07}",Shaw,True
3,"You don't like expensive restaurants. If I were you, between Sky Dragon Chinese Restaurant and Hapa Toronto I would go to ->",Sky Dragon Chinese Restaurant,Hapa Toronto,"{'ky': 8.7889886742893e-07, 'S': 3.704086775248322e-08, 'H': 0.999953436724103, '': 4.5328811100063586e-08, 'Sky': 4.574555177186798e-05}",H,False
4,"You don't like expensive restaurants. If I were you, between Top Sushi and Topham Corner I would go to ->",Top Sushi,Topham Corner,"{'T': 0.9989105932348743, 'S': 2.933958567058937e-06, '': 4.536576913946546e-08, 'Top': 0.0010732193600724435, 'op': 1.3095826058713848e-05}",T,False
5,"You don't like expensive restaurants. If I were you, between New Bilan Restaurant and Green Grotto I would go to ->",New Bilan Restaurant,Green Grotto,"{'reen': 0.0013982196922286208, 'Red': 8.930920463265954e-05, 'Green': 0.8777595270919165, 'ew': 0.00047670509869295795, 'New': 0.11998552121756093}",Green,False
6,"You don't like expensive restaurants. If I were you, between Supermodel Pizza and Chipotle Mexican Grill I would go to ->",Supermodel Pizza,Chipotle Mexican Grill,"{'uper': 0.00020030406919442124, 'Chip': 0.9507975350504854, 'Super': 0.02632092838923176, 'hip': 0.02237870593849545}",Chip,False
7,"You don't like expensive restaurants. If I were you, between McDonald's and Dinah's Cupboard I would go to ->",McDonald's,Dinah's Cupboard,"{'McDonald': 0.7883400473795124, 'din': 6.99264907383122e-05, 'Din': 0.2114113325161645, 'MacDonald': 0.0001031689110311269, 'c': 3.019154921682056e-05}",McDonald,True
8,"You don't like expensive restaurants. If I were you, between Falafel Hut Village and Magic Oven I would go to ->",Falafel Hut Village,Magic Oven,"{'Fl': 2.269411525380326e-06, 'fal': 4.29307628180062e-06, 'al': 0.0004523958441470608, 'Magic': 0.15179968334865848, 'Fal': 0.8477338911875343}",Fal,True
9,"You don't like expensive restaurants. If I were you, between Watson's and Lahore Grill & Fast Food I would go to ->",Lahore Grill & Fast Food,Watson's,"{'Ali': 2.671146897854889e-10, 'Watson': 1.8344462245214104e-07, 'Lah': 0.9999998115819777, 'L': 6.242400706177757e-09, 'ah': 2.734336826686894e-10}",Lah,True
