,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with cold weather. Between Garoua and Belgrade, I should visit ->",Belgrade,Garoua,"{'el': 3.951983682512989e-07, 'Serbia': 7.672561767345583e-06, 'Bel': 0.9999914641949302, 'Serbian': 1.0640460296769696e-07, 'St': 7.657539698325549e-08}",Bel,True
1,"I'm looking for a city with cold weather. Between Port Moresby and Wellington, I should visit ->",Wellington,Port Moresby,"{'Wellington': 0.9991498454862993, 'Port': 0.000110217926727202, 'Dun': 0.00020836608526084608, 'ell': 0.00015508728042654162, 'New': 0.00013244554210553028}",Wellington,True
2,"I'm looking for a city with cold weather. Between Panama City and Kuopio, I should visit ->",Kuopio,Panama City,"{'Ku': 0.9280934739771554, 'Winnipeg': 0.00475188451317571, 'u': 0.02283605345640109, 'O': 0.00617295083577173, 'K': 0.020879294601321225}",Ku,True
3,"I'm looking for a city with cold weather. Between Rabat and Saint Petersburg, I should visit ->",Saint Petersburg,Rabat,"{'Petersburg': 7.685354194285747e-05, 'Russia': 2.781461377574714e-05, 'Sochi': 1.5551709339664966e-05, 'St': 0.9829771827065964, 'Saint': 0.016867245057468658}",St,True
4,"I'm looking for a city with cold weather. Between Dar es Salaam and Murmansk, I should visit ->",Murmansk,Dar es Salaam,"{'Har': 9.537224955376886e-06, 'ur': 0.0011033249240469866, 'Sochi': 7.767416077891617e-06, 'Mur': 0.9987920991002769, 'Ark': 6.759943046667727e-05}",Mur,True
5,"I'm looking for a city with cold weather. Between Bangkok and Milwaukee, I should visit ->",Milwaukee,Bangkok,"{'Milwaukee': 0.9921424730338384, 'M': 0.00036089229353755627, 'W': 0.0006125744940512779, 'Detroit': 0.0036481393809597805, 'Wisconsin': 0.0025971229612559207}",Milwaukee,True
6,"I'm looking for a city with cold weather. Between Baghdad and Zürich, I should visit ->",Zürich,Baghdad,"{'Z': 0.5180295458649264, 'Baghdad': 0.4485096865758563, 'Warsaw': 0.0016118124303685845, 'Zurich': 0.015461379647377501, 'St': 0.011792494608539301}",Z,True
7,"I'm looking for a city with cold weather. Between Caracas and Fairbanks, I should visit ->",Fairbanks,Caracas,"{'Cold': 1.9000714010574587e-05, 'Alaska': 2.5167602641902562e-05, 'Car': 0.00013182951805602806, 'air': 0.0007797140562844071, 'Fair': 0.9990203871342728}",Fair,True
8,"I'm looking for a city with cold weather. Between Bahía Blanca and Fairbanks, I should visit ->",Fairbanks,Bahía Blanca,"{'Cold': 1.2058913040969077e-05, 'Alaska': 4.2820418559098906e-05, 'Arctic': 8.748966315016285e-06, 'air': 0.0015829564650644535, 'Fair': 0.9983172276517769}",Fair,True
9,"I'm looking for a city with cold weather. Between Mombasa and Addis Ababa, I should visit ->",Addis Ababa,Mombasa,"{'Har': 9.659669795408214e-05, 'Add': 0.9971647048629996, 'Ethiopia': 0.00018632781300637505, 'M': 0.0004805965563508494, 'dd': 0.0018551279677354242}",Add,True
10,"I'm looking for a city with cold weather. Between San Juan and Albuquerque, I should visit ->",Albuquerque,San Juan,"{'Ni': 3.60792373767961e-05, 'San': 0.1757913321716113, 'uquerque': 2.8970832788891652e-05, 'Albuquerque': 0.8216251909443549, 'New': 0.0023628125761101745}",Albuquerque,True
11,"I'm looking for a city with cold weather. Between Benghazi and Toronto, I should visit ->",Toronto,Benghazi,"{'Edmonton': 4.5760718936098915e-05, 'Winnipeg': 0.0006096795906648947, 'oronto': 0.0029705207643680375, 'Toronto': 0.9960513412363575, 'Detroit': 0.00015771168032459624}",Toronto,True
12,"I'm looking for a city with cold weather. Between Djibouti and Fukuoka, I should visit ->",Fukuoka,Djibouti,"{'Ni': 0.0008136914645446825, 'Tokyo': 0.0009790406444533351, 'Fuk': 0.9949252821099756, 'ytes: \\xc4': 0.0003771792572880704, 'Hiroshima': 0.0018982858200704545}",Fuk,True
13,"I'm looking for a city with cold weather. Between Brisbane and Novosibirsk, I should visit ->",Novosibirsk,Brisbane,"{'ov': 0.008406761133864703, 'Edmonton': 0.00848295858742301, 'Brisbane': 0.04853002987337924, 'Sochi': 0.009988009054771431, 'Nov': 0.9072157582087065}",Nov,True
14,"I'm looking for a city with cold weather. Between Bangkok and Johannesburg, I should visit ->",Johannesburg,Bangkok,"{'Bl': 0.002533053720338911, 'Har': 0.0008842377354302825, 'Johannes': 0.9898292217665622, 'J': 0.00040124714452257986, 'Helsinki': 0.0022463679758481484}",Johannes,True
15,"I'm looking for a city with cold weather. Between Alexandria and Lviv, I should visit ->",Lviv,Alexandria,"{'Lv': 0.39699892742454274, 'Alexandria': 0.543962787389482, 'v': 0.019785860748226785, 'Ant': 0.008496542185143228, 'Ark': 0.010059286915238124}",Alexandria,False
16,"I'm looking for a city with cold weather. Between Fianarantsoa and Saint Petersburg, I should visit ->",Saint Petersburg,Fianarantsoa,"{'Petersburg': 0.0003327956233817094, 'S': 2.5272492668908736e-05, 'Russia': 1.3474480429772227e-05, 'St': 0.9619130798354177, 'Saint': 0.03768356203139884}",St,True
17,"I'm looking for a city with cold weather. Between Belize City and Moscow, I should visit ->",Moscow,Belize City,"{'Russia': 0.002063752399585301, 'Sochi': 0.002715481481682038, 'Bel': 0.006580020619415824, 'oscow': 0.0009721858189651349, 'Moscow': 0.9869726590462168}",Moscow,True
18,"I'm looking for a city with cold weather. Between Toliara and Milwaukee, I should visit ->",Milwaukee,Toliara,"{'Milwaukee': 0.998643504472925, 'WI': 9.526682615564801e-06, 'M': 1.4075969574828361e-05, 'W': 3.154271181315706e-05, 'Wisconsin': 0.0012722765807548547}",Milwaukee,True
19,"I'm looking for a city with cold weather. Between Goiânia and Oslo, I should visit ->",Oslo,Goiânia,"{'Norway': 0.0006522130406143966, 's': 7.809550946646687e-05, 'Norwegian': 8.92411769405718e-05, 'Oslo': 0.9802046750816064, 'O': 0.01887087218403951}",Oslo,True
20,"I'm looking for a city with cold weather. Between Garissa and Lisbon, I should visit ->",Lisbon,Garissa,"{'Madrid': 0.0007437891231003734, 'Portugal': 0.0016137171053380386, 'L': 0.0006340369655137481, 'Lisbon': 0.9954388378391724, 'Gar': 0.0010772508418370836}",Lisbon,True
