,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with warm weather. If I were you, between Managua and Amsterdam I would visit ->",Managua,Amsterdam,"{'Man': 0.9998950241903459, 'Amsterdam': 3.364120173845913e-05, 'M': 8.528807559165327e-06, 'Ant': 6.179464133770842e-06, 'Nic': 1.5748428113353134e-05}",Man,True
1,"You are looking for a city with warm weather. If I were you, between Bujumbura and London I would visit ->",Bujumbura,London,"{'Living': 0.02114426222275107, 'B': 0.22717591628965786, 'London': 0.2854191150024014, 'Bul': 0.023123751181593023, 'Bu': 0.3587774855749526}",Bu,True
2,"You are looking for a city with warm weather. If I were you, between Nairobi and Minneapolis I would visit ->",Nairobi,Minneapolis,"{'Kenya': 5.511289131525455e-06, 'M': 2.7831112733173506e-05, 'N': 0.9998053804808361, 'K': 0.00010239025662831882, 'Kh': 1.1415185814682753e-05}",N,True
3,"You are looking for a city with warm weather. If I were you, between Karachi and Viedma I would visit ->",Karachi,Viedma,"{'Singapore': 0.0030221009822148214, 'Karachi': 0.953423486546445, 'K': 0.0048984179174028815, 'Kh': 0.03217200546732027, 'V': 0.000535119752321971}",Karachi,True
4,"You are looking for a city with warm weather. If I were you, between Managua and Suwałki I would visit ->",Managua,Suwałki,"{'Man': 0.9999895559355396, 'M': 8.011232752774854e-07, 'Havana': 5.703013109979754e-07, 'an': 7.263150231873655e-07, 'Nic': 4.034182011861726e-06}",Man,True
5,"You are looking for a city with warm weather. If I were you, between Bangui and Viedma I would visit ->",Bangui,Viedma,"{'Gu': 1.2324696045035856e-05, 'C': 2.3484371349706846e-06, 'B': 0.9999636891852536, 'K': 2.286480093470794e-06, 'V': 5.331350365492082e-06}",B,True
6,"You are looking for a city with warm weather. If I were you, between Bujumbura and Ulaanbaatar I would visit ->",Bujumbura,Ulaanbaatar,"{'Gu': 0.004369251351487021, 'B': 0.2523609689329138, 'Ou': 0.005093225273870775, 'Bul': 0.013711765761642233, 'Bu': 0.6921621292379404}",Bu,True
7,"You are looking for a city with warm weather. If I were you, between Lisbon and Ushuaia I would visit ->",Lisbon,Ushuaia,"{'Madrid': 0.006062764468499494, 'Rio': 0.003810015582335706, 'Portugal': 0.005928513926455019, 'S': 0.0036033745412858255, 'Lisbon': 0.9665854446322676}",Lisbon,True
8,"You are looking for a city with warm weather. If I were you, between Abéché and Milan I would visit ->",Abéché,Milan,"{'Madrid': 0.025748343089024225, 'Med': 0.03593528130249934, 'Milan': 0.6853864083385971, 'Ab': 0.14284153643185435, 'San': 0.01389806440473207}",Milan,False
9,"You are looking for a city with warm weather. If I were you, between Piura and Reykjavík I would visit ->",Piura,Reykjavík,"{'Pi': 0.9686584170715201, 'Gu': 0.0021461730492010086, 'Rey': 0.0035304621356183428, 'San': 0.003357350022370614, 'i': 0.0020323469921317947}",Pi,True
10,"You are looking for a city with warm weather. If I were you, between Douala and Shanghai I would visit ->",Douala,Shanghai,"{'Gu': 0.06708003635918965, 'Shanghai': 0.05250151776462806, 'D': 0.06684636850141595, 'Chong': 0.09468186467812774, 'Dou': 0.5521636551083479}",Dou,True
11,"You are looking for a city with warm weather. If I were you, between Mumbai and Lviv I would visit ->",Mumbai,Lviv,"{'Mumbai': 0.949577346315088, 'M': 0.022003397626057578, 'B': 0.000983888087101984, '': 0.018367944140149552, 'Bombay': 0.0030700144824000655}",Mumbai,True
12,"You are looking for a city with warm weather. If I were you, between Djibouti and Toronto I would visit ->",Djibouti,Toronto,"{'Dj': 0.4196653798052489, 'Dh': 0.2871941244673787, 'Mog': 0.026172788887649664, 'D': 0.10639012675885194, 'Toronto': 0.02409999369750205}",Dj,True
13,"You are looking for a city with warm weather. If I were you, between Kano and Minneapolis I would visit ->",Kano,Minneapolis,"{'Kum': 5.660592439143876e-06, 'Jos': 1.813867788303288e-05, 'M': 7.33755409819324e-06, 'N': 4.4769032025107234e-06, 'K': 0.9999372242904773}",K,True
14,"You are looking for a city with warm weather. If I were you, between Pontianak and Frankfurt I would visit ->",Pontianak,Frankfurt,"{'Singapore': 0.0030679061067606125, 'Pont': 0.9594580952653301, 'Frankfurt': 0.0023474397800775752, 'ont': 0.0137525969996767, 'Kuala': 0.007445315025804468}",Pont,True
15,"You are looking for a city with warm weather. If I were you, between Tampa and Zagreb I would visit ->",Tampa,Zagreb,"{'Z': 0.004996657950167851, 'Tampa': 0.9710321772309152, 'warmer': 0.0008557556313275968, 'T': 0.019664594376162726, 'Fort': 0.0009322896577379995}",Tampa,True
