{'statement': 'Between Bamako and Dublin, the city with lower average temperature is Dublin.', 'answer': 'Dublin', 'candidate': 'Bamako'}
{'statement': 'Between Willemstad and Baltimore, the city with lower average temperature is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Willemstad'}
{'statement': 'Between Willemstad and Tirana, the city with lower average temperature is Tirana.', 'answer': 'Tirana', 'candidate': 'Willemstad'}
{'statement': 'Between Toamasina and Indianapolis, the city with lower average temperature is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toamasina'}
{'statement': 'Between Pontianak and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Pontianak'}
{'statement': 'Between Hat Yai and Skopje, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Hat Yai'}
{'statement': 'Between Lomé and Lhasa, the city with lower average temperature is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lomé'}
{'statement': 'Between Muscat and Punta Arenas, the city with lower average temperature is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Muscat'}
{'statement': 'Between Garissa and Podgorica, the city with lower average temperature is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Garissa'}
{'statement': 'Between Kathmandu and Suwałki, the city with lower average temperature is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kathmandu'}
{'statement': 'Between Ouahigouya and Saint Petersburg, the city with lower average temperature is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ouahigouya'}
{'statement': 'Between Hamilton and Erzurum, the city with lower average temperature is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Hamilton'}
{'statement': 'Between Douala and Skopje, the city with lower average temperature is Skopje.', 'answer': 'Skopje', 'candidate': 'Douala'}
{'statement': 'Between Antofagasta and Minsk, the city with lower average temperature is Minsk.', 'answer': 'Minsk', 'candidate': 'Antofagasta'}
{'statement': 'Between Malabo and Sacramento, the city with lower average temperature is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Malabo'}
{'statement': 'Between Lusaka and Murmansk, the city with lower average temperature is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Lusaka'}
{'statement': 'Between Sydney and Fairbanks, the city with lower average temperature is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Sydney'}
{'statement': 'Between Tampa and Anchorage, the city with lower average temperature is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Between Port Sudan and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Port Sudan'}
{'statement': 'Between Toamasina and Chicago, the city with lower average temperature is Chicago.', 'answer': 'Chicago', 'candidate': 'Toamasina'}
{'statement': 'Between Florianópolis and Fairbanks, the city with lower average temperature is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Florianópolis'}
{'statement': 'Between Djibouti and Pittsburgh, the city with lower average temperature is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Djibouti'}
{'statement': 'Between Abéché and Kabul, the city with lower average temperature is Kabul.', 'answer': 'Kabul', 'candidate': 'Abéché'}
{'statement': 'Between Antsiranana and Murmansk, the city with lower average temperature is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Antsiranana'}
{'statement': 'Between La Ceiba and Albuquerque, the city with lower average temperature is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'La Ceiba'}
{'statement': 'Between Fukuoka and Saskatoon, the city with lower average temperature is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Fukuoka'}
{'statement': 'Between San Antonio and Murmansk, the city with lower average temperature is Murmansk.', 'answer': 'Murmansk', 'candidate': 'San Antonio'}
{'statement': 'Between Bangui and Oslo, the city with lower average temperature is Oslo.', 'answer': 'Oslo', 'candidate': 'Bangui'}
{'statement': 'Between Ouahigouya and Vladivostok, the city with lower average temperature is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Ouahigouya'}
{'statement': 'Between Honolulu and Toronto, the city with lower average temperature is Toronto.', 'answer': 'Toronto', 'candidate': 'Honolulu'}
{'statement': 'Between Ho Chi Minh City and Punta Arenas, the city with lower average temperature is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Mombasa and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Mombasa'}
{'statement': 'Between Makurdi and Bucharest, the city with lower average temperature is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Makurdi'}
{'statement': 'Between Caracas and Amsterdam, the city with lower average temperature is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Caracas'}
{'statement': 'Between Hat Yai and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Hat Yai'}
{'statement': 'Between Florianópolis and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Florianópolis'}
{'statement': 'Between Hamilton and Zürich, the city with lower average temperature is Zürich.', 'answer': 'Zürich', 'candidate': 'Hamilton'}
{'statement': 'Between Makassar and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Makassar'}
{'statement': 'Between Port-Gentil and Frankfurt, the city with lower average temperature is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Port-Gentil'}
{'statement': 'Between Juba and Bratislava, the city with lower average temperature is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Juba'}
{'statement': 'Between Mahajanga and Bucharest, the city with lower average temperature is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Mahajanga'}
{'statement': 'Between Bangkok and Moscow, the city with lower average temperature is Moscow.', 'answer': 'Moscow', 'candidate': 'Bangkok'}
{'statement': 'Between Tripoli and Copenhagen, the city with lower average temperature is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Tripoli'}
{'statement': 'Between Makassar and Ürümqi, the city with lower average temperature is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Makassar'}
{'statement': 'Between Aden and Damascus, the city with lower average temperature is Damascus.', 'answer': 'Damascus', 'candidate': 'Aden'}
