,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between Adega Restaurante and Popeyes Louisiana Kitchen, you should go to ->",Adega Restaurante,Popeyes Louisiana Kitchen,"{'Ad': 5.565503545330844e-05, 'Epic': 9.416031769584753e-08, 'op': 2.732939175062723e-07, 'd': 2.8061646308235465e-07, 'Pop': 0.9999436611730913}",Pop,False
1,"You don't like cheap restaurants. Between Pizza Pizza and La Pupusa Loka, you should go to ->",La Pupusa Loka,Pizza Pizza,"{'a': 0.0020814893663289834, 'Barcelona': 0.00034393977107643976, 'Pizza': 0.8097331419341183, 'Lah': 0.0008439700920127816, 'La': 0.18630236628111438}",Pizza,False
2,"You don't like cheap restaurants. Between Tim Hortons and Harry's Char Broil & Dining Lounge, you should go to ->",Harry's Char Broil & Dining Lounge,Tim Hortons,"{'im': 4.021192357399391e-05, 'arry': 0.03462520132676953, 'H': 0.00012498497848540264, 'Tim': 0.0018563304802304867, 'Harry': 0.9632095476975658}",Harry,True
3,"You don't like cheap restaurants. Between Verona Restaurant and Pizzeria Via Mercanti, you should go to ->",Verona Restaurant,Pizzeria Via Mercanti,"{'er': 0.0009016059462868276, 'Conv': 8.502740794762824e-06, 'P': 0.03385398368966238, 'Ver': 0.9651908212148567, 'V': 1.4617457856296602e-05}",Ver,True
4,"You don't like cheap restaurants. Between La Cocina De Dona Luz and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,La Cocina De Dona Luz,"{'Nut': 0.5788922589414336, 'Coc': 0.004488053007011722, 'Lah': 0.00284791708291855, 'P': 0.3561244608855856, 'La': 0.054192486803867485}",Nut,True
5,"You don't like cheap restaurants. Between Eggspectation and Edible Arrangements, you should go to ->",Edible Arrangements,Eggspectation,"{'Egg': 0.6964069160440969, 'Ed': 0.298051705243172, 'gg': 0.0022735192900454858, 'Eggs': 0.0006120941790223261, 'd': 0.0022290250197256833}",Egg,False
6,"You don't like cheap restaurants. Between Branca and Mysteriously Yours Dinner Theatre, you should go to ->",Mysteriously Yours Dinner Theatre,Branca,"{'Myster': 0.20999392022359084, 'Br': 0.7860085254368391, 'B': 0.0004217786110304101, 'myster': 0.0006342115399194185, 'r': 0.0023356571331063845}",Br,False
7,"You don't like cheap restaurants. Between El Fogón and Helena's Magic Kitchen, you should go to ->",El Fogón,Helena's Magic Kitchen,"{'el': 0.00013989156096790744, 'Helen': 0.0002064581148072404, 'El': 0.06502938723177006, 'Helena': 0.934061609375455, 'l': 0.0004102623601957616}",Helena,False
8,"You don't like cheap restaurants. Between Ardor Bistro and Villa Madina, you should go to ->",Ardor Bistro,Villa Madina,"{'Villa': 0.02877232475073575, 'Ard': 0.9712134926615328, 'vill': 1.1514817116602803e-06, 'Ast': 1.146989355679537e-06, 'Vill': 2.409603130893714e-06}",Ard,True
9,"You don't like cheap restaurants. Between Verona Restaurant and Breakfast Room, you should go to ->",Verona Restaurant,Breakfast Room,"{'er': 0.005458697886460495, 'Restaurant': 7.798917679040404e-05, 'Breakfast': 0.0007446827270682646, 'Conv': 0.00016727021488193052, 'Ver': 0.9929518279947936}",Ver,True
10,"You don't like cheap restaurants. Between Hapa Toronto and Solero Mediterranean Bakery, you should go to ->",Hapa Toronto,Solero Mediterranean Bakery,"{'S': 2.4838027282585113e-08, 'H': 0.9999657128518177, 'ol': 1.559559731395169e-06, '': 7.294536555956844e-07, 'Sol': 3.207020987507961e-05}",H,True
11,"You don't like cheap restaurants. Between Phil's Original BBQ and McDonald's, you should go to ->",Phil's Original BBQ,McDonald's,"{'Phill': 4.6238535768854595e-05, 'Ph': 0.0027925978146689824, 'Philip': 4.439285610534133e-05, 'hil': 0.07241610207266956, 'Phil': 0.9246050089675077}",Phil,True
12,"You don't like cheap restaurants. Between Queen Pita and Kibo Sushi House, you should go to ->",Kibo Sushi House,Queen Pita,"{'Kings': 1.2465284716176398e-05, 'King': 0.0006815038210637803, 'ueen': 0.0009223322881877198, 'K': 0.8594672142751844, 'Queen': 0.13887442103443473}",K,True
