{'statement': 'Between Moscow and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Moscow'}
{'statement': 'Between Riyadh and Palmerston North, the city with a smaller population is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'Between Lahore and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Lahore'}
{'statement': 'Between Lahore and Tashkent, the city with a smaller population is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Beijing'}
{'statement': 'Between Alexandria and Tampa, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Alexandria'}
{'statement': 'Between Luanda and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Luanda'}
{'statement': 'Between Mexico City and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Mexico City'}
{'statement': 'Between Lahore and Conakry, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Lahore'}
{'statement': 'Between Sydney and La Ceiba, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Sydney'}
{'statement': 'Between Mexico City and Conakry, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Mexico City'}
{'statement': 'Between Riyadh and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Riyadh'}
{'statement': 'Between Kuwait City and Murmansk, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kuwait City'}
{'statement': 'Between Cairo and Toluca, the city with a smaller population is Toluca.', 'answer': 'Toluca', 'candidate': 'Cairo'}
{'statement': 'Between Baghdad and Conakry, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Baghdad'}
{'statement': 'Between Surabaya and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Surabaya'}
{'statement': 'Between Paris and Nairobi, the city with a smaller population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Paris'}
{'statement': 'Between Kunming and Djibouti, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kunming'}
{'statement': 'Between Medellín and Sucre, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Medellín'}
{'statement': 'Between Melbourne and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Melbourne'}
{'statement': 'Between Sydney and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Sydney'}
{'statement': 'Between Manila and Nouakchott, the city with a smaller population is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Manila'}
{'statement': 'Between Monterrey and Erbil, the city with a smaller population is Erbil.', 'answer': 'Erbil', 'candidate': 'Monterrey'}
{'statement': 'Between Chicago and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Chicago'}
{'statement': 'Between Santiago and Djibouti, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Santiago'}
{'statement': 'Between Lagos and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Lagos'}
{'statement': 'Between Dar es Salaam and Kabul, the city with a smaller population is Kabul.', 'answer': 'Kabul', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Manila and Caracas, the city with a smaller population is Caracas.', 'answer': 'Caracas', 'candidate': 'Manila'}
{'statement': 'Between Phoenix and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Phoenix'}
{'statement': 'Between Karachi and Bangui, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Karachi'}
{'statement': 'Between Manila and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Manila'}
{'statement': 'Between Manila and Rabat, the city with a smaller population is Rabat.', 'answer': 'Rabat', 'candidate': 'Manila'}
{'statement': 'Between Jakarta and Milwaukee, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Jakarta'}
{'statement': 'Between Chicago and Curitiba, the city with a smaller population is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Chicago'}
{'statement': 'Between Toronto and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Toronto'}
{'statement': 'Between Chicago and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Between Buenos Aires and Chicago, the city with a smaller population is Chicago.', 'answer': 'Chicago', 'candidate': 'Buenos Aires'}
{'statement': 'Between Manila and Denver, the city with a smaller population is Denver.', 'answer': 'Denver', 'candidate': 'Manila'}
{'statement': 'Between Rome and El Paso, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Rome'}
{'statement': 'Between Dar es Salaam and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Dar es Salaam'}
{'statement': 'Between San Diego and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'San Diego'}
{'statement': 'Between Yaoundé and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Yaoundé'}
{'statement': 'Between Surabaya and Viedma, the city with a smaller population is Viedma.', 'answer': 'Viedma', 'candidate': 'Surabaya'}
{'statement': 'Between Dar es Salaam and Santiago del Estero, the city with a smaller population is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Berlin and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Berlin'}
{'statement': 'Between Bangkok and Phoenix, the city with a smaller population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Kampala, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Lima'}
{'statement': 'Between Lagos and Sapporo, the city with a smaller population is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Lagos'}
{'statement': 'Between Phoenix and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Phoenix'}
{'statement': 'Between Douala and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Douala'}
{'statement': 'Between Karachi and Berlin, the city with a smaller population is Berlin.', 'answer': 'Berlin', 'candidate': 'Karachi'}
{'statement': 'Between Ankara and Darwin, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Ankara'}
{'statement': 'Between Brasília and Tamanrasset, the city with a smaller population is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Brasília'}
{'statement': 'Between Nairobi and Darwin, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Nairobi'}
{'statement': 'Between Jakarta and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Jakarta'}
{'statement': 'Between Shanghai and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Shanghai'}
{'statement': 'Between Dar es Salaam and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Rome and Skopje, the city with a smaller population is Skopje.', 'answer': 'Skopje', 'candidate': 'Rome'}
{'statement': 'Between Minneapolis and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Minneapolis'}
{'statement': 'Between Chicago and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Chicago'}
{'statement': 'Between Ho Chi Minh City and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Phoenix and Toluca, the city with a smaller population is Toluca.', 'answer': 'Toluca', 'candidate': 'Phoenix'}
{'statement': 'Between Manila and San Antonio, the city with a smaller population is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Manila'}
{'statement': 'Between Ankara and Addis Ababa, the city with a smaller population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ankara'}
{'statement': 'Between Ankara and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ankara'}
{'statement': 'Between Sydney and Paramaribo, the city with a smaller population is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Sydney'}
{'statement': 'Between Baku and Suwałki, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Baku'}
{'statement': 'Between Santiago and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Santiago'}
{'statement': 'Between Brasília and Wau, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Brasília'}
{'statement': 'Between Cairo and Willemstad, the city with a smaller population is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Cairo'}
{'statement': 'Between Tampa and Hamilton, the city with a smaller population is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Tampa'}
{'statement': 'Between London and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'London'}
{'statement': 'Between Buenos Aires and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Buenos Aires'}
{'statement': 'Between Dar es Salaam and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Baghdad and Cape Town, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Baghdad'}
