,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with cold weather. Between Darwin and Fukuoka, you should visit ->",Fukuoka,Darwin,"{'Tokyo': 0.008604981493406749, 'Edmonton': 0.006293816094146314, 'Fuk': 0.9800941691152784, 'Winnipeg': 0.0008510271723454519, 'Fuji': 0.0008638186560681235}",Fuk,True
1,"You are looking for a city with cold weather. Between Viedma and Saskatoon, you should visit ->",Saskatoon,Viedma,"{'Edmonton': 2.4573328586375364e-06, 'Winnipeg': 1.4049566735372994e-05, 'Sask': 0.9837160968706709, 'S': 2.798292914786461e-06, 'Saskatchewan': 0.016262892502507918}",Sask,True
2,"You are looking for a city with cold weather. Between Napier and Kuopio, you should visit ->",Kuopio,Napier,"{'Ku': 0.14811684847491544, 'Nap': 0.7964706651521248, 'O': 0.004688066695278838, 'ap': 0.006816318924387205, 'Ark': 0.014328968809349824}",Nap,False
3,"You are looking for a city with cold weather. Between Panama City and Mendoza, you should visit ->",Mendoza,Panama City,"{'Mend': 0.9829503615571117, 'Monte': 0.0007393527623238018, 'San': 0.008912308323078032, 'M': 0.002400860654188727, 'Conce': 0.0013625728022640647}",Mend,True
4,"You are looking for a city with cold weather. Between San Juan and Sacramento, you should visit ->",Sacramento,San Juan,"{'Sacrament': 5.915940367740375e-05, 'Sacramento': 0.8265254580145279, 'San': 0.17328585622295734, 'S': 2.487368849820033e-05, 'California': 3.730276893080041e-05}",Sacramento,True
5,"You are looking for a city with cold weather. Between Phnom Penh and Napier, you should visit ->",Napier,Phnom Penh,"{'Nap': 0.9960420434392986, 'Mon': 0.00014852815822795744, 'ap': 0.002157996573414207, 'Dun': 0.00018445426710119453, 'New': 0.0007539134381962411}",Nap,True
6,"You are looking for a city with cold weather. Between Cabo San Lucas and Saint Petersburg, you should visit ->",Saint Petersburg,Cabo San Lucas,"{'Petersburg': 7.026547424900406e-05, 'Russia': 4.294956661667225e-05, 'aint': 8.629542275859292e-05, 'St': 0.9319521377133919, 'Saint': 0.0676932167364769}",St,True
7,"You are looking for a city with cold weather. Between Abéché and Los Angeles, you should visit ->",Los Angeles,Abéché,"{'os': 0.0038833387220000596, 'L': 7.620290291499486e-05, 'Los': 0.9953826307775817, 'Angeles': 0.0001469244571815301, 'LA': 0.00032264432579226434}",Los,True
8,"You are looking for a city with cold weather. Between Perth and Anchorage, you should visit ->",Anchorage,Perth,"{'Alaska': 0.011363543346723955, 'cold': 6.20677517125474e-05, 'Anchorage': 0.9878023587463464, 'Ash': 0.00010869486555036075, 'Ark': 0.00018417595133915412}",Anchorage,True
9,"You are looking for a city with cold weather. Between Kuwait City and Indianapolis, you should visit ->",Indianapolis,Kuwait City,"{'Indiana': 0.0018294035394204565, 'Indianapolis': 0.9923089972863537, 'Colts': 7.236332121477136e-05, 'Indy': 0.005587129108709884, 'Ice': 3.95493618164856e-05}",Indianapolis,True
10,"You are looking for a city with cold weather. Between Caracas and Kuopio, you should visit ->",Kuopio,Caracas,"{'Ku': 0.9537277019513957, 'Car': 0.013009668073049313, 'u': 0.013503360480943317, 'Helsinki': 0.0051914231986631984, 'Ark': 0.0026697530539624634}",Ku,True
11,"You are looking for a city with cold weather. Between Hanoi and Wellington, you should visit ->",Wellington,Hanoi,"{'Wellington': 0.9992568387212326, 'W': 2.4770825212994358e-05, 'Well': 0.00041798166083603286, 'ell': 0.00017193862091226936, 'New': 3.619766297203935e-05}",Wellington,True
12,"You are looking for a city with cold weather. Between Pretoria and Minneapolis, you should visit ->",Minneapolis,Pretoria,"{'Min': 1.7257943978520183e-05, 'Minneapolis': 0.9987810721967354, 'Winnipeg': 4.4717036464330665e-05, 'Timberwolves': 7.209247363357874e-06, 'Minnesota': 0.0011296911524856486}",Minneapolis,True
13,"You are looking for a city with cold weather. Between Barranquilla and Calgary, you should visit ->",Calgary,Barranquilla,"{'Alberta': 0.0006634231075872402, 'Calgary': 0.9984496098984089, 'Edmonton': 0.000778978976704545, 'Winnipeg': 2.5269712847608146e-05, 'Bar': 1.5342113415036846e-05}",Calgary,True
14,"You are looking for a city with cold weather. Between Piura and Brussels, you should visit ->",Brussels,Piura,"{'Belg': 7.678801382329636e-05, 'Belgium': 0.0010987218822099529, 'Brussels': 0.9955202601023964, 'Br': 0.0029575155627363935, 'Bru': 0.000146515841829267}",Brussels,True
15,"You are looking for a city with cold weather. Between Karachi and Melbourne, you should visit ->",Melbourne,Karachi,"{'Vancouver': 0.00014616038672445495, 'Victoria': 0.0001604320611539152, 'Melbourne': 0.9943872264031186, 'Adelaide': 0.0040252470142285515, 'Detroit': 0.00040370748067285005}",Melbourne,True
16,"You are looking for a city with cold weather. Between Yaoundé and Minsk, you should visit ->",Minsk,Yaoundé,"{'Winnipeg': 1.6629791307240893e-07, 'Belarus': 2.198577290354879e-05, 'M': 0.9999765642766208, '': 9.298979388438387e-07, 'Ark': 7.685310226362883e-08}",M,True
17,"You are looking for a city with cold weather. Between Mumbai and Lyon, you should visit ->",Lyon,Mumbai,"{'Lyon': 0.999949144477186, 'Lyons': 4.224548811673557e-05, 'Marse': 6.0642541452866975e-06, 'Alps': 4.333028200124741e-07, 'cold': 4.5037962441936495e-07}",Lyon,True
18,"You are looking for a city with cold weather. Between Hat Yai and Belgrade, you should visit ->",Belgrade,Hat Yai,"{'el': 1.4292423303910704e-05, 'Edmonton': 8.780599196718517e-07, 'Serbia': 0.00010825521681029213, 'Bel': 0.9998610491645616, 'Serbian': 6.488546579610662e-06}",Bel,True
19,"You are looking for a city with cold weather. Between Garoua and Omaha, you should visit ->",Omaha,Garoua,"{'Om': 7.095619046969054e-06, 'Nebraska': 0.0014611206049957067, 'Omaha': 0.9900111968182835, 'O': 0.008471028068982199, '': 3.199864499395449e-05}",Omaha,True
