,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like small cities. Between Ljubljana and Phoenix, this person should visit ->",Phoenix,Ljubljana,"{'Ph': 2.7101784053852154e-05, 'Suns': 1.4030641983208083e-06, 'hoenix': 0.0024105756526050168, 'Arizona': 7.464657565708647e-06, 'Phoenix': 0.9975516620803568}",Phoenix,True
1,"Someone doesn't like small cities. Between Ho Chi Minh City and Luanda, this person should visit ->",Ho Chi Minh City,Luanda,"{'Singapore': 0.01738773858826208, 'Dh': 0.06635476530894603, 'Hue': 0.0284117922478564, 'H': 0.07999661161641959, 'Ho': 0.7586937306132356}",Ho,True
2,"Someone doesn't like small cities. Between Shanghai and Maputo, this person should visit ->",Shanghai,Maputo,"{'Tokyo': 4.267121840626637e-06, 'Shanghai': 0.9998910897911475, 'China': 7.319393467947974e-05, 'Chinese': 2.021671325069894e-06, 'Chong': 2.0597187924629616e-05}",Shanghai,True
3,"Someone doesn't like small cities. Between Minneapolis and Ljubljana, this person should visit ->",Minneapolis,Ljubljana,"{'Minneapolis': 0.9990299211310262, 'L': 5.835316261087504e-05, 'innesota': 1.627261376957934e-05, 'Detroit': 8.398537285134101e-06, 'Minnesota': 0.0008578571192707926}",Minneapolis,True
4,"Someone doesn't like small cities. Between Cairo and Caracas, this person should visit ->",Cairo,Caracas,"{'Egyptian': 1.488301393015597e-05, 'Cairo': 0.9912381556573039, 'Egyptians': 9.501859012322625e-05, 'gypt': 9.145550391262027e-05, 'Egypt': 0.008540484839653696}",Cairo,True
5,"Someone doesn't like small cities. Between Minneapolis and Cabo San Lucas, this person should visit ->",Minneapolis,Cabo San Lucas,"{'Cab': 0.015346936521703807, 'Minneapolis': 0.9690254948139223, 'San': 0.0024223406391398307, 'C': 0.00870965324540791, 'Minnesota': 0.0020663882549931925}",Minneapolis,True
6,"Someone doesn't like small cities. Between Brasília and Upington, this person should visit ->",Brasília,Upington,"{'Rio': 0.002868028841455, 'Bras': 0.9967375741141842, 'Braz': 9.595147145352141e-05, 'bras': 9.593084410467846e-05, 'Brazil': 6.286512497066029e-05}",Bras,True
7,"Someone doesn't like small cities. Between Bangkok and Manila, this person should visit ->",Manila,Bangkok,"{'Tokyo': 0.0020933938046829113, 'Thailand': 0.00020999423080107736, 'Manila': 0.41813053939835687, 'Bangkok': 0.5784632446362399, 'Kuala': 0.0003659518831531854}",Bangkok,False
8,"Someone doesn't like small cities. Between Dar es Salaam and Manaus, this person should visit ->",Dar es Salaam,Manaus,"{'Man': 0.008940083945176742, 'Dh': 0.5676199422363114, 'ar': 0.021564267856576072, 'Kuala': 0.0036947972408936827, 'Dar': 0.38756635737916606}",Dh,True
9,"Someone doesn't like small cities. Between La Ceiba and Addis Ababa, this person should visit ->",Addis Ababa,La Ceiba,"{'Add': 0.9937952933881758, 'Ethiopia': 0.0011873432865324685, 'dd': 0.0019208912652484578, 'La': 0.0021085073476664984, 'Ethiopian': 0.0002906138929963306}",Add,True
10,"Someone doesn't like small cities. Between Bergen and Phoenix, this person should visit ->",Phoenix,Bergen,"{'Ph': 0.0002494113541231981, 'hoenix': 0.00319904004537985, 'Arizona': 5.920402668853757e-05, 'ph': 3.442514136116872e-06, 'Phoenix': 0.9964819276690653}",Phoenix,True
11,"Someone doesn't like small cities. Between Houston and Reykjavík, this person should visit ->",Houston,Reykjavík,"{'ouston': 0.002560254785134065, 'H': 3.255081992235719e-05, 'bigger': 3.323018195461211e-05, 'uston': 3.807868047626764e-05, 'Houston': 0.997185687224039}",Houston,True
12,"Someone doesn't like small cities. Between Saint Petersburg and Baku, this person should visit ->",Saint Petersburg,Baku,"{'Petersburg': 0.010760541502539089, 'Russia': 0.032374538949691764, 'St': 0.09564186847878374, 'Moscow': 0.060126458082371825, 'Saint': 0.7929174508932653}",Saint,True
13,"Someone doesn't like small cities. Between Changsha and Paris, this person should visit ->",Paris,Changsha,"{'Chang': 2.2228062295093103e-05, 'aris': 0.006365850083243424, 'Marse': 3.816212955449207e-06, 'France': 5.086924708529465e-05, 'Paris': 0.9935538332527658}",Paris,True
14,"Someone doesn't like small cities. Between Mumbai and Ndola, this person should visit ->",Mumbai,Ndola,"{'Dh': 4.808549430671548e-05, 'mbai': 2.9100534973114086e-05, 'Mumbai': 0.9992464668488074, 'omb': 1.0564090465511808e-05, 'Bombay': 0.0006354704291792535}",Mumbai,True
15,"Someone doesn't like small cities. Between Palembang and Alexandria, this person should visit ->",Alexandria,Palembang,"{'al': 0.027825600520636345, 'Alexandria': 0.03627651198119577, 'Pal': 0.6700784392112902, 'Ant': 0.16268875208480563, 'Kuala': 0.033547256244386946}",Pal,False
16,"Someone doesn't like small cities. Between Conakry and Ankara, this person should visit ->",Ankara,Conakry,"{'Erdogan': 0.00023793691082502131, 'Istanbul': 0.20754163683396534, 'Ankara': 0.7916422608948941, 'Anat': 6.776986031372145e-05, 'Turkey': 0.0003785325089013376}",Ankara,True
17,"Someone doesn't like small cities. Between Saint Petersburg and Milwaukee, this person should visit ->",Saint Petersburg,Milwaukee,"{'Petersburg': 0.006543480948422928, 'Russia': 0.02813346460513276, 'St': 0.05921408755176596, 'Moscow': 0.09273137558278712, 'Saint': 0.8054770728683908}",Saint,True
18,"Someone doesn't like small cities. Between Christchurch and Los Angeles, this person should visit ->",Los Angeles,Christchurch,"{'A': 1.1795947708580533e-05, 'os': 0.0016035634017690188, 'L': 0.00014289921019794855, 'Los': 0.9723402522704923, 'LA': 0.02589079704158039}",Los,True
19,"Someone doesn't like small cities. Between Ho Chi Minh City and Honolulu, this person should visit ->",Ho Chi Minh City,Honolulu,"{'Dh': 0.04294445682493791, 'o': 0.013718925171813286, 'Hue': 0.02073388418188342, 'H': 0.06666314683306983, 'Ho': 0.8107010595762496}",Ho,False
20,"Someone doesn't like small cities. Between Alexandria and Bogotá, this person should visit ->",Bogotá,Alexandria,"{'Colombia': 0.0017453686236365022, 'Bog': 0.9961833659329262, 'bog': 0.0002141302678224403, 'Alexandria': 0.0008433571704116645, 'Ant': 0.00017014322085155537}",Bog,True
21,"Someone doesn't like small cities. Between Shanghai and Melbourne, this person should visit ->",Shanghai,Melbourne,"{'Tokyo': 3.2810863045108728e-06, 'Shanghai': 0.9999273306405458, 'China': 5.509492231745648e-05, 'Chinese': 1.3243669318312224e-06, 'Chong': 7.853062302584416e-06}",Shanghai,True
22,"Someone doesn't like small cities. Between Bahía Blanca and Santiago, this person should visit ->",Santiago,Bahía Blanca,"{'Sant': 2.6692151155166415e-05, 'Rio': 6.749237651342165e-06, 'Chile': 6.329159614184279e-05, 'Salvador': 0.00016577369215800038, 'Santiago': 0.9997231853202554}",Santiago,True
23,"Someone doesn't like small cities. Between Algiers and Ankara, this person should visit ->",Ankara,Algiers,"{'Erdogan': 0.0001279915899140156, 'Istanbul': 0.17663661135191555, 'Ankara': 0.8228827952915151, 'ytes: \\xc4': 5.9096136969193974e-05, 'Turkey': 0.00020653018126417337}",Ankara,True
24,"Someone doesn't like small cities. Between Luanda and La Paz, this person should visit ->",Luanda,La Paz,"{'Rio': 0.013096490309186888, 'Salvador': 0.008492541256066787, 'La': 0.00916340907293145, 'Angola': 0.01901071331576161, 'Lu': 0.9202901483676112}",Lu,True
25,"Someone doesn't like small cities. Between Suwałki and Ankara, this person should visit ->",Ankara,Suwałki,"{'Erdogan': 0.00012633720444178598, 'Istanbul': 0.13770919498317064, 'Ankara': 0.8617016258023034, 'ytes: \\xc4': 5.6255148060049256e-05, 'Turkey': 0.00029768669011344016}",Ankara,True
26,"Someone doesn't like small cities. Between London and Fairbanks, this person should visit ->",London,Fairbanks,"{'City': 4.941107804411404e-06, 'ondon': 0.003164438336359238, 'London': 0.9967561720153894, 'Big': 4.764161090128758e-05, 'England': 7.458002059956907e-06}",London,True
27,"Someone doesn't like small cities. Between Moscow and Paramaribo, this person should visit ->",Moscow,Paramaribo,"{'Russians': 1.5415100145817556e-05, 'Russia': 0.0009330544487788176, 'oscow': 0.00017787117600506864, 'Putin': 1.5958259911310267e-05, 'Moscow': 0.998781309207512}",Moscow,True
28,"Someone doesn't like small cities. Between San Diego and Cape Town, this person should visit ->",San Diego,Cape Town,"{'an': 5.176556453872204e-06, 'San': 0.9999722719354299, 'SAN': 1.7158583739047616e-05, 'Padres': 1.838439397061904e-06, 'SD': 1.0099911394210834e-06}",San,True
29,"Someone doesn't like small cities. Between Mendoza and Brisbane, this person should visit ->",Brisbane,Mendoza,"{'Queensland': 0.0004716800322644966, 'Brisbane': 0.9154873706433738, 'Adelaide': 0.08035300408542496, 'Australia': 0.0009951630150539172, 'Buenos': 0.001120184360087986}",Brisbane,True
30,"Someone doesn't like small cities. Between Chicago and Medellín, this person should visit ->",Chicago,Medellín,"{'Med': 0.006580591789994034, 'hicago': 0.005433973742855787, 'Chicago': 0.9878742417637475, 'Chic': 2.3405512182186542e-05, 'bigger': 7.21226867092286e-06}",Chicago,True
31,"Someone doesn't like small cities. Between Jakarta and Saint Petersburg, this person should visit ->",Jakarta,Saint Petersburg,"{'Tokyo': 1.9170268399260758e-05, 'Indones': 5.659346719497984e-05, 'Indonesia': 0.005242553972801961, 'Indonesian': 8.67124655098412e-06, 'Jakarta': 0.994644182507248}",Jakarta,True
32,"Someone doesn't like small cities. Between Melbourne and Bucharest, this person should visit ->",Melbourne,Bucharest,"{'Melbourne': 0.8372913840362172, 'Romania': 0.00044789156377143114, 'Buch': 0.1617492471527343, 'Adelaide': 0.0002163169207304416, 'Australia': 9.188470255191105e-05}",Melbourne,True
33,"Someone doesn't like small cities. Between Antsiranana and Melbourne, this person should visit ->",Melbourne,Antsiranana,"{'Melbourne': 0.9608185178847308, 'el': 5.864565905567401e-05, 'Adelaide': 2.6190180697078816e-05, 'Ant': 0.03900716233884737, 'Australia': 7.434426672513385e-05}",Melbourne,True
34,"Someone doesn't like small cities. Between Sacramento and Santiago, this person should visit ->",Santiago,Sacramento,"{'Madrid': 0.00017242313758675335, 'Rio': 0.0003639829252797099, 'Sacramento': 0.2164651531330203, 'Salvador': 0.0007700280617110646, 'Santiago': 0.7818663038477122}",Santiago,True
35,"Someone doesn't like small cities. Between Chicago and Irkutsk, this person should visit ->",Chicago,Irkutsk,"{'Bears': 2.4414679200010213e-05, 'hicago': 0.005013444876872012, 'cago': 7.668142931217512e-05, 'Chicago': 0.994318384773098, 'Detroit': 0.0005171327223797625}",Chicago,True
36,"Someone doesn't like small cities. Between Bangkok and Port Sudan, this person should visit ->",Bangkok,Port Sudan,"{'Tokyo': 3.070119435672557e-05, 'Thailand': 0.000336697889502747, 'Thai': 0.0001505629934828303, 'Bangkok': 0.999364603110154, 'ang': 7.913818945634457e-05}",Bangkok,True
37,"Someone doesn't like small cities. Between Douala and Ankara, this person should visit ->",Ankara,Douala,"{'Erdogan': 0.00016930461667504903, 'Istanbul': 0.47011769534459247, 'Ankara': 0.529400947197576, 'ytes: \\xc4': 5.3302197433335216e-05, 'Turkey': 0.00014959274344261545}",Ankara,True
38,"Someone doesn't like small cities. Between Kampala and Cairo, this person should visit ->",Cairo,Kampala,"{'Egyptian': 3.139948708676129e-05, 'Cairo': 0.9937680541306343, 'Egyptians': 0.00014702836950143417, 'gypt': 8.049367081877423e-05, 'Egypt': 0.005951419597898859}",Cairo,True
39,"Someone doesn't like small cities. Between Kabul and Juba, this person should visit ->",Kabul,Juba,"{'Tehran': 0.004486899725591932, 'Kabul': 0.9463775150504248, 'Afghans': 9.718492024946236e-05, 'Afghan': 0.00020745813451989153, 'Afghanistan': 0.04838344351099881}",Kabul,True
40,"Someone doesn't like small cities. Between Saint Petersburg and Lake Havasu City, this person should visit ->",Saint Petersburg,Lake Havasu City,"{'Petersburg': 0.0029192621003409944, 'Russia': 0.006988798681170216, 'St': 0.04556333239863277, 'Moscow': 0.016515428076649807, 'Saint': 0.9238312258782566}",Saint,True
41,"Someone doesn't like small cities. Between Belize City and Perth, this person should visit ->",Perth,Belize City,"{'el': 4.363164736101842e-07, 'Adelaide': 2.6634669823490435e-07, 'Perth': 0.0018003413377042279, 'Bel': 0.9981989117096776, 'Australia': 8.803969892908367e-08}",Bel,False
42,"Someone doesn't like small cities. Between Shanghai and Rangpur, this person should visit ->",Shanghai,Rangpur,"{'Tokyo': 3.2298592420240468e-06, 'Shanghai': 0.9999294743670494, 'China': 5.5176633525380635e-05, 'S': 1.89409576912271e-06, 'Chong': 4.644025514803448e-06}",Shanghai,True
43,"Someone doesn't like small cities. Between Melbourne and Paris, this person should visit ->",Paris,Melbourne,"{'Melbourne': 0.000686792739835021, 'aris': 0.0024153139507894906, 'Marse': 7.400263132058874e-06, 'France': 9.519520357992603e-05, 'Paris': 0.9967799539046024}",Paris,True
44,"Someone doesn't like small cities. Between Baghdad and Lomé, this person should visit ->",Baghdad,Lomé,"{'Iraqi': 0.0002087938826579824, 'Baghdad': 0.9888321516302959, 'Saddam': 7.263671846560302e-05, 'Iraqis': 0.00011484513377412444, 'Iraq': 0.010614842727487823}",Baghdad,True
45,"Someone doesn't like small cities. Between Nur-Sultan and Jakarta, this person should visit ->",Jakarta,Nur-Sultan,"{'Indones': 0.0001667036287996905, 'Indonesia': 0.004428778351994263, 'Indonesian': 9.954518393211038e-06, 'Jakarta': 0.9953779214344194, 'Java': 5.720633539797518e-06}",Jakarta,True
46,"Someone doesn't like small cities. Between Wellington and Dar es Salaam, this person should visit ->",Dar es Salaam,Wellington,"{'Tai': 0.0015980821898711718, 'Dh': 0.8999518959776434, 'ar': 0.01086822374636238, 'Kuala': 0.003484950983016948, 'Dar': 0.07881207955668869}",Dh,True
47,"Someone doesn't like small cities. Between Bishkek and Ho Chi Minh City, this person should visit ->",Ho Chi Minh City,Bishkek,"{'Singapore': 0.010442611334277813, 'Dh': 0.010541599417399855, 'HC': 0.007772534323679571, 'H': 0.2027739027926606, 'Ho': 0.7420429673585673}",Ho,True
48,"Someone doesn't like small cities. Between La Paz and Kano, this person should visit ->",Kano,La Paz,"{'Lag': 2.7312286365260366e-06, 'Jos': 2.8684693442303264e-06, '': 1.1417115144109173e-05, 'La': 1.4941335370874148e-05, 'K': 0.9999508133167045}",K,True
49,"Someone doesn't like small cities. Between Santiago and Aden, this person should visit ->",Santiago,Aden,"{'Sant': 9.576427000569422e-06, 'Rio': 1.9156240897484483e-05, 'Chile': 9.663418474485536e-05, 'Salvador': 1.6685791651301317e-05, 'Santiago': 0.9998341055420077}",Santiago,True
50,"Someone doesn't like small cities. Between Chihuahua and Hanoi, this person should visit ->",Hanoi,Chihuahua,"{'HC': 5.932957577243214e-09, 'Hue': 2.643306892132774e-08, 'H': 0.999997306321628, '': 1.9120666082214456e-07, 'Ch': 2.533550194276359e-06}",H,True
51,"Someone doesn't like small cities. Between Melbourne and Villahermosa, this person should visit ->",Melbourne,Villahermosa,"{'Melbourne': 0.9994858990552005, 'el': 0.0003482412748115468, 'Villa': 4.593735212702211e-05, 'Adelaide': 2.5111867871666718e-05, 'Australia': 6.610256546393244e-05}",Melbourne,True
52,"Someone doesn't like small cities. Between Saskatoon and Johannesburg, this person should visit ->",Johannesburg,Saskatoon,"{'SA': 2.3990373625729564e-06, 'Jos': 4.397431225109641e-06, 'South': 5.644820872137876e-05, 'Johannes': 0.9999114743386276, 'Africa': 4.314021613182532e-06}",Johannes,True
53,"Someone doesn't like small cities. Between Córdoba and Surabaya, this person should visit ->",Surabaya,Córdoba,"{'Singapore': 0.07186650343001248, 'Dh': 0.006844615460356379, 'Sur': 0.8483093162246506, 'Kuala': 0.046767675927563146, 'Jakarta': 0.008609551951929091}",Sur,True
54,"Someone doesn't like small cities. Between Riyadh and Wau, this person should visit ->",Riyadh,Wau,"{'Dh': 0.0002603395024714596, 'Saudis': 0.0036828171123562442, 'audi': 0.00018414298679427933, 'Riyadh': 0.9865479169676448, 'Saudi': 0.009021830748830886}",Riyadh,True
55,"Someone doesn't like small cities. Between Ho Chi Minh City and Palembang, this person should visit ->",Ho Chi Minh City,Palembang,"{'Singapore': 0.01334739025183282, 'Dh': 0.038548310736414286, 'Hue': 0.013387342606875938, 'H': 0.05226536836488572, 'Ho': 0.8405490329503613}",Ho,True
56,"Someone doesn't like small cities. Between Cayenne and Harare, this person should visit ->",Harare,Cayenne,"{'ar': 1.3937968332091457e-06, 'Har': 0.9999666674255426, 'Zimbabwe': 3.0425727747037543e-05, 'Bel': 2.1015993518017778e-07, 'HAR': 9.118767486764247e-07}",Har,True
57,"Someone doesn't like small cities. Between Moscow and Rangpur, this person should visit ->",Moscow,Rangpur,"{'Russians': 1.3583204386621917e-05, 'Russia': 0.0018791395369978136, 'Russian': 2.0403950987683788e-05, 'oscow': 0.00010090258616115767, 'Moscow': 0.9979166843208319}",Moscow,True
58,"Someone doesn't like small cities. Between Toliara and Baghdad, this person should visit ->",Baghdad,Toliara,"{'Iraqi': 0.00033428654955572134, 'Baghdad': 0.9901065662200899, 'Saddam': 0.00016640998922146186, 'T': 0.001982822984389659, 'Iraq': 0.007257375622506079}",Baghdad,True
59,"Someone doesn't like small cities. Between Yaoundé and Reykjavík, this person should visit ->",Yaoundé,Reykjavík,"{'Tai': 0.0027437463813824348, 'Barcelona': 0.0015033739451324856, 'Rio': 0.0022691190647793034, 'Edmonton': 0.0069202270444442765, 'Ya': 0.9780114093630291}",Ya,True
60,"Someone doesn't like small cities. Between Alexandria and Brisbane, this person should visit ->",Alexandria,Brisbane,"{'lex': 0.0029241951457762826, 'Queensland': 0.0015926558664270847, 'Brisbane': 0.33089906158698806, 'Alexandria': 0.6551669764218953, 'Australia': 0.0020829954521979425}",Alexandria,True
61,"Someone doesn't like small cities. Between Tampa and Manila, this person should visit ->",Manila,Tampa,"{'Tokyo': 1.4230400521260036e-05, 'Philippines': 4.1215712621715893e-05, 'Duterte': 5.972875471535551e-05, 'Philippine': 7.128220029044104e-06, 'Manila': 0.9998683227302128}",Manila,True
62,"Someone doesn't like small cities. Between Tirana and Houston, this person should visit ->",Houston,Tirana,"{'Barcelona': 0.00011784480629785228, 'ouston': 0.009484184093614522, 'H': 0.00016700396555351766, 'bigger': 6.745795790410272e-05, 'Houston': 0.9899089745298877}",Houston,True
63,"Someone doesn't like small cities. Between Suva and Toronto, this person should visit ->",Toronto,Suva,"{'Ontario': 3.754434410961652e-07, 'GTA': 2.495933109222366e-07, 'oronto': 0.00040994088155162144, 'Tor': 6.01520632725169e-07, 'Toronto': 0.9995878822138735}",Toronto,True
64,"Someone doesn't like small cities. Between Ürümqi and Tabora, this person should visit ->",Ürümqi,Tabora,"{'Tehran': 9.423941930065754e-05, 'Istanbul': 0.0004291334135872255, 'T': 0.003920917878149684, 'ytes: \\xc4': 0.0018137377640591312, 'Ü': 0.9933713833485329}",Ü,True
65,"Someone doesn't like small cities. Between Los Angeles and Surabaya, this person should visit ->",Los Angeles,Surabaya,"{'os': 0.005781672374495788, 'L': 0.001989763682121819, 'Kuala': 0.0024115441753594404, 'Los': 0.9093521646276006, 'LA': 0.07887393977890061}",Los,True
66,"Someone doesn't like small cities. Between Bangkok and La Paz, this person should visit ->",Bangkok,La Paz,"{'Tokyo': 2.2161411550202476e-05, 'Thailand': 0.0004642402312296087, 'Thai': 0.00014689595660148246, 'Bangkok': 0.9992692347390851, 'ang': 5.8504025156469356e-05}",Bangkok,True
67,"Someone doesn't like small cities. Between Brussels and Alexandria, this person should visit ->",Alexandria,Brussels,"{'Brussels': 0.5398723803715798, 'Alexand': 0.008673348030880585, 'Cairo': 0.0066945300264184176, 'Istanbul': 0.003776759168224483, 'Alexandria': 0.4282961985806057}",Brussels,False
68,"Someone doesn't like small cities. Between Quito and Mumbai, this person should visit ->",Mumbai,Quito,"{'Dh': 8.289680806518055e-05, 'mbai': 1.4858061173998507e-05, 'Mumbai': 0.9991866222111956, 'Maharashtra': 1.2537291937854535e-05, 'Bombay': 0.0006728982018588369}",Mumbai,True
69,"Someone doesn't like small cities. Between Paris and Oslo, this person should visit ->",Paris,Oslo,"{'Stockholm': 2.059483997904165e-05, 'Oslo': 0.0006208160721583863, 'aris': 0.003930202215889074, 'France': 2.339442059832526e-05, 'Paris': 0.9953738676665512}",Paris,True
70,"Someone doesn't like small cities. Between Antofagasta and Nairobi, this person should visit ->",Nairobi,Antofagasta,"{'Rio': 0.06566322181226616, 'Kenya': 0.000939792454653856, 'Ant': 0.3061679106228499, 'N': 0.6266133219483859, 'bigger': 0.0001081950436394373}",N,True
71,"Someone doesn't like small cities. Between Gabès and Baltimore, this person should visit ->",Baltimore,Gabès,"{'Baltimore': 0.9919256957306499, 'Maryland': 0.00017480019136115313, 'Gab': 0.00018638334696880054, 'altimore': 0.007405465280114803, 'Detroit': 0.0001163008720718016}",Baltimore,True
72,"Someone doesn't like small cities. Between Ankara and Cabo San Lucas, this person should visit ->",Ankara,Cabo San Lucas,"{'Erdogan': 0.00011722434271993421, 'Istanbul': 0.15318267738013386, 'Ankara': 0.8462507994998484, 'ytes: \\xc4': 5.423912752039217e-05, 'Turkey': 0.0003062049221251605}",Ankara,True
73,"Someone doesn't like small cities. Between Santiago and Beirut, this person should visit ->",Santiago,Beirut,"{'Sant': 0.00027477197117442646, 'Rio': 0.0002835817830587713, 'Salvador': 0.005608729812317085, 'Santiago': 0.31242932355773567, 'Beirut': 0.6800046517680605}",Beirut,False
74,"Someone doesn't like small cities. Between Djibouti and Alexandria, this person should visit ->",Alexandria,Djibouti,"{'lex': 0.003407319047450985, 'Dj': 0.027480187184174637, 'Dh': 0.016734522127498933, 'Alexand': 0.003741693359893931, 'Alexandria': 0.9397353931449651}",Alexandria,True
75,"Someone doesn't like small cities. Between Melbourne and Tashkent, this person should visit ->",Melbourne,Tashkent,"{'Tehran': 3.970628779765082e-05, 'Istanbul': 6.705114262424975e-06, 'T': 0.9999329330540881, 'Uzbek': 6.442499319800187e-06, 'bigger': 2.245693894762752e-06}",T,False
76,"Someone doesn't like small cities. Between Lviv and Manila, this person should visit ->",Manila,Lviv,"{'Philippines': 6.787661406701909e-05, 'Man': 2.618753805769194e-06, 'Duterte': 4.6976644748719785e-05, 'Philippine': 2.45084647520826e-05, 'Manila': 0.9998499624867536}",Manila,True
