,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Guangzhou and Antofagasta, this person should visit ->",Antofagasta,Guangzhou,"{'nt': 2.1913976967852864e-06, 'small': 4.899815988079749e-07, 'Ant': 0.9999942078467746, '0': 3.8291569097503855e-07, 'Anton': 2.956489695668111e-07}",Ant,True
1,"Someone is looking for a small city to visit. Between Tashkent and Suwałki, this person should visit ->",Suwałki,Tashkent,"{'SU': 1.0739521746458046e-05, 'Su': 0.9998420949783104, 'T': 3.3552204124436565e-05, 'su': 3.754276378902391e-06, 'u': 9.788101006708564e-05}",Su,True
2,"Someone is looking for a small city to visit. Between Buenos Aires and Porto Alegre, this person should visit ->",Porto Alegre,Buenos Aires,"{'ort': 9.808383360786598e-05, 'small': 1.4940140111855468e-05, 'Monte': 1.729771752734943e-05, 'Ports': 8.238576366708907e-06, 'Port': 0.9998175365384826}",Port,True
3,"Someone is looking for a small city to visit. Between Guadalajara and Lhasa, this person should visit ->",Lhasa,Guadalajara,"{'Gu': 0.0033821996402986173, 'L': 0.9963170602206949, '': 4.344394810819248e-05, 'Lod': 3.4035890063113465e-05, 'Ch': 5.5882851270140016e-05}",L,True
4,"Someone is looking for a small city to visit. Between Saint Petersburg and Upington, this person should visit ->",Upington,Saint Petersburg,"{'UP': 2.1172232977303624e-05, 'Up': 0.9997323637209804, 'Ups': 2.9412523645035728e-05, 'p': 0.00012390133432707003, '0': 3.305135480234802e-05}",Up,True
5,"Someone is looking for a small city to visit. Between Fukuoka and Ségou, this person should visit ->",Ségou,Fukuoka,"{'Se': 0.0006900220530097577, 'small': 8.963192460935332e-05, 'S': 0.9978471229712388, 'Seg': 0.0009347070437161202, 'Sek': 8.550600077341416e-05}",S,True
6,"Someone is looking for a small city to visit. Between Los Angeles and Murmansk, this person should visit ->",Murmansk,Los Angeles,"{'small': 0.00014969599805433537, 'ur': 0.0008032596872279558, '1': 8.581437712057685e-05, 'Mur': 0.9985154744997364, '0': 0.00012630044566395513}",Mur,True
7,"Someone is looking for a small city to visit. Between Harare and Entebbe, this person should visit ->",Entebbe,Harare,"{'nt': 0.0007959092389821747, 'Har': 5.0627887354550354e-05, 'ENT': 7.517318297377649e-05, 'Ent': 0.9988353139738598, 'ent': 0.00016025904831714146}",Ent,True
8,"Someone is looking for a small city to visit. Between Kabul and Lviv, this person should visit ->",Lviv,Kabul,"{'Lv': 0.9936663665517301, 'LV': 2.272045358913701e-05, 'v': 2.1709599976833567e-05, 'L': 1.9879887812225186e-05}",Lv,True
9,"Someone is looking for a small city to visit. Between Kuwait City and Canberra, this person should visit ->",Canberra,Kuwait City,"{'small': 8.249135978392618e-05, 'Can': 9.176074189573537e-05, 'Canberra': 0.9992781144848124, 'an': 7.604855804931509e-05, 'New': 8.403501506207705e-05}",Canberra,True
10,"Someone is looking for a small city to visit. Between Jakarta and Changsha, this person should visit ->",Changsha,Jakarta,"{'small': 0.002742933255466207, 'Chang': 0.969229939088949, 'Chandler': 0.00028077076625803306, 'Ch': 0.025409801336504743, '0': 0.0007064281920502334}",Chang,True
11,"Someone is looking for a small city to visit. Between Bogotá and Pretoria, this person should visit ->",Pretoria,Bogotá,"{'small': 2.4751414798540553e-06, 'pret': 3.274380064754539e-06, 'T': 3.689682699169687e-05, 'Pret': 0.9999186271909466, 'ret': 1.5163565713962597e-05}",Pret,True
12,"Someone is looking for a small city to visit. Between Manila and Toamasina, this person should visit ->",Toamasina,Manila,"{'Tam': 0.0009537111596708326, 'To': 0.9980970461170371, 'o': 0.00024614863430452835, 'to': 0.00011790480457252333, 'T': 0.00047630983577155283}",To,True
13,"Someone is looking for a small city to visit. Between Nairobi and Antofagasta, this person should visit ->",Antofagasta,Nairobi,"{'nt': 2.050522334401999e-06, 'small': 4.124487010483772e-07, 'Ant': 0.9998641481686958, 'N': 0.00012982047804471923, 'Anton': 4.158284672755005e-07}",Ant,True
14,"Someone is looking for a small city to visit. Between Melbourne and Amsterdam, this person should visit ->",Amsterdam,Melbourne,"{'small': 0.0004390088436953933, 'Melbourne': 0.7705692280828503, 'Holland': 0.0006324752301168741, 'Amsterdam': 0.21852898910442778, 'Adelaide': 0.007455807649602183}",Melbourne,False
15,"Someone is looking for a small city to visit. Between Kabul and Upington, this person should visit ->",Upington,Kabul,"{'UP': 2.1016998401005648e-05, 'Up': 0.9994136561667698, 'Ups': 3.636641042052128e-05, 'p': 0.00034657659859468, '0': 6.357012059341881e-05}",Up,True
16,"Someone is looking for a small city to visit. Between Rome and Belize City, this person should visit ->",Belize City,Rome,"{'Bl': 5.108360263598041e-05, 'small': 5.079084175732067e-05, '1': 7.972582476482465e-05, 'Bel': 0.9993794441844537, '0': 0.00017067660344111558}",Bel,True
17,"Someone is looking for a small city to visit. Between Santiago and Thiès, this person should visit ->",Thiès,Santiago,"{'th': 6.737149852701698e-05, 'T': 0.00022787393467899142, 'St': 7.044255521059079e-05, 'Th': 0.998579070277963, 'h': 0.0007470338942740321}",Th,True
18,"Someone is looking for a small city to visit. Between Johannesburg and Podgorica, this person should visit ->",Podgorica,Johannesburg,"{'Pod': 0.9976171079056018, 'pod': 0.00013500577535952179, 'od': 0.001858121217255109, '0': 6.615851189631897e-05}",Pod,True
19,"Someone is looking for a small city to visit. Between Hanoi and Abéché, this person should visit ->",Abéché,Hanoi,"{'Ab': 0.9996882552225045, 'A': 1.401677123438159e-05, 'H': 3.3119875086407335e-05, 'ab': 2.9094686353390446e-05, 'b': 0.00014741025618481154}",Ab,True
20,"Someone is looking for a small city to visit. Between Berlin and Christchurch, this person should visit ->",Christchurch,Berlin,"{'hrist': 0.00021577378300191108, 'Christ': 0.9997231853202554, 'Canterbury': 4.256041338434605e-05, 'CHRIST': 5.330641343044509e-06, 'Ch': 9.605026526585387e-06}",Christ,True
21,"Someone is looking for a small city to visit. Between Jakarta and San José, this person should visit ->",San José,Jakarta,"{'an': 3.2820087245207596e-07, 'Jos': 1.0094761752669995e-06, 'San': 0.9999961161145423, 'SJ': 1.0419756327326084e-06, 'Jose': 3.8162820027921223e-07}",San,True
22,"Someone is looking for a small city to visit. Between Guadalajara and Irkutsk, this person should visit ->",Irkutsk,Guadalajara,"{'small': 4.619864912604802e-05, 'Gu': 6.759510424156807e-05, 'r': 0.0003631968442550376, 'ir': 4.3458808479424104e-05, 'Ir': 0.9993772978894827}",Ir,True
23,"Someone is looking for a small city to visit. Between Kuwait City and Bata, this person should visit ->",Bata,Kuwait City,"{'small': 5.0465081968725815e-06, 'Kuwait': 5.160608324915696e-05, 'B': 0.9918013586946319, 'K': 2.066151018286785e-05, 'Bat': 0.008110403976093665}",B,True
24,"Someone is looking for a small city to visit. Between London and Copenhagen, this person should visit ->",Copenhagen,London,"{'Denmark': 0.003134600641791568, 'Danish': 0.0001585022134119946, 'Edinburgh': 6.905122068421423e-05, 'Copenhagen': 0.9954883697189736, 'C': 0.0008015322096577879}",Copenhagen,True
25,"Someone is looking for a small city to visit. Between Luanda and Pretoria, this person should visit ->",Pretoria,Luanda,"{'small': 3.759043579776432e-06, 'pret': 6.387171706486875e-06, 'T': 2.8070762604623886e-05, 'Pret': 0.9998953799090634, 'ret': 2.7633299744792085e-05}",Pret,True
26,"Someone is looking for a small city to visit. Between Perth and Toliara, this person should visit ->",Toliara,Perth,"{'Tam': 3.525857108179227e-06, 'T': 0.9999735813249794, 'O': 4.153961918422563e-06, '': 2.8864404303134017e-06, '0': 2.9486709929130245e-06}",T,True
27,"Someone is looking for a small city to visit. Between Riyadh and Oslo, this person should visit ->",Oslo,Riyadh,"{'Norway': 0.00062238374629853, 's': 0.0009858986477240016, 'Oslo': 0.9329571838722256, 'O': 0.06236153000843326, '0': 0.0010798890225759265}",Oslo,True
28,"Someone is looking for a small city to visit. Between Luanda and Chihuahua, this person should visit ->",Chihuahua,Luanda,"{'small': 7.049189537234369e-07, 'h': 6.29926935300518e-07, 'Chi': 9.885486297970237e-07, 'Lu': 1.7708108658187198e-06, 'Ch': 0.9999938483514215}",Ch,True
29,"Someone is looking for a small city to visit. Between Dar es Salaam and Porto Alegre, this person should visit ->",Porto Alegre,Dar es Salaam,"{'ort': 0.00013760476550970835, 'small': 0.00022100129427847121, 'Monte': 4.1309956895334346e-05, 'Port': 0.9978091546127342, 'Dar': 0.0013913204760747813}",Port,True
30,"Someone is looking for a small city to visit. Between Luanda and Cabo San Lucas, this person should visit ->",Cabo San Lucas,Luanda,"{'small': 0.00020845570194371417, 'Cab': 0.9900284805846271, 'cab': 0.0005059092260136489, 'San': 0.008651934858396975, 'C': 9.98762138759254e-05}",Cab,True
31,"Someone is looking for a small city to visit. Between Jakarta and Manaus, this person should visit ->",Manaus,Jakarta,"{'small': 2.455603733465439e-07, 'MAN': 2.7014931831956947e-07, 'Man': 0.9999899154288496, 'M': 8.747942745837399e-06, 'an': 2.1360955451185967e-07}",Man,True
32,"Someone is looking for a small city to visit. Between Buenos Aires and Brasília, this person should visit ->",Brasília,Buenos Aires,"{'small': 0.000968873598390202, 'Br': 0.019233183201138735, 'B': 0.0014315449976566804, 'Bras': 0.963760775849799, 'Braz': 0.00996520254384606}",Bras,True
33,"Someone is looking for a small city to visit. Between Rome and Antsiranana, this person should visit ->",Antsiranana,Rome,"{'An': 1.8200929258857697e-06, 'nt': 9.716968148707791e-07, 'ants': 5.378653967512605e-07, 'AN': 1.8332045542453919e-06, 'Ant': 0.9999924159807588}",Ant,True
34,"Someone is looking for a small city to visit. Between Ho Chi Minh City and Port Moresby, this person should visit ->",Port Moresby,Ho Chi Minh City,"{'ort': 0.00010795090689213263, 'M': 0.005695009579470693, 'P': 2.607358043943704e-05, 'Port': 0.9941064290285585, 'Hon': 8.171982683623071e-06}",Port,True
35,"Someone is looking for a small city to visit. Between Ürümqi and Mexicali, this person should visit ->",Mexicali,Ürümqi,"{'ex': 0.0023648833067744586, 'M': 0.0012317738426491482, 'Mé': 0.00044658937933438736, 'Mex': 0.9931573453081243, 'Ü': 0.000337356136752841}",Mex,True
36,"Someone is looking for a small city to visit. Between London and San José, this person should visit ->",San José,London,"{'an': 2.1016750107402946e-07, 'Jos': 2.840416371068984e-07, 'San': 0.99999813984753, 'SJ': 6.040915969076609e-07, 'José': 2.336917260918216e-07}",San,True
37,"Someone is looking for a small city to visit. Between Guadalajara and Indianapolis, this person should visit ->",Indianapolis,Guadalajara,"{'Indiana': 0.004448192255761403, 'Indianapolis': 0.9637781208085601, 'Gu': 0.012754450620670243, 'Colts': 0.0005456995545846099, 'Indy': 0.01735954117692226}",Indianapolis,True
38,"Someone is looking for a small city to visit. Between Kano and Malabo, this person should visit ->",Malabo,Kano,"{'al': 0.00047548415469194955, 'M': 0.0002580546948417164, 'Mal': 0.9983279564250089, 'K': 0.0004904005754073877, 'mal': 7.884796920933171e-05}",Mal,True
39,"Someone is looking for a small city to visit. Between Mexico City and Minsk, this person should visit ->",Minsk,Mexico City,"{'Mi': 4.619972889239316e-09, 'small': 1.583042683089108e-08, 'Belarus': 2.1541640661279217e-08, 'M': 0.9999999317236823, '': 1.424301689220682e-07}",M,False
40,"Someone is looking for a small city to visit. Between Sydney and Piura, this person should visit ->",Piura,Sydney,"{'Pir': 5.428541323421748e-05, 'Pi': 0.9989852808759857, 'PI': 0.00020383096714886854, 'P': 0.00010908196345624051, 'i': 0.0005111594403944895}",Pi,True
41,"Someone is looking for a small city to visit. Between Lagos and Asmara, this person should visit ->",Asmara,Lagos,"{'As': 0.9999782312849419, 'small': 3.886553017158171e-07, 's': 1.099343911713707e-06, 'Ass': 5.038490624498692e-06, 'Ash': 1.45377549917234e-05}",As,True
