,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like restaurants further away. Between Kairali - Taste of Kerala and Mirage Grill & Lounge, I should go to ->",Kairali - Taste of Kerala,Mirage Grill & Lounge,"{'Miranda': 2.144009649616442e-08, 'Mirage': 4.478505804305983e-05, '': 1.5867354729702638e-08, 'K': 0.9999521254940208}",K,True
1,"I don't like restaurants further away. Between Thai 4 You Restaurant and Nutella Cafe by Pusateri's, I should go to ->",Thai 4 You Restaurant,Nutella Cafe by Pusateri's,"{'Nut': 0.0001424385328121274, 'Thai': 0.05093564020298771, 'P': 0.948906547434889, 'Chinese': 4.866288628551638e-06, '': 4.5925552015256275e-06}",P,True
2,"I don't like restaurants further away. Between Freshii and Fit For Life, I should go to ->",Fit For Life,Freshii,"{'Fresh': 0.9961495102203649, 'Fit': 0.003784193850932075, 'it': 4.734170208720331e-05, 'resh': 1.2210870235777096e-05, 'fit': 2.0421324039412876e-06}",Fresh,False
3,"I don't like restaurants further away. Between Milo's Pita and Druxy's Famous Deli, I should go to ->",Milo's Pita,Druxy's Famous Deli,"{'Nik': 4.585442254920953e-06, 'Dru': 0.9734302377611252, 'Milo': 0.02430979313868142, 'dru': 0.002226913796072738, 'Yiannopoulos': 6.163609464453677e-06}",Dru,False
4,"I don't like restaurants further away. Between Bagel Nash and Kibo Sushi House, I should go to ->",Kibo Sushi House,Bagel Nash,"{'Bag': 0.0022974425717976056, 'ag': 1.5025101622398348e-07, '': 7.788767649966375e-07, 'K': 0.9977015083865317, 'bag': 1.0601184540224748e-07}",K,True
5,"I don't like restaurants further away. Between Lahore Grill & Fast Food and LCBO, I should go to ->",Lahore Grill & Fast Food,LCBO,"{'LC': 0.9980498977250765, 'Lah': 0.0004388332752739403, 'L': 3.6347432108052264e-05, 'C': 0.0014630594823184673, 'Beach': 3.762386855384676e-06}",LC,False
6,"I don't like restaurants further away. Between Edible Arrangements and It's All Grk, I should go to ->",It's All Grk,Edible Arrangements,"{'Ed': 0.9898462697420568, 'Andrea': 0.00010003404299092957, 'Restaurant': 6.769826541593902e-05, 'It': 0.007945611621643731, 'd': 0.001679196959740375}",Ed,False
7,"I don't like restaurants further away. Between Domino's Pizza and Breakfast Room, I should go to ->",Breakfast Room,Domino's Pizza,"{'breakfast': 0.0009505141587874736, 'Breakfast': 0.9954774646018093, 'The': 0.0025249788311321425, 'Beach': 0.00020628579423522726, 'Dom': 0.00042434277403816714}",Breakfast,True
8,"I don't like restaurants further away. Between La Pupusa Loka and Pizzeria Via Mercanti, I should go to ->",La Pupusa Loka,Pizzeria Via Mercanti,"{'Pizza': 6.033274691650273e-10, 'P': 1.0, 'L': 7.607904989632125e-09, 'La': 1.5653349661157385e-09, '': 1.9936173331142997e-08}",P,False
9,"I don't like restaurants further away. Between LCBO and Sheriff Broaster Chicken, I should go to ->",Sheriff Broaster Chicken,LCBO,"{'Sheriff': 0.0031682702578619206, 'LC': 0.9951806878310172, 'her': 5.814173002955523e-06, 'L': 1.2015404777459929e-05, 'C': 0.0016127862591432114}",LC,False
10,"I don't like restaurants further away. Between Nutella Cafe by Pusateri's and JJ Bean, I should go to ->",JJ Bean,Nutella Cafe by Pusateri's,"{'Nut': 0.01680019139631537, 'J': 0.0006540446085769078, 'P': 0.8958345742553621, 'JJ': 0.08643842225476706, 'ut': 0.00021119070869949532}",P,True
11,"I don't like restaurants further away. Between Galata Cafe and Supermodel Pizza, I should go to ->",Supermodel Pizza,Galata Cafe,"{'uper': 0.009218623016668412, 'al': 0.014758287346163065, 'Super': 0.6645934756947924, 'Gal': 0.3097113946929384, 'gal': 0.00039993720927137725}",Super,True
12,"I don't like restaurants further away. Between Oxygen Restaurant & Lounge and Assembly Chef's Hall, I should go to ->",Oxygen Restaurant & Lounge,Assembly Chef's Hall,"{'Assembly': 0.7626757540089641, 'assembly': 0.0009096410380099403, 'xy': 0.000803357289209154, 'Oxy': 0.23434370886809974, 'ssembly': 0.0007038910305059454}",Assembly,False
13,"I don't like restaurants further away. Between Mamma's Pizza and To-ne Sushi, I should go to ->",Mamma's Pizza,To-ne Sushi,"{'Mom': 7.114375568245675e-05, 'To': 3.835379799434608e-05, 'Mam': 0.9993212696817002, 'Mama': 0.00026873951318250207, 'Beach': 8.709718446012438e-05}",Mam,True
14,"I don't like restaurants further away. Between Assembly Chef's Hall and Tik Talk Cafe, I should go to ->",Tik Talk Cafe,Assembly Chef's Hall,"{'Assembly': 0.035700245980864034, 'assembly': 0.0002892624935241314, 'Nik': 0.0007315499905923423, 'Tik': 0.9630524282873192, 'ssembly': 0.00016750606473189955}",Tik,True
15,"I don't like restaurants further away. Between Green Grotto and 9 Restaurant, I should go to ->",Green Grotto,9 Restaurant,"{'reen': 0.002209210648231016, '': 0.0017238760604761179, 'Green': 0.7845000524117013, 'GREEN': 0.00010942622281887687, '9': 0.21123758155737704}",Green,True
16,"I don't like restaurants further away. Between Delicious Paradise Kitchen and Mt Everest Restaurant, I should go to ->",Delicious Paradise Kitchen,Mt Everest Restaurant,"{'Nik': 0.000748452661944271, 'delicious': 0.0016024118155204973, 'Mt': 0.7363525402719501, 'Delicious': 0.2591257535952082, 'Mount': 0.0004600681165441537}",Mt,False
17,"I don't like restaurants further away. Between Kim PO Vietnamese and Smoke's Weinerie, I should go to ->",Kim PO Vietnamese,Smoke's Weinerie,"{'Nik': 0.03123020323573098, 'Smoke': 0.02770127051148727, 'im': 0.026066500364443943, 'Kim': 0.9121668829106452, 'Beach': 0.0014144531344628388}",Kim,True
18,"I don't like restaurants further away. Between Chick Fiesta and Domino's Pizza, I should go to ->",Chick Fiesta,Domino's Pizza,"{'Chicken': 3.672323121618289e-05, 'chick': 0.00030290116311735784, 'om': 8.959474340977914e-06, 'Chick': 0.9982390837355507, 'Dom': 0.0013900985987538102}",Chick,True
19,"I don't like restaurants further away. Between Amaya Express and z-teca Gourmet Burritos, I should go to ->",Amaya Express,z-teca Gourmet Burritos,"{'Z': 0.6289475827593841, 'Am': 0.00019930963255035527, 'z': 0.37084173414214056, 'm': 5.632951545433616e-06, '': 3.0942778716637202e-06}",Z,False
20,"I don't like restaurants further away. Between Galata Cafe and Tian An Cuisine, I should go to ->",Tian An Cuisine,Galata Cafe,"{'Nik': 5.352712624195405e-05, 'Fl': 0.00010621990896631471, 'Tian': 0.9298286938156513, 'al': 0.0020057043162154324, 'Gal': 0.06773158935425579}",Tian,True
21,"I don't like restaurants further away. Between Falafel House and Dangerous Dan's Diner, I should go to ->",Dangerous Dan's Diner,Falafel House,"{'Fl': 0.00022834018534732782, 'Danger': 5.464597481186808e-05, 'Dangerous': 0.09005035185847089, 'al': 0.0019341777078572483, 'Fal': 0.9075942967289059}",Fal,False
22,"I don't like restaurants further away. Between Tim Hortons and Smoke's Weinerie, I should go to ->",Tim Hortons,Smoke's Weinerie,"{'im': 2.5141341375510724e-05, 'Smoke': 0.0002507894037245938, 'TIM': 0.00033894557811673385, 'Tim': 0.9337339606799168}",Tim,True
23,"I don't like restaurants further away. Between Harvey's and Cantine Bar & Grill, I should go to ->",Cantine Bar & Grill,Harvey's,"{'Nik': 3.840660914612613e-05, 'Harvey': 0.9092185269605698, 'Cant': 0.09034062775276909, 'C': 7.678732273428196e-05, 'Water': 4.2959532072075465e-05}",Harvey,False
24,"I don't like restaurants further away. Between Warung Indonesia D'Eglinton and Cafe Jules, I should go to ->",Warung Indonesia D'Eglinton,Cafe Jules,"{'ar': 3.6056341039597147e-07, 'War': 2.754148898109036e-05, 'cafe': 2.2380068059218457e-07, 'Cafe': 0.9999696466056736, 'Café': 1.456597968281256e-06}",Cafe,False
25,"I don't like restaurants further away. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, I should go to ->",Solero Mediterranean Bakery,Pizzeria Via Mercanti,"{'Z': 6.69251690877073e-11, 'Pizza': 5.903951839156481e-10, 'p': 7.493035056519235e-10, 'P': 1.0, '': 9.606325972689181e-09}",P,False
26,"I don't like restaurants further away. Between Marcello’s pizzeria and Domino's Pizza, I should go to ->",Marcello’s pizzeria,Domino's Pizza,"{'Nik': 0.0007205764797478496, 'Mar': 0.33800171822706926, 'om': 0.001037269602915017, 'ar': 0.0007548121859442319, 'Dom': 0.658850848593335}",Dom,False
27,"I don't like restaurants further away. Between Viccino Pizzeria and Hapa Toronto, I should go to ->",Hapa Toronto,Viccino Pizzeria,"{'vic': 0.000617719368449247, 'Vic': 0.7357578077237165, 'P': 0.004408767971926909, 'H': 0.25628148186940036, 'V': 0.002892454874159967}",Vic,False
28,"I don't like restaurants further away. Between Bagel Nash and Tortería San Cosme, I should go to ->",Tortería San Cosme,Bagel Nash,"{'or': 0.00018110764132706986, 'Bag': 0.9814068436463257, 'T': 0.006723287720271004, 'Tor': 0.011032453849169486, 'bag': 0.00044797313225177865}",Bag,False
29,"I don't like restaurants further away. Between Cantine Bar & Grill and Ciao Europa wine bar, I should go to ->",Cantine Bar & Grill,Ciao Europa wine bar,"{'restaurants': 5.812315671405585e-06, 'Cant': 0.02075480692703597, 'cant': 6.857895100309954e-06, 'C': 0.9788298924344981, '': 0.00037184792166735275}",C,False
30,"I don't like restaurants further away. Between Fitness Avenue and Chipotle Mexican Grill, I should go to ->",Chipotle Mexican Grill,Fitness Avenue,"{'fitness': 8.951127168489187e-05, 'Chip': 0.0015878990320676214, 'Fitness': 0.9977992614837919, 'F': 0.00036419577190683597, 'hip': 6.309525432758649e-05}",Fitness,False
31,"I don't like restaurants further away. Between To-ne Sushi and Scaddabush Italian Kitchen & Bar, I should go to ->",Scaddabush Italian Kitchen & Bar,To-ne Sushi,"{'c': 0.002911409356770509, 'Sc': 0.9940920648908997, 'Fl': 4.883481877681745e-05, 'To': 0.0027812105400432225}",Sc,True
32,"I don't like restaurants further away. Between Lebanese Bakery and Freshii, I should go to ->",Lebanese Bakery,Freshii,"{'Lebanon': 0.002794561701157914, 'Fresh': 0.2404652236740079, 'Lebanese': 0.7565538690705652, 'resh': 5.394778088037471e-05, 'Beirut': 0.00011838802273074854}",Lebanese,True
33,"I don't like restaurants further away. Between Dinah's Cupboard and Grappa Ristorante, I should go to ->",Dinah's Cupboard,Grappa Ristorante,"{'din': 1.28299663769343e-05, 'Din': 0.9983302204357157, 'in': 4.075321168586839e-06, 'R': 6.132279036635363e-05, 'Gra': 0.0015856835544238908}",Din,True
34,"I don't like restaurants further away. Between Sushi World and Galata Cafe, I should go to ->",Sushi World,Galata Cafe,"{'Nik': 0.0006468876022248854, 'Sakura': 0.0005623208294769457, 'al': 0.0061610910414597805, 'S': 0.9108306624091758, 'Gal': 0.08072758020095315}",S,True
