,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Druxy's Famous Deli and LCBO, the more affordable restaurant is ->",Druxy's Famous Deli,LCBO,"{'Dru': 0.043079712514934566, 'LC': 0.9506439328061631, 'dru': 1.5816355422663213e-05, 'L': 3.490732030119263e-05, 'C': 0.006217794606347155}",LC,False
1,"Between Pizzeria Via Mercanti and New Bilan Restaurant, the more affordable restaurant is ->",New Bilan Restaurant,Pizzeria Via Mercanti,"{'Pizza': 1.4885262819182514e-06, 'B': 3.3607553120061254e-08, 'P': 0.9990946524745963, 'ew': 2.2805703335167783e-06, 'New': 0.0009016163148148283}",P,False
2,"Between Aroma Espresso Bar and Helena's Magic Kitchen, the more affordable restaurant is ->",Helena's Magic Kitchen,Aroma Espresso Bar,"{'el': 3.4621873034565333e-06, 'A': 0.5993467301525227, 'Sauce': 1.0549312067862301e-06, 'Helena': 0.4005201746838462, 'Magic': 0.00012094622894764068}",A,False
3,"Between Bagel Nash and EJ Sushi, the more affordable restaurant is ->",Bagel Nash,EJ Sushi,"{'Bag': 0.9688848306242422, 'ag': 8.886599473836722e-05, 'S': 3.483064344095639e-05, 'E': 0.03095435125224694, 'Bulk': 1.1166213396314899e-05}",Bag,True
4,"Between La Pupusa Loka and Mamma's Pizza, the more affordable restaurant is ->",Mamma's Pizza,La Pupusa Loka,"{'a': 0.0001854290924382614, 'Mam': 0.9826403004435015, 'Lah': 0.0001878901639827305, 'P': 3.7458927196486635e-05, 'La': 0.016865873806187613}",Mam,True
5,"Between Assembly Chef's Hall and Mi Mi Restaurant, the more affordable restaurant is ->",Mi Mi Restaurant,Assembly Chef's Hall,"{'Assembly': 0.2707363256024344, 'Mi': 0.7187182800131834, 'i': 0.00896763136190453, 'ssembly': 0.0012840681484576784}",Mi,True
6,"Between El Fogón and Villa Madina, the more affordable restaurant is ->",Villa Madina,El Fogón,"{'Garden': 1.7189428245518722e-05, 'Villa': 0.9589303514129329, 'El': 0.04084975317181542, 'V': 1.597617512748761e-05, 'l': 0.00010008717517310374}",Villa,True
7,"Between New Bilan Restaurant and Mysteriously Yours Dinner Theatre, the more affordable restaurant is ->",New Bilan Restaurant,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9831208297593276, 'My': 0.0018831205710453094, 'mysteriously': 0.00020337947275863232, 'myster': 0.00016556047864851617, 'New': 0.014447910167058145}",Myster,False
8,"Between Mirage Grill & Lounge and Pizzeria Via Mercanti, the more affordable restaurant is ->",Pizzeria Via Mercanti,Mirage Grill & Lounge,"{'Pizza': 2.0294109082601545e-06, 'Cafe': 1.0292080787709342e-07, 'T': 2.2518244266804144e-08, 'P': 0.9989158393273035, 'Mirage': 0.001082042738283635}",P,True
9,"Between Roncy's Bean and Smoke's Weinerie, the more affordable restaurant is ->",Smoke's Weinerie,Roncy's Bean,"{'on': 0.0010241717928305006, 'Smoke': 0.9070708565799512, 'R': 0.0006044757527275561, 'Ron': 0.0896920896983998, 'smoke': 0.00021428363999488674}",Smoke,True
10,"Between Milestones Restaurants and McDonald's, the more affordable restaurant is ->",McDonald's,Milestones Restaurants,"{'McDonald': 0.9310068723927851, 'Starbucks': 0.00012149359653356428, 'il': 0.00021137262220221058, 'Mil': 0.0685603019863906, 'c': 4.8480907370023136e-05}",McDonald,True
11,"Between Sheriff Broaster Chicken and Druxy's Famous Deli, the more affordable restaurant is ->",Druxy's Famous Deli,Sheriff Broaster Chicken,"{'Sheriff': 0.29663347298461096, 'sheriff': 2.7249401510871696e-05, 'Dru': 0.7031435582374214, 'her': 0.00016563135369955693, 'dru': 1.0965034825930643e-05}",Dru,True
12,"Between Falafel Hut Village and Domino's Pizza, the more affordable restaurant is ->",Falafel Hut Village,Domino's Pizza,"{'Dim': 1.3114828780142586e-05, 'om': 4.15554864855407e-05, 'al': 0.0004547180506447926, 'Fal': 0.9902699383696536, 'Dom': 0.00919026506745024}",Fal,True
