,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Queen Pita and Eggspectation, the restaurant with higher price is ->",Eggspectation,Queen Pita,"{'Egg': 0.5665060834008874, 'Shell': 0.012360409455916014, 'King': 0.038845889971665354, 'Conv': 0.03889748435446229, 'Queen': 0.3012107178072723}",Egg,True
1,"Between Verona Restaurant and Le Papillon Park, the restaurant with higher price is ->",Verona Restaurant,Le Papillon Park,"{'Le': 4.406146354726567e-05, 'er': 2.949676386875952e-05, 'Conv': 0.0005287694729540708, 'Ver': 0.999338139056647, 'expensive': 7.944910682618155e-06}",Ver,True
2,"Between Mysteriously Yours Dinner Theatre and Fit For Life, the restaurant with higher price is ->",Mysteriously Yours Dinner Theatre,Fit For Life,"{'Myster': 0.9501453301332751, 'My': 0.0019292479793558517, 'higher': 0.0028330143297291767, 'Conv': 0.02925496430137217, 'Magic': 0.002051072196248917}",Myster,True
3,"Between Magic Oven and Queen Slice, the restaurant with higher price is ->",Magic Oven,Queen Slice,"{'Kings': 4.347920352758305e-07, 'agic': 9.362559003737437e-07, 'King': 4.097780796251583e-06, 'Magic': 0.999977042039538, 'Queen': 1.6828915337440804e-05}",Magic,True
4,"Between Hina Sushi and Tim Hortons, the restaurant with higher price is ->",Hina Sushi,Tim Hortons,"{'Conv': 0.0026970750715665935, 'H': 0.9671396482950015, 'L': 0.002344361958578515, 'Tim': 0.022842267991995794, 'expensive': 0.00103054797875847}",H,True
5,"Between Bake Island and Sky Dragon Chinese Restaurant, the restaurant with higher price is ->",Sky Dragon Chinese Restaurant,Bake Island,"{'ky': 0.00694736380496002, 'Chinese': 0.4731889021127653, 'Sky': 0.5139014312052465, 'expensive': 0.0022766381950051506, 'sky': 0.0011384415650959286}",Sky,True
6,"Between Basha Middle Eastern Grill and Madras Pantry, the restaurant with higher price is ->",Basha Middle Eastern Grill,Madras Pantry,"{'ad': 0.00024272025300273455, 'B': 0.9472427934284396, 'Conv': 1.1383621945581632e-06, 'MAD': 2.037167897924876e-06, 'Mad': 0.052507025462715295}",B,True
7,"Between Milestones Restaurants and The Empire, the restaurant with higher price is ->",Milestones Restaurants,The Empire,"{'the': 3.419436088098465e-07, 'Conv': 4.311287390320009e-06, 'The': 0.9999242286257956, 'Mil': 6.510722707073544e-05, 'Empire': 3.6028080596052827e-06}",The,False
8,"Between Cake Opera and Itamae Ayce Sushi, the restaurant with higher price is ->",Cake Opera,Itamae Ayce Sushi,"{'Coc': 0.048351163173946235, 'Cake': 0.2948758673036366, 'Conv': 0.3342385564786753, 'Bulk': 0.05362811579599909, 'expensive': 0.08225200604740292}",Conv,True
9,"Between Fit For Life and Tik Talk Cafe, the restaurant with higher price is ->",Tik Talk Cafe,Fit For Life,"{'Fit': 0.2356283743579166, 'Conv': 0.006871666676914956, 'Tik': 0.7033691206738046, 'expensive': 0.025942972896778067, 'restaurant': 0.00307616065548923}",Tik,True
10,"Between Falafel House and Dangerous Dan's Diner, the restaurant with higher price is ->",Dangerous Dan's Diner,Falafel House,"{'Dangerous': 0.8886563554485899, 'Conv': 0.012441308653217027, 'D': 0.06268738799383525, 'expensive': 0.006114640508757329, 'Fal': 0.02287870760182849}",Dangerous,True
11,"Between Evoo Ristorante and Adega Restaurante, the restaurant with higher price is ->",Evoo Ristorante,Adega Restaurante,"{'Ad': 0.007489050189311113, 'v': 0.0017527738303357546, 'Conv': 0.6467272722565245, 'Ev': 0.3411232261387957, 'expensive': 0.0006527394584239534}",Conv,True
12,"Between Tik Talk Cafe and Branca, the restaurant with higher price is ->",Branca,Tik Talk Cafe,"{'Brussels': 1.1855639374473518e-06, 'Br': 0.9999526013663508, 'B': 2.616256462648211e-05, 'Conv': 4.6101645843437435e-06, 'r': 1.4133198846748405e-05}",Br,True
13,"Between Big Al's Diner and Carole's Cheesecake Cafe, the restaurant with higher price is ->",Carole's Cheesecake Cafe,Big Al's Diner,"{'big': 0.0001263204027109351, 'Car': 0.0019168980469102287, 'Conv': 2.0208969852805434e-05, 'Big': 0.9979045829579511, 'Bulk': 1.3728439511957378e-05}",Big,False
14,"Between Cantine Bar & Grill and Oxygen Restaurant & Lounge, the restaurant with higher price is ->",Oxygen Restaurant & Lounge,Cantine Bar & Grill,"{'Cant': 0.9055562529091686, 'Coc': 0.006814844714045456, 'Gor': 0.006749548940230871, 'Conv': 0.06532522651975972, 'expensive': 0.001968630806408015}",Cant,False
15,"Between Cantine Bar & Grill and Eastern legend, the restaurant with higher price is ->",Cantine Bar & Grill,Eastern legend,"{'eastern': 0.00114776030091303, 'Cant': 0.025254023232823174, 'Conv': 0.002288708258102195, 'astern': 0.0019556643936093797, 'Eastern': 0.9666705639610149}",Eastern,False
16,"Between Nutella Cafe by Pusateri's and Chipotle Mexican Grill, the restaurant with higher price is ->",Nutella Cafe by Pusateri's,Chipotle Mexican Grill,"{'Nut': 0.0007859474698659943, 'Chip': 0.02311558993797017, 'Coc': 0.0011997776872212675, 'P': 0.9721150085185452, 'Bulk': 0.0006804526632578973}",P,False
17,"Between Verona Restaurant and Tian An Cuisine, the restaurant with higher price is ->",Verona Restaurant,Tian An Cuisine,"{'Gor': 0.0001454029069916093, 'Tian': 0.0033275798865640784, 'Conv': 0.0020333239728458742, 'Ver': 0.9937158980799013, 'expensive': 0.0001429992746635639}",Ver,True
18,"Between Hapa Toronto and Juice & Java Cafe, the restaurant with higher price is ->",Hapa Toronto,Juice & Java Cafe,"{'Conv': 0.0032259816095268597, 'Juice': 0.7157083553006105, 'H': 0.2530493626493474, 'Sauce': 0.014731532714253854, 'Bulk': 0.004597565291794576}",Juice,False
19,"Between Hapa Toronto and FreshCo, the restaurant with higher price is ->",Hapa Toronto,FreshCo,"{'Fresh': 0.7814695839246675, 'Conv': 0.008766640616261935, 'H': 0.2049220123060702, 'L': 0.0007778802235064199, 'Bulk': 0.0019182000626684068}",Fresh,False
20,"Between St. Clair Shawarma and Falafel and Joe Badali's Ristorante Italiano & Bar, the restaurant with higher price is ->",Joe Badali's Ristorante Italiano & Bar,St. Clair Shawarma and Falafel,"{'Conv': 0.0004550883418260822, 'R': 0.066112020196225, 'St': 0.9285968793486624, 'Joe': 0.003479035078280945, 'Fal': 0.000509566751573421}",St,False
21,"Between Mövenpick Café and Cake Opera, the restaurant with higher price is ->",Cake Opera,Mövenpick Café,"{'Cake': 0.0002736507225393937, 'M': 0.9995241047940626, 'Conv': 6.453918495145973e-05, 'L': 1.4574691388248812e-05, 'expensive': 1.805904302551164e-05}",M,False
22,"Between Sizzlers and Farmacia Health Bar, the restaurant with higher price is ->",Farmacia Health Bar,Sizzlers,"{'Farm': 0.09409669078616346, 'Garden': 0.0013153217059035935, 'S': 0.9006473017580277, 'Conv': 0.0019450892812673854, 'Bulk': 0.000683067687556558}",S,False
23,"Between Tian An Cuisine and Supermodel Pizza, the restaurant with higher price is ->",Tian An Cuisine,Supermodel Pizza,"{'Coc': 0.0054725039870857604, 'Tian': 0.8952572516471129, 'Super': 0.06785367028904744, 'Chinese': 0.011120500301830117, 'expensive': 0.003343446893840009}",Tian,True
24,"Between Nook and McDonald's, the restaurant with higher price is ->",Nook,McDonald's,"{'restaurants': 0.00017854355159104384, 'McDonald': 0.0034688574651683336, 'Conv': 0.0003974318838251903, 'N': 0.9948448148124148, 'restaurant': 0.0004748715079988622}",N,True
25,"Between Ardor Bistro and Chick Fiesta, the restaurant with higher price is ->",Ardor Bistro,Chick Fiesta,"{'Gor': 0.010928024873835974, 'Ard': 0.6011099897260522, 'Conv': 0.31928888193173605, 'Bulk': 0.007120648330850723, 'expensive': 0.011554468889586954}",Ard,True
26,"Between Verona Restaurant and Sheriff Broaster Chicken, the restaurant with higher price is ->",Verona Restaurant,Sheriff Broaster Chicken,"{'Sheriff': 0.00042712536200089984, 'Gor': 0.00012189079951527603, 'Conv': 0.0019580409909120042, 'Ver': 0.9969868427977551, 'expensive': 7.631950627410322e-05}",Ver,True
27,"Between Grappa Ristorante and Pisco 1641, the restaurant with higher price is ->",Grappa Ristorante,Pisco 1641,"{'Gor': 0.07181757900183519, 'P': 0.010822863411020872, 'G': 0.0018702566715896925, 'ra': 0.00457427528707097, 'Gra': 0.9068456044349803}",Gra,True
28,"Between Carole's Cheesecake Cafe and Verona Restaurant, the restaurant with higher price is ->",Verona Restaurant,Carole's Cheesecake Cafe,"{'Mar': 0.0002851152709481824, 'Car': 0.5407416963873096, 'Conv': 0.01144607388411382, 'Ver': 0.44651057264935556, 'expensive': 0.00023087502757683623}",Car,False
29,"Between Pasta Pantry and Green Room, the restaurant with higher price is ->",Pasta Pantry,Green Room,"{'Past': 0.9874101595662582, 'ast': 0.0027515648301332063, 'Green': 0.00045390147449738636, 'Conv': 0.005810910545510493, 'Bulk': 0.0008712186319834544}",Past,True
30,"Between Cantine Bar & Grill and Fitness Avenue, the restaurant with higher price is ->",Cantine Bar & Grill,Fitness Avenue,"{'Cant': 0.9083410319931781, 'Athlet': 0.005598321826452396, 'Coc': 0.011723528190402835, 'Gor': 0.010545155698616453, 'Conv': 0.03869320019267787}",Cant,True
31,"Between Beryl's Pepper Pot and Eastern legend, the restaurant with higher price is ->",Beryl's Pepper Pot,Eastern legend,"{'eastern': 3.6624215633521534e-06, 'B': 0.9861341409940093, 'Conv': 1.7284059334148967e-06, 'astern': 2.2760089872729266e-05, 'Eastern': 0.013831315756199775}",B,True
32,"Between Piper's Pub And Grill and Lahore Grill & Fast Food, the restaurant with higher price is ->",Piper's Pub And Grill,Lahore Grill & Fast Food,"{'Gor': 6.834972624473967e-05, 'Lah': 0.9945252722449294, 'Piper': 0.005270745317278934, 'Conv': 3.3925147650176656e-05, 'expensive': 3.889826149437062e-05}",Lah,False
33,"Between Eggspectation and Mi Mi Restaurant, the restaurant with higher price is ->",Eggspectation,Mi Mi Restaurant,"{'Egg': 0.6065946156770927, 'Shell': 0.14221149898627514, 'Coc': 0.02894900630723706, 'My': 0.03172094153384868, 'Bulk': 0.07718709493340055}",Egg,True
34,"Between Bao Bao Plus Dim Sum and Villa Madina, the restaurant with higher price is ->",Bao Bao Plus Dim Sum,Villa Madina,"{'Villa': 0.0005472608474569289, '': 1.3458241252856905e-06, 'B': 0.9994399439499705, 'Conv': 2.994593685122324e-06, 'Chinese': 1.6304377841066617e-06}",B,True
35,"Between Harvey's and Bonne Journee, the restaurant with higher price is ->",Harvey's,Bonne Journee,"{'Harvey': 0.9967164736024353, 'Har': 0.002039614621502774, 'Conv': 0.0004390442731386386, 'Bulk': 7.663121942150994e-05, 'Bon': 0.00016504027878601446}",Harvey,True
36,"Between Tian An Cuisine and Shawarma Twist, the restaurant with higher price is ->",Tian An Cuisine,Shawarma Twist,"{'Tai': 0.0015721842255749163, 'Shaw': 0.05845771538686415, 'Coc': 0.00424315747237105, 'Tian': 0.9238218619724075, 'Chinese': 0.008403578936527385}",Tian,True
37,"Between Breakfast Room and The Empire, the restaurant with higher price is ->",Breakfast Room,The Empire,"{'the': 6.204691776115932e-08, 'Conv': 3.7244591660130513e-07, 'The': 0.9999982599891138, 'he': 1.016269582389629e-07, 'Empire': 1.2059679927738354e-06}",The,False
38,"Between Delicious Paradise Kitchen and Ardor Bistro, the restaurant with higher price is ->",Ardor Bistro,Delicious Paradise Kitchen,"{'Gor': 0.0009688439513116933, 'Ard': 0.904312068177172, 'Conv': 0.03347760068689806, 'expensive': 0.04961621913570249, 'Ast': 0.00196117518742169}",Ard,True
39,"Between Helena's Magic Kitchen and Ici Bistro, the restaurant with higher price is ->",Ici Bistro,Helena's Magic Kitchen,"{'Brussels': 0.002533721774684058, 'I': 0.984108770414251, 'B': 0.0019181540264193403, 'Conv': 0.00408046061950886, 'Helena': 0.004440869892473026}",I,True
40,"Between New Bilan Restaurant and Watson's, the restaurant with higher price is ->",Watson's,New Bilan Restaurant,"{'Watson': 0.2521191464081468, 'United': 0.0007579488915430839, 'Georgetown': 0.0007976348872419229, 'Conv': 0.002056279493931802, 'New': 0.7414661271288836}",New,False
41,"Between Tortería San Cosme and McDonald's, the restaurant with higher price is ->",Tortería San Cosme,McDonald's,"{'McDonald': 0.04477298208258137, 'Gor': 0.6086926368941846, 'Conv': 0.05025749444397532, 'Tor': 0.11133236191789281, 'restaurant': 0.06765257239722183}",Gor,True
42,"Between Dinah's Cupboard and Basil Express Restaurant, the restaurant with higher price is ->",Dinah's Cupboard,Basil Express Restaurant,"{'Dim': 0.0010430851153637182, 'Gor': 0.0012594161983931608, 'Din': 0.9528929129545705, 'Basil': 0.03964854609689257, 'Conv': 0.0017887355596469885}",Din,True
43,"Between Amaya Express and Bonne Journee, the restaurant with higher price is ->",Amaya Express,Bonne Journee,"{'Am': 0.09459580958945138, 'Gor': 0.022715619668445222, 'Conv': 0.5150989298348104, 'Bulk': 0.056828018012905074, 'Bon': 0.2102754376108307}",Conv,False
44,"Between To-ne Sushi and McDonald's, the restaurant with higher price is ->",To-ne Sushi,McDonald's,"{'McDonald': 0.003131741623331487, 'To': 0.98525259013405, 'T': 0.0011108575437425775, 'Conv': 0.00342941015179186, 'restaurant': 0.0019796603290046563}",To,True
