,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Addis Ababa and Cotonou, the city with a smaller population is ->",Cotonou,Addis Ababa,"{'T': 1.603992356169116e-08, 'C': 0.9999999317236823, 'B': 1.896660567911113e-08, 'O': 6.119343037524099e-08, 'Com': 1.6728131730508952e-08}",C,True
1,"Between Chicago and Baku, the city with a smaller population is ->",Baku,Chicago,"{'C': 1.0163438672909832e-08, 'Azerbaijan': 1.2235919373073941e-08, 'B': 0.9999998115819777, 'Chicago': 2.8108775893160097e-08, 'Bat': 2.1918975962567057e-07}",B,True
2,"Between Medellín and Garoua, the city with a smaller population is ->",Garoua,Medellín,"{'ar': 0.00033845683236238095, 'G': 0.0015495325099922034, 'O': 5.646356472247249e-05, '0': 7.38017584061573e-05, 'Gar': 0.9977338748473037}",Gar,True
3,"Between Perth and Suwałki, the city with a smaller population is ->",Suwałki,Perth,"{'SU': 8.759611529033762e-06, 'Su': 0.9995888945770015, 'Perth': 1.4631124255293676e-05, 'Suk': 3.586301892160741e-06, 'u': 0.0003634673813337248}",Su,True
4,"Between Los Angeles and Lomé, the city with a smaller population is ->",Lomé,Los Angeles,"{'Tam': 6.805543257122077e-05, 'T': 0.0021470774223994746, 'L': 0.9975290111314427, 'O': 0.00012930921582212165, 'Libre': 5.001588014806363e-05}",L,False
5,"Between Houston and Bishkek, the city with a smaller population is ->",Bishkek,Houston,"{'': 4.461079352109373e-08, 'B': 0.9999996923682474, 'Wichita': 4.926529298829841e-08, '0': 1.9094146783217868e-08, 'Bat': 1.4273700868675816e-07}",B,True
6,"Between Paris and Cape Town, the city with a smaller population is ->",Cape Town,Paris,"{'Cape': 0.9987144935721827, 'C': 0.00047737701090756144, 'cape': 7.73688742284935e-05, 'Cap': 0.0001390822601830521, 'Town': 0.00018443822027800356}",Cape,True
7,"Between Melbourne and Ouahigouya, the city with a smaller population is ->",Ouahigouya,Melbourne,"{'u': 3.445285393852609e-08, 'Ou': 0.9999590374159896, 'O': 4.065234646581961e-05, 'OU': 7.179686678042815e-08, '0': 4.447685034946105e-08}",Ou,True
8,"Between Guadalajara and Kuopio, the city with a smaller population is ->",Kuopio,Guadalajara,"{'Ku': 0.9954573756710847, 'Gu': 0.0003721669552270115, 'u': 0.0018716217087622934, 'K': 0.002117902641596302}",Ku,True
9,"Between Nairobi and Pretoria, the city with a smaller population is ->",Pretoria,Nairobi,"{'pret': 1.549534347720397e-05, 'T': 5.5987114047627866e-05, 'Pret': 0.999886796877957, 'N': 3.287858884601186e-06, 'ret': 1.2596922750319853e-05}",Pret,True
10,"Between London and Bujumbura, the city with a smaller population is ->",Bujumbura,London,"{'B': 0.09553477133636251, 'u': 0.0007195784525395416, 'Bur': 0.00022289338388509078, 'Bul': 0.0015689452510630488, 'Bu': 0.9013280015004063}",Bu,True
11,"Between Saint Petersburg and Novosibirsk, the city with a smaller population is ->",Novosibirsk,Saint Petersburg,"{'Ni': 0.0002776803294427305, 'ov': 0.0013475655644515734, 'S': 0.0001383765452333239, 'Sochi': 0.0006726884249054236, 'Nov': 0.9972022545049511}",Nov,True
12,"Between Luanda and Podgorica, the city with a smaller population is ->",Podgorica,Luanda,"{'Pod': 0.9974549810659957, 'pod': 0.00010673195072613523, 'od': 0.00206405744473224, 'P': 6.839553590584643e-05}",Pod,True
13,"Between Shanghai and Belgrade, the city with a smaller population is ->",Belgrade,Shanghai,"{'Bl': 1.6178279289186535e-05, 'el': 1.3174098288153028e-06, 'Br': 8.342147280841445e-07, 'Serbia': 4.679243997870947e-06, 'Bel': 0.9999727487573219}",Bel,True
14,"Between Houston and Ouahigouya, the city with a smaller population is ->",Ouahigouya,Houston,"{'u': 4.427259386424531e-08, 'Ou': 0.9999384181762384, 'O': 6.130746158493949e-05, 'OU': 9.796280217240283e-08, '0': 8.468299693579237e-08}",Ou,True
15,"Between Fukuoka and Nouadhibou, the city with a smaller population is ->",Nouadhibou,Fukuoka,"{'Ni': 0.002268483800382331, 'N': 0.0059882024722224545, 'Ou': 0.05013725171399738, 'O': 0.00022527920814097431, 'Nou': 0.9405708723934081}",Nou,True
16,"Between Sydney and Garoua, the city with a smaller population is ->",Garoua,Sydney,"{'ar': 0.0004424419449396416, 'G': 0.0013625436435180953, 'Ou': 4.9174468602535275e-05, '0': 6.213444828753631e-05, 'Gar': 0.9978213736588957}",Gar,True
17,"Between Kabul and Garissa, the city with a smaller population is ->",Garissa,Kabul,"{'ar': 0.0005862014829046776, 'G': 0.0007507051448539876, 'gar': 5.39727105134432e-05, '0': 0.00012801655070764708, 'Gar': 0.998254164946077}",Gar,True
18,"Between Mexico City and Changsha, the city with a smaller population is ->",Changsha,Mexico City,"{'Chang': 0.9294271549843683, 'G': 0.0005185319044393325, 'Chong': 0.0010525905109007134, 'Ch': 0.06477772401016284, '0': 0.0006151025229915694}",Chang,True
19,"Between Kunming and Nur-Sultan, the city with a smaller population is ->",Nur-Sultan,Kunming,"{'Ni': 0.001792339552423019, 'Kum': 0.0002671920151951447, 'Kun': 0.06859750604090555, 'N': 0.06599627354428146, 'Nur': 0.8624333917631943}",Nur,True
20,"Between Mumbai and Ouahigouya, the city with a smaller population is ->",Ouahigouya,Mumbai,"{'u': 4.1866200759426166e-08, 'Ou': 0.9999480707213717, 'O': 5.162590379042502e-05, 'OU': 1.0490653773370115e-07, '0': 5.305058206176759e-08}",Ou,True
21,"Between Sydney and Kuopio, the city with a smaller population is ->",Kuopio,Sydney,"{'Ku': 0.9967100951357719, 'u': 0.0019399268748375891, 'K': 0.0011517451098506256, '0': 1.6445017733035478e-05}",Ku,True
22,"Between Ankara and Cotonou, the city with a smaller population is ->",Cotonou,Ankara,"{'T': 3.067481123734971e-08, 'C': 0.9999988569748532, 'B': 3.240753109353176e-08, 'Ou': 5.224241662522896e-07, 'O': 5.30397028747174e-07}",C,True
23,"Between Riyadh and Erbil, the city with a smaller population is ->",Erbil,Riyadh,"{'ER': 0.00017922277013680815, 'er': 1.062000575763967e-05, 'Kurdistan': 1.7038126326054996e-05, 'Er': 0.9992777580423726, 'r': 0.0004314070853757618}",Er,True
24,"Between Toronto and Makurdi, the city with a smaller population is ->",Makurdi,Toronto,"{'Mar': 2.2816901563130144e-05, 'Mak': 0.9995918726566314, 'M': 0.00032373735617463747, '1': 5.52231721739886e-06, '0': 8.61451488564445e-06}",Mak,True
25,"Between Los Angeles and Changsha, the city with a smaller population is ->",Changsha,Los Angeles,"{'Chang': 0.9478885527767067, 'San': 0.0008648779147593268, 'Chong': 0.002121113695857748, 'Ch': 0.04528891402286087, '0': 0.0004644895487330507}",Chang,True
26,"Between London and Barranquilla, the city with a smaller population is ->",Barranquilla,London,"{'ar': 0.0002836280106568569, 'Bar': 0.996473642354874, 'BAR': 0.00013842041755155778, 'B': 0.002389604757847385, 'Bat': 0.0003648946048189164}",Bar,True
27,"Between Ankara and Skopje, the city with a smaller population is ->",Skopje,Ankara,"{'k': 0.00014028717307746315, 'Split': 0.00014743487575327106, 'Sk': 0.9985543337836216, 'St': 0.00021287828234097545, '0': 0.00011600769881098758}",Sk,True
28,"Between Karachi and Kano, the city with a smaller population is ->",Kano,Karachi,"{'Kum': 8.719883144285565e-09, 'W': 4.485759143500721e-08, 'N': 2.5490831460613783e-08, '': 1.349090610957368e-08, 'K': 0.9999999317236823}",K,False
29,"Between Cairo and Sokoto, the city with a smaller population is ->",Sokoto,Cairo,"{'Jos': 0.00026739435612702756, 'S': 0.0024117667711594654, 'Sok': 0.9958710354111994, 'Sof': 0.0007127434642346976, 'O': 9.341319020022335e-05}",Sok,True
30,"Between London and Pontianak, the city with a smaller population is ->",Pontianak,London,"{'Pir': 5.584240672851118e-05, 'Pont': 0.9947655401805894, 'Ant': 3.55818813680908e-05, 'ont': 0.004827840561538483, 'Bat': 3.7037264629827665e-05}",Pont,True
31,"Between Los Angeles and Belgrade, the city with a smaller population is ->",Belgrade,Los Angeles,"{'Bl': 1.4388000462299356e-05, 'Br': 1.4226986957962717e-06, 'Serbia': 1.4668123222707444e-06, 'B': 6.16426957919155e-07, 'Bel': 0.9999790647951444}",Bel,True
32,"Between Melbourne and Zagreb, the city with a smaller population is ->",Zagreb,Melbourne,"{'Z': 0.9998928786639001, 'Split': 2.493313291132753e-05, 'W': 1.0088907550255791e-05, 'St': 6.304808258706886e-06, '': 1.2474425119421897e-05}",Z,True
33,"Between Bogotá and Porto Alegre, the city with a smaller population is ->",Porto Alegre,Bogotá,"{'Salt': 4.6791499787937225e-05, 'ort': 0.0005492922096715467, 'Bog': 2.6834746473120293e-05, 'Port': 0.99871425647739, 'O': 0.0002959967746950755}",Port,True
34,"Between Saint Petersburg and Zagreb, the city with a smaller population is ->",Zagreb,Saint Petersburg,"{'Z': 0.9998827433151025, 'Split': 2.660407921464792e-05, 'R': 6.643670241304323e-06, 'St': 2.5828139037665232e-05, '': 6.59060768829144e-06}",Z,True
35,"Between Guangzhou and Amsterdam, the city with a smaller population is ->",Amsterdam,Guangzhou,"{'Netherlands': 0.000620797882513952, 'Holland': 0.0002218040995779341, 'Amsterdam': 0.9988592144910821, 'the': 2.719049756306044e-05, '0': 0.00010512099898407143}",Amsterdam,True
36,"Between Hanoi and Bamako, the city with a smaller population is ->",Bamako,Hanoi,"{'B': 0.01878628869437899, 'N': 5.32294895682459e-05, 'Bam': 0.9810160742255464, 'Libre': 1.0000114650359511e-05, 'Bat': 3.439263896700353e-05}",Bam,True
37,"Between Los Angeles and Kunming, the city with a smaller population is ->",Kunming,Los Angeles,"{'Kum': 0.002291985056505858, 'Kun': 0.9907361661667422, 'un': 0.0001900089275124512, 'Kuala': 2.6683931238542752e-05, 'K': 0.00644597998899705}",Kun,True
38,"Between Lagos and Berlin, the city with a smaller population is ->",Berlin,Lagos,"{'Berlin': 0.6585913915219211, 'Lag': 0.26832884958296305, 'ag': 0.0015345918946029062, 'Warsaw': 0.06297673540983062, 'Lod': 0.0016404110964353554}",Berlin,True
39,"Between Los Angeles and Tirana, the city with a smaller population is ->",Tirana,Los Angeles,"{'Pir': 5.883509660999588e-05, 'T': 0.03727729689406518, '1': 5.926521604696933e-05, 'Tir': 0.9617885643992652, 'Albania': 0.00018056152130656257}",Tir,True
