,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with warm weather. Between Darwin and Fukuoka, I should visit ->",Darwin,Fukuoka,"{'Darwin': 0.9861429043139909, 'Fuk': 0.009862249424773267, 'Jos': 0.00047618172565731305, 'Adelaide': 0.00030478986073810983, 'ar': 0.0022215025227108644}",Darwin,True
1,"I'm looking for a city with warm weather. Between Viedma and Saskatoon, I should visit ->",Viedma,Saskatoon,"{'Gu': 0.02364357195337189, 'San': 0.015843293361039207, 'C': 0.007104556075230908, 'Ver': 0.040414857569559634, 'V': 0.8880776376728164}",V,True
2,"I'm looking for a city with warm weather. Between Napier and Kuopio, I should visit ->",Napier,Kuopio,"{'Ku': 0.08239332109698967, 'Nap': 0.9135853405654578, 'u': 0.0008589704818140206, 'ap': 0.0024668513465988078, 'Hon': 0.00016987358757898955}",Nap,True
3,"I'm looking for a city with warm weather. Between Panama City and Mendoza, I should visit ->",Panama City,Mendoza,"{'an': 0.0024551903134172656, 'Col': 0.0013369277783636293, 'Mend': 0.0010176824954727945, 'Panama': 0.9855554412456362, 'Pan': 0.004543616491512328}",Panama,True
4,"I'm looking for a city with warm weather. Between San Juan and Sacramento, I should visit ->",San Juan,Sacramento,"{'an': 3.903289105002744e-06, 'Puerto': 1.2967802544651982e-05, 'Juan': 1.6257911485737537e-06, 'Gu': 1.0818803131184135e-06, 'San': 0.9999795425592563}",San,True
5,"I'm looking for a city with warm weather. Between Phnom Penh and Napier, I should visit ->",Phnom Penh,Napier,"{'Ph': 0.9183745087077986, 'Cambod': 0.0009595257557402731, 'h': 0.0007167789954181445, 'Cambodia': 0.008998192996241024, 'Kh': 0.07072713322508724}",Ph,True
6,"I'm looking for a city with warm weather. Between Cabo San Lucas and Saint Petersburg, I should visit ->",Cabo San Lucas,Saint Petersburg,"{'Cab': 0.8666156679891415, 'cab': 2.710674413416751e-05, 'Gu': 7.752151866126984e-05, 'San': 0.13322264870598483, 'C': 2.3828719573522813e-05}",Cab,True
7,"I'm looking for a city with warm weather. Between Abéché and Los Angeles, I should visit ->",Abéché,Los Angeles,"{'Jos': 0.00011062814783891248, 'Ab': 0.99595972934449, 'Ou': 0.00015579632698470083, 'b': 0.001042422862327662, 'Acc': 0.0022557751903031597}",Ab,True
8,"I'm looking for a city with warm weather. Between Perth and Anchorage, I should visit ->",Perth,Anchorage,"{'WA': 6.76143715917439e-05, 'Gerald': 6.65789564211008e-05, 'Adelaide': 0.002067218076453082, 'Perth': 0.9971735854519725, 'K': 0.00014821954073230575}",Perth,True
9,"I'm looking for a city with warm weather. Between Kuwait City and Indianapolis, I should visit ->",Kuwait City,Indianapolis,"{'Gulf': 4.561053182640575e-06, 'Kuwait': 0.9985552881024544, 'u': 0.0010183907435204129, 'K': 1.8019681153050032e-05, 'Kh': 0.00036966476631947014}",Kuwait,True
10,"I'm looking for a city with warm weather. Between Caracas and Kuopio, I should visit ->",Caracas,Kuopio,"{'Mar': 0.0007014345239387306, 'Venezuela': 0.0007223799579123729, 'Car': 0.9887870302710495, 'Gu': 0.008110449394483106, 'ar': 0.00033852023126420405}",Car,True
11,"I'm looking for a city with warm weather. Between Hanoi and Wellington, I should visit ->",Hanoi,Wellington,"{'Vietnam': 0.0024058764825703686, 'Vietnamese': 0.0004339443751218863, 'H': 0.9940749590994592, 'Nguyen': 0.00045840293036058654, 'Ho': 0.0008627915820890975}",H,True
12,"I'm looking for a city with warm weather. Between Pretoria and Minneapolis, I should visit ->",Pretoria,Minneapolis,"{'T': 8.460240134976388e-06, 'Pret': 0.9998482938085482, 'Johannes': 5.90731530425765e-05, 'G': 7.097890008398536e-06, 'ret': 4.1447997034469794e-05}",Pret,True
13,"I'm looking for a city with warm weather. Between Barranquilla and Calgary, I should visit ->",Barranquilla,Calgary,"{'Gu': 0.00425253756545075, 'Colombia': 0.0004989401047390842, 'bar': 0.0006002632193690261, 'Bar': 0.9906482521401596, 'B': 0.000499934384076867}",Bar,True
14,"I'm looking for a city with warm weather. Between Piura and Brussels, I should visit ->",Piura,Brussels,"{'Pi': 0.9994345788108414, 'Gu': 4.565867632924239e-06, 'pi': 6.815575842866477e-06, 'P': 8.062418374392415e-06, 'i': 0.0005339032047220158}",Pi,True
15,"I'm looking for a city with warm weather. Between Karachi and Melbourne, I should visit ->",Karachi,Melbourne,"{'ar': 6.503291705651472e-05, 'Sind': 2.8513297515865154e-05, 'Karachi': 0.9987802377154982, 'K': 4.1047402522984964e-05, 'Kh': 0.0009917286761858806}",Karachi,True
16,"I'm looking for a city with warm weather. Between Yaoundé and Minsk, I should visit ->",Yaoundé,Minsk,"{'ya': 0.00014037382715853262, 'Jos': 5.069298600672723e-05, 'Ya': 0.9992604151278139, 'Cameroon': 9.9960544983158e-05, 'Y': 0.0002385453783775845}",Ya,True
17,"I'm looking for a city with warm weather. Between Mumbai and Lyon, I should visit ->",Mumbai,Lyon,"{'mbai': 0.0002167090256176936, 'Mumbai': 0.9909692801224302, 'M': 0.00023392815960006542, '': 8.583403086320519e-05, 'Bombay': 0.008212441651802465}",Mumbai,True
18,"I'm looking for a city with warm weather. Between Hat Yai and Belgrade, I should visit ->",Hat Yai,Belgrade,"{'Song': 1.7913303533436917e-06, 'Hat': 0.9989462978344064, 'at': 5.756315258646875e-06, 'Y': 0.000899805436209592}",Hat,True
19,"I'm looking for a city with warm weather. Between Garoua and Omaha, I should visit ->",Garoua,Omaha,"{'Gu': 5.972971038307631e-05, 'ar': 0.001067347158672363, 'G': 0.000175286110836555, 'Ou': 0.0004015645361039795, 'Gar': 0.9979061324056}",Gar,True
20,"I'm looking for a city with warm weather. Between Bangui and Podgorica, I should visit ->",Bangui,Podgorica,"{'Living': 2.971115756823394e-06, 'Gu': 3.9981728328459536e-05, 'B': 0.9998986000813193, 'Libre': 1.728208745656113e-05, 'K': 4.1208545543756175e-06}",B,True
21,"I'm looking for a city with warm weather. Between Caracas and Ushuaia, I should visit ->",Caracas,Ushuaia,"{'Mar': 0.0009989768028057333, 'Venezuela': 0.002245010681259288, 'Car': 0.9905752955642719, 'Gu': 0.003998356009379726, 'ar': 0.00037367467202275494}",Car,True
22,"I'm looking for a city with warm weather. Between Brasília and Zürich, I should visit ->",Brasília,Zürich,"{'Rio': 0.0014806867182540128, 'Gu': 0.0003778848645044856, 'Bel': 0.00030444899163577547, 'Bras': 0.9931370198558304, 'Braz': 0.0033419259715393723}",Bras,True
23,"I'm looking for a city with warm weather. Between Douala and Johannesburg, I should visit ->",Douala,Johannesburg,"{'Jos': 0.000304518718438274, 'C': 0.00013123998029712053, 'ou': 0.00012318195336763615, 'Dou': 0.9989826563453035, 'Acc': 0.0001234720800406298}",Dou,True
24,"I'm looking for a city with warm weather. Between Paramaribo and Ljubljana, I should visit ->",Paramaribo,Ljubljana,"{'Gu': 0.00018001038757304682, 'aram': 0.002843754764038872, 'Param': 0.9959621710423554, 'Sur': 0.0002741936361210979, 'param': 0.0001675665453373602}",Param,True
25,"I'm looking for a city with warm weather. Between Pittsburgh and Murmansk, I should visit ->",Pittsburgh,Murmansk,"{'Tam': 0.000310845672142957, 'Med': 0.00014119057280092165, 'ur': 0.00040182314659010626, 'Mur': 0.9982166148245378, 'Acc': 0.000285056828308213}",Mur,False
26,"I'm looking for a city with warm weather. Between Nouakchott and Chicago, I should visit ->",Nouakchott,Chicago,"{'Dak': 0.0031147558768700634, 'N': 0.04029032150657389, 'Ou': 0.44373763649516257, 'Nou': 0.49534618362188204, 'Kh': 0.009917375095584437}",Nou,True
27,"I'm looking for a city with warm weather. Between Neuquén and Reykjavík, I should visit ->",Neuquén,Reykjavík,"{'Rio': 0.00101448082481075, 'Rey': 0.04945965461652929, 'San': 0.0004514242379330957, 'Ne': 0.948325874806172, 'N': 0.00010833199697436253}",Ne,True
28,"I'm looking for a city with warm weather. Between Ségou and Sacramento, I should visit ->",Ségou,Sacramento,"{'Dak': 9.321714378423686e-06, 'S': 0.9999151694883114, 'Ou': 4.239729478510078e-05, 'Libre': 4.765700605889465e-06, 'Acc': 8.173224919398508e-06}",S,False
29,"I'm looking for a city with warm weather. Between Riyadh and Toluca, I should visit ->",Riyadh,Toluca,"{'Dh': 0.002997567957280486, 'Riy': 0.004491838030860036, 'Riyadh': 0.9290582131201522, 'Kh': 0.013111101039850269, 'Saudi': 0.03507878665563768}",Riyadh,True
30,"I'm looking for a city with warm weather. Between Tucson and Saskatoon, I should visit ->",Tucson,Saskatoon,"{'T': 2.832201898037437e-05, 'Tuc': 0.00021465338361766206, 'Tucson': 0.9995116511311443, 'Ver': 1.9495829247787894e-05, 'Arizona': 7.751198410086197e-05}",Tucson,True
31,"I'm looking for a city with warm weather. Between Lima and Ushuaia, I should visit ->",Lima,Ushuaia,"{'Gu': 2.4333829871843203e-05, 'Peru': 7.248455886208388e-05, 'C': 2.1269594358425834e-05, 'Lima': 0.999810624653775, 'Are': 1.5594488615655525e-05}",Lima,True
32,"I'm looking for a city with warm weather. Between Pontianak and Curitiba, I should visit ->",Pontianak,Curitiba,"{'Pont': 0.9958218618081774, 'Georgetown': 4.0097686964208924e-06, 'pont': 1.1600770959901326e-05, 'ont': 0.004118808732613554, 'Kuala': 8.00485760444885e-06}",Pont,True
33,"I'm looking for a city with warm weather. Between Paramaribo and Cape Town, I should visit ->",Paramaribo,Cape Town,"{'aram': 0.001128917917700679, 'Param': 0.9982060645292467, 'Georgetown': 0.00010567745290493716, 'Sur': 0.00016575031971520187, 'param': 6.753257391296536e-05}",Param,True
34,"I'm looking for a city with warm weather. Between Managua and Melbourne, I should visit ->",Managua,Melbourne,"{'Man': 0.9999574896365911, 'Nicaragua': 3.398691365290103e-05, 'Teg': 2.337202164870198e-06, 'an': 9.915365761047988e-07, 'Nic': 3.537278187998955e-06}",Man,True
35,"I'm looking for a city with warm weather. Between Hat Yai and Sacramento, I should visit ->",Hat Yai,Sacramento,"{'Song': 9.832178803433544e-06, 'Hat': 0.9940419957227279, 'at': 1.0979704882240256e-05, 'Y': 0.005778306686687229}",Hat,True
36,"I'm looking for a city with warm weather. Between Hat Yai and Neuquén, I should visit ->",Hat Yai,Neuquén,"{'Song': 2.680465726485189e-06, 'Hat': 0.9955685990608286, 'at': 8.78359307478916e-06, 'Y': 0.0042615386434653995}",Hat,True
37,"I'm looking for a city with warm weather. Between Jakarta and Fairbanks, I should visit ->",Jakarta,Fairbanks,"{'Indones': 5.61082891312641e-05, 'Indonesia': 0.0010594959529888772, 'Jak': 0.0001286945230772548, 'J': 5.4528939348719716e-05, 'Jakarta': 0.9984736333842553}",Jakarta,True
38,"I'm looking for a city with warm weather. Between Darwin and Rome, I should visit ->",Darwin,Rome,"{'Living': 2.9472586436489083e-05, 'Darwin': 0.9973604475608301, 'Adelaide': 0.0002728094477718236, 'ar': 0.0021934395421779776, 'Australia': 1.973034010728532e-05}",Darwin,True
39,"I'm looking for a city with warm weather. Between Luanda and Oslo, I should visit ->",Luanda,Oslo,"{'Living': 3.591128379561837e-05, 'u': 0.001251327864375344, 'Angola': 0.000354904542149932, 'LU': 0.00028826596915078627, 'Lu': 0.9979625194871514}",Lu,True
40,"I'm looking for a city with warm weather. Between Hanoi and Vienna, I should visit ->",Hanoi,Vienna,"{'Vietnam': 0.004636893691375779, 'Singapore': 0.00039972529871172205, 'Vietnamese': 0.00046558959933247246, 'H': 0.991700208048822, 'Ho': 0.0010474058404432054}",H,True
41,"I'm looking for a city with warm weather. Between Makassar and Belgrade, I should visit ->",Makassar,Belgrade,"{'Mak': 0.999601649432664, 'Ass': 2.288916279066638e-05, 'Jos': 0.00013711740888358419, 'M': 0.0001164412155336176, 'K': 2.1962721920127547e-05}",Mak,True
42,"I'm looking for a city with warm weather. Between Lima and Irkutsk, I should visit ->",Lima,Irkutsk,"{'Gu': 1.6232291455331013e-05, 'Peru': 4.283161756275797e-05, 'C': 2.481644548916934e-05, 'Lima': 0.9998747591732872, 'Are': 8.522387784421794e-06}",Lima,True
43,"I'm looking for a city with warm weather. Between Ouahigouya and Ottawa, I should visit ->",Ouahigouya,Ottawa,"{'Gu': 1.053771616447144e-08, 'Ou': 0.9999955182025433, 'O': 4.3626974967462114e-06, 'Libre': 8.326480325588039e-09, 'OU': 1.5036141613480395e-07}",Ou,True
44,"I'm looking for a city with warm weather. Between Managua and Toronto, I should visit ->",Managua,Toronto,"{'Man': 0.9999627346113719, 'Nicaragua': 3.247155768331608e-05, 'Teg': 1.131326183126018e-06, 'an': 7.435751501205374e-07, 'Nic': 1.8025143619938365e-06}",Man,True
45,"I'm looking for a city with warm weather. Between Palermo and Irkutsk, I should visit ->",Palermo,Irkutsk,"{'al': 0.001834385006447186, 'Sic': 0.0001966630892799519, 'Pal': 0.9920732710295226, 'Sicily': 0.000379815328880128, 'Ir': 0.005312745149542773}",Pal,True
46,"I'm looking for a city with warm weather. Between Aden and Palermo, I should visit ->",Aden,Palermo,"{'Yemen': 2.7776478292570412e-05, 'Dh': 3.977277201567763e-05, 'Mog': 2.7095063644771945e-05, 'Aden': 0.9998062129091444, 'Kh': 1.1209196505864327e-05}",Aden,True
47,"I'm looking for a city with warm weather. Between Willemstad and Santiago, I should visit ->",Willemstad,Santiago,"{'Sant': 0.0015761549087858827, 'il': 0.003235545632089111, 'Jos': 0.0021059575966862554, 'W': 0.0012233148679701722, 'Wil': 0.9898533620159876}",Wil,True
48,"I'm looking for a city with warm weather. Between San José and Boise, I should visit ->",San José,Boise,"{'an': 1.3255195091485343e-05, 'San': 0.9999827639415425, 'SJ': 5.01693229833058e-07, 'AN': 1.5958851861928682e-06, 'SAN': 8.445431556425633e-07}",San,True
49,"I'm looking for a city with warm weather. Between San José and Amsterdam, I should visit ->",San José,Amsterdam,"{'an': 7.002579337459e-06, 'Costa': 5.393096182872907e-07, 'San': 0.9999905095960342, 'AN': 1.018357013940988e-06, 'SAN': 3.278357880881732e-07}",San,True
50,"I'm looking for a city with warm weather. Between Dodoma and Yinchuan, I should visit ->",Dodoma,Yinchuan,"{'Tam': 1.513959732600312e-06, 'Dod': 0.9998509169539819, 'dod': 2.3168200050867853e-06, 'Jos': 1.1336568498443427e-06, 'Lod': 0.0001384699809323571}",Dod,True
51,"I'm looking for a city with warm weather. Between Mexico City and Halifax, I should visit ->",Mexico City,Halifax,"{'Gu': 0.06515687208545672, 'exico': 0.012835326843060152, 'Mex': 0.011135890593681289, 'Ver': 0.008099625118835645, 'Mexico': 0.888727699644523}",Mexico,True
52,"I'm looking for a city with warm weather. Between Medellín and Suwałki, I should visit ->",Medellín,Suwałki,"{'Gu': 1.927129438108287e-06, 'Med': 0.9999926553342722, 'Colombia': 7.973955361666221e-07, 'Ant': 4.066389715329908e-06, 'ed': 3.3939473396010257e-07}",Med,True
53,"I'm looking for a city with warm weather. Between Villahermosa and Minneapolis, I should visit ->",Villahermosa,Minneapolis,"{'Gu': 2.3181940712057995e-05, 'City': 1.3717968707729535e-05, 'Jos': 4.4472346007430475e-05, 'Villa': 0.9997123347435865, 'vill': 1.4853782668514768e-05}",Villa,True
54,"I'm looking for a city with warm weather. Between Nakhon Ratchasima and Zagreb, I should visit ->",Nakhon Ratchasima,Zagreb,"{'Nak': 1.427702437310401e-05, 'R': 4.945892652542933e-05, 'N': 0.9996731158782602, 'K': 3.477532410989243e-05, 'Kh': 0.00013206781728507066}",N,True
55,"I'm looking for a city with warm weather. Between Kampala and Río Gallegos, I should visit ->",Kampala,Río Gallegos,"{'Living': 4.202163303597437e-05, 'Uganda': 3.857384892818227e-05, 'R': 0.00011251646404059156, 'Kamp': 0.9979649019259179, 'K': 0.0017008264482861449}",Kamp,True
