,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. Between Mumbai and Florianópolis, you should visit ->",Florianópolis,Mumbai,"{'lor': 0.002118679207040459, 'Flo': 9.784392929214758e-06, 'Fior': 4.9929931418485965e-06, 'Flor': 0.997826797431495, 'St': 9.755337371672917e-06}",Flor,True
1,"You don't like big cities. Between Lagos and Auckland, you should visit ->",Auckland,Lagos,"{'Hamilton': 0.003272670371374511, 'Auckland': 0.923869487140766, 'A': 0.05933436677225079, 'Dun': 0.002835794880423764, 'New': 0.0062383472217119535}",Auckland,True
2,"You don't like big cities. Between Cairo and Garoua, you should visit ->",Garoua,Cairo,"{'small': 2.971727593361781e-05, 'Gu': 1.026721242280781e-05, 'ar': 0.0007761114709236251, 'G': 0.00013251721452945197, 'Gar': 0.9990127568454993}",Gar,True
3,"You don't like big cities. Between Nairobi and Garissa, you should visit ->",Garissa,Nairobi,"{'small': 2.510197574460228e-05, 'ar': 0.0004449278605780562, 'N': 0.0001256538064955743, 'G': 3.5346683110348395e-05, 'Gar': 0.9993309856899362}",Gar,True
4,"You don't like big cities. Between Los Angeles and Denver, you should visit ->",Denver,Los Angeles,"{'Denver': 0.9987190224530652, 'Nuggets': 0.00029716114219034267, 'enver': 0.0004563227106302573, 'Fort': 0.00014091523761737912, 'Colorado': 0.00013258733468108296}",Denver,True
5,"You don't like big cities. Between Ankara and Mombasa, you should visit ->",Mombasa,Ankara,"{'small': 3.271588817931372e-08, 'M': 0.9999994539509491, 'N': 3.2401730664619917e-08, '': 4.197901052458496e-07, 'K': 3.3423954280418013e-08}",M,True
6,"You don't like big cities. Between Guangzhou and Monterrey, you should visit ->",Monterrey,Guangzhou,"{'Gu': 1.135197507210954e-07, 'Monte': 2.083309131149068e-06, 'Mon': 0.9999975456765119, 'N': 1.619322174620995e-07, 'on': 1.4543661223532423e-07}",Mon,True
7,"You don't like big cities. Between Guadalajara and Florianópolis, you should visit ->",Florianópolis,Guadalajara,"{'Gu': 0.1540997282689395, 'lor': 0.0014912344680442777, 'Flo': 5.042094433503396e-06, 'Flor': 0.8443778373307841, 'St': 5.970451531516358e-06}",Flor,True
8,"You don't like big cities. Between Tampa and La Ceiba, you should visit ->",La Ceiba,Tampa,"{'a': 0.00026122172244200684, 'Tampa': 0.011655559529122839, 'Ce': 0.10264420408447322, 'La': 0.885047927564896, 'St': 0.00018809883785732623}",La,True
9,"You don't like big cities. Between Guadalajara and Beirut, you should visit ->",Beirut,Guadalajara,"{'Gu': 0.9998626014800414, 'Lebanese': 3.3000068953302724e-06, 'G': 1.4301960860229475e-06, 'Beirut': 0.0001268297401110028, 'u': 1.3753449301699575e-06}",Gu,False
10,"You don't like big cities. Between Paris and Baku, you should visit ->",Baku,Paris,"{'Barcelona': 5.294432220583675e-08, 'Azerbaijan': 1.03036555903352e-07, 'B': 0.9999998115819777, 'Marse': 2.7981563222166378e-08, 'Bat': 6.372352712097421e-08}",B,True
11,"You don't like big cities. Between Tampa and Aden, you should visit ->",Aden,Tampa,"{'small': 0.00017789172131236583, 'Tampa': 0.010206805247814825, 'Adin': 0.0004990541255794021, 'Aden': 0.9886319413014271, 'St': 9.650796636707153e-05}",Aden,True
12,"You don't like big cities. Between Medellín and Saskatoon, you should visit ->",Saskatoon,Medellín,"{'small': 8.093664199132777e-06, 'Med': 0.004193854665749286, 'Winnipeg': 4.294463169409932e-06, 'Sask': 0.9911483347166797, 'Saskatchewan': 0.0046342277804700275}",Sask,True
13,"You don't like big cities. Between Ankara and Albuquerque, you should visit ->",Albuquerque,Ankara,"{'small': 5.519689219916394e-06, 'Albuquerque': 0.9992635150882452, 'ABE': 1.3730952046277941e-05, 'AB': 4.6451866663200376e-06, 'New': 0.0006764263401645657}",Albuquerque,True
14,"You don't like big cities. Between Tampa and Malabo, you should visit ->",Malabo,Tampa,"{'al': 0.0010631288217436603, 'Tampa': 0.12767480931094563, 'Man': 0.0012113740320022048, 'Mal': 0.8656447361343064, 'St': 0.0018154498331811235}",Mal,True
15,"You don't like big cities. Between Beijing and Parakou, you should visit ->",Parakou,Beijing,"{'ar': 0.0001722785352434836, 'small': 5.30311543067747e-05, 'Par': 0.9995002052390325, 'PAR': 9.399133131499921e-05, 'P': 7.223173974561824e-05}",Par,True
16,"You don't like big cities. Between Yaoundé and Tamanrasset, you should visit ->",Tamanrasset,Yaoundé,"{'Tam': 2.0269181057876166e-05, 'small': 4.2588222331234596e-07, 'T': 0.9999760874549095, 'Tad': 1.2393110879051319e-07, '': 2.6964431642280463e-06}",T,True
17,"You don't like big cities. Between Paris and El Paso, you should visit ->",El Paso,Paris,"{'el': 6.313394944661332e-06, 'EL': 1.1923622994698177e-05, 'El': 0.9998682026060397, 'Paso': 5.445336519998188e-06, 'l': 7.84503199813541e-05}",El,True
18,"You don't like big cities. Between Melbourne and Gabès, you should visit ->",Gabès,Melbourne,"{'Gab': 0.9996338338252032, 'Gabriel': 1.1006099850415152e-06, 'Gu': 8.976675937799022e-07, 'G': 0.00013980317743351453, 'ab': 0.0002209500279253254}",Gab,True
19,"You don't like big cities. Between Addis Ababa and Ségou, you should visit ->",Ségou,Addis Ababa,"{'small': 1.1412664398671499e-06, 'a': 2.3526834209580365e-06, 'Add': 2.461969070600293e-05, 'S': 0.9999664299534866, 'Seg': 9.437939197335483e-07}",S,True
20,"You don't like big cities. Between Los Angeles and Honolulu, you should visit ->",Honolulu,Los Angeles,"{'Hawai': 0.0009253511230429334, 'Hawaii': 0.0007722291697373088, 'Honolulu': 0.9215476813688378, 'O': 0.0005359468833669562, 'Hon': 0.07571004746010951}",Honolulu,True
21,"You don't like big cities. Between Lima and Fairbanks, you should visit ->",Fairbanks,Lima,"{'air': 0.00019676626612604196, 'fair': 1.5210479802258644e-06, 'Fare': 3.931903465368838e-07, 'Fort': 9.721157064626426e-07, 'Fair': 0.9997960793746378}",Fair,True
22,"You don't like big cities. Between Guadalajara and Ürümqi, you should visit ->",Ürümqi,Guadalajara,"{'Gu': 0.9991302390115518, 'ytes: \\xc4': 1.0733585430910283e-06, 'G': 1.4905923003238234e-06, 'Ü': 0.0008636387413808291, '': 7.417422693552474e-07}",Gu,False
23,"You don't like big cities. Between Mumbai and Erbil, you should visit ->",Erbil,Mumbai,"{'ER': 2.448798423759769e-05, 'small': 1.710686009087201e-05, 'smaller': 7.698854549312678e-06, 'Er': 0.9997430915866197, 'r': 0.00018844017037479292}",Er,True
24,"You don't like big cities. Between Johannesburg and Hat Yai, you should visit ->",Hat Yai,Johannesburg,"{'Hat': 0.9986746173963682, 'Hats': 1.66508548585494e-05, 'at': 0.0013032071685012505, 'Y': 7.349723187554494e-07, 'hat': 2.774805231710703e-06}",Hat,True
25,"You don't like big cities. Between Algiers and Mandalay, you should visit ->",Mandalay,Algiers,"{'Mand': 6.0022563986246006e-05, 'small': 0.00011220084878226161, 'M': 0.000269481180829404, 'Mandal': 0.9993464828753974, 'Al': 0.00010498070359302771}",Mandal,True
26,"You don't like big cities. Between Mumbai and Garissa, you should visit ->",Garissa,Mumbai,"{'small': 3.0454250014531993e-05, 'ar': 0.0005582598628260909, 'G': 1.8604761786187676e-05, 'gar': 1.0316262751300558e-05, 'Gar': 0.9993522049098966}",Gar,True
27,"You don't like big cities. Between Los Angeles and Reykjavík, you should visit ->",Reykjavík,Los Angeles,"{'small': 3.933928551330627e-06, 'Iceland': 7.996448175022886e-05, 'Rey': 0.9998897776949247, 'Icelandic': 6.261874354606636e-06, 'K': 6.354247951368865e-06}",Rey,True
28,"You don't like big cities. Between Ho Chi Minh City and Lisbon, you should visit ->",Lisbon,Ho Chi Minh City,"{'Portugal': 0.006357443168450824, 'Lis': 0.0031165651408767226, 'L': 0.00250211976594381, 'Lisbon': 0.9856758401096891, '': 0.0005107940920222149}",Lisbon,True
29,"You don't like big cities. Between Kuwait City and Zagreb, you should visit ->",Zagreb,Kuwait City,"{'Z': 0.9999822861768917, 'small': 2.2526395252026445e-07, 'Split': 1.72100711416217e-07, 'Zak': 1.6120773889382845e-07, '': 1.6206324348926298e-05}",Z,True
30,"You don't like big cities. Between Melbourne and Lusaka, you should visit ->",Lusaka,Melbourne,"{'Living': 0.00039712121357993673, 'Melbourne': 3.226946922419118e-05, 'Adelaide': 0.0002835693057348201, 'L': 0.9984190916542021, '': 0.0007063900459578168}",L,True
31,"You don't like big cities. Between Bangkok and Toliara, you should visit ->",Toliara,Bangkok,"{'Tam': 2.7142876898878317e-06, 'T': 0.999992775475097, 'Ant': 1.2187986383926273e-07, 'smaller': 9.981843013371662e-08, '': 3.478369181580428e-06}",T,True
32,"You don't like big cities. Between Hanoi and Calgary, you should visit ->",Calgary,Hanoi,"{'Calgary': 0.9970197460001741, 'Edmonton': 0.00014025715483449117, 'C': 0.0017939004632912918, 'H': 0.0005182367882389325, 'al': 0.00010893393068686709}",Calgary,True
33,"You don't like big cities. Between Guangzhou and Sacramento, you should visit ->",Sacramento,Guangzhou,"{'Sacrament': 0.004661350807479135, 'Sacramento': 0.9940037899558348, 'ac': 0.0001070067116252395, 'sacrament': 4.6321701119318756e-05, 'Sac': 0.0009961497104286426}",Sacramento,True
34,"You don't like big cities. Between Mexico City and Makassar, you should visit ->",Makassar,Mexico City,"{'small': 7.353066704925482e-05, 'Mar': 5.836641571007041e-06, 'Mak': 0.9997596630955421, 'M': 0.0001142056257153403, 'smaller': 2.5040025333791536e-05}",Mak,True
35,"You don't like big cities. Between Cairo and Córdoba, you should visit ->",Córdoba,Cairo,"{'Col': 7.2649094781130054e-09, 'Cord': 4.127634811106943e-06, 'C': 0.9999958767602006, '': 2.7457211210838663e-08, 'Conce': 1.898810702155596e-08}",C,False
36,"You don't like big cities. Between Santiago and Halifax, you should visit ->",Halifax,Santiago,"{'Hal': 1.977264779114835e-05, 'Nova': 1.3397237888212342e-05, 'Halifax': 0.9987510911366216, 'al': 0.0011816581677560713, 'HAL': 1.8732548230778665e-05}",Halifax,True
37,"You don't like big cities. Between Shanghai and San Antonio, you should visit ->",San Antonio,Shanghai,"{'an': 7.104942374486458e-07, 'San': 0.9999989771165232, 'B': 2.8225895506259817e-08, 'SAN': 2.43679522581053e-08, 'St': 2.602063153564947e-07}",San,True
38,"You don't like big cities. Between Sydney and San José, you should visit ->",San José,Sydney,"{'an': 7.02015046071501e-07, 'San': 0.9999982599891138, 'SJ': 3.738616603765969e-07, 'SAN': 2.730415105564652e-07, 'St': 4.1199896489121703e-07}",San,True
39,"You don't like big cities. Between Kabul and Ljubljana, you should visit ->",Ljubljana,Kabul,"{'Sloven': 1.8332685470445762e-05, 'Slovenia': 2.3431555767066432e-06, 'L': 0.9999468777610361, '': 2.885154539193235e-05, 'Lod': 7.025656416728954e-07}",L,True
40,"You don't like big cities. Between London and Barranquilla, you should visit ->",Barranquilla,London,"{'ar': 0.0008264067270546494, 'Br': 0.000575576736416757, 'Bar': 0.9918163806317716, 'BAR': 0.00034770946415787606, 'B': 0.005354372832795558}",Bar,True
41,"You don't like big cities. Between Surabaya and Bucharest, you should visit ->",Bucharest,Surabaya,"{'Br': 5.2524753723101694e-05, 'Buc': 5.497884956802634e-05, 'Buch': 0.998313113994284, 'B': 0.00028253079626270185, 'Sur': 0.0012229776465491813}",Buch,True
42,"You don't like big cities. Between Ankara and Mahajanga, you should visit ->",Mahajanga,Ankara,"{'small': 1.982783102265634e-05, 'M': 0.00015816607015524124, 'Ant': 4.8176461828184176e-05, 'ah': 0.0008768187126640748, 'Mah': 0.9987816682694571}",Mah,True
43,"You don't like big cities. Between Kuwait City and Paramaribo, you should visit ->",Paramaribo,Kuwait City,"{'Pir': 5.207149358602821e-06, 'aram': 0.00044995679091456404, 'Param': 0.9995025892497652, 'Par': 1.0619655303232196e-05, 'param': 8.352906465220973e-06}",Param,True
