,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with cold weather. Between Barranquilla and Sacramento, I should visit ->",Sacramento,Barranquilla,"{'Salt': 0.028794519646493356, 'Sacramento': 0.20864402684173602, 'San': 0.05986262052209528, 'S': 0.10214499045378617, 'Seattle': 0.5326890771300139}",Seattle,True
1,"I'm looking for a city with cold weather. Between Suva and Minneapolis, I should visit ->",Minneapolis,Suva,"{'Minneapolis': 0.261304077998662, 'Winnipeg': 0.2694915886678817, 'M': 0.17414855145595198, 'Seattle': 0.0835647415205887, 'Detroit': 0.045351025031376}",Winnipeg,True
2,"I'm looking for a city with cold weather. Between Port Sudan and Buenos Aires, I should visit ->",Buenos Aires,Port Sudan,"{'Madrid': 0.12693590562951013, 'Barcelona': 0.19388648888538643, 'Rio': 0.0490605318207295, 'Bel': 0.0707734746725169, 'Buenos': 0.20121876091484578}",Buenos,True
3,"I'm looking for a city with cold weather. Between Wau and Bratislava, I should visit ->",Bratislava,Wau,"{'Br': 0.3677112483632113, 'Warsaw': 0.0008408014616492793, 'W': 0.628974464553531, 'Budapest': 0.001081049446422235, 'St': 0.0002121835194446637}",W,False
4,"I'm looking for a city with cold weather. Between Ho Chi Minh City and Ushuaia, I should visit ->",Ushuaia,Ho Chi Minh City,"{'Tokyo': 0.0634598535869759, 'Har': 0.04573636794853614, 'S': 0.06644724197176856, 'Sochi': 0.20109442602837949, 'Ark': 0.12745929758211022}",Sochi,False
5,"I'm looking for a city with cold weather. Between Managua and Napier, I should visit ->",Napier,Managua,"{'Man': 0.6528836259888212, 'Edmonton': 0.04211899720703062, 'Winnipeg': 0.06178039486761921, 'Edinburgh': 0.053651529578230266, 'N': 0.03927483877018969}",Man,False
6,"I'm looking for a city with cold weather. Between Bamako and Milwaukee, I should visit ->",Milwaukee,Bamako,"{'Milwaukee': 0.43730280772132807, 'Warsaw': 0.3590851614866434, 'M': 0.07296196507390658, 'W': 0.021575518712658243, 'Detroit': 0.02752618625323908}",Milwaukee,True
7,"I'm looking for a city with cold weather. Between Shanghai and Ottawa, I should visit ->",Ottawa,Shanghai,"{'Winnipeg': 0.3405404379311933, 'S': 0.1287884684484153, 'Chong': 0.05805670927485043, 'Seattle': 0.05131463422205469, 'Detroit': 0.16025142353613533}",Winnipeg,False
8,"I'm looking for a city with cold weather. Between Willemstad and Vienna, I should visit ->",Vienna,Willemstad,"{'Vienna': 0.3720299936008409, 'Warsaw': 0.040843973340674314, 'W': 0.3687805231904447, 'Budapest': 0.09516073212078498, 'St': 0.019256238361897583}",Vienna,True
9,"I'm looking for a city with cold weather. Between Bujumbura and Ljubljana, I should visit ->",Ljubljana,Bujumbura,"{'Vil': 0.06519856627099323, 'Bel': 0.0953445982833332, 'L': 0.09479679294381416, 'Budapest': 0.09181409066975242, 'St': 0.07461956057822636}",Bel,True
10,"I'm looking for a city with cold weather. Between Guangzhou and Almaty, I should visit ->",Almaty,Guangzhou,"{'Gu': 0.11518850715230997, 'Har': 0.12976346316090012, 'Sochi': 0.09745415662627958, 'Chong': 0.16185142406127456, 'K': 0.034349775362512824}",Chong,False
11,"I'm looking for a city with cold weather. Between Porto Alegre and Copenhagen, I should visit ->",Copenhagen,Porto Alegre,"{'Edinburgh': 0.015784407394430065, 'Stockholm': 0.09540039119116335, 'Copenhagen': 0.2113694560791911, 'C': 0.5631801048261021, 'Helsinki': 0.023692981830266937}",C,True
12,"I'm looking for a city with cold weather. Between Luanda and Ürümqi, I should visit ->",Ürümqi,Luanda,"{'Har': 0.05781259040202575, 'Sochi': 0.10748910342934441, 'O': 0.06518822659834034, 'Helsinki': 0.10407751717809677, 'Ark': 0.1584707888699688}",Ark,False
13,"I'm looking for a city with cold weather. Between San Juan and Addis Ababa, I should visit ->",Addis Ababa,San Juan,"{'Winnipeg': 0.0014636850739578437, 'San': 0.9846755046400143, 'S': 0.0012965913455135166, 'Sochi': 0.0030351312801577056, 'Seattle': 0.0013341298465249082}",San,False
14,"I'm looking for a city with cold weather. Between Valencia and Saint Petersburg, I should visit ->",Saint Petersburg,Valencia,"{'S': 0.0013813638096028796, 'Sochi': 0.0008046219646315315, 'St': 0.9960884172482193, 'Ark': 0.0002538692975399726, 'Saint': 0.00032906212343293003}",St,True
15,"I'm looking for a city with cold weather. Between Wau and Anchorage, I should visit ->",Anchorage,Wau,"{'Winnipeg': 0.00041389356771682985, 'W': 0.9759700300075406, 'Anchorage': 0.011411457322443093, 'Seattle': 0.005406112614250262, 'Ark': 0.0024561013580118667}",W,False
16,"I'm looking for a city with cold weather. Between Mombasa and Toluca, I should visit ->",Toluca,Mombasa,"{'Madrid': 0.006807840611002763, 'Tol': 0.11304073935250492, 'T': 0.24130931589235788, 'C': 0.006199317956490303, 'M': 0.5822726908513789}",M,False
17,"I'm looking for a city with cold weather. Between Dodoma and Saskatoon, I should visit ->",Saskatoon,Dodoma,"{'Vancouver': 0.008274008364545924, 'Edmonton': 0.21746118590232316, 'Winnipeg': 0.26567476666396095, 'Sask': 0.18431942888068506, 'S': 0.2849472510154467}",S,True
18,"I'm looking for a city with cold weather. Between Bujumbura and Indianapolis, I should visit ->",Indianapolis,Bujumbura,"{'Indiana': 0.03571208971663087, 'Indianapolis': 0.7069081900531602, 'Indy': 0.05874064926924133, 'Fort': 0.03624710728137704, 'Detroit': 0.03442535231990127}",Indianapolis,True
19,"I'm looking for a city with cold weather. Between Lusaka and Zürich, I should visit ->",Zürich,Lusaka,"{'Z': 0.3244968013666933, 'city': 0.12905842115084912, 'R': 0.128121019101433, 'Zurich': 0.06280286409121007, 'St': 0.0871939788793475}",Z,True
20,"I'm looking for a city with cold weather. Between Honolulu and Rome, I should visit ->",Rome,Honolulu,"{'Rome': 0.014992434076947161, 'Istanbul': 0.01382300977977481, 'Warsaw': 0.0193670521406153, 'R': 0.7746444957748392, 'Helsinki': 0.04261460261731344}",R,True
