,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for an expensive restaurant. Between Thompson Rooftop and Nook, I should go to ->",Thompson Rooftop,Nook,"{'Thompson': 0.9887987128588269, 'Thomson': 7.187651362054832e-05, 'R': 0.0007049004294142454, 'hompson': 0.010066437584852105, 'Th': 0.00018735562671544205}",Thompson,True
1,"I'm looking for an expensive restaurant. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, I should go to ->",Mirage Grill & Lounge,Sheriff Broaster Chicken,"{'Sheriff': 1.9488383263288823e-05, 'her': 1.082937725988828e-05, 'Mirage': 0.999876069370035, 'Spectre': 2.321841138129288e-05, 'Magic': 8.54046587110537e-06}",Mirage,True
2,"I'm looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and LCBO, I should go to ->",LCBO,Buk Chang Dong Soon Tofu,"{'Shell': 9.141984322038139e-05, 'LC': 0.9959961464810033, 'Buk': 0.0003835488369090059, 'L': 0.001283197845319126, 'C': 0.002173651079878786}",LC,True
3,"I'm looking for an expensive restaurant. Between Juice & Java Cafe and Cake Opera, I should go to ->",Cake Opera,Juice & Java Cafe,"{'cake': 0.0055844797617159315, 'Cake': 0.7262066955962476, 'C': 0.02291954130973778, 'Juice': 0.2158104937800526, 'Sauce': 0.009981269423540894}",Cake,True
4,"I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, I should go to ->",Mysteriously Yours Dinner Theatre,Hina Sushi,"{'Myster': 0.9992888440913145, 'My': 0.00023080554465124042, 'Mysteries': 2.3438865373370034e-05, 'Myst': 5.0385657338682583e-05, 'myster': 0.00022885292720808961}",Myster,True
5,"I'm looking for an expensive restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, I should go to ->",Sichuan Landscape Chinese Restaurant,The Coffee Pocket,"{'s': 3.6893952582346537e-06, 'S': 0.9882306214033794, 'The': 0.011758957363599654, 'Chinese': 1.9755020290271457e-06, '': 7.91867307661467e-07}",S,True
6,"I'm looking for an expensive restaurant. Between Queen Pita and LCBO, I should go to ->",LCBO,Queen Pita,"{'Shell': 3.6872225013765143e-05, 'LC': 0.9977968179761725, 'L': 0.0005012613180237032, 'C': 0.0014533201230138278, 'Queen': 0.00013439988305528119}",LC,True
7,"I'm looking for an expensive restaurant. Between Lebanese Bakery and Supermodel Pizza, I should go to ->",Lebanese Bakery,Supermodel Pizza,"{'Lebanon': 0.002991480092035164, 'Lebanese': 0.9957807357124451, 'Lah': 2.5381652182082847e-05, 'L': 7.70202641465129e-05, 'Beirut': 0.0010576205058643756}",Lebanese,True
8,"I'm looking for an expensive restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, I should go to ->",Joe Badali's Ristorante Italiano & Bar,New Bilan Restaurant,"{'R': 0.005000555363580768, 'Joe': 0.4538422083743954, 'new': 0.001334313969147897, 'Joseph': 0.0019358946653529755, 'New': 0.5332606446458005}",New,False
9,"I'm looking for an expensive restaurant. Between Madras Pantry and Chipotle Mexican Grill, I should go to ->",Chipotle Mexican Grill,Madras Pantry,"{'chip': 0.0002459102318025538, 'Chip': 0.975516509422658, 'hip': 0.015458148556691939, 'Mad': 0.007818212743272253}",Chip,True
10,"I'm looking for an expensive restaurant. Between FreshCo and Helena's Magic Kitchen, I should go to ->",FreshCo,Helena's Magic Kitchen,"{'Fl': 0.00035459261174631933, 'Fresh': 0.002119139010315238, 'F': 5.09495821248714e-05, 'Helena': 0.9971071254490221, 'expensive': 7.34429238259265e-05}",Helena,False
11,"I'm looking for an expensive restaurant. Between Dinah's Cupboard and Piper's Pub And Grill, I should go to ->",Dinah's Cupboard,Piper's Pub And Grill,"{'din': 0.00021360223231925573, 'Gor': 1.807540289478422e-05, 'Din': 0.601146893001056, 'Piper': 0.3985133024516408, 'D': 3.257452554706111e-05}",Din,True
12,"I'm looking for an expensive restaurant. Between Maurya East Indian Roti and Top Sushi, I should go to ->",Maurya East Indian Roti,Top Sushi,"{'ma': 0.001477622354896595, 'a': 0.0033020635095755845, 'Top': 0.0002264935704450866, 'Ma': 0.993134873391109, 'MA': 0.0005612048879251117}",Ma,True
13,"I'm looking for an expensive restaurant. Between La Pupusa Loka and KFC, I should go to ->",La Pupusa Loka,KFC,"{'a': 0.0001961780289557192, 'Fl': 0.00020496383684936897, 'L': 0.7703653316231001, 'La': 0.12493674621954358, 'K': 0.10400756937888524}",L,True
14,"I'm looking for an expensive restaurant. Between Hapa Toronto and Buk Chang Dong Soon Tofu, I should go to ->",Hapa Toronto,Buk Chang Dong Soon Tofu,"{'Fl': 2.379740540086459e-05, 'B': 2.3821595851419855e-05, 'H': 0.004537205432299283, 'Buk': 0.9952512010701271, 'expensive': 2.6406324819755014e-05}",Buk,False
15,"I'm looking for an expensive restaurant. Between Topham Corner and Milo's Pita, I should go to ->",Topham Corner,Milo's Pita,"{'Gor': 1.3884340897464696e-06, 'T': 0.9998915656394303, 'Milo': 9.673106072473044e-05, '': 2.385027269349059e-06, 'Th': 1.456226583152959e-06}",T,True
16,"I'm looking for an expensive restaurant. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, I should go to ->",Itamae Ayce Sushi,Just Soups Take Out & Catering,"{'If': 0.00012672977427763434, 't': 0.001866162678546108, 'Just': 0.00010281503096693594, 'it': 0.00033177418039764226, 'It': 0.9967883571937473}",It,True
17,"I'm looking for an expensive restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to ->",Oxygen Restaurant & Lounge,Falafel Hut Village,"{'oxy': 0.0011492077351293556, 'Gor': 8.738197781983661e-05, 'xy': 0.00028431465300267074, 'Oxy': 0.9975746678820667, 'Fal': 0.0003393627376783546}",Oxy,True
18,"I'm looking for an expensive restaurant. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, I should go to ->",Carole's Cheesecake Cafe,Solero Mediterranean Bakery,"{'CAR': 1.779888042706954e-05, 'Car': 0.999727952341677, 'Carr': 1.5767337570494317e-05, 'Sol': 3.600380250309965e-05, 'ar': 0.00015214812577022362}",Car,True
19,"I'm looking for an expensive restaurant. Between Sushi World and Domino's Pizza, I should go to ->",Domino's Pizza,Sushi World,"{'Domin': 0.00010568051759550916, 'om': 0.0010029526294310104, 'Dominic': 1.2635275662370274e-05, 'omin': 9.460881475623666e-06, 'Dom': 0.9988475314026055}",Dom,True
20,"I'm looking for an expensive restaurant. Between Dinah's Cupboard and LCBO, I should go to ->",Dinah's Cupboard,LCBO,"{'din': 7.19663434731254e-05, 'LC': 0.012701727133503319, 'Din': 0.9869638967418457, 'D': 9.797046522220323e-05, 'C': 4.737779021202311e-05}",Din,True
21,"I'm looking for an expensive restaurant. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, I should go to ->",Kim PO Vietnamese,St. Clair Shawarma and Falafel,"{'im': 0.022610329943179335, 'Kimber': 0.00014413171340878125, 'St': 0.00020688158117761999, 'Kh': 7.060913718185892e-05, 'Kim': 0.9764912678493094}",Kim,True
22,"I'm looking for an expensive restaurant. Between Lahore Grill & Fast Food and Thai 4 You Restaurant, I should go to ->",Thai 4 You Restaurant,Lahore Grill & Fast Food,"{'Thailand': 6.405989838703634e-05, 'Thai': 0.9836481500117034, 'Lah': 0.013688539898112409, 'Bangkok': 0.0001312708253166382, 'Th': 0.0023553444475022662}",Thai,True
23,"I'm looking for an expensive restaurant. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, I should go to ->",Scaddabush Italian Kitchen & Bar,The Coffee Pocket,"{'Sc': 0.9196063048848379, 'Fl': 0.0003897393794674902, 'the': 0.0004125822409753715, 'c': 0.00045899446812114683, 'The': 0.0785785906686946}",Sc,True
24,"I'm looking for an expensive restaurant. Between Falafel House and Nook, I should go to ->",Nook,Falafel House,"{'Fl': 0.0013146638150392527, 'N': 0.7829953904857826, 'al': 0.0004387320481143367, 'Fal': 0.21309483023061912}",N,True
25,"I'm looking for an expensive restaurant. Between z-teca Gourmet Burritos and Grappa Ristorante, I should go to ->",Grappa Ristorante,z-teca Gourmet Burritos,"{'Z': 0.0030413201437930115, 'Gor': 0.004781001192085941, 'z': 0.0008107766033952921, 'ra': 0.003794456853442313, 'Gra': 0.9869453597600184}",Gra,True
26,"I'm looking for an expensive restaurant. Between Hapa Toronto and Falafel Hut Village, I should go to ->",Hapa Toronto,Falafel Hut Village,"{'Fl': 0.004175784642559126, 'H': 0.9473704088897151, 'L': 0.0009750023272950438, 'al': 0.0011424765049529188, 'Fal': 0.04170304213335753}",H,True
27,"I'm looking for an expensive restaurant. Between Carole's Cheesecake Cafe and Edible Arrangements, I should go to ->",Edible Arrangements,Carole's Cheesecake Cafe,"{'Ed': 0.47336245230165247, 'Car': 0.5253635394144739, 'd': 0.0002583250195975314, 'Ar': 0.00013823934376363265, 'ar': 0.00012662596177059839}",Car,False
28,"I'm looking for an expensive restaurant. Between Aris Place and Marcello’s pizzeria, I should go to ->",Marcello’s pizzeria,Aris Place,"{'Mar': 0.5508764354829551, 'Ace': 4.136295022153827e-05, 'r': 0.0002643953598172124, 'A': 0.0023226581380826955, 'Ar': 0.44623076966700864}",Mar,True
29,"I'm looking for an expensive restaurant. Between Fit For Life and 9 Restaurant, I should go to ->",9 Restaurant,Fit For Life,"{'Nine': 0.0006516929777265584, '': 7.924596986012238e-05, 'F': 3.970986152436791e-05, 'nine': 0.00018850538195469544, '9': 0.9987225406467624}",9,True
30,"I'm looking for an expensive restaurant. Between Big Al's Diner and Popeyes Louisiana Kitchen, I should go to ->",Popeyes Louisiana Kitchen,Big Al's Diner,"{'big': 4.4748438844874535e-05, 'ig': 2.482528402512211e-06, 'BIG': 5.127768416267194e-06, 'Big': 0.834442459770907, 'Pop': 0.16550322466072553}",Big,False
31,"I'm looking for an expensive restaurant. Between Mirage Grill & Lounge and Farmacia Health Bar, I should go to ->",Mirage Grill & Lounge,Farmacia Health Bar,"{'ir': 1.0886730376542099e-06, 'Masquerade': 8.615782113629137e-07, 'Mirage': 0.9999919419639661, 'Spectre': 1.3249471316018372e-06, 'Magic': 1.6634330313131257e-06}",Mirage,True
32,"I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and Beryl's Pepper Pot, I should go to ->",Nutella Cafe by Pusateri's,Beryl's Pepper Pot,"{'Nut': 5.355984130952322e-05, 'b': 8.353065948736892e-07, 'B': 0.99992685289538, 'P': 1.2001342973258734e-05, 'ut': 7.801286460726505e-07}",B,False
33,"I'm looking for an expensive restaurant. Between Edible Arrangements and Bao Bao Plus Dim Sum, I should go to ->",Edible Arrangements,Bao Bao Plus Dim Sum,"{'ed': 2.6676194020434433e-05, 'Ed': 0.9990160942529906, 'B': 0.0004893529743235771, 'expensive': 1.9276670029717737e-05, 'd': 0.0003029587198060624}",Ed,True
