,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. Between Amaya Express and Hina Sushi, you should go to ->",Amaya Express,Hina Sushi,"{'No': 4.854210914085127e-06, 'Am': 0.18860324560435865, 'A': 7.573236794998212e-06, 'H': 0.8100813534508273, 'm': 0.001293192385806943}",H,False
1,"You don't like restaurants further away. Between Tortería San Cosme and Falafel House, you should go to ->",Tortería San Cosme,Falafel House,"{'or': 0.0232383650537558, 'T': 0.0007800145379943779, 'Tor': 0.6009654101080344, 'al': 0.0018106865431768962, 'Fal': 0.37295438464264496}",Tor,True
2,"You don't like restaurants further away. Between Pho 88 and Domino's Pizza, you should go to ->",Pho 88,Domino's Pizza,"{'Ph': 0.9750986788779462, 'om': 0.00011226066777500786, 'h': 9.380224071555234e-07, 'omin': 5.131410901793341e-07, 'Dom': 0.024785985161604168}",Ph,True
3,"You don't like restaurants further away. Between Domino's Pizza and Thai 4 You Restaurant, you should go to ->",Thai 4 You Restaurant,Domino's Pizza,"{'Thai': 0.9883202639156198, 'om': 0.0003630703285148208, 'Chinese': 2.1216062459164737e-05, 'Th': 0.002527426721430819, 'Dom': 0.008748246488586834}",Thai,True
4,"You don't like restaurants further away. Between Branca and Nutella Cafe by Pusateri's, you should go to ->",Branca,Nutella Cafe by Pusateri's,"{'Nut': 0.3367254395938513, 'Br': 0.5993078937427221, 'P': 0.054093892083136204, 'ut': 0.0032194308168628834, 'r': 0.00642010825033193}",Br,True
5,"You don't like restaurants further away. Between Pasta Pantry and Topham Corner, you should go to ->",Pasta Pantry,Topham Corner,"{'Past': 0.00023082216324871752, 'No': 9.49557351235849e-08, 'ast': 5.710603694735012e-08, 'T': 0.9997689601238239, '': 7.36659612451727e-08}",T,False
6,"You don't like restaurants further away. Between St. Clair Shawarma and Falafel and Tian An Cuisine, you should go to ->",Tian An Cuisine,St. Clair Shawarma and Falafel,"{'Tian': 0.9943643395517859, 'T': 0.00024412357645449967, 'Chinese': 6.806244264178812e-05, 'al': 7.591464051524693e-05, 'Fal': 0.005197107802259525}",Tian,True
7,"You don't like restaurants further away. Between El Fogón and Eggspectation, you should go to ->",El Fogón,Eggspectation,"{'Egg': 0.9924012615044427, 'El': 0.007206363671901407, 'gg': 7.101900788944132e-05, 'Eggs': 0.00017209309114060085, 'l': 5.88877187049369e-05}",Egg,False
8,"You don't like restaurants further away. Between Milestones Restaurants and Viccino Pizzeria, you should go to ->",Milestones Restaurants,Viccino Pizzeria,"{'Victory': 0.000340538966453057, 'Vic': 0.23647199321180032, 'il': 0.005603323921028449, 'Mil': 0.7552899679172885, 'V': 0.0011657432646375225}",Mil,True
9,"You don't like restaurants further away. Between Sheriff Broaster Chicken and Aroma Espresso Bar, you should go to ->",Sheriff Broaster Chicken,Aroma Espresso Bar,"{'Sheriff': 0.005375260183002232, 'sheriff': 7.254316354546129e-07, 'Bro': 2.5442007612865807e-06, 'her': 5.180505083391975e-06, 'A': 0.9946147991628319}",A,False
10,"You don't like restaurants further away. Between Tik Talk Cafe and Sushi Time Japanese Restaurant, you should go to ->",Tik Talk Cafe,Sushi Time Japanese Restaurant,"{'Sakura': 1.1331311658319177e-08, 'T': 1.1368264424614168e-06, 'S': 0.99999813984753, 'Tik': 6.61715587141405e-07, '': 2.5672768455041802e-08}",S,False
11,"You don't like restaurants further away. Between Supermodel Pizza and Falafel House, you should go to ->",Supermodel Pizza,Falafel House,"{'uper': 0.0006254088262952917, 'Super': 0.0563218342107613, 'al': 0.0001410837319816635, 'Fal': 0.9351225114389061}",Fal,False
12,"You don't like restaurants further away. Between Freshii and FreshCo, you should go to ->",FreshCo,Freshii,"{'Fresh': 0.9999552219625663, 'resh': 1.3986640876652458e-06, 'F': 4.843640260491166e-06, 'Friendly': 7.414322858777173e-07}",Fresh,False
13,"You don't like restaurants further away. Between Fitness Avenue and Watson's, you should go to ->",Watson's,Fitness Avenue,"{'fitness': 5.128373051733058e-05, 'Watson': 0.12601664217482178, 'Athlet': 9.563420586190336e-05, 'Exercise': 6.0159270764312804e-05, 'Fitness': 0.8735185702903066}",Fitness,False
14,"You don't like restaurants further away. Between The Duke of Devon and Eggspectation, you should go to ->",The Duke of Devon,Eggspectation,"{'Egg': 0.07709375503056061, 'gg': 1.3117740595331292e-05, 'The': 0.9228591927658176, 'Eggs': 2.1017734008822756e-05, 'egg': 3.7993635199908286e-06}",The,True
15,"You don't like restaurants further away. Between Anatolia Restaurant and Amaya Express, you should go to ->",Amaya Express,Anatolia Restaurant,"{'Am': 0.993673102340759, 'Anat': 0.000612046070310552, 'AM': 1.92424458043051e-05, 'A': 0.00012376066232809785, 'm': 0.00553704673879668}",Am,True
16,"You don't like restaurants further away. Between Grappa Ristorante and Scaddabush Italian Kitchen & Bar, you should go to ->",Scaddabush Italian Kitchen & Bar,Grappa Ristorante,"{'Sc': 0.9737646178472229, 'c': 0.0015524494578759086, 'ra': 5.824868738124023e-05, 'Sn': 1.464124517662147e-05, 'Gra': 0.024575998083486802}",Sc,True
17,"You don't like restaurants further away. Between Sichuan Landscape Chinese Restaurant and Ciao Europa wine bar, you should go to ->",Sichuan Landscape Chinese Restaurant,Ciao Europa wine bar,"{'No': 6.790372749832764e-09, 'S': 0.23318718006714678, 'C': 0.7668127656474644, '': 3.5760031706299704e-08, 'Chinese': 1.5522876466937903e-08}",C,False
18,"You don't like restaurants further away. Between Sushi Shop and Ciao Europa wine bar, you should go to ->",Sushi Shop,Ciao Europa wine bar,"{'Brussels': 5.433213898035866e-09, 'S': 7.54959911854833e-05, 'C': 0.999924467962688, '': 8.625541503424272e-08, 'B': 2.5911991062366686e-08}",C,False
19,"You don't like restaurants further away. Between Sushi Shop and Freshii, you should go to ->",Sushi Shop,Freshii,"{'No': 1.0599063529676428e-06, 'Fresh': 0.6630077298269902, 'S': 0.3369560070599661, 'resh': 1.7870039828574175e-05, 'F': 1.256412534270607e-05}",Fresh,False
20,"You don't like restaurants further away. Between The Coffee Pocket and Sweet Jesus, you should go to ->",Sweet Jesus,The Coffee Pocket,"{'Sweet': 0.2708046139145455, 'the': 4.734379397330363e-07, 'T': 1.4482756631648374e-07, 'weet': 6.416479808948515e-07, 'The': 0.7291934271503504}",The,False
21,"You don't like restaurants further away. Between Big Al's Diner and Sushi Shop, you should go to ->",Sushi Shop,Big Al's Diner,"{'ig': 2.1378455251635468e-06, 'No': 2.519203174581055e-07, 'S': 0.701601626257478, 'B': 1.7037821226957146e-06, 'Big': 0.2983937368444453}",S,True
22,"You don't like restaurants further away. Between Watson's and Mi Mi Restaurant, you should go to ->",Watson's,Mi Mi Restaurant,"{'Mi': 0.7781046128700078, 'Watson': 0.20384937820073326, 'MI': 0.00021992939388709804, 'My': 0.000910780166429938, 'i': 0.01647349917269378}",Mi,False
23,"You don't like restaurants further away. Between Basha Middle Eastern Grill and Harvey's, you should go to ->",Basha Middle Eastern Grill,Harvey's,"{'ar': 5.809581079861717e-05, 'Harvey': 0.35031637647996444, 'Noah': 2.5307774751543935e-06, '': 7.950521770040873e-06, 'B': 0.6496093933713954}",B,True
24,"You don't like restaurants further away. Between Beryl's Pepper Pot and Dinah's Cupboard, you should go to ->",Dinah's Cupboard,Beryl's Pepper Pot,"{'Dim': 8.278738907651948e-07, 'Din': 0.01877668947551664, '': 1.9228463418201146e-06, 'B': 0.9812178929317078, 'D': 1.1560442614448153e-06}",B,False
25,"You don't like restaurants further away. Between Tian An Cuisine and Chick Fiesta, you should go to ->",Tian An Cuisine,Chick Fiesta,"{'Chand': 5.805335827920963e-05, 'Tian': 0.9856944991299494, 'T': 0.00010061451765746863, 'Chick': 0.013748370101066606, 'Chinese': 0.0001591655026391859}",Tian,True
