,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Thiès and Johannesburg, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit ->",Nairobi,Vientiane,"{'': 1.756001702894652e-05, 'N': 0.9669562476522181, 'V': 0.0325301281195557}",N,True
1,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Thiès and Johannesburg, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit ->",Guangzhou,Saskatoon,"{'Sask': 0.7060986643847533, 'Sas': 5.026904891365685e-05, 'Saskatchewan': 8.801669901098808e-05, 'Guang': 0.29284105252850157, 'u': 0.00013313844916658144}",Sask,False
2,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit ->",Alexandria,Lviv,"{'lex': 0.0007493371816335709, 'Alexand': 0.003915118820249698, 'Lv': 0.22352873610871107, 'Alexandria': 0.7641907868369049, 'v': 0.005372587193414825}",Alexandria,True
3,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit ->",Johannesburg,Thiès,"{'Joh': 6.00001197446499e-05, 'Johannes': 0.9411493442181553, 'Jo': 9.194178067311817e-05, 'Th': 0.057638818844623255, 'h': 0.0006263180179287024}",Johannes,True
4,"Someone doesn't like small cities. Between Nairobi and Vientiane, this person should visit -> Nairobi. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Jakarta and Harare, this person should visit -> Jakarta. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit ->",Monterrey,Willemstad,"{'il': 0.00019986408448674815, 'Mon': 0.8451198562225944, 'Wil': 0.15431663746319557, 'on': 0.00021357510655827327, 'mon': 3.2667789372711616e-05}",Mon,True
5,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Jakarta and Harare, this person should visit -> Jakarta. Someone doesn't like small cities. Between Paris and Manaus, this person should visit ->",Paris,Manaus,"{'Man': 0.42336362738753586, 'Par': 0.0005559840228543755, 'aris': 0.0011364913793070557, 'an': 0.0002116664227717086, 'Paris': 0.5739964886590556}",Paris,True
6,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Thiès and Johannesburg, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Jakarta and Harare, this person should visit -> Jakarta. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit ->",Sydney,Pittsburgh,"{'Pitt': 0.0005109536379289501, 'Sydney': 0.8604547417561591, 'Pittsburgh': 0.13736730258040067, 'Sidney': 0.000653576676320081, 'itt': 0.00036306306718086407}",Sydney,True
7,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Jakarta and Harare, this person should visit -> Jakarta. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit ->",Hanoi,Ürümqi,"{'ytes:\\xc3': 0.0003336379950267598, 'H': 0.7136058356422394, '': 0.000403733924378856, 'U': 0.0003241627025020516, 'Ü': 0.2831943975558568}",H,True
8,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit ->",Jakarta,Harare,"{'ar': 0.00027646509048495735, 'Har': 0.08104300007866977, 'Jak': 0.00036694961799541535, 'Johannes': 0.0006012417849033855, 'Jakarta': 0.9169578251373288}",Jakarta,True
9,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Córdoba and Moscow, this person should visit ->",Moscow,Córdoba,"{'': 0.00010827762795964576, 'Cord': 6.718456663375287e-05, 'C': 0.018920198951627044, 'oscow': 0.0009459971515154152, 'Moscow': 0.9798685039140096}",Moscow,True
10,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Thiès and Johannesburg, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Luanda and Sydney, this person should visit ->",Luanda,Sydney,"{'Syd': 0.0006494627989093411, 'Sydney': 0.7733558863743712, 'u': 0.0011718979089803642, 'Sidney': 0.00047880573810786585, 'Lu': 0.22313256996717246}",Sydney,False
11,"Someone doesn't like small cities. Between Nairobi and Vientiane, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Sydney and Pittsburgh, this person should visit -> Sydney. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Shanghai and Denpasar, this person should visit ->",Shanghai,Denpasar,"{'': 0.0003156501746020475, 'en': 0.00039420085275235916, 'Shanghai': 0.8457358095515545, 'B': 0.00016041457501226144, 'Den': 0.15280357590559868}",Shanghai,True
12,"Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Thiès and Johannesburg, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Paris and Manaus, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Hanoi and Ürümqi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Harare and Jakarta, this person should visit -> Jakarta. Someone doesn't like small cities. Between Nairobi and Port-Gentil, this person should visit ->",Nairobi,Port-Gentil,"{'ort': 0.0006602803766798995, '': 0.0001668999544857894, 'port': 0.00015523817616791807, 'N': 0.591907480056526, 'Port': 0.4060217294499123}",N,True
13,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Saskatoon and Guangzhou, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Lviv and Alexandria, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Willemstad and Monterrey, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Zürich and Lima, this person should visit ->",Lima,Zürich,"{'Z': 0.04019680355804476, 'LIM': 0.00011381024658903398, 'Lima': 0.9593357846278128, 'Zurich': 6.883948966487681e-05, '': 6.602018693848441e-05}",Lima,True
14,"Someone doesn't like small cities. Between Vientiane and Nairobi, this person should visit -> Nairobi. Someone doesn't like small cities. Between Guangzhou and Saskatoon, this person should visit -> Guangzhou. Someone doesn't like small cities. Between Alexandria and Lviv, this person should visit -> Alexandria. Someone doesn't like small cities. Between Johannesburg and Thiès, this person should visit -> Johannesburg. Someone doesn't like small cities. Between Monterrey and Willemstad, this person should visit -> Monterrey. Someone doesn't like small cities. Between Manaus and Paris, this person should visit -> Paris. Someone doesn't like small cities. Between Pittsburgh and Sydney, this person should visit -> Sydney. Someone doesn't like small cities. Between Ürümqi and Hanoi, this person should visit -> Hanoi. Someone doesn't like small cities. Between Kabul and Nur-Sultan, this person should visit ->",Kabul,Nur-Sultan,"{'Nurs': 0.00013462155667144556, 'Kabul': 0.035522570350677386, 'N': 0.00012873004766779202, '': 0.0002163260062319062, 'Nur': 0.9626346562579425}",Nur,False
