,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with warm weather. Between Sokoto and Auckland, I should visit ->",Sokoto,Auckland,"{'Dak': 0.0011233308881605745, 'Jos': 0.023263031717359484, 'Mog': 0.00013425749465842513, 'S': 0.0004379323988608024, 'Sok': 0.9743203694654118}",Sok,True
1,"I'm looking for a city with warm weather. Between Wau and Fukuoka, I should visit ->",Wau,Fukuoka,"{'Singapore': 1.6278472965128287e-05, 'Kum': 5.1426240510680604e-05, 'Fuk': 0.9996550548072779, 'W': 0.0001162104251817321, 'Hiroshima': 5.846390515794487e-05}",Fuk,False
2,"I'm looking for a city with warm weather. Between Juba and Kunming, I should visit ->",Juba,Kunming,"{'Kum': 0.01405238706174858, 'Jos': 0.10919277291047218, 'Kun': 0.23837476521541354, 'J': 0.6066076697336832, 'Kh': 0.012359261227213616}",J,True
3,"I'm looking for a city with warm weather. Between Buenos Aires and Moscow, I should visit ->",Buenos Aires,Moscow,"{'Barcelona': 0.0038031192260558244, 'Rio': 0.014506877959293214, 'B': 0.009302739056330467, 'u': 0.005249620451208075, 'Buenos': 0.9522155564295945}",Buenos,True
4,"I'm looking for a city with warm weather. Between Medellín and Ljubljana, I should visit ->",Medellín,Ljubljana,"{'Col': 5.067688233798706e-08, 'Gu': 2.395889716347618e-07, 'Med': 0.9999994539509491, 'MED': 1.81912159405729e-08, 'ed': 2.4983216113603853e-07}",Med,True
5,"I'm looking for a city with warm weather. Between Brisbane and Novosibirsk, I should visit ->",Brisbane,Novosibirsk,"{'Singapore': 0.021517291742606883, 'Br': 0.012065183146945612, 'Queensland': 0.007089226795690337, 'Brisbane': 0.9158656823949239, 'B': 0.04098550956463738}",Brisbane,True
6,"I'm looking for a city with warm weather. Between Cotonou and London, I should visit ->",Cotonou,London,"{'C': 0.9999938483514215, 'Ou': 4.849878489665466e-07, 'Libre': 1.535904653054233e-06, 'Acc': 1.1596016697079788e-06, 'Fort': 6.789916547255427e-07}",C,True
7,"I'm looking for a city with warm weather. Between Barranquilla and Bogotá, I should visit ->",Barranquilla,Bogotá,"{'ar': 0.008587224529730002, 'Gu': 0.0018136788185396698, 'Bog': 0.009709757220787313, 'Bar': 0.9725516678560531, 'B': 0.0018051880676880662}",Bar,True
8,"I'm looking for a city with warm weather. Between Antsiranana and Fairbanks, I should visit ->",Antsiranana,Fairbanks,"{'Pir': 5.2595672102922614e-08, 'Tam': 7.540788438190647e-08, 'nt': 8.813835043466183e-07, 'Ant': 0.999998499344226, 'Hon': 1.049648819868804e-07}",Ant,True
9,"I'm looking for a city with warm weather. Between Kingston and Zagreb, I should visit ->",Kingston,Zagreb,"{'Z': 0.002147677614411961, 'Jama': 0.0006461331247163417, 'Georgetown': 0.0011204729567487982, 'Jamaica': 0.00215459609480005, 'Kingston': 0.9926132170818796}",Kingston,True
10,"I'm looking for a city with warm weather. Between Mandalay and Toluca, I should visit ->",Mandalay,Toluca,"{'Pir': 1.0552909015331688e-05, 'Mand': 1.1055008221107578e-05, 'M': 7.833492606110302e-05, 'Mandal': 0.9996513596891626, 'Lod': 0.00014594131049261894}",Mandal,True
11,"I'm looking for a city with warm weather. Between Belize City and Lhasa, I should visit ->",Belize City,Lhasa,"{'el': 2.979312466516611e-06, 'Br': 4.5103044237450286e-07, 'Georgetown': 4.964008853877519e-07, 'Bel': 0.9999945635993773, 'Lod': 4.344378241277302e-07}",Bel,True
12,"I'm looking for a city with warm weather. Between Suva and Lhasa, I should visit ->",Suva,Lhasa,"{'Su': 0.021665763136856288, 'Jos': 0.0020728724015077384, 'L': 0.9598980414341768, '': 0.0038372550451074012, 'Lod': 0.007647814180583679}",L,False
13,"I'm looking for a city with warm weather. Between Fukuoka and Kuopio, I should visit ->",Fukuoka,Kuopio,"{'Ku': 7.744333889726435e-05, 'Kum': 0.00042289290104274147, 'Fuk': 0.9990849950725418, 'Fuj': 6.011272550408062e-05, 'Hiroshima': 8.752850904592858e-05}",Fuk,True
14,"I'm looking for a city with warm weather. Between Beirut and Brussels, I should visit ->",Beirut,Brussels,"{'Lebanon': 0.0005569628593849217, 'Lebanese': 0.0007219047882480307, 'B': 0.0009913424730844428, 'Beir': 0.0010187121983619733, 'Beirut': 0.9942010227555058}",Beirut,True
15,"I'm looking for a city with warm weather. Between Cotonou and Frankfurt, I should visit ->",Cotonou,Frankfurt,"{'C': 0.9999934907225855, 'Ou': 6.037274394792245e-07, 'Libre': 2.002438239855211e-06, 'Acc': 1.0585039655416517e-06, 'Fort': 1.015936206151779e-06}",C,True
16,"I'm looking for a city with warm weather. Between Manila and Albuquerque, I should visit ->",Manila,Albuquerque,"{'Philippines': 0.0009678781081007332, 'Man': 0.0015766262495655447, 'Duterte': 0.0001770063412076963, 'Philippine': 0.00046700088743878416, 'Manila': 0.99611332793806}",Manila,True
17,"I'm looking for a city with warm weather. Between Hanoi and Kabul, I should visit ->",Hanoi,Kabul,"{'Vietnam': 0.0006672865460695392, 'H': 0.9937831318926863, '': 0.0014330245476952867, 'Hiroshima': 0.001109800954508841, 'Hon': 0.0008735202902344607}",H,True
18,"I'm looking for a city with warm weather. Between Port-Gentil and Melbourne, I should visit ->",Port-Gentil,Melbourne,"{'ort': 0.02064432119621182, 'Gu': 0.008633692478359692, 'Port': 0.9451902934785419, 'Libre': 0.006493813659301338, 'Fort': 0.009322224486079384}",Port,True
19,"I'm looking for a city with warm weather. Between Phoenix and Saskatoon, I should visit ->",Phoenix,Saskatoon,"{'Mar': 0.00012549420195768834, 'Suns': 0.0002472864936927835, 'hoenix': 0.11828378312776641, 'Arizona': 0.00018813081737794433, 'Phoenix': 0.8801380665584606}",Phoenix,True
20,"I'm looking for a city with warm weather. Between Brasília and Bratislava, I should visit ->",Brasília,Bratislava,"{'Br': 0.7865165846943681, 'Salvador': 0.00030753889220500383, 'Bras': 0.21077754305226407, 'Braz': 0.001496820630543152, 'bras': 0.0003962613855247835}",Br,False
21,"I'm looking for a city with warm weather. Between Lagos and Yinchuan, I should visit ->",Lagos,Yinchuan,"{'lag': 0.00018434344339252672, 'Lag': 0.9967717882169891, 'Jos': 0.00037296461827174255, 'Mog': 0.00013857920756926478, 'Lod': 0.0022236984518136517}",Lag,True
22,"I'm looking for a city with warm weather. Between Port Moresby and Minsk, I should visit ->",Port Moresby,Minsk,"{'ort': 0.0011840932348147865, 'M': 0.8363811573143438, 'Port': 0.16222029854021952, 'Papua': 3.551334559053271e-05, 'Hon': 4.7946296323683965e-05}",M,False
23,"I'm looking for a city with warm weather. Between Florianópolis and Reykjavík, I should visit ->",Florianópolis,Reykjavík,"{'Salvador': 0.0021186609864776267, 'lor': 0.034449293145700895, 'Flor': 0.9625824443701864, 'Lod': 7.363817386842228e-05, 'Fort': 0.00018508173863589317}",Flor,True
24,"I'm looking for a city with warm weather. Between Kunming and Irkutsk, I should visit ->",Kunming,Irkutsk,"{'Kum': 0.024646427943703385, 'Gu': 0.00019087037981688022, 'Kun': 0.9721893917719509, 'un': 0.0010113360505104275, 'K': 0.0014255828946813844}",Kun,True
25,"I'm looking for a city with warm weather. Between Port-Gentil and Belgrade, I should visit ->",Port-Gentil,Belgrade,"{'ort': 0.025787933248719083, 'Bel': 0.011604550190280363, 'Port': 0.9151621136609716, 'Libre': 0.010302156878389188, 'Fort': 0.016744619436288403}",Port,True
26,"I'm looking for a city with warm weather. Between Cape Town and Yakutsk, I should visit ->",Cape Town,Yakutsk,"{'Cape': 0.9844646235170758, 'cape': 0.002480893751645103, 'ape': 0.006552558466689728, 'Kh': 0.0017149325990191541, 'Fort': 0.0014644829997381764}",Cape,True
27,"I'm looking for a city with warm weather. Between Lahore and Saskatoon, I should visit ->",Lahore,Saskatoon,"{'Dak': 0.0002869802958891633, 'hot': 0.0006803287641092779, 'Lah': 0.9941558995800251, 'Lod': 0.0016091776610614565, 'Kh': 0.0009469524284398454}",Lah,True
28,"I'm looking for a city with warm weather. Between Vientiane and Kunming, I should visit ->",Vientiane,Kunming,"{'Kun': 0.0013287279805468603, 'Laos': 0.013302410760394933, 'Kuala': 0.0008512454888130483, '': 0.0017666423700299103, 'V': 0.9781270396408227}",V,True
29,"I'm looking for a city with warm weather. Between Phnom Penh and Anchorage, I should visit ->",Phnom Penh,Anchorage,"{'Ph': 0.9459164207423629, 'Cambod': 0.0005280529474628202, 'h': 0.014834095467002905, 'Cambodia': 0.0009507988804129653, 'Kh': 0.03739942309305528}",Ph,True
30,"I'm looking for a city with warm weather. Between Suva and Irkutsk, I should visit ->",Suva,Irkutsk,"{'Tam': 0.006992505124722331, 'Su': 0.953164030492378, 'Jos': 0.01079335081207966, 'u': 0.016181073859386195, 'Hon': 0.005186004625217399}",Su,True
31,"I'm looking for a city with warm weather. Between Conakry and Boise, I should visit ->",Conakry,Boise,"{'Con': 0.9772101498368158, 'Gu': 0.004202620582723931, 'on': 0.004049777652451675, 'Libre': 0.005478718805353299, 'Hon': 0.0026772056401643436}",Con,True
32,"I'm looking for a city with warm weather. Between Lomé and Curitiba, I should visit ->",Lomé,Curitiba,"{'Tam': 0.0002133720931800984, 'T': 0.00036491576931976056, 'L': 0.9986761678399153, '': 0.00028805100293016907, 'Lod': 0.000354204297398494}",L,True
33,"I'm looking for a city with warm weather. Between San Salvador and Yinchuan, I should visit ->",San Salvador,Yinchuan,"{'Sant': 2.042220217522635e-06, 'an': 9.71558753370068e-06, 'Salvador': 0.030460540106739036, 'San': 0.9695218152552328, 'S': 2.6287134867307624e-06}",San,True
34,"I'm looking for a city with warm weather. Between Ho Chi Minh City and Frankfurt, I should visit ->",Ho Chi Minh City,Frankfurt,"{'Vietnam': 0.0017960023511489624, 'Singapore': 0.006659965330992966, 'o': 0.013195426324496306, 'Hon': 0.0026067084077966924, 'Ho': 0.9696656370315554}",Ho,True
35,"I'm looking for a city with warm weather. Between Cayenne and Amsterdam, I should visit ->",Cayenne,Amsterdam,"{'Gu': 0.0001313984825902301, 'Cay': 0.9994399439499705, 'Georgetown': 0.00012115037686210187, 'C': 0.0001922021260182358, 'Libre': 1.6388298236120576e-05}",Cay,True
36,"I'm looking for a city with warm weather. Between Palembang and Lyon, I should visit ->",Palembang,Lyon,"{'al': 0.0009311036080844722, 'Singapore': 0.00022397838641127473, 'Palm': 0.0003880274396865414, 'Pal': 0.9669569003479055}",Pal,True
37,"I'm looking for a city with warm weather. Between Mandalay and Punta Arenas, I should visit ->",Mandalay,Punta Arenas,"{'Pir': 1.1055549929782173e-05, 'Mog': 1.336970809397677e-05, 'M': 0.00012380745270128122, 'Mandal': 0.9996296658606222, 'Lod': 0.00013881381266018668}",Mandal,True
