,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Rome and San Juan, the smaller city is ->",San Juan,Rome,"{'Sant': 1.3721689333096085e-07, 'an': 7.605234376335158e-08, 'San': 0.9999992145956385, 'S': 3.887140292455532e-08, 'St': 4.999181259661991e-07}",San,True
1,"Between Manila and Mahajanga, the smaller city is ->",Mahajanga,Manila,"{'Mon': 0.00024476255025827106, 'M': 0.013943232693451374, 'ah': 0.01454222198175086, 'Hon': 0.0005627395206669228, 'Mah': 0.9695655038620687}",Mah,True
2,"Between Nairobi and Christchurch, the smaller city is ->",Christchurch,Nairobi,"{'hrist': 0.006101563067824051, 'Christ': 0.9927959043031273, 'C': 0.00040634906570695645, 'CHRIST': 0.0002024699656896088, 'Ch': 0.00025716336848138454}",Christ,True
3,"Between Mumbai and Murmansk, the smaller city is ->",Murmansk,Mumbai,"{'Pir': 0.0005107076219023379, 'Mar': 0.0022270231402245024, 'ur': 0.020370775067648596, 'M': 0.001041137930549589, 'Mur': 0.9747213877248574}",Mur,True
4,"Between Ho Chi Minh City and Piura, the smaller city is ->",Piura,Ho Chi Minh City,"{'Pir': 0.00016080871579228186, 'I': 3.0642672325664504e-05, 'Pi': 0.9936806128485518, 'PI': 0.0005214450803495002, 'i': 0.005496672883832988}",Pi,True
5,"Between Bogotá and Tabora, the smaller city is ->",Tabora,Bogotá,"{'Tam': 1.1021224678942576e-09, 'Tunis': 3.2151079365983845e-10, 'T': 1.0, 'W': 3.8225354390180904e-10, '': 2.5836647504009465e-09}",T,True
6,"Between Algiers and Asmara, the smaller city is ->",Asmara,Algiers,"{'As': 0.999993013890903, 's': 7.574147046644118e-08, 'Ass': 6.55931094104602e-06, 'AS': 1.282292823588934e-08, 'Ash': 3.8310221633178114e-07}",As,True
7,"Between Jakarta and Tripoli, the smaller city is ->",Tripoli,Jakarta,"{'Libya': 0.0006502359246038338, 'Tunis': 0.03799446833438031, 'T': 0.019730003136036657, 'Georgetown': 0.0003169669652769787, 'Tripoli': 0.9386522398203464}",Tripoli,True
8,"Between Beijing and Port Sudan, the smaller city is ->",Port Sudan,Beijing,"{'Salt': 0.002497197939253188, 'ort': 0.004674957066126096, 'Port': 0.974549727113844, 'St': 0.003027193276919314, 'Fort': 0.00307608067635192}",Port,True
9,"Between Hanoi and Kuwait City, the smaller city is ->",Kuwait City,Hanoi,"{'H': 0.9792022445483871, 'N': 0.00024223384420634443, 'Havana': 0.00010399960051834897, 'Hiroshima': 0.0001968009000365748, 'Hon': 0.019701305035016825}",H,False
10,"Between Bogotá and Lviv, the smaller city is ->",Lviv,Bogotá,"{'Lv': 0.9811443435951172, 'LV': 0.00012936690059512631, 'v': 0.017720183115974317, 'Lod': 0.00033289181521591743, 'Ark': 0.0002804339031956509}",Lv,True
11,"Between Toronto and Goiânia, the smaller city is ->",Goiânia,Toronto,"{'GO': 0.0017493471811256063, 'Go': 0.98972807430705, 'Gu': 0.0001830513213325282, 'G': 0.00478527396860233, 'o': 0.002257397675878656}",Go,True
12,"Between Santiago and Florianópolis, the smaller city is ->",Florianópolis,Santiago,"{'lor': 0.00780702897841976, 'Flo': 0.00017848731922935453, 'Flor': 0.9907777135590092, 'Conce': 0.0006182314846559237, 'Fort': 0.00015070263008935638}",Flor,True
13,"Between Melbourne and Sucre, the smaller city is ->",Sucre,Melbourne,"{'S': 0.00038812038338791033, 'Rec': 2.6973571625790373e-05, 'Conce': 0.00015428052835193354, 'Suc': 0.9979132268448853, 'suc': 0.0013672210908125823}",Suc,True
14,"Between Douala and Port-Gentil, the smaller city is ->",Port-Gentil,Douala,"{'D': 0.002210223361516624, 'G': 0.012285548820174132, 'ou': 0.0008735990853182453, 'Conce': 0.0004869930529369308, 'Dou': 0.9805528840521148}",Dou,False
15,"Between Santiago and Dublin, the smaller city is ->",Dublin,Santiago,"{'Dublin': 0.9954061166101308, 'Edinburgh': 0.000443724803336626, 'D': 0.002393774189050508, 'ub': 0.0005164074356928919, 'Dun': 0.0010142085746949712}",Dublin,True
16,"Between Hanoi and Bratislava, the smaller city is ->",Bratislava,Hanoi,"{'Bl': 8.004017882851585e-07, 'Br': 0.9999989771165232, 'Split': 1.2572097031209862e-08, 'B': 1.0964543449739732e-07, 'r': 5.988109446041361e-08}",Br,True
17,"Between Dar es Salaam and Lusaka, the smaller city is ->",Lusaka,Dar es Salaam,"{'Living': 5.419640392321414e-05, 'L': 0.9993864787811566, '': 0.00029148150554536394, 'Libre': 1.3616299366481355e-05, 'Lod': 0.00018486180722378971}",L,True
18,"Between Cairo and Mahajanga, the smaller city is ->",Mahajanga,Cairo,"{'Mar': 0.00019290591017088245, 'M': 0.02466659696976837, 'ah': 0.013795005122262234, 'Hon': 0.0006137568610609393, 'Mah': 0.959421557877859}",Mah,True
19,"Between Shanghai and Pretoria, the smaller city is ->",Pretoria,Shanghai,"{'Pir': 2.648423255442095e-05, 'Rec': 0.0001351086889654499, 'Pret': 0.9994947206466293, 'Conce': 4.3477108489675784e-05, 'ret': 9.026488893581468e-05}",Pret,True
20,"Between Shanghai and Lisbon, the smaller city is ->",Lisbon,Shanghai,"{'Portugal': 0.016543648950899346, 'Lisbon': 0.9373450638706593, 'Libre': 0.003703323571354748, 'Lod': 0.026354511611454013, 'Marse': 0.001979348557055523}",Lisbon,True
21,"Between Lagos and Porto Alegre, the smaller city is ->",Porto Alegre,Lagos,"{'ort': 0.005804330512155223, 'Lag': 0.007571817105357538, 'Port': 0.9833105520416707, 'Lod': 0.0009261540282014414, 'Acc': 0.000709775595899819}",Port,True
22,"Between Kuwait City and La Paz, the smaller city is ->",La Paz,Kuwait City,"{'a': 0.013742061047228835, 'P': 0.0004199594075702091, 'Libre': 0.00010722254753081071, 'La': 0.9847008352508407, 'la': 0.0004630784869472655}",La,True
23,"Between Saint Petersburg and Lyon, the smaller city is ->",Lyon,Saint Petersburg,"{'y': 1.0344743930971492e-05, 'Lyon': 0.9972299125921914, 'Lyons': 0.0020476597977157635, 'Libre': 1.2754811308651429e-05, 'Marse': 0.00065000142680005}",Lyon,True
24,"Between London and Zagreb, the smaller city is ->",Zagreb,London,"{'Z': 0.9995996227623664, 'Split': 8.854133967879618e-05, 'R': 7.427478732242832e-05, '': 2.0123545712573312e-05}",Z,True
25,"Between Kunming and Asmara, the smaller city is ->",Asmara,Kunming,"{'As': 0.9999976639519286, 's': 7.280268504046069e-08, 'Ass': 2.1579755955929307e-06, 'Ant': 7.266144617708181e-09, 'Ash': 1.5978414920373883e-07}",As,True
26,"Between Cairo and Phoenix, the smaller city is ->",Phoenix,Cairo,"{'Salt': 3.743104940398479e-05, 'Georgetown': 5.9595231230812703e-05, 'hoenix': 0.0096520302225765, 'Seattle': 4.8228761656794045e-05, 'Phoenix': 0.9897398758949689}",Phoenix,True
27,"Between Lahore and Managua, the smaller city is ->",Managua,Lahore,"{'Man': 0.9999993338092819, 'Mon': 1.2708165555121454e-07, 'M': 1.3606215956547148e-07, 'an': 1.0303593768587133e-07, 'Hon': 1.897662092645533e-07}",Man,True
28,"Between Chicago and Viedma, the smaller city is ->",Viedma,Chicago,"{'Vit': 0.0013426262433331715, 'Vil': 2.7002313782053343e-05, 'Ver': 3.8336005960147815e-05, '': 0.00028048929436122976, 'V': 0.9981463393549446}",V,True
29,"Between Buenos Aires and Ottawa, the smaller city is ->",Ottawa,Buenos Aires,"{'Ottawa': 0.7734305884271138, 'Winnipeg': 0.005147467668974877, 'Ou': 0.005785317711300643, 'O': 0.18991222257834947, 'tt': 0.018827726157076813}",Ottawa,True
30,"Between Medellín and Viedma, the smaller city is ->",Viedma,Medellín,"{'Vit': 0.0008209144960809832, 'Med': 0.0001916156529084649, 'Vil': 4.4333542516698114e-05, '': 7.866210740519127e-05, 'V': 0.9986153095697008}",V,True
31,"Between Lima and Hobart, the smaller city is ->",Hobart,Lima,"{'Hob': 0.9997658604849357, 'Georgetown': 1.162160142234141e-05, 'hob': 6.303899845457568e-05, 'Hobbit': 3.822575709754876e-05, 'Hon': 5.740983085803043e-05}",Hob,True
32,"Between Ho Chi Minh City and Tripoli, the smaller city is ->",Tripoli,Ho Chi Minh City,"{'Libya': 0.0005325203207904414, 'Tunis': 0.01828442636065612, 'Libyan': 0.00031248315320031307, 'T': 0.009093062671339391, 'Tripoli': 0.9699928030968661}",Tripoli,True
33,"Between San Diego and Nouadhibou, the smaller city is ->",Nouadhibou,San Diego,"{'Ni': 0.005844761435688273, 'u': 0.0001295835125652115, 'N': 0.02137016261886233, 'Ou': 0.0577071440177335, 'Nou': 0.9144668327392604}",Nou,True
34,"Between Jakarta and Tauranga, the smaller city is ->",Tauranga,Jakarta,"{'Tam': 1.4036103575190462e-08, 'T': 1.0, 'W': 1.0460830330073449e-08, 'R': 4.9925352004371976e-09, '': 8.045056769759417e-09}",T,True
35,"Between Riyadh and Conakry, the smaller city is ->",Conakry,Riyadh,"{'Con': 0.9202149269252259, 'on': 0.005896363346860067, 'Rec': 0.002439127220944112, 'Conce': 0.059439820406628624, 'Com': 0.006407733876262836}",Con,True
36,"Between Ankara and Damascus, the smaller city is ->",Damascus,Ankara,"{'Damascus': 0.8026944885559864, 'Ass': 0.013868364055856425, 'Edinburgh': 0.04343677267369574, 'D': 0.0238112028754724, 'Ant': 0.03416896852082197}",Damascus,True
37,"Between Berlin and Milan, the smaller city is ->",Milan,Berlin,"{'Bl': 0.002809115538961918, 'Berlin': 0.9618596143447148, 'Warsaw': 0.005556646500935044, 'B': 0.01399252108949454, 'Budapest': 0.003752242941753665}",Berlin,False
38,"Between Johannesburg and Baltimore, the smaller city is ->",Baltimore,Johannesburg,"{'Baltimore': 0.9547150375772674, 'Tunis': 0.0036829154448858787, 'Georgetown': 0.004458468310830488, 'Johannes': 0.01270746071664439, 'altimore': 0.012962607659537974}",Baltimore,True
39,"Between London and Yinchuan, the smaller city is ->",Yinchuan,London,"{'Ni': 1.802663809257807e-05, 'W': 1.3697064748770198e-05, 'N': 2.835381411940783e-05, '': 0.00021496055753324016, 'Y': 0.999631929034744}",Y,True
40,"Between Houston and Lhasa, the smaller city is ->",Lhasa,Houston,"{'Living': 6.715742955089269e-05, 'L': 0.9986488698992949, '': 0.0004709491648629617, 'Lod': 0.0005826654374842123, 'Ch': 3.521336006742772e-05}",L,True
41,"Between Phoenix and Dodoma, the smaller city is ->",Dodoma,Phoenix,"{'Dak': 0.0003690887972203579, 'Dod': 0.9887723676568938, 'dod': 0.0005108518150159014, 'D': 0.0030025699711057324, 'Lod': 0.006722037305047253}",Dod,True
42,"Between Shanghai and Manaus, the smaller city is ->",Manaus,Shanghai,"{'Mar': 1.0810703886892079e-07, 'Man': 0.999993013890903, 'Mon': 3.0830665782529485e-08, 'M': 6.704457193424168e-06, 'an': 6.045962802674406e-08}",Man,True
43,"Between Minneapolis and Piura, the smaller city is ->",Piura,Minneapolis,"{'Pir': 9.035438577911141e-05, 'I': 2.0854819194510706e-05, 'Pi': 0.9913864520124318, 'PI': 0.0003990168146429808, 'i': 0.008049506449921438}",Pi,True
44,"Between Baku and Reykjavík, the smaller city is ->",Reykjavík,Baku,"{'Rio': 0.00010797174342782378, 'Rey': 0.9978287052781556, 'Rec': 0.00037054254074309653, 'B': 0.0007320790924828257, 'R': 0.00025808876030970713}",Rey,True
45,"Between Medellín and Port Sudan, the smaller city is ->",Port Sudan,Medellín,"{'ort': 0.00023272175559448162, 'Med': 0.8916144382151314, 'Port': 0.1063400075401384, 'St': 0.00024821729646773975, 'Fort': 0.0005131604467486358}",Med,False
46,"Between Shanghai and Thiès, the smaller city is ->",Thiès,Shanghai,"{'TH': 0.00016540161685487528, 'Tunis': 0.0004804199215242047, 'T': 0.0044064892279914855, 'Th': 0.9913182648145422, 'h': 0.0030058496666392643}",Th,True
47,"Between Riyadh and Bujumbura, the smaller city is ->",Bujumbura,Riyadh,"{'Br': 0.0003345514093736128, 'B': 0.13902324911745592, 'u': 0.009644964628227629, 'Bul': 0.0031908880989722265, 'Bu': 0.8459817937479287}",Bu,True
48,"Between Lima and Perth, the smaller city is ->",Perth,Lima,"{'Edinburgh': 0.0016615697349002152, 'Per': 5.808761986676887e-05, 'Adelaide': 0.0013085994968808697, 'Perth': 0.9965875469975582, 'Dun': 7.665398227379434e-05}",Perth,True
49,"Between Luanda and Tauranga, the smaller city is ->",Tauranga,Luanda,"{'Tam': 1.6025816128099245e-09, 'T': 1.0, 'W': 3.6081776433367722e-09, 'G': 1.1993237268151646e-09, '': 2.8343959252051114e-09}",T,True
50,"Between Hanoi and Entebbe, the smaller city is ->",Entebbe,Hanoi,"{'nt': 0.002500241379422011, 'Conce': 3.4224496204308827e-06, 'ENT': 1.744797433514406e-05, 'Ent': 0.997463742549538, 'ent': 4.026077423730568e-06}",Ent,True
51,"Between Manila and Tripoli, the smaller city is ->",Tripoli,Manila,"{'Pir': 0.0006499067284911046, 'Libya': 0.0007807922879713839, 'Tunis': 0.03074555032741107, 'T': 0.015651188850390158, 'Tripoli': 0.9494308359351098}",Tripoli,True
52,"Between Guadalajara and Minneapolis, the smaller city is ->",Minneapolis,Guadalajara,"{'Gu': 0.9333521789114142, 'Minneapolis': 0.0653124893425035, 'Winnipeg': 0.00021244211642493867, 'M': 0.00019057094843570778, 'Minnesota': 0.0006764561035783232}",Gu,False
