,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for an affordable restaurant. Between Top Sushi and Watson's, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between EJ Sushi and Mysteriously Yours Dinner Theatre, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Le Papillon Park and Goldstone Noodle Restaurant, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to ->",Big Al's Diner,Domino's Pizza,"{'Big': 0.5251423028873559, 'Dom': 0.4613383302797696, 'om': 0.004145300483577727, '': 0.00292314993285461, 'ig': 0.0020880083707289026}",Big,True
1,"Someone is looking for an affordable restaurant. Between Big Al's Diner and Domino's Pizza, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Druxy's Famous Deli and LCBO, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Branca and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Watson's and Top Sushi, this person should go to ->",Top Sushi,Watson's,"{'top': 0.0007519670886990576, 'Watson': 0.08042895747841777, '': 0.0013766999282675662, 'Top': 0.9076814435789418, 'op': 0.007797535162767643}",Top,True
2,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Top Sushi and Watson's, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between EJ Sushi and Mysteriously Yours Dinner Theatre, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to ->",Druxy's Famous Deli,LCBO,"{'': 0.00037514010066210955, 'Dru': 0.8870294281967207, 'LC': 0.11073946485991236, 'C': 0.0007317797333571149}",Dru,True
3,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Watson's and Top Sushi, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Le Papillon Park and Goldstone Noodle Restaurant, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, this person should go to ->",Joe Badali's Ristorante Italiano & Bar,Grappa Ristorante,"{'oe': 0.0032428406158402753, '': 0.0006773100591605137, 'ra': 0.0006274453389472353, 'Joe': 0.8977136920218566, 'Gra': 0.09624502456322263}",Joe,True
4,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Watson's and Top Sushi, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Branca and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Basil Express Restaurant and Galata Cafe, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between EJ Sushi and Mysteriously Yours Dinner Theatre, this person should go to ->",EJ Sushi,Mysteriously Yours Dinner Theatre,"{'Myster': 0.5464897321077298, '': 0.0008143727279662751, 'Mysterious': 0.000311669570585647, 'E': 0.44960138495116714, 'myster': 0.0005585991645881811}",Myster,False
5,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Watson's and Top Sushi, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between EJ Sushi and Mysteriously Yours Dinner Theatre, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Le Papillon Park and Goldstone Noodle Restaurant, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to ->",Bagel Nash,Branca,"{'Br': 0.8158031180740611, '': 0.0006775711447652784, 'Bag': 0.17512709701621482, 'r': 0.001985927936038771}",Br,False
6,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Top Sushi and Watson's, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Basil Express Restaurant and Galata Cafe, this person should go to ->",Basil Express Restaurant,Galata Cafe,"{'as': 0.0012855521039884963, 'al': 0.007106578319641646, 'Basil': 0.17317303189003164, 'Gal': 0.8134989199355137, 'Bas': 0.002089114472832025}",Gal,False
7,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Top Sushi and Watson's, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Branca and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to -> Goldstone Noodle Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to ->",Sweet Jesus,Sheriff Broaster Chicken,"{'Sheriff': 0.23096462932259162, 'Sweet': 0.7608096376859714, 'sheriff': 0.001305878088145473, '': 0.000505447491136515, 'weet': 0.004658463529090034}",Sweet,True
8,"Someone is looking for an affordable restaurant. Between Domino's Pizza and Big Al's Diner, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Top Sushi and Watson's, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between Druxy's Famous Deli and LCBO, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Branca and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sweet Jesus and Sheriff Broaster Chicken, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Le Papillon Park, this person should go to ->",Goldstone Noodle Restaurant,Le Papillon Park,"{'Le': 0.12124000324832697, 'Sheriff': 0.0024167698575968998, 'old': 0.010948042563757698, '': 0.0015055996825189175, 'Gold': 0.8574592267946929}",Gold,True
9,"Someone is looking for an affordable restaurant. Between Big Al's Diner and Domino's Pizza, this person should go to -> Big Al's Diner. Someone is looking for an affordable restaurant. Between Watson's and Top Sushi, this person should go to -> Top Sushi. Someone is looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, this person should go to -> Druxy's Famous Deli. Someone is looking for an affordable restaurant. Between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar, this person should go to -> Joe Badali's Ristorante Italiano & Bar. Someone is looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and EJ Sushi, this person should go to -> EJ Sushi. Someone is looking for an affordable restaurant. Between Bagel Nash and Branca, this person should go to -> Bagel Nash. Someone is looking for an affordable restaurant. Between Galata Cafe and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone is looking for an affordable restaurant. Between Sheriff Broaster Chicken and Sweet Jesus, this person should go to -> Sweet Jesus. Someone is looking for an affordable restaurant. Between Freshii and Nutella Cafe by Pusateri's, this person should go to ->",Freshii,Nutella Cafe by Pusateri's,"{'Nut': 0.09925119690413957, '': 0.0016540269312768257, 'Fresh': 0.879873607206351, 'P': 0.011151547516378011, 'resh': 0.003822200404806904}",Fresh,True
