,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like cheap restaurants. Between Sizzlers and Mt Everest Restaurant, I should go to ->",Mt Everest Restaurant,Sizzlers,"{'Mt': 0.9681635232453337, 'S': 0.030382843148556247, '': 0.0010832119757155456, 'mt': 2.4950991427077753e-05, 'Mount': 0.0002406834435807206}",Mt,True
1,"I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, I should go to ->",Oxygen Restaurant & Lounge,Falafel Hut Village,"{'Fl': 4.423554086593104e-05, 'fal': 3.231771584246193e-05, 'al': 0.0002587171960428853, 'Fal': 0.8883363990216414}",Fal,False
2,"I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, I should go to ->",Grappa Ristorante,Buk Chang Dong Soon Tofu,"{'Gor': 0.07176720228338833, 'Buk': 0.2068103270945846, 'ra': 0.031817605828301405, 'Gra': 0.6889161041784676}",Gra,True
3,"I don't like cheap restaurants. Between Ardor Bistro and Mirage Grill & Lounge, I should go to ->",Mirage Grill & Lounge,Ardor Bistro,"{'ir': 0.0015736224883042878, 'r': 0.053604085060189495, 'Ard': 0.33071943217034655, 'Mirage': 0.6130814381962817, 'Ar': 0.0002541049975960006}",Mirage,True
4,"I don't like cheap restaurants. Between Lebanese Bakery and Druxy's Famous Deli, I should go to ->",Lebanese Bakery,Druxy's Famous Deli,"{'Lebanon': 0.00026171903895617183, 'Dru': 0.8940744588254731, 'Lebanese': 0.10536213056374524, '': 0.00015139049494626537, 'dru': 8.216139610284222e-05}",Dru,False
5,"I don't like cheap restaurants. Between Fitness Avenue and 9 Restaurant, I should go to ->",9 Restaurant,Fitness Avenue,"{'fitness': 0.0003571779646409005, '': 0.00028621393565822533, 'Fitness': 0.0798465828381615, '9': 0.9036648215181959}",9,True
6,"I don't like cheap restaurants. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, I should go to ->",Mysteriously Yours Dinner Theatre,Mamma's Pizza,"{'Myster': 0.980909680953873, 'My': 0.006634579428628404, 'y': 0.0009296184730707631, '': 0.008348954145499939, 'myster': 0.0023728132558754906}",Myster,True
7,"I don't like cheap restaurants. Between Shawarma Twist and Farmacia Health Bar, I should go to ->",Farmacia Health Bar,Shawarma Twist,"{'Farm': 0.000132435344191413, 'Shaw': 0.9975332433567562, 'h': 0.0005587509566012108, 'haw': 0.0016052705012443726, 'arm': 0.000132297286137212}",Shaw,False
8,"I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Madras Pantry, I should go to ->",Nutella Cafe by Pusateri's,Madras Pantry,"{'Nut': 0.366194634016135, 'ad': 0.07951465775817815, 'Mad': 0.5425700920380037, 'ut': 0.010333523087781613, 'nut': 0.0004720605012399663}",Mad,False
9,"I don't like cheap restaurants. Between Taste of Greek Cuisine and Pho 88, I should go to ->",Taste of Greek Cuisine,Pho 88,"{'Ph': 0.9998929978601374, 'Gor': 3.6651587551844827e-07, 'h': 3.99733767376849e-06, 'Taste': 0.0001014537021497476, 'T': 3.616018833726103e-07}",Ph,False
