,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Falafel Hut Village and The Duke of Devon, the restaurant with higher price is ->",The Duke of Devon,Falafel Hut Village,"{'the': 1.2758565333878963e-08, 'THE': 1.5107902177380151e-09, 'Conv': 5.159981168340814e-10, 'The': 1.0, 'he': 3.3504837686133526e-08}",The,True
1,"Between Branca and Sushi World, the restaurant with higher price is ->",Branca,Sushi World,"{'Brussels': 5.350342395207542e-06, 'Br': 0.996477099526526, 'B': 8.213454135657864e-06, 'Conv': 8.078413933973694e-06, 'r': 0.0034847568766531068}",Br,True
2,"Between Thai 4 You Restaurant and Evoo Ristorante, the restaurant with higher price is ->",Evoo Ristorante,Thai 4 You Restaurant,"{'v': 0.005355040564720026, 'Conv': 0.004922934909538808, 'R': 2.9106879581275394e-05, 'Ev': 0.9896568461407185, 'EV': 8.003232783280083e-06}",Ev,True
3,"Between Mövenpick Café and Druxy's Famous Deli, the restaurant with higher price is ->",Mövenpick Café,Druxy's Famous Deli,"{'Dru': 2.850243601875817e-05, 'M': 0.9999161212080226, 'Conv': 1.358641719435889e-05, 'Mü': 5.15758605357987e-07, '': 3.518727663272382e-05}",M,True
4,"Between Sheriff Broaster Chicken and Nutella Cafe by Pusateri's, the restaurant with higher price is ->",Nutella Cafe by Pusateri's,Sheriff Broaster Chicken,"{'Sheriff': 0.9946092570851499, 'sheriff': 0.000488109203247003, 'Bro': 0.000248123488060581, 'her': 0.0037230267464689413, 'Conv': 0.0002468331390569479}",Sheriff,False
5,"Between Falafel Hut Village and Tian An Cuisine, the restaurant with higher price is ->",Tian An Cuisine,Falafel Hut Village,"{'Raj': 2.8204954414167582e-06, 'Gor': 1.0696292124142315e-06, 'Tian': 0.9999849059129169, 'T': 2.5165969141181422e-06, 'Conv': 2.030543635548486e-06}",Tian,True
6,"Between Dangerous Dan's Diner and Lahore Grill & Fast Food, the restaurant with higher price is ->",Dangerous Dan's Diner,Lahore Grill & Fast Food,"{'Danger': 0.0008273179292480585, 'Dangerous': 0.9971031918691712, 'Conv': 0.00010104708112344223, 'D': 0.0014900956000136753, 'dangerous': 0.0003201800705402483}",Dangerous,True
7,"Between Thai 4 You Restaurant and The Empire, the restaurant with higher price is ->",Thai 4 You Restaurant,The Empire,"{'HE': 3.8219468138857865e-10, 'the': 1.6430722901256699e-09, 'THE': 2.7783600316106235e-09, 'The': 1.0, 'he': 2.1580040508210436e-08}",The,False
8,"Between Piper's Pub And Grill and The Coffee Pocket, the restaurant with higher price is ->",Piper's Pub And Grill,The Coffee Pocket,"{'Gor': 4.733555686980109e-07, 'Pip': 4.658393088912363e-06, 'Piper': 0.9993958942953727, 'P': 9.341161087621126e-06, 'The': 0.0005864333714441022}",Piper,True
9,"Between Buk Chang Dong Soon Tofu and Ciao Europa wine bar, the restaurant with higher price is ->",Ciao Europa wine bar,Buk Chang Dong Soon Tofu,"{'Gor': 1.334313131167207e-07, 'c': 1.9731803876356473e-07, 'C': 0.9999964709302271, '': 1.015306520926556e-06, 'Conv': 7.505751932641962e-07}",C,True
10,"Between LCBO and Eastern legend, the restaurant with higher price is ->",LCBO,Eastern legend,"{'MC': 2.5044885898965114e-06, 'RC': 2.266057335883125e-05, 'Shell': 3.16704971409946e-05, 'LC': 0.9926937994031849, 'C': 0.007230823130379733}",LC,True
11,"Between Top Sushi and Dinah's Cupboard, the restaurant with higher price is ->",Dinah's Cupboard,Top Sushi,"{'Dim': 3.4889577685609646e-06, 'din': 2.2394416199051885e-06, 'Din': 0.9999579673883949, 'in': 2.669989548444604e-06, 'Conv': 2.4701168691607164e-05}",Din,True
12,"Between Grappa Ristorante and Madras Pantry, the restaurant with higher price is ->",Grappa Ristorante,Madras Pantry,"{'Gor': 5.6349905189992615e-05, 'ra': 0.007619913203235235, 'Gra': 0.9923077452908816, 'gra': 3.52935649383886e-06}",Gra,True
13,"Between Eggspectation and Edible Arrangements, the restaurant with higher price is ->",Edible Arrangements,Eggspectation,"{'Egg': 0.008703276630772298, 'Ed': 0.9827552760845972, 'Shell': 0.0035666482134315797, 'Conv': 0.0008815110682948643, 'd': 0.002880481820622252}",Ed,True
14,"Between Smoke's Weinerie and Aroma Espresso Bar, the restaurant with higher price is ->",Aroma Espresso Bar,Smoke's Weinerie,"{'Gor': 1.7905228120140932e-07, 'A': 0.99999909445401, '': 1.7758277476995148e-07, 'B': 1.1591333930459458e-07, 'Conv': 1.8851448302235687e-07}",A,True
15,"Between Evoo Ristorante and Freshii, the restaurant with higher price is ->",Evoo Ristorante,Freshii,"{'v': 0.0034746685006924755, 'Conv': 0.0036887375752305807, 'R': 5.004134936478779e-06, 'Ev': 0.9928118760357101, 'EV': 4.970018477777358e-06}",Ev,True
16,"Between Thompson Rooftop and Lebanese Bakery, the restaurant with higher price is ->",Thompson Rooftop,Lebanese Bakery,"{'Thompson': 0.9649345777683931, 'Thomson': 0.0005717129089569984, 'R': 0.0019276531508294174, 'hompson': 0.03185378709343477, 'Th': 0.0003374708573407319}",Thompson,True
17,"Between Branca and Lebanese Bakery, the restaurant with higher price is ->",Branca,Lebanese Bakery,"{'Brussels': 1.0278851766926179e-05, 'Br': 0.9977313109738597, 'Gor': 1.6108121051673218e-05, 'Conv': 8.020578552275528e-06, 'r': 0.0022031775935476483}",Br,True
18,"Between Supermodel Pizza and Adega Restaurante, the restaurant with higher price is ->",Adega Restaurante,Supermodel Pizza,"{'Ad': 0.9972053548115798, 'd': 0.0027878664192020155, 'Conv': 1.2985594802501868e-06, 'ad': 5.519115715331837e-07, 'AD': 2.43485585574798e-06}",Ad,True
19,"Between Helena's Magic Kitchen and Juice & Java Cafe, the restaurant with higher price is ->",Juice & Java Cafe,Helena's Magic Kitchen,"{'Shell': 0.0001597801100741382, 'Sauce': 0.0005700192076909568, 'The': 6.465811102882001e-05, 'Helena': 0.9987819065787916, 'Magic': 4.1468311529661514e-05}",Helena,False
20,"Between Marcello’s pizzeria and Mysteriously Yours Dinner Theatre, the restaurant with higher price is ->",Mysteriously Yours Dinner Theatre,Marcello’s pizzeria,"{'Myster': 0.001223281594258287, 'Mar': 0.997609179175621, 'MAR': 0.000106866624610039, 'Conv': 0.0005914446822807077, 'ar': 0.0002340354402534526}",Mar,False
21,"Between Milo's Pita and Anatolia Restaurant, the restaurant with higher price is ->",Anatolia Restaurant,Milo's Pita,"{'An': 0.00039691702665096214, 'anat': 0.0007589083794819004, 'n': 0.0003000552300757334, 'Anat': 0.9979218099334609, 'Conv': 0.0004005353222356087}",Anat,True
22,"Between Tik Talk Cafe and Oxygen Restaurant & Lounge, the restaurant with higher price is ->",Oxygen Restaurant & Lounge,Tik Talk Cafe,"{'oxy': 0.00027705957574791665, 'X': 0.00022759131852564886, 'xy': 0.0008775075488352519, 'Conv': 0.0005975975642744141, 'Oxy': 0.9969795705031508}",Oxy,True
23,"Between Nutella Cafe by Pusateri's and Shawarma Twist, the restaurant with higher price is ->",Nutella Cafe by Pusateri's,Shawarma Twist,"{'Nut': 2.3498734249221768e-05, 'Shaw': 2.3389311650901574e-06, 'P': 0.9999726286186031, '': 9.01968716371687e-07, 'ut': 2.229701346034914e-07}",P,True
24,"Between FreshCo and Galata Cafe, the restaurant with higher price is ->",Galata Cafe,FreshCo,"{'Fl': 3.1343300935106676e-05, 'Gor': 8.26333670139629e-05, 'al': 0.0027330830080355057, 'Conv': 5.213046704436764e-05, 'Gal': 0.9970382233401291}",Gal,True
25,"Between Beryl's Pepper Pot and Aris Place, the restaurant with higher price is ->",Beryl's Pepper Pot,Aris Place,"{'Gor': 4.928731491339514e-07, 'r': 4.0680515531631797e-07, 'B': 0.9994841090475222, 'Conv': 6.509942677995724e-07, 'Ar': 0.0005134898474842372}",B,True
26,"Between New Bilan Restaurant and Kairali - Taste of Kerala, the restaurant with higher price is ->",Kairali - Taste of Kerala,New Bilan Restaurant,"{'Gor': 4.361817132099602e-08, 'Conv': 2.0462456911118747e-08, 'R': 6.141744018651448e-08, '': 1.0308489138185429e-07, 'K': 0.9999998115819777}",K,True
27,"Between Delicious Paradise Kitchen and Pisco 1641, the restaurant with higher price is ->",Pisco 1641,Delicious Paradise Kitchen,"{'16': 1.5813092623514352e-07, 'Conv': 3.799896174854501e-08, 'P': 0.9999986176197555, 'R': 5.797870784039817e-08, '': 9.949831844309737e-07}",P,True
28,"Between Delicious Paradise Kitchen and Assembly Chef's Hall, the restaurant with higher price is ->",Assembly Chef's Hall,Delicious Paradise Kitchen,"{'Assembly': 0.9944473674684765, 'assembly': 0.00020530456467850118, 'Conv': 8.092069151814463e-05, 'ssembly': 0.005201061706024485}",Assembly,True
29,"Between Falafel House and Breakfast Room, the restaurant with higher price is ->",Breakfast Room,Falafel House,"{'Fl': 0.0026374406046434126, 'Breakfast': 0.046475020698790497, 'Dinner': 0.0030189566120209775, 'Conv': 0.36035234142197825, 'The': 0.570775166961198}",The,True
30,"Between Sweet Jesus and Sushi Shop, the restaurant with higher price is ->",Sushi Shop,Sweet Jesus,"{'Sweet': 2.7163809600387877e-05, 'S': 0.9997759317870326, 'B': 4.707281028297576e-05, 'Conv': 5.269673809832665e-05, 'R': 1.9556301423798414e-05}",S,False
31,"Between Helena's Magic Kitchen and Sushi Shop, the restaurant with higher price is ->",Sushi Shop,Helena's Magic Kitchen,"{'Shell': 7.465307019167684e-06, 'S': 0.12995747466536967, 'B': 1.4327267760564963e-05, 'Conv': 1.0648771761694447e-05, 'Helena': 0.869954410874658}",Helena,False
32,"Between Roncy's Bean and Queen Slice, the restaurant with higher price is ->",Roncy's Bean,Queen Slice,"{'Ronald': 6.403722519639887e-05, 'Gor': 2.8664131222992293e-05, 'on': 0.006581016909954895, 'Ron': 0.9932811438295183, 'Queen': 1.337533792608083e-05}",Ron,True
33,"Between Mirage Grill & Lounge and LCBO, the restaurant with higher price is ->",Mirage Grill & Lounge,LCBO,"{'Shell': 2.232161648300247e-05, 'Gor': 5.729215199820949e-06, 'LC': 2.9017571432573108e-05, 'ir': 2.356078218568561e-05, 'Mirage': 0.9998494847785527}",Mirage,True
34,"Between Madras Pantry and Pasta Pantry, the restaurant with higher price is ->",Pasta Pantry,Madras Pantry,"{'Past': 0.9994196787015786, 'ast': 0.00031288589080897807, 'Conv': 1.1516796764490244e-05, 'Mad': 0.00022695960678389716}",Past,True
35,"Between Fit For Life and Sichuan Landscape Chinese Restaurant, the restaurant with higher price is ->",Sichuan Landscape Chinese Restaurant,Fit For Life,"{'S': 0.999990987363614, 'C': 6.3211784283445e-07, 'B': 1.6457933670687303e-06, 'Conv': 2.887925886015508e-06, 'R': 1.091484349046135e-06}",S,True
36,"Between Mysteriously Yours Dinner Theatre and Kibo Sushi House, the restaurant with higher price is ->",Mysteriously Yours Dinner Theatre,Kibo Sushi House,"{'Myster': 0.9997883296053397, 'myst': 1.9851529517921396e-05, 'Conv': 8.182932297566993e-06, 'Mysterious': 2.0680961814507296e-05, 'myster': 0.00013859230392317297}",Myster,True
37,"Between LCBO and Bagel Nash, the restaurant with higher price is ->",LCBO,Bagel Nash,"{'RC': 3.7638992889294255e-05, 'Shell': 0.0007731011995721488, 'LC': 0.9831836531875364, 'Conv': 8.935959754110367e-06, 'C': 0.01594992742369809}",LC,True
38,"Between Thompson Rooftop and Joe Badali's Ristorante Italiano & Bar, the restaurant with higher price is ->",Thompson Rooftop,Joe Badali's Ristorante Italiano & Bar,"{'Thompson': 0.9467695337370817, 'Thomson': 0.0026322323250991785, 'R': 0.00841655230117839, 'hompson': 0.04093909927869234, 'Th': 0.0006461344169838834}",Thompson,True
39,"Between Daily Press Juicery and Fitness Avenue, the restaurant with higher price is ->",Daily Press Juicery,Fitness Avenue,"{'aily': 0.006874124424337669, 'Fitness': 0.00332569168814187, 'Conv': 0.0009156832958161434, 'The': 0.001356744362743627, 'Daily': 0.9865480353534019}",Daily,True
40,"Between Sweet Jesus and Le Papillon Park, the restaurant with higher price is ->",Le Papillon Park,Sweet Jesus,"{'Le': 0.9859577127270165, 'Ph': 0.00018150016412314947, 'Fl': 0.00019925662323864792, 'P': 0.0005348738143050127, 'The': 0.012414805831191625}",Le,True
41,"Between Just Soups Take Out & Catering and The Duke of Devon, the restaurant with higher price is ->",The Duke of Devon,Just Soups Take Out & Catering,"{'the': 2.8765646259904818e-08, 'THE': 3.169588716194203e-09, 'Conv': 4.514750521860618e-10, 'The': 1.0, 'he': 2.773787580927093e-08}",The,True
42,"Between Eggspectation and Top Sushi, the restaurant with higher price is ->",Eggspectation,Top Sushi,"{'Egg': 0.8080325068664004, 'Shell': 0.004033143025181667, 'The': 0.0008423647017740873, 'Top': 0.18433349298964757, 'op': 0.0010937826164311801}",Egg,True
43,"Between Capitol Trattoria Pizzeria and Edible Arrangements, the restaurant with higher price is ->",Edible Arrangements,Capitol Trattoria Pizzeria,"{'Capitol': 0.9248304921426859, 'ap': 0.008459879068243826, 'Capitals': 0.009603693643270867, 'Cap': 0.040307541239687626, 'Capital': 0.004629662535691782}",Capitol,False
44,"Between Capitol Trattoria Pizzeria and Supermodel Pizza, the restaurant with higher price is ->",Capitol Trattoria Pizzeria,Supermodel Pizza,"{'Capitol': 0.994479436625924, 'ap': 0.0005694516942551671, 'Capitals': 0.0020376114804800394, 'Cap': 0.0012325655116394792, 'Capital': 0.0007202522932793886}",Capitol,True
45,"Between Adega Restaurante and Pasta Pantry, the restaurant with higher price is ->",Adega Restaurante,Pasta Pantry,"{'Ad': 0.9990867844353704, 'd': 0.0009025058371697843, 'Conv': 5.419781808810879e-06, 'ad': 8.336693300165846e-07, 'AD': 1.2740726211071324e-06}",Ad,True
46,"Between Pizza Pizza and Ici Bistro, the restaurant with higher price is ->",Ici Bistro,Pizza Pizza,"{'IC': 1.7163354488430504e-05, 'I': 0.9998978849041014, 'A': 3.603485451193301e-06, 'B': 1.8396373595033763e-05, '': 4.683039968492963e-05}",I,True
47,"Between Modo Mio Italian Bistro and Sweet Jesus, the restaurant with higher price is ->",Modo Mio Italian Bistro,Sweet Jesus,"{'MOD': 1.681890511115266e-05, 'Mod': 0.9994786263624952, 'Mods': 1.8775346464056669e-06, 'od': 0.0004899447148802604, 'mod': 1.0069414458948813e-05}",Mod,True
48,"Between Marcello’s pizzeria and Sushi World, the restaurant with higher price is ->",Marcello’s pizzeria,Sushi World,"{'Mar': 0.9988497973906856, 'MAR': 0.00016795306375605223, 'Gor': 4.577177148426352e-05, 'Conv': 0.00013599465152821076, 'ar': 0.0006494996244940347}",Mar,True
49,"Between New Bilan Restaurant and Juice & Java Cafe, the restaurant with higher price is ->",Juice & Java Cafe,New Bilan Restaurant,"{'NEW': 1.068073400215781e-05, 'B': 3.048810348842076e-05, 'Conv': 8.999981825670846e-06, 'ew': 0.0006941262483172596, 'New': 0.999218392674263}",New,False
50,"Between Nutella Cafe by Pusateri's and Pizzeria Via Mercanti, the restaurant with higher price is ->",Nutella Cafe by Pusateri's,Pizzeria Via Mercanti,"{'Gor': 1.810359874053176e-07, 'Conv': 2.1599685274357432e-07, 'P': 0.999997903306798, 'R': 3.6462040894748125e-07, '': 6.860083755764107e-07}",P,False
51,"Between Bake Island and Le Papillon Park, the restaurant with higher price is ->",Le Papillon Park,Bake Island,"{'Le': 0.9767751594963937, 'Ph': 0.000203563410929533, 'Fl': 0.00020096917899420735, 'Conv': 0.0002272985969054736, 'The': 0.021945762730205955}",Le,True
52,"Between Shawarma Twist and Mt Everest Restaurant, the restaurant with higher price is ->",Mt Everest Restaurant,Shawarma Twist,"{'Mt': 0.9858418379547546, 'ount': 0.0010733861513203438, 'The': 0.0005204764062225229, 'Everest': 0.0021298080940710742, 'Mount': 0.009360549340410902}",Mt,True
53,"Between Cantine Bar & Grill and Mi Mi Restaurant, the restaurant with higher price is ->",Cantine Bar & Grill,Mi Mi Restaurant,"{'Cant': 0.9984549754811846, 'Gor': 2.4796451492768002e-05, 'Cav': 1.4827574037355011e-05, 'C': 6.430629699645817e-05, 'Conv': 0.0013399853472059987}",Cant,True
54,"Between JJ Bean and Bake Island, the restaurant with higher price is ->",JJ Bean,Bake Island,"{'J': 2.9760754366022458e-05, 'JJ': 0.9926376522444158, 'JC': 3.848099788271584e-05, 'BJ': 7.61635161965318e-05}",JJ,True
55,"Between Sheriff Broaster Chicken and Oxygen Restaurant & Lounge, the restaurant with higher price is ->",Oxygen Restaurant & Lounge,Sheriff Broaster Chicken,"{'X': 0.0006916261458479017, 'xy': 0.0006949706107390451, 'Conv': 0.010221942947456908, 'Oxy': 0.9800355190948301, 'The': 0.0030536722384443965}",Oxy,True
56,"Between Grappa Ristorante and Kairali - Taste of Kerala, the restaurant with higher price is ->",Grappa Ristorante,Kairali - Taste of Kerala,"{'Gor': 9.996544316986666e-05, 'R': 4.882681506383564e-06, 'ra': 0.0036073205938045782, 'Gra': 0.9962717604075663}",Gra,True
57,"Between Falafel House and The Duke of Devon, the restaurant with higher price is ->",The Duke of Devon,Falafel House,"{'the': 1.6153743798401266e-08, 'THE': 1.7101512842901436e-09, 'Conv': 5.610921296017957e-10, 'The': 1.0, 'he': 2.854340288143105e-08}",The,True
58,"Between Bonne Journee and Harry's Char Broil & Dining Lounge, the restaurant with higher price is ->",Harry's Char Broil & Dining Lounge,Bonne Journee,"{'arry': 0.010374524969353496, 'Conv': 4.599264801543909e-05, 'The': 1.1789974573890193e-05, 'HAR': 1.1589083274356895e-05, 'Harry': 0.989449061791314}",Harry,True
59,"Between Mamma's Pizza and Cantine Bar & Grill, the restaurant with higher price is ->",Cantine Bar & Grill,Mamma's Pizza,"{'Can': 2.8372193345183233e-05, 'Cant': 0.9987526398012642, 'cant': 2.1449150866868424e-05, 'C': 0.00014472184039817534, 'Conv': 0.0009162654891203962}",Cant,True
60,"Between Buk Chang Dong Soon Tofu and Juice & Java Cafe, the restaurant with higher price is ->",Juice & Java Cafe,Buk Chang Dong Soon Tofu,"{'Conv': 0.026512742831521104, 'Juice': 0.024797223195585884, 'Buk': 0.8662557419381185, 'Sauce': 0.019465554719911453, 'Bulk': 0.01356243690307656}",Buk,False
61,"Between Watson's and Hapa Toronto, the restaurant with higher price is ->",Hapa Toronto,Watson's,"{'Watson': 0.9998274309817463, 'Gor': 7.34881854380073e-06, 'Conv': 1.4465269334098206e-05, 'H': 0.00011176534706332861, 'The': 1.1539761088518176e-05}",Watson,False
62,"Between Supermodel Pizza and Freshii, the restaurant with higher price is ->",Freshii,Supermodel Pizza,"{'Fl': 0.00018274551524838858, 'Fresh': 0.9910045077245317, 'Super': 0.007726162361572142, 'Conv': 0.0005275492141495353, 'resh': 0.00012779335662013936}",Fresh,True
63,"Between Green Grotto and McDonald's, the restaurant with higher price is ->",Green Grotto,McDonald's,"{'reen': 0.0012434879315438966, 'Greens': 0.00021751255172938955, 'Gor': 0.0001330589892335789, 'Green': 0.9877050847599067, 'The': 0.010309577102301687}",Green,True
64,"Between Druxy's Famous Deli and Sichuan Landscape Chinese Restaurant, the restaurant with higher price is ->",Sichuan Landscape Chinese Restaurant,Druxy's Famous Deli,"{'T': 2.3523378206668773e-07, 'S': 0.9999982599891138, 'B': 4.023590450722083e-07, 'Conv': 3.142350701725146e-07, 'R': 3.098888971490211e-07}",S,True
65,"Between Nutella Cafe by Pusateri's and Modo Mio Italian Bistro, the restaurant with higher price is ->",Nutella Cafe by Pusateri's,Modo Mio Italian Bistro,"{'Nut': 0.0005612070205077377, 'Mod': 0.9782292621920349, 'P': 0.020684621035008854, 'od': 0.0004624790496924723, 'mod': 2.150373321493541e-05}",Mod,False
66,"Between Chick Fiesta and Taste of Greek Cuisine, the restaurant with higher price is ->",Taste of Greek Cuisine,Chick Fiesta,"{'Taste': 0.9997467889233373, 'T': 0.00010502427962642018, 'Conv': 1.7635140979625333e-05, 'Sauce': 4.020030400718929e-05, 'taste': 3.223763497085524e-05}",Taste,True
67,"Between St. Louis Bar & Grill and Druxy's Famous Deli, the restaurant with higher price is ->",St. Louis Bar & Grill,Druxy's Famous Deli,"{'t': 6.72449927166112e-05, 'S': 2.0822342273010805e-05, 'B': 5.5222973757816176e-05, 'The': 2.161720570377567e-05, 'St': 0.9997659787372486}",St,True
68,"Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, the restaurant with higher price is ->",Paradise Farms Prime Beef Bistro,Helena's Magic Kitchen,"{'Paradise': 0.9992105236605622, 'paradise': 0.00018546877851030138, 'B': 0.00011670980539090696, 'Conv': 0.00010644065054781136, 'Helena': 0.00020603695748477386}",Paradise,True
69,"Between Freshii and Pho 88, the restaurant with higher price is ->",Freshii,Pho 88,"{'Ph': 0.9999993338092819, 'Fresh': 2.3162318229309024e-07, 'h': 1.248473557325481e-07, 'Conv': 1.9434828577218365e-07, 'The': 5.686874180086593e-08}",Ph,False
70,"Between Thai 4 You Restaurant and Sushi World, the restaurant with higher price is ->",Thai 4 You Restaurant,Sushi World,"{'Thailand': 0.0001012745917486911, 'Thai': 0.9903312122274301, 'S': 0.007246504966040495, 'Bangkok': 9.125634807282856e-05, 'Th': 0.002191473128222757}",Thai,True
71,"Between Top Sushi and Paradise Farms Prime Beef Bistro, the restaurant with higher price is ->",Paradise Farms Prime Beef Bistro,Top Sushi,"{'Paradise': 0.30012659800202524, 'B': 0.023225043994746578, 'Conv': 0.001060472728489748, 'Top': 0.6623689447075093, 'op': 0.010892025097055346}",Top,False
72,"Between Itamae Ayce Sushi and Falafel Hut Village, the restaurant with higher price is ->",Itamae Ayce Sushi,Falafel Hut Village,"{'t': 0.0001838941936981638, 'Shell': 3.0496366884105657e-05, 'Conv': 3.785282288562026e-05, 'The': 0.00010851176040805218, 'It': 0.9995164152947933}",It,True
73,"Between Cafe Jules and Taste of Greek Cuisine, the restaurant with higher price is ->",Taste of Greek Cuisine,Cafe Jules,"{'Taste': 0.9998130102547621, 'T': 0.00013724924204921128, 'Conv': 2.786940942603189e-06, 'Sauce': 2.318931374145397e-05, 'taste': 8.965317823016373e-06}",Taste,True
74,"Between Cake Opera and Breakfast Room, the restaurant with higher price is ->",Cake Opera,Breakfast Room,"{'cake': 0.00048610544139149857, 'ake': 0.0005989899727333754, 'Cake': 0.9976314717001261, 'C': 0.0005316527538835179, 'Conv': 0.00021255048953711003}",Cake,True
75,"Between Sichuan Landscape Chinese Restaurant and Oxygen Restaurant & Lounge, the restaurant with higher price is ->",Oxygen Restaurant & Lounge,Sichuan Landscape Chinese Restaurant,"{'Gor': 0.00034188890939485574, 'S': 0.9521622671771595, 'Conv': 0.007223565582416921, 'Oxy': 0.03795014326685234, 'The': 0.0005455871520542239}",S,False
76,"Between Cake Opera and Kim PO Vietnamese, the restaurant with higher price is ->",Cake Opera,Kim PO Vietnamese,"{'cake': 0.0005093398920129752, 'ake': 0.0010001412889624828, 'Cake': 0.9944395613856138, 'C': 0.0021784568931546566, 'The': 0.0005317293173925177}",Cake,True
77,"Between Edible Arrangements and Daily Press Juicery, the restaurant with higher price is ->",Edible Arrangements,Daily Press Juicery,"{'Ed': 0.9963965735797043, 'Shell': 8.67160207938099e-06, 'Conv': 0.0008004639987443423, 'The': 8.697637742756929e-05, 'd': 0.0026136645506468098}",Ed,True
78,"Between Dangerous Dan's Diner and Adega Restaurante, the restaurant with higher price is ->",Adega Restaurante,Dangerous Dan's Diner,"{'Ad': 0.9983166907569163, 'd': 0.0016194213255530487, 'Conv': 4.389770575302184e-05, 'ad': 1.6253880023611027e-06, 'Ast': 1.3169791062282608e-06}",Ad,True
79,"Between Milo's Pita and To-ne Sushi, the restaurant with higher price is ->",To-ne Sushi,Milo's Pita,"{'To': 0.997867744992326, 'Gor': 1.5745562160246165e-05, 'o': 0.00032728670418448534, 'Milo': 0.001673344434174147, 'Conv': 1.9729215509950536e-05}",To,True
80,"Between St. Clair Shawarma and Falafel and Green Grotto, the restaurant with higher price is ->",Green Grotto,St. Clair Shawarma and Falafel,"{'Fl': 0.0028530385350201983, 'Green': 0.00411872759288075, 'Conv': 0.0009422536991083571, 'The': 0.0005094403946879322, 'St': 0.9904474443188628}",St,False
81,"Between FreshCo and New Bilan Restaurant, the restaurant with higher price is ->",FreshCo,New Bilan Restaurant,"{'Fl': 6.949478063393019e-06, 'Fresh': 0.9998122932691133, 'Conv': 3.5920729705339245e-05, 'resh': 8.214118688523655e-05, 'New': 4.2043006470108185e-05}",Fresh,True
82,"Between Harvey's and Milo's Pita, the restaurant with higher price is ->",Harvey's,Milo's Pita,"{'ar': 0.00020591954988335282, 'Harvey': 0.999787138718178, 'Har': 2.1207643326252872e-06, 'Conv': 6.800503482316942e-07, 'HAR': 1.4207125733477847e-06}",Harvey,True
83,"Between Tim Hortons and Eggspectation, the restaurant with higher price is ->",Eggspectation,Tim Hortons,"{'Egg': 0.9986575098472323, 'Shell': 0.000674620869300952, 'gg': 5.573607247002622e-05, 'Tim': 6.491589818002451e-05, 'egg': 8.838343435989348e-05}",Egg,True
84,"Between Hapa Toronto and Eastern legend, the restaurant with higher price is ->",Hapa Toronto,Eastern legend,"{'Gor': 9.337798874864185e-06, 'H': 0.9733359441944098, '': 2.3742947949920424e-05, 'astern': 1.1843859622485968e-05, 'Eastern': 0.026596926898504843}",H,True
85,"Between Roncy's Bean and Big Al's Diner, the restaurant with higher price is ->",Roncy's Bean,Big Al's Diner,"{'Ronald': 4.094573108941557e-05, 'Gor': 2.5657464885850507e-05, 'on': 0.004897596521594098, 'Big': 0.0010851288969646517, 'Ron': 0.9939083013937652}",Ron,True
86,"Between St. Clair Shawarma and Falafel and Galata Cafe, the restaurant with higher price is ->",Galata Cafe,St. Clair Shawarma and Falafel,"{'Fl': 0.000763526519339365, 'al': 0.0008588190586664196, 'Conv': 0.000372827019716095, 'The': 0.0042955374392521705, 'Gal': 0.9930617379574485}",Gal,True
87,"Between Milestones Restaurants and Bagel Nash, the restaurant with higher price is ->",Milestones Restaurants,Bagel Nash,"{'Fl': 5.553078535028192e-05, 'Shell': 0.00018757599274940744, 'il': 0.005841626562183037, 'Conv': 0.00039907806842513625, 'Mil': 0.9932533071182192}",Mil,True
88,"Between Green Room and Basha Middle Eastern Grill, the restaurant with higher price is ->",Basha Middle Eastern Grill,Green Room,"{'Gor': 5.797047544839848e-08, '': 1.3504632084350296e-07, 'Green': 1.5968765386765823e-06, 'B': 0.9999982599891138, 'The': 2.371303357721531e-08}",B,True
89,"Between Capitol Trattoria Pizzeria and Sweet Jesus, the restaurant with higher price is ->",Capitol Trattoria Pizzeria,Sweet Jesus,"{'Capitol': 0.9943741755541707, 'ap': 0.0008417579965982447, 'Capitals': 0.0019599858993005564, 'Cap': 0.0017145556982568009, 'Capital': 0.0005278969836591273}",Capitol,True
90,"Between Harry's Char Broil & Dining Lounge and McDonald's, the restaurant with higher price is ->",Harry's Char Broil & Dining Lounge,McDonald's,"{'Shell': 2.4758866095758853e-06, 'arry': 0.013311273116798469, 'Conv': 2.2528441057245615e-05, 'The': 1.261643788755655e-05, 'Harry': 0.9866295147605212}",Harry,True
91,"Between Hina Sushi and Oxygen Restaurant & Lounge, the restaurant with higher price is ->",Oxygen Restaurant & Lounge,Hina Sushi,"{'X': 0.0012793898428174934, 'xy': 0.0015510021633172856, 'Conv': 0.007148957765244131, 'Oxy': 0.9811659191964557, 'The': 0.0025544087272852288}",Oxy,True
92,"Between Assembly Chef's Hall and Evoo Ristorante, the restaurant with higher price is ->",Evoo Ristorante,Assembly Chef's Hall,"{'Assembly': 6.133634420066811e-05, 'v': 0.0032644385213524553, 'Conv': 0.06333962235991566, 'R': 2.2373395631372356e-05, 'Ev': 0.9332291618683282}",Ev,True
