,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with cold weather. If I were you, between Dar es Salaam and Indianapolis I would visit ->",Indianapolis,Dar es Salaam,"{'Indiana': 0.0005110311554753811, 'Indianapolis': 0.9968753223983269, 'Indy': 0.0025047942087890592, 'ndian': 2.0657213035668637e-05, 'Detroit': 4.605975420476994e-05}",Indianapolis,True
1,"You are looking for a city with cold weather. If I were you, between Caracas and Omaha I would visit ->",Omaha,Caracas,"{'Lincoln': 2.5783033284305538e-06, 'Nebraska': 0.0019234362096650806, 'Omaha': 0.9971644664409471, 'O': 0.0008922209984150923, 'Wichita': 7.6234312068713695e-06}",Omaha,True
2,"You are looking for a city with cold weather. If I were you, between Phnom Penh and Irkutsk I would visit ->",Irkutsk,Phnom Penh,"{'r': 0.0010503207345293857, 'Siberia': 0.002394570011849369, 'Siberian': 0.0030640000830460213, 'Ir': 0.9740754522151248, 'Ark': 0.014293784307802482}",Ir,True
3,"You are looking for a city with cold weather. If I were you, between Parakou and Skopje I would visit ->",Skopje,Parakou,"{'k': 0.011236146852559872, 'Macedonia': 0.0006631608419438346, 'Sk': 0.9814157823405644, 'Budapest': 0.0003174586450265255, 'Sof': 0.0047841753958201205}",Sk,True
4,"You are looking for a city with cold weather. If I were you, between Mandalay and Podgorica I would visit ->",Podgorica,Mandalay,"{'Pod': 0.8348613632099717, 'Split': 0.014760006786794363, 'Sof': 0.02082482696432011, 'od': 0.05185629208404381, 'Monteneg': 0.029059000958783603}",Pod,True
5,"You are looking for a city with cold weather. If I were you, between Rosario and Novosibirsk I would visit ->",Novosibirsk,Rosario,"{'ov': 0.006990850893713067, 'Sochi': 0.004972706597923495, 'Siberia': 0.004930739510731327, 'Siberian': 0.002811498398097775, 'Nov': 0.9734060385862116}",Nov,True
6,"You are looking for a city with cold weather. If I were you, between Bata and Lviv I would visit ->",Lviv,Bata,"{'Edmonton': 2.5359300793742692e-05, 'Lv': 0.9949162820565809, 'v': 0.005004113523920592, 'Warsaw': 9.457778815363764e-06, 'Vil': 1.9744156180421866e-05}",Lv,True
7,"You are looking for a city with cold weather. If I were you, between Tampa and Ushuaia I would visit ->",Ushuaia,Tampa,"{'Tampa': 0.5760091690058549, 'Edmonton': 0.007866238382525904, 'Winnipeg': 0.06891269950654762, 'U': 0.30802981461358175, 'St': 0.012388957838428243}",Tampa,False
8,"You are looking for a city with cold weather. If I were you, between Bangui and Baku I would visit ->",Baku,Bangui,"{'Istanbul': 1.2483372489481375e-05, 'C': 7.038404830821263e-06, 'Azerbaijan': 4.220317933788067e-05, 'B': 0.9998833411551723, 'Budapest': 3.8715287890672494e-05}",B,False
9,"You are looking for a city with cold weather. If I were you, between San Juan and Indianapolis I would visit ->",Indianapolis,San Juan,"{'Indiana': 0.0003624613898865503, 'Indianapolis': 0.9977264251953656, 'Colts': 1.5614165669574945e-05, 'Indy': 0.0018443783425031058, 'Detroit': 1.938674447340884e-05}",Indianapolis,True
10,"You are looking for a city with cold weather. If I were you, between Garissa and Erzurum I would visit ->",Erzurum,Garissa,"{'Har': 0.00015275075762852396, 'Budapest': 0.00022583498054024132, 'cold': 0.00015923555086982767, 'Er': 0.9982304419173855, 'r': 0.00045912869772703755}",Er,True
11,"You are looking for a city with cold weather. If I were you, between Wau and Johannesburg I would visit ->",Johannesburg,Wau,"{'Har': 0.0011782900519437534, 'Adelaide': 0.00017619433428533145, 'W': 0.0057923511442651565, 'Johannes': 0.9917024145842397, 'cold': 0.00024939838506998194}",Johannes,True
12,"You are looking for a city with cold weather. If I were you, between Mumbai and Punta Arenas I would visit ->",Punta Arenas,Mumbai,"{'San': 0.00010822534249329794, 'C': 0.00023187155079287616, 'P': 0.9977156346428829, 'O': 0.0009574040986437884, 'cold': 9.490349735230475e-05}",P,True
13,"You are looking for a city with cold weather. If I were you, between Vientiane and Halifax I would visit ->",Halifax,Vientiane,"{'Nova': 0.00011942428329549463, 'Har': 4.5007248652475954e-05, 'Halifax': 0.9994395855908483, 'al': 0.00018406916025978426, 'Dartmouth': 0.0001316470605545066}",Halifax,True
14,"You are looking for a city with cold weather. If I were you, between Thiès and Moscow I would visit ->",Moscow,Thiès,"{'Russia': 0.00025598620542376045, 'M': 0.00022637922006791216, 'Sochi': 0.003060189306690095, 'oscow': 0.0007441566456977924, 'Moscow': 0.9952304002388219}",Moscow,True
15,"You are looking for a city with cold weather. If I were you, between Phnom Penh and Chicago I would visit ->",Chicago,Phnom Penh,"{'hicago': 0.00047523530387935176, 'Chicago': 0.9993696686423303, 'Chic': 1.6259730961739137e-05, 'Detroit': 7.278490304663422e-05, 'Illinois': 3.988947712718009e-05}",Chicago,True
16,"You are looking for a city with cold weather. If I were you, between Hanoi and Punta Arenas I would visit ->",Punta Arenas,Hanoi,"{'San': 0.00027588898539272197, 'P': 0.9976641363852289, 'W': 0.0001837322542583133, 'O': 0.0004571163062484494, '': 0.00020768085656724125}",P,True
17,"You are looking for a city with cold weather. If I were you, between Riyadh and Ushuaia I would visit ->",Ushuaia,Riyadh,"{'Edmonton': 0.004779429935244312, 'San': 0.005648973114433758, 'Riyadh': 0.9471431364151133, 'O': 0.003390395831337055, 'U': 0.012297130948890319}",Riyadh,False
18,"You are looking for a city with cold weather. If I were you, between Sydney and Kuopio I would visit ->",Kuopio,Sydney,"{'Sydney': 0.004199255631480056, 'Ku': 0.5963999022450106, 'Stockholm': 0.013003063440659901, 'O': 0.08952001924487446, 'Helsinki': 0.28305668529522243}",Ku,True
19,"You are looking for a city with cold weather. If I were you, between Ouahigouya and Suwałki I would visit ->",Suwałki,Ouahigouya,"{'Su': 0.6427424495547761, 'Warsaw': 0.33159083328378686, 'W': 0.01890015227633605, 'O': 0.0013083702503316, 'u': 0.0013371056015831337}",Su,True
20,"You are looking for a city with cold weather. If I were you, between Entebbe and Minneapolis I would visit ->",Minneapolis,Entebbe,"{'Minneapolis': 0.9991963987605622, 'Winnipeg': 0.00010303498162168167, 'M': 1.1453719884316612e-05, 'Minnesota': 0.0006571219107474177, 'in': 1.0229999774947566e-05}",Minneapolis,True
21,"You are looking for a city with cold weather. If I were you, between Thiès and Ushuaia I would visit ->",Ushuaia,Thiès,"{'Antarctica': 0.0002401696522433628, 'Ant': 0.001924719569569876, 'O': 0.0006534797580856479, 'U': 0.9953737482216943, '': 0.00029124899608755107}",U,True
22,"You are looking for a city with cold weather. If I were you, between La Paz and Ottawa I would visit ->",Ottawa,La Paz,"{'Ottawa': 0.9986842736279268, 'Edmonton': 0.00018091088427777712, 'Winnipeg': 0.00028693007873151254, 'O': 0.00043832220069370145, 'tt': 0.00022264054340849468}",Ottawa,True
23,"You are looking for a city with cold weather. If I were you, between Garissa and Asmara I would visit ->",Asmara,Garissa,"{'As': 0.998643504472925, 'Tehran': 2.9147337128275533e-05, 'Har': 6.873383337355619e-05, 'Ash': 0.0010163508140553141, 'Ark': 0.00011334514657147718}",As,True
24,"You are looking for a city with cold weather. If I were you, between Garissa and Saskatoon I would visit ->",Saskatoon,Garissa,"{'Edmonton': 0.004509035529000221, 'Winnipeg': 0.023978454044433686, 'Sask': 0.8900976083198685, 'Saskatchewan': 0.08060461282723967, 'cold': 0.0003646369707537132}",Sask,True
25,"You are looking for a city with cold weather. If I were you, between Darwin and Fukuoka I would visit ->",Fukuoka,Darwin,"{'Tokyo': 0.24366459743386681, 'Har': 0.0065035811996991275, 'Darwin': 0.035971770532821114, 'Fuk': 0.5571924149306459, 'Hiroshima': 0.14137128818389783}",Fuk,True
26,"You are looking for a city with cold weather. If I were you, between Djibouti and Córdoba I would visit ->",Córdoba,Djibouti,"{'Madrid': 0.00013922795556768822, 'Barcelona': 7.452723663271364e-06, 'Cord': 2.124712427472025e-05, 'C': 0.999816585872428, 'Conce': 9.221858205275849e-06}",C,True
27,"You are looking for a city with cold weather. If I were you, between Garissa and Mendoza I would visit ->",Mendoza,Garissa,"{'Salt': 0.04710204785642291, 'Mend': 0.2887158189742097, 'San': 0.34135673664895133, 'Ant': 0.046970168103264494, 'Conce': 0.11426639024754968}",San,True
28,"You are looking for a city with cold weather. If I were you, between Hat Yai and Bahía Blanca I would visit ->",Bahía Blanca,Hat Yai,"{'Bah': 0.10258144608260837, 'San': 0.19199952133583295, 'Conce': 0.11705340445405177, 'Buenos': 0.10771483075312735, 'Com': 0.06401940746181785}",San,True
29,"You are looking for a city with cold weather. If I were you, between Mombasa and Calgary I would visit ->",Calgary,Mombasa,"{'Alberta': 0.00013874109327649512, 'Calgary': 0.9923860024599577, 'Edmonton': 0.007249621633211309, 'Winnipeg': 6.681386092963308e-05, 'cold': 6.28782022766469e-05}",Calgary,True
30,"You are looking for a city with cold weather. If I were you, between Malabo and Hobart I would visit ->",Hobart,Malabo,"{'Hob': 0.9423214222744342, 'Tasman': 0.0012716741732275712, 'hob': 0.0001551774899059737, 'Tasmania': 0.05561524081003124, 'Dun': 0.00021585363407315906}",Hob,True
31,"You are looking for a city with cold weather. If I were you, between San Juan and Reykjavík I would visit ->",Reykjavík,San Juan,"{'Iceland': 0.041707821575842845, 'Winnipeg': 0.0007302440971914204, 'Rey': 0.951989175051159, 'Icelandic': 0.0030143441544835847, 'cold': 0.0002438251958174469}",Rey,True
32,"You are looking for a city with cold weather. If I were you, between Mexico City and Oslo I would visit ->",Oslo,Mexico City,"{'Norway': 0.0005907503792009264, 's': 0.000501362232083681, 'Norwegian': 5.6019091818533754e-05, 'Oslo': 0.9899784740239939, 'O': 0.008721189847224255}",Oslo,True
33,"You are looking for a city with cold weather. If I were you, between Kathmandu and Erzurum I would visit ->",Erzurum,Kathmandu,"{'Har': 0.00010846879825799789, 'Budapest': 8.310622077497721e-05, 'Er': 0.9987175945854995, 'Ark': 0.00023655613994478096, 'r': 0.00041922742703935607}",Er,True
34,"You are looking for a city with cold weather. If I were you, between San Salvador and Lviv I would visit ->",Lviv,San Salvador,"{'Edmonton': 1.785167886678173e-05, 'Lv': 0.9908286140899332, 'v': 0.009069432370498457, 'Warsaw': 1.5996269806482712e-05, 'Vil': 3.12153062035013e-05}",Lv,True
35,"You are looking for a city with cold weather. If I were you, between Manila and Ankara I would visit ->",Ankara,Manila,"{'Istanbul': 0.11327164579894947, 'Ankara': 0.8860020753485023, 'ytes: \\xc4': 0.0005300695148099798, 'Ant': 3.1167863811850874e-05, 'cold': 3.217550851322942e-05}",Ankara,True
36,"You are looking for a city with cold weather. If I were you, between Medellín and Chicago I would visit ->",Chicago,Medellín,"{'hicago': 0.00043393144377218575, 'Chicago': 0.9994240869516193, 'Chic': 9.416623246892816e-06, 'Detroit': 7.623194175255269e-05, 'Illinois': 3.5426975791925055e-05}",Chicago,True
37,"You are looking for a city with cold weather. If I were you, between Thiès and Hobart I would visit ->",Hobart,Thiès,"{'Hob': 0.9157800291465776, 'Tasman': 0.0018612257554522255, 'hob': 8.963703377466588e-05, 'Tasmania': 0.08187213319925356, 'Dun': 0.00014350466709261287}",Hob,True
38,"You are looking for a city with cold weather. If I were you, between Sokoto and Brussels I would visit ->",Brussels,Sokoto,"{'Brus': 2.1275188997404887e-05, 'Belgium': 0.0002643995901768124, 'Brussels': 0.9990935787081865, 'Br': 0.00046471650730772507, 'cold': 6.960786459172767e-05}",Brussels,True
39,"You are looking for a city with cold weather. If I were you, between Cairo and Omaha I would visit ->",Omaha,Cairo,"{'Nebraska': 0.0014451430005440024, 'Omaha': 0.9954306122634089, 'O': 0.0030641857670772213, 'Wichita': 1.9955175993171748e-05, '': 9.911389574771353e-06}",Omaha,True
40,"You are looking for a city with cold weather. If I were you, between Port Sudan and Christchurch I would visit ->",Christchurch,Port Sudan,"{'hrist': 0.002485573155380205, 'Christ': 0.9814327099459614, 'Canterbury': 0.015624566933496472, 'CHRIST': 6.275909815152077e-05, 'Dun': 0.0003356108009131865}",Christ,True
41,"You are looking for a city with cold weather. If I were you, between Ankara and Novosibirsk I would visit ->",Novosibirsk,Ankara,"{'Istanbul': 0.12418128564783178, 'Ankara': 0.4218212638693831, 'Sochi': 0.05426527279540755, 'Nov': 0.3590132080302586, 'Ark': 0.0077445686551145115}",Ankara,False
42,"You are looking for a city with cold weather. If I were you, between Abéché and Kuopio I would visit ->",Kuopio,Abéché,"{'Ku': 0.947606203670864, 'u': 0.002657766953297969, 'O': 0.016166577260507305, 'Helsinki': 0.019553894602242404, 'K': 0.010343254612487696}",Ku,True
43,"You are looking for a city with cold weather. If I were you, between Surabaya and Fukuoka I would visit ->",Fukuoka,Surabaya,"{'Tokyo': 0.002054694097045038, 'Kum': 0.0001707327652817637, 'Fuk': 0.9749556316692255, 'Hiroshima': 0.022113763090933675, 'cold': 0.00014108838782163986}",Fuk,True
44,"You are looking for a city with cold weather. If I were you, between Manaus and Santiago I would visit ->",Santiago,Manaus,"{'Chile': 0.0002454110495524584, 'San': 0.0008155820727087255, 'S': 0.0010250642350642285, 'Santiago': 0.9890370143731051, 'Conce': 0.008157287332642316}",Santiago,True
45,"You are looking for a city with cold weather. If I were you, between San José and Moscow I would visit ->",Moscow,San José,"{'Russia': 0.00031269837193183774, 'Sochi': 0.004415403747809297, 'cold': 0.0004214122446266823, 'oscow': 0.0014133771450933954, 'Moscow': 0.9926918324816394}",Moscow,True
46,"You are looking for a city with cold weather. If I were you, between Pontianak and Rabat I would visit ->",Rabat,Pontianak,"{'Madrid': 0.11181118260081807, 'Barcelona': 0.10386941435583588, 'Rab': 0.27708917311458914, 'R': 0.41283685016022975, 'Marse': 0.03602732862666028}",R,True
47,"You are looking for a city with cold weather. If I were you, between Guangzhou and Ushuaia I would visit ->",Ushuaia,Guangzhou,"{'Edmonton': 0.005789461482074843, 'Monte': 0.0056009278918148, 'Ant': 0.04679246936548543, 'O': 0.014354009042653337, 'U': 0.9036373414888096}",U,True
48,"You are looking for a city with cold weather. If I were you, between Yaoundé and Indianapolis I would visit ->",Indianapolis,Yaoundé,"{'Indiana': 0.00046417890914547607, 'Indianapolis': 0.9971627970893112, 'Indy': 0.0022719749584339866, 'ndian': 1.9923671710040175e-05, 'Detroit': 3.666408105530078e-05}",Indianapolis,True
49,"You are looking for a city with cold weather. If I were you, between Cabo San Lucas and Vladivostok I would visit ->",Vladivostok,Cabo San Lucas,"{'Vancouver': 0.00022560858161280176, 'Vlad': 0.9980342246721561, 'Vladimir': 0.00030038036591918546, 'Sochi': 0.0007807889305717643, 'St': 0.00020512315563793506}",Vlad,True
50,"You are looking for a city with cold weather. If I were you, between Mombasa and Yerevan I would visit ->",Yerevan,Mombasa,"{'Armenia': 0.0021833988736237606, 'M': 0.0008136352404070486, 'Budapest': 0.000970531207273968, 'Y': 0.9929122524045931, 'Ash': 0.002157821782770877}",Y,True
51,"You are looking for a city with cold weather. If I were you, between Malabo and Lhasa I would visit ->",Lhasa,Malabo,"{'Tibet': 0.051550457174190344, 'Har': 0.00039540658236864436, 'T': 0.002271399767196794, 'Tibetan': 0.000821146519300912, 'L': 0.9437035879116122}",L,True
52,"You are looking for a city with cold weather. If I were you, between Indianapolis and Murmansk I would visit ->",Murmansk,Indianapolis,"{'Indiana': 0.0003203773622233011, 'Indianapolis': 0.9962278299758546, 'Indy': 0.002614776640071305, 'Warsaw': 6.401027119880584e-05, 'Detroit': 0.0006135236777613691}",Indianapolis,False
53,"You are looking for a city with cold weather. If I were you, between Muscat and Canberra I would visit ->",Canberra,Muscat,"{'ACT': 5.942135365791433e-06, 'Adelaide': 8.530265316696552e-05, 'C': 6.622649774830366e-06, 'Canberra': 0.9998392344241703, 'cold': 2.5095073650353963e-05}",Canberra,True
54,"You are looking for a city with cold weather. If I were you, between Malabo and Irkutsk I would visit ->",Irkutsk,Malabo,"{'Siberia': 0.0036896476990495503, 'cold': 0.0027593076008038666, 'Siberian': 0.003693437436316696, 'Ir': 0.968064283825397, 'Ark': 0.014543274876736685}",Ir,True
55,"You are looking for a city with cold weather. If I were you, between Suva and Pittsburgh I would visit ->",Pittsburgh,Suva,"{'Pitt': 0.0007599701513459234, 'Pittsburgh': 0.9984292841673666, 'itt': 0.000564112645694608, 'PIT': 4.392776401887766e-05, 'Pennsylvania': 4.8378212526633475e-05}",Pittsburgh,True
56,"You are looking for a city with cold weather. If I were you, between Brisbane and Dublin I would visit ->",Dublin,Brisbane,"{'Dublin': 0.9964766225130526, 'Edinburgh': 0.0017895086392941417, 'D': 0.0008264319328442111, 'ub': 0.0003131807681835583, 'cold': 0.0002197737389845636}",Dublin,True
57,"You are looking for a city with cold weather. If I were you, between Tabora and Minsk I would visit ->",Minsk,Tabora,"{'T': 1.4032467390165814e-07, 'Belarus': 2.736576147900269e-06, 'M': 0.999995041369894, 'Vil': 1.2811891254837772e-07, '': 1.4215538841946455e-06}",M,True
58,"You are looking for a city with cold weather. If I were you, between Phoenix and Suwałki I would visit ->",Suwałki,Phoenix,"{'Su': 0.021802627258579857, 'Warsaw': 0.9672486065821188, 'Vil': 0.0003300092082847082, 'W': 0.008781763827467542, 'Ark': 0.0006314246136137567}",Warsaw,True
59,"You are looking for a city with cold weather. If I were you, between Wau and Auckland I would visit ->",Auckland,Wau,"{'ckland': 0.00015672200357268954, 'Auckland': 0.9979358153653818, 'W': 0.001146070665328883, 'Dun': 0.00017765341721895015, 'New': 0.00015050353284465356}",Auckland,True
60,"You are looking for a city with cold weather. If I were you, between Harare and Lviv I would visit ->",Lviv,Harare,"{'Har': 0.0015907176696891147, 'Edmonton': 8.734847325625327e-05, 'Lv': 0.990382532520545, 'v': 0.007577183638646613, 'Vil': 0.00019737699061358682}",Lv,True
61,"You are looking for a city with cold weather. If I were you, between Pontianak and Murmansk I would visit ->",Murmansk,Pontianak,"{'Har': 0.000337679951539557, 'ur': 0.00878243477985401, 'Sochi': 0.0007415198697866504, 'Mur': 0.9867965277795286, 'Ark': 0.002396672408888653}",Mur,True
62,"You are looking for a city with cold weather. If I were you, between Auckland and Kuopio I would visit ->",Kuopio,Auckland,"{'Edmonton': 0.0028307414646509, 'Auckland': 0.9501228566115656, 'O': 0.01745606720383403, 'Helsinki': 0.014884225769632962, 'Dun': 0.008099845431635125}",Auckland,False
63,"You are looking for a city with cold weather. If I were you, between Port Sudan and Saint Petersburg I would visit ->",Saint Petersburg,Port Sudan,"{'Petersburg': 0.0016764927777507782, 'S': 9.178809920733183e-06, 'Sochi': 6.937936978426724e-05, 'St': 0.9949038227979946, 'Saint': 0.0033000201647436257}",St,True
64,"You are looking for a city with cold weather. If I were you, between Asmara and Murmansk I would visit ->",Murmansk,Asmara,"{'As': 0.02078058794332113, 'ur': 0.014019356459977416, 'Sochi': 0.003995093083641187, 'Mur': 0.9376349076472477, 'Ark': 0.015823960504955867}",Mur,True
65,"You are looking for a city with cold weather. If I were you, between Port Sudan and Ulaanbaatar I would visit ->",Ulaanbaatar,Port Sudan,"{'Har': 0.003721077507814509, 'O': 0.005258479302606772, 'Mongolia': 0.01276115356973688, 'U': 0.9513385805347472, 'Detroit': 0.012208241774998064}",U,True
66,"You are looking for a city with cold weather. If I were you, between Manila and Hobart I would visit ->",Hobart,Manila,"{'Hob': 0.9124914257572939, 'Adelaide': 8.135209269865861e-05, 'Tasman': 0.002022267241910901, 'Tasmania': 0.08481148576620354, 'Dun': 0.0002641041566131293}",Hob,True
67,"You are looking for a city with cold weather. If I were you, between Erbil and Minsk I would visit ->",Minsk,Erbil,"{'Warsaw': 5.51138884814898e-07, 'Belarus': 6.7774475123532476e-06, 'M': 0.9999878879703512, 'Vil': 8.329885003307584e-07, '': 2.7821849102810408e-06}",M,True
68,"You are looking for a city with cold weather. If I were you, between Wau and Irkutsk I would visit ->",Irkutsk,Wau,"{'Siberia': 0.008065404610270078, 'cold': 0.0023357972767386365, 'Siberian': 0.007515231884743123, 'Ir': 0.9418242555921728, 'Ark': 0.032637837635276896}",Ir,True
69,"You are looking for a city with cold weather. If I were you, between Mandalay and Napier I would visit ->",Napier,Mandalay,"{'Nap': 0.9937182824046876, 'O': 0.00032416983415995445, 'ap': 0.0038720070066528846, 'Dun': 0.0007221161929181628, 'New': 0.0008147852307526074}",Nap,True
70,"You are looking for a city with cold weather. If I were you, between Cotonou and Berlin I would visit ->",Berlin,Cotonou,"{'Berlin': 0.9999242286257956, 'er': 3.328439131982833e-05, 'Germany': 1.1610391986391584e-05, 'cold': 1.0493804736807884e-05, 'Dresden': 1.2120843306493202e-05}",Berlin,True
71,"You are looking for a city with cold weather. If I were you, between Mombasa and Toronto I would visit ->",Toronto,Mombasa,"{'Ontario': 2.783137713000038e-05, 'Winnipeg': 3.311927893402114e-05, 'oronto': 0.0008500225325065748, 'cold': 1.727246401422531e-05, 'Toronto': 0.9990290873410019}",Toronto,True
