,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, this person should go to ->",Kairali - Taste of Kerala,Mirage Grill & Lounge,"{'Miranda': 2.059519392475769e-07, 'Mirage': 9.516617347015102e-05, '': 5.873334661437169e-06, 'K': 0.9998969322718433, 'nearby': 2.268336290159932e-07}",K,True
1,"Someone is looking for restaurants nearby. Between Thai 4 You Restaurant and Nutella Cafe by Pusateri's, this person should go to ->",Thai 4 You Restaurant,Nutella Cafe by Pusateri's,"{'Nut': 0.00021007624956132585, 'Thai': 0.8868044794509282, 'P': 0.11265166859586019, 'Chinese': 9.362875594771666e-05, 'Beach': 6.507721955631925e-05}",Thai,True
2,"Someone is looking for restaurants nearby. Between Freshii and Fit For Life, this person should go to ->",Fit For Life,Freshii,"{'Fresh': 0.9977161112517554, 'Fit': 0.0020879417643242543, 'it': 7.497761167434321e-05, 'resh': 8.716872061013755e-05, 'fit': 9.835620668305955e-06}",Fresh,False
3,"Someone is looking for restaurants nearby. Between Druxy's Famous Deli and Milo's Pita, this person should go to ->",Milo's Pita,Druxy's Famous Deli,"{'Dru': 0.9860787099796344, 'Duterte': 2.314110910810025e-06, 'Milo': 0.010507478891346867, 'dru': 0.0033672115848981743, 'Yiannopoulos': 3.399388168439875e-05}",Dru,False
4,"Someone is looking for restaurants nearby. Between Kibo Sushi House and Bagel Nash, this person should go to ->",Kibo Sushi House,Bagel Nash,"{'Bag': 0.001311125959327577, 'ag': 1.2049770943988026e-06, '': 2.2118661212124513e-06, 'K': 0.9986832012413296, 'bag': 1.4247203629883005e-06}",K,True
5,"Someone is looking for restaurants nearby. Between Lahore Grill & Fast Food and LCBO, this person should go to ->",Lahore Grill & Fast Food,LCBO,"{'LC': 0.9981992686656722, 'Lah': 0.00010166626711999054, 'L': 8.978937510198943e-06, 'C': 0.0016445236683654964, 'nearby': 2.5496611423063398e-05}",LC,False
6,"Someone is looking for restaurants nearby. Between It's All Grk and Edible Arrangements, this person should go to ->",It's All Grk,Edible Arrangements,"{'Ed': 0.9913854992905091, 'Andrea': 0.002406437117102195, 'It': 0.0015831353492517717, 'd': 0.001685691185797819, 'Ar': 0.0009800117466440621}",Ed,False
7,"Someone is looking for restaurants nearby. Between Domino's Pizza and Breakfast Room, this person should go to ->",Breakfast Room,Domino's Pizza,"{'breakfast': 0.008980434612595714, 'Morning': 5.876917942018385e-05, 'reak': 9.77424108965239e-05, 'Breakfast': 0.9883311730549003, 'Dom': 0.002368453662172994}",Breakfast,True
8,"Someone is looking for restaurants nearby. Between La Pupusa Loka and Pizzeria Via Mercanti, this person should go to ->",La Pupusa Loka,Pizzeria Via Mercanti,"{'Pizza': 1.7590358332899334e-09, 'p': 1.9543188999282728e-08, 'P': 0.9999999317236823, '': 1.3736162172916117e-09}",P,False
9,"Someone is looking for restaurants nearby. Between LCBO and Sheriff Broaster Chicken, this person should go to ->",Sheriff Broaster Chicken,LCBO,"{'Sheriff': 0.040693280436677484, 'sheriff': 0.0004302960920846611, 'LC': 0.9537302035824389, 'her': 0.0004219815353417001, 'C': 0.004481094295473341}",LC,False
10,"Someone is looking for restaurants nearby. Between JJ Bean and Nutella Cafe by Pusateri's, this person should go to ->",JJ Bean,Nutella Cafe by Pusateri's,"{'Nut': 2.3040684808203836e-05, 'J': 0.002358530555131365, 'P': 0.00017843342419750674, 'JJ': 0.9973393465293241, 'j': 8.018596968334895e-05}",JJ,True
11,"Someone is looking for restaurants nearby. Between Supermodel Pizza and Galata Cafe, this person should go to ->",Supermodel Pizza,Galata Cafe,"{'uper': 0.005254667235839001, 'al': 0.01614973561557665, 'Super': 0.2313347692569728, 'Gal': 0.7433102927328489, 'gal': 0.002022331955498054}",Gal,False
12,"Someone is looking for restaurants nearby. Between Assembly Chef's Hall and Oxygen Restaurant & Lounge, this person should go to ->",Oxygen Restaurant & Lounge,Assembly Chef's Hall,"{'Assembly': 0.8418189934493927, 'assembly': 0.007799278886571093, 'xy': 0.014248167172690288, 'Oxy': 0.12767685212423707, 'assemblies': 0.003113159973468345}",Assembly,False
13,"Someone is looking for restaurants nearby. Between Mamma's Pizza and To-ne Sushi, this person should go to ->",Mamma's Pizza,To-ne Sushi,"{'restaurants': 0.001076254199774981, 'Mam': 0.995263360426903, 'm': 0.0007900664516722024, 'nearby': 0.0009401106282475988, 'Beach': 0.00018797360573823772}",Mam,True
14,"Someone is looking for restaurants nearby. Between Tik Talk Cafe and Assembly Chef's Hall, this person should go to ->",Tik Talk Cafe,Assembly Chef's Hall,"{'Assembly': 0.017392033890141323, 'assembly': 0.001985981556816922, 'Nik': 0.0007763550529192177, 'assemblies': 0.0004624759510932196, 'Tik': 0.9790301051550137}",Tik,True
15,"Someone is looking for restaurants nearby. Between 9 Restaurant and Green Grotto, this person should go to ->",Green Grotto,9 Restaurant,"{'reen': 0.0008105925779939941, 'Nine': 0.00013286340334910235, '': 0.05738861157259775, 'Green': 0.2156248256018186, '9': 0.725522524699959}",9,False
16,"Someone is looking for restaurants nearby. Between Mt Everest Restaurant and Delicious Paradise Kitchen, this person should go to ->",Delicious Paradise Kitchen,Mt Everest Restaurant,"{'Nik': 0.001467517619295289, 'delicious': 0.001786121088703355, 'Mt': 0.9684412778821238, 'Delicious': 0.021510863336285928, 'Mount': 0.0011171791352483785}",Mt,False
