,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Sokoto and Auckland, the city with higher average temperature is ->",Sokoto,Auckland,"{'Dak': 0.0025543742430001806, 'Jos': 0.009593284083118988, 'Mog': 0.000501694594951155, 'S': 0.0005110659067754846, 'Sok': 0.9858486935227324}",Sok,True
1,"Between Wau and Fukuoka, the city with higher average temperature is ->",Wau,Fukuoka,"{'Singapore': 0.0001747986181665102, 'Kum': 9.922098735219844e-05, 'Fuk': 0.9985462281515709, 'W': 0.0003884477068185479, 'Hiroshima': 0.0002619455238654702}",Fuk,False
2,"Between Juba and Kunming, the city with higher average temperature is ->",Juba,Kunming,"{'Kum': 0.011276774752429197, 'Jos': 0.014805315607894129, 'Kun': 0.38826285787004006, 'J': 0.5142872589931337, 'Lod': 0.03791431248706397}",J,True
3,"Between Buenos Aires and Moscow, the city with higher average temperature is ->",Buenos Aires,Moscow,"{'Rio': 0.027363857655123988, 'Rec': 0.008606805942868164, 'u': 0.01942472771640802, 'Havana': 0.01815257236889521, 'Buenos': 0.8912501312398086}",Buenos,True
4,"Between Medellín and Ljubljana, the city with higher average temperature is ->",Medellín,Ljubljana,"{'Col': 2.664103627033836e-07, 'Gu': 8.766079323557184e-07, 'Med': 0.9999982599891138, 'Fort': 1.1470491073455205e-07, 'ed': 3.185083963867126e-07}",Med,True
5,"Between Brisbane and Novosibirsk, the city with higher average temperature is ->",Brisbane,Novosibirsk,"{'Singapore': 0.0797167382143156, 'ov': 0.01585513272263091, 'Brisbane': 0.016876963389232613, 'N': 0.04138712652538692, 'Nov': 0.7919952932908129}",Nov,False
6,"Between Cotonou and London, the city with higher average temperature is ->",Cotonou,London,"{'C': 0.9999912267169855, '': 4.1429315907814277e-07, 'Libre': 2.4201960710080582e-06, 'Acc': 6.7666128960961e-07, 'Fort': 2.1470559066060763e-06}",C,True
7,"Between Barranquilla and Bogotá, the city with higher average temperature is ->",Barranquilla,Bogotá,"{'ar': 0.0041041168471138735, 'Gu': 0.0027372596138157306, 'Bog': 0.10612814499205983, 'Bar': 0.8799039281732827, 'B': 0.0010721781987188992}",Bar,True
8,"Between Antsiranana and Fairbanks, the city with higher average temperature is ->",Antsiranana,Fairbanks,"{'Pir': 2.899512591465514e-07, 'As': 8.01687539186797e-08, 'nt': 1.0531804204823065e-06, 'Ant': 0.9999983792026135, 'Libre': 4.7574116243790254e-08}",Ant,True
9,"Between Kingston and Zagreb, the city with higher average temperature is ->",Kingston,Zagreb,"{'Z': 0.00124826299258204, 'Jama': 0.00016476489153280043, 'Georgetown': 0.0009151248993339376, 'Jamaica': 0.00021117803763710913, 'Kingston': 0.9969680076011455}",Kingston,True
10,"Between Mandalay and Toluca, the city with higher average temperature is ->",Mandalay,Toluca,"{'Pir': 7.52369638658375e-06, 'M': 6.632312023953999e-05, 'Mandal': 0.9998307692011473, 'Lod': 4.6389704923455273e-05, 'Kuala': 3.6680036810968133e-06}",Mandal,True
11,"Between Belize City and Lhasa, the city with higher average temperature is ->",Belize City,Lhasa,"{'el': 2.3586880606601473e-06, 'Georgetown': 1.4239497977286206e-06, 'Bel': 0.9999795425592563, 'L': 9.373931180691896e-06, 'Lod': 2.2124257941367594e-06}",Bel,True
12,"Between Suva and Lhasa, the city with higher average temperature is ->",Suva,Lhasa,"{'Su': 0.04678350478718903, 'L': 0.9490432814341736, '': 0.0009280694403631638, 'Lod': 0.0010839921691740007, 'u': 0.0006869248914707447}",L,False
13,"Between Fukuoka and Kuopio, the city with higher average temperature is ->",Fukuoka,Kuopio,"{'Singapore': 6.657902300009059e-05, 'Kum': 0.00020165807355106144, 'Fuk': 0.998969364569894, 'Fuj': 0.00023084870932386098, 'Hiroshima': 0.00012820487342046896}",Fuk,True
14,"Between Beirut and Brussels, the city with higher average temperature is ->",Beirut,Brussels,"{'Lebanon': 0.0006907037172671609, 'Lebanese': 0.0010425600542033724, 'B': 0.00111462193869693, 'Beir': 0.002177713077139457, 'Beirut': 0.9908551379361106}",Beirut,True
15,"Between Cotonou and Frankfurt, the city with higher average temperature is ->",Cotonou,Frankfurt,"{'C': 0.9999937300764561, '': 2.0206104140917926e-07, 'Libre': 1.9441416293031153e-06, 'Acc': 3.73491346991752e-07, 'Fort': 2.2788947301813015e-06}",C,True
16,"Between Manila and Albuquerque, the city with higher average temperature is ->",Manila,Albuquerque,"{'Philippines': 0.0006008107288904164, 'Man': 0.001124354708879219, 'Duterte': 0.0003644497048452037, 'Philippine': 0.0007170882805847816, 'Manila': 0.996331127719107}",Manila,True
17,"Between Hanoi and Kabul, the city with higher average temperature is ->",Hanoi,Kabul,"{'H': 0.9948671085396591, '': 0.0016358322217551362, 'Hiroshima': 0.0010086736792282549, 'Kh': 0.0006568994469336876, 'Hon': 0.0003512423910647722}",H,True
18,"Between Port-Gentil and Melbourne, the city with higher average temperature is ->",Port-Gentil,Melbourne,"{'Gu': 0.007310660160969033, 'G': 0.0075121437590917875, 'Port': 0.9303173262616962, 'Libre': 0.007892407954509057, 'Fort': 0.032645998114703145}",Port,True
