,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like big cities. Between Guadalajara and Kansas City, this person should visit ->",Kansas City,Guadalajara,"{'small': 0.00011119835159985225, 'Gu': 0.9654826473340891, 'Wichita': 0.02667011043505032, 'K': 0.00039255292070848515, 'Kansas': 0.007124652684860769}",Gu,False
1,"Someone doesn't like big cities. Between Guadalajara and Dodoma, this person should visit ->",Dodoma,Guadalajara,"{'small': 0.00014970730052885143, 'Dod': 0.9983537637359088, 'dod': 0.00010427884968312949, 'D': 0.00010329134194679196, 'Lod': 0.0009991801152714455}",Dod,True
2,"Someone doesn't like big cities. Between Toronto and Minneapolis, this person should visit ->",Minneapolis,Toronto,"{'Min': 0.0002837573745224361, 'Minneapolis': 0.985384077909575, 'Winnipeg': 0.0027797438383599295, 'M': 0.009253180025484404, 'Minnesota': 0.0015471058298539295}",Minneapolis,True
3,"Someone doesn't like big cities. Between Bangkok and Garissa, this person should visit ->",Garissa,Bangkok,"{'small': 0.00039216730921853735, 'ar': 0.003960254452889046, 'G': 0.0005084587330734563, 'gar': 1.9769968778879814e-05, 'Gar': 0.9949593751022869}",Gar,True
4,"Someone doesn't like big cities. Between Mumbai and Mahajanga, this person should visit ->",Mahajanga,Mumbai,"{'small': 0.0005543329826840493, 'M': 0.019836135090666743, 'Ant': 0.00017874220244982035, 'ah': 0.0019138864762777393, 'Mah': 0.9763367151845709}",Mah,True
5,"Someone doesn't like big cities. Between Shanghai and Cape Town, this person should visit ->",Cape Town,Shanghai,"{'small': 0.000651573337879122, 'Cape': 0.9984499680423482, 'C': 0.00046351305835014734, 'cape': 5.666017358168332e-05, 'Cap': 6.429684466556302e-05}",Cape,True
6,"Someone doesn't like big cities. Between Bogotá and Douala, this person should visit ->",Douala,Bogotá,"{'Dak': 0.00010969870452558431, 'D': 0.0007762049203702681, 'ou': 0.0007028957290396346, 'Ou': 0.0005308103801641967, 'Dou': 0.9972754505402829}",Dou,True
7,"Someone doesn't like big cities. Between Brasília and Campos do Jordão, this person should visit ->",Campos do Jordão,Brasília,"{'small': 0.0002623746798563801, 'amp': 8.486481324210935e-05, 'Jos': 0.00010978144853936956, 'Jord': 0.0019009110646999953, 'Camp': 0.99728743168006}",Camp,True
8,"Someone doesn't like big cities. Between Hanoi and Asmara, this person should visit ->",Asmara,Hanoi,"{'As': 0.9999720325870954, 'small': 2.180537831269635e-06, 's': 3.4276902949548163e-07, 'Ass': 1.8846675983837874e-05, 'Ash': 5.490616575031956e-06}",As,True
9,"Someone doesn't like big cities. Between Moscow and Napier, this person should visit ->",Napier,Moscow,"{'small': 0.0006345274559228538, 'Nap': 0.9941821859065982, 'N': 0.0012038862660151814, 'ap': 0.002254779710852638, 'New': 0.0009005669937020231}",Nap,True
