{'statement': 'Between Chicago and Mandalay, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Mandalay'}
{'statement': 'Between Moscow and Minneapolis, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Minneapolis'}
{'statement': 'Between Manila and Hamilton, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Hamilton'}
{'statement': 'Between Kabul and Yinchuan, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Yinchuan'}
{'statement': 'Between Riyadh and Goiânia, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Goiânia'}
{'statement': 'Between Lahore and Belgrade, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Belgrade'}
{'statement': 'Between Jakarta and Ushuaia, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Ushuaia'}
{'statement': 'Between Bogotá and Piura, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Piura'}
{'statement': 'Between Shanghai and Tauranga, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tauranga'}
{'statement': 'Between Bangkok and Minneapolis, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Minneapolis'}
{'statement': 'Between Berlin and Garoua, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Garoua'}
{'statement': 'Between Johannesburg and Suwałki, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Suwałki'}
{'statement': 'Between Ankara and Toliara, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Toliara'}
{'statement': 'Between Johannesburg and Kampala, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kampala'}
{'statement': 'Between Baghdad and Gabès, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Gabès'}
{'statement': 'Between Nairobi and Lake Havasu City, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Saint Petersburg and Algiers, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Algiers'}
{'statement': 'Between Cairo and Makurdi, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Makurdi'}
{'statement': 'Between Bogotá and Denver, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Denver'}
{'statement': 'Between Toronto and Sapporo, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Sapporo'}
{'statement': 'Between Toronto and Tampa, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Tampa'}
{'statement': 'Between Buenos Aires and Toronto, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Toronto'}
{'statement': 'Between Riyadh and Omaha, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Omaha'}
{'statement': 'Between Alexandria and Makassar, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Makassar'}
{'statement': 'Between Douala and Boise, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Boise'}
{'statement': 'Between Mexico City and Tamanrasset, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tamanrasset'}
{'statement': 'Between Lahore and Valencia, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Valencia'}
{'statement': 'Between Ho Chi Minh City and Napier, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Napier'}
{'statement': 'Between Moscow and Houston, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Houston'}
{'statement': 'Between Perth and Palmerston North, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Palmerston North'}
{'statement': 'Between Ankara and Tauranga, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Tauranga'}
{'statement': 'Between Guangzhou and Piura, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Piura'}
{'statement': 'Between Nairobi and Port-Gentil, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
{'statement': 'Between Nairobi and Río Gallegos, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Río Gallegos'}
{'statement': 'Between Alexandria and Bangui, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bangui'}
{'statement': 'Between Melbourne and Ségou, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ségou'}
{'statement': 'Between Denver and Garissa, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Garissa'}
{'statement': 'Between Toronto and Villahermosa, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Villahermosa'}
{'statement': 'Between Ürümqi and San Juan, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'San Juan'}
{'statement': 'Between Santiago and Sacramento, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Sacramento'}
{'statement': 'Between Surabaya and Zagreb, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Zagreb'}
{'statement': 'Between Hanoi and Pontianak, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Pontianak'}
{'statement': 'Between Saint Petersburg and Reykjavík, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Reykjavík'}
{'statement': 'Between Denver and Port-Gentil, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Port-Gentil'}
{'statement': 'Between Brasília and Suwałki, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Suwałki'}
{'statement': 'Between Riyadh and Milan, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Milan'}
{'statement': 'Between Moscow and Nur-Sultan, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Berlin and Asmara, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Asmara'}
{'statement': 'Between Monterrey and Palembang, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Palembang'}
{'statement': 'Between Denver and Bangui, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Bangui'}
