,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an expensive restaurant. If I were you, between Sichuan Landscape Chinese Restaurant and Cake Opera I would go to ->",Cake Opera,Sichuan Landscape Chinese Restaurant,"{'T': 4.1304966375178526e-07, 'S': 0.9999429440847506, 'C': 4.9600730327353e-05, 'Sauce': 1.7013663286040905e-07, '': 5.698942081992245e-06}",S,False
1,"You are looking for an expensive restaurant. If I were you, between Chipotle Mexican Grill and Green Room I would go to ->",Chipotle Mexican Grill,Green Room,"{'chip': 0.00022926454564668275, 'Brussels': 2.3064290553526322e-05, 'Chip': 0.9931993051060013, 'hip': 0.005094045349154154}",Chip,True
2,"You are looking for an expensive restaurant. If I were you, between Pizzeria Via Mercanti and Adega Restaurante I would go to ->",Adega Restaurante,Pizzeria Via Mercanti,"{'Ad': 0.9976795150973536, 'd': 0.0016600110832157167, 'A': 0.00038914715320649974, 'P': 3.718545008286191e-05, 'ad': 9.686783832415127e-05}",Ad,True
3,"You are looking for an expensive restaurant. If I were you, between Itamae Ayce Sushi and Sizzlers I would go to ->",Itamae Ayce Sushi,Sizzlers,"{'If': 0.00010231768766510666, 't': 0.0001684127072960943, 'Ich': 6.589611968868243e-05, 'it': 8.515597355487487e-05, 'It': 0.9993831401762989}",It,True
4,"You are looking for an expensive restaurant. If I were you, between Amaya Express and Oxygen Restaurant & Lounge I would go to ->",Oxygen Restaurant & Lounge,Amaya Express,"{'oxy': 0.0003455922313567953, 'Am': 0.004896346324796547, 'xy': 0.0007194100908807298, 'Conv': 0.0007056564878494945, 'Oxy': 0.9914794950226292}",Oxy,True
5,"You are looking for an expensive restaurant. If I were you, between Fitness Avenue and Eggspectation I would go to ->",Eggspectation,Fitness Avenue,"{'Egg': 0.9977674903648734, 'Shell': 3.925302683083601e-05, 'gg': 0.00043415215402216935, 'Eggs': 0.0004565183324627976, 'egg': 0.0011478633744159824}",Egg,True
6,"You are looking for an expensive restaurant. If I were you, between Evoo Ristorante and 9 Restaurant I would go to ->",Evoo Ristorante,9 Restaurant,"{'v': 0.0020496018996148508, 'Conv': 0.0011235920929559527, 'Ev': 0.996565853515948, 'expensive': 2.8425583239447677e-05, 'EV': 2.178227483199723e-05}",Ev,True
7,"You are looking for an expensive restaurant. If I were you, between Smoke's Weinerie and Banjara Indian Cuisine I would go to ->",Banjara Indian Cuisine,Smoke's Weinerie,"{'Ban': 0.9991364952649742, 'an': 1.7971345233673024e-05, 'Conv': 7.899800910589943e-06, 'ban': 6.392909962770755e-06}",Ban,True
8,"You are looking for an expensive restaurant. If I were you, between EJ Sushi and Druxy's Famous Deli I would go to ->",EJ Sushi,Druxy's Famous Deli,"{'Brussels': 1.9469371880287912e-05, 'Dru': 0.0006408549587809075, '': 0.00021168272171376344, 'F': 7.248101394601838e-06, 'E': 0.9990710502711972}",E,True
9,"You are looking for an expensive restaurant. If I were you, between FreshCo and Branca I would go to ->",Branca,FreshCo,"{'Br': 0.9956098443310991, 'B': 0.0008434693443747323, 'Bras': 3.7150400731800114e-05, 'Braz': 2.4007710701170673e-05, 'r': 0.0033253697767672208}",Br,True
10,"You are looking for an expensive restaurant. If I were you, between Bagel Nash and Ciao Europa wine bar I would go to ->",Ciao Europa wine bar,Bagel Nash,"{'A': 1.786721990841317e-07, 'C': 0.9999970688428959, '': 1.829702815866355e-06, 'B': 2.7942749155294646e-07, 'Conv': 1.535689016419266e-07}",C,True
11,"You are looking for an expensive restaurant. If I were you, between Carole's Cheesecake Cafe and Falafel House I would go to ->",Carole's Cheesecake Cafe,Falafel House,"{'CAR': 5.575151350058445e-05, 'Car': 0.9983766530553676, 'Carr': 2.3401439977358947e-05, 'Conv': 1.8081938334140153e-05, 'ar': 0.0014776164444189968}",Car,True
12,"You are looking for an expensive restaurant. If I were you, between Nutella Cafe by Pusateri's and Phil's Original BBQ I would go to ->",Nutella Cafe by Pusateri's,Phil's Original BBQ,"{'Nut': 0.00014406830940478504, 'Por': 2.158826005497344e-06, 'T': 9.967528414242702e-07, 'P': 0.9998335114707536, '': 1.3844853262348586e-05}",P,False
13,"You are looking for an expensive restaurant. If I were you, between Solero Mediterranean Bakery and Magic Oven I would go to ->",Magic Oven,Solero Mediterranean Bakery,"{'agic': 2.0135866964410607e-06, 'MAG': 6.36336707110833e-07, 'magician': 4.630596303038603e-07, 'magic': 7.964910056512439e-07, 'Magic': 0.999995041369894}",Magic,True
14,"You are looking for an expensive restaurant. If I were you, between Madras Pantry and Sushi Time Japanese Restaurant I would go to ->",Sushi Time Japanese Restaurant,Madras Pantry,"{'Gor': 1.93782585427983e-07, 'S': 0.9999952788481447, 'Mad': 3.1156495412212885e-07, '': 1.2808956476492225e-06, 'Sn': 1.088535873492989e-06}",S,True
15,"You are looking for an expensive restaurant. If I were you, between Kibo Sushi House and Galata Cafe I would go to ->",Galata Cafe,Kibo Sushi House,"{'Gor': 4.914359673103511e-05, 'al': 0.0004902493591886718, '': 1.0401817577704125e-05, 'Gal': 0.41401548602455135, 'K': 0.5853785775176186}",K,False
16,"You are looking for an expensive restaurant. If I were you, between Branca and Kairali - Taste of Kerala I would go to ->",Branca,Kairali - Taste of Kerala,"{'Br': 0.9976869038394346, 'B': 0.0005159119740302388, 'Bras': 4.871420400734991e-06, 'L': 4.084500964613964e-06, 'r': 0.001760651267547731}",Br,True
17,"You are looking for an expensive restaurant. If I were you, between Mirage Grill & Lounge and Maurya East Indian Roti I would go to ->",Mirage Grill & Lounge,Maurya East Indian Roti,"{'Shell': 5.737672027617941e-06, 'ir': 7.193785044310244e-05, 'Mirage': 0.9998502018008708, 'Magic': 2.0685067392892644e-05, 'Mir': 1.860325486151424e-05}",Mirage,True
18,"You are looking for an expensive restaurant. If I were you, between Aroma Espresso Bar and Fit For Life I would go to ->",Aroma Espresso Bar,Fit For Life,"{'Ace': 2.00544853496663e-08, 'a': 2.3998653964253586e-07, 'A': 0.9999988569748532, '': 9.352705417929919e-07, 'Conv': 1.5302647259777423e-08}",A,True
19,"You are looking for an expensive restaurant. If I were you, between Kairali - Taste of Kerala and Solero Mediterranean Bakery I would go to ->",Kairali - Taste of Kerala,Solero Mediterranean Bakery,"{'King': 7.110131537192325e-08, 'A': 9.57826763252109e-08, 'Conv': 5.341650800945306e-08, '': 3.915815299543063e-06, 'K': 0.9999955182025433}",K,True
20,"You are looking for an expensive restaurant. If I were you, between Dinah's Cupboard and Domino's Pizza I would go to ->",Dinah's Cupboard,Domino's Pizza,"{'Dim': 0.0001216178872688293, 'din': 3.4807140689704624e-05, 'Din': 0.9993709809554786, 'Conv': 6.269204452214713e-05, 'Dom': 0.00029588283787106395}",Din,True
21,"You are looking for an expensive restaurant. If I were you, between Smoke's Weinerie and EJ Sushi I would go to ->",EJ Sushi,Smoke's Weinerie,"{'Smoke': 0.013237396325028922, 'S': 0.0006301848934306845, '': 0.0007505011309223654, 'E': 0.9836737202777109, 'Sn': 0.00037317652234998214}",E,True
22,"You are looking for an expensive restaurant. If I were you, between Cafe Jules and Chipotle Mexican Grill I would go to ->",Chipotle Mexican Grill,Cafe Jules,"{'chip': 2.2714524324552932e-05, 'Chip': 0.9937445082680599, 'hip': 0.005921502864838523, 'Chips': 2.6323883657770803e-06}",Chip,True
23,"You are looking for an expensive restaurant. If I were you, between Goldstone Noodle Restaurant and Mirage Grill & Lounge I would go to ->",Mirage Grill & Lounge,Goldstone Noodle Restaurant,"{'ir': 3.660674664432791e-05, 'Illusion': 2.0094279065766084e-06, 'Mirage': 0.9998842947143729, 'Magic': 5.0709666742954127e-05, 'Mir': 6.131408885019358e-06}",Mirage,True
24,"You are looking for an expensive restaurant. If I were you, between Thai 4 You Restaurant and Goldstone Noodle Restaurant I would go to ->",Thai 4 You Restaurant,Goldstone Noodle Restaurant,"{'old': 0.004629291714574258, 'Thai': 0.4762437861882964, 'Gold': 0.21729258839710155, 'gold': 0.01478958000338045, 'Th': 0.2785237068216648}",Thai,True
25,"You are looking for an expensive restaurant. If I were you, between Viccino Pizzeria and KFC I would go to ->",Viccino Pizzeria,KFC,"{'Victor': 0.00014329415679368475, 'vic': 0.00023175610750834493, 'Vic': 0.9990854715362896, 'VIP': 0.00018224438443102743, 'ic': 0.00010724549561133932}",Vic,True
26,"You are looking for an expensive restaurant. If I were you, between Chipotle Mexican Grill and Ici Bistro I would go to ->",Ici Bistro,Chipotle Mexican Grill,"{'Brussels': 8.06737021933511e-06, 'I': 0.9997144808183618, 'C': 6.434334809321952e-05, 'Conv': 8.360653199570862e-06, '': 0.00013547831057692558}",I,True
