,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Chicago and Mandalay, this person should visit ->",Mandalay,Chicago,"{'Pir': 1.5912032085189695e-05, 'Mand': 5.9225995457393724e-05, 'Mon': 1.6822521564506376e-05, 'M': 0.0006775804275535488, 'Mandal': 0.9991052028699223}",Mandal,True
1,"Someone is looking for a small city to visit. Between Moscow and Minneapolis, this person should visit ->",Minneapolis,Moscow,"{'Min': 5.807739734528061e-05, 'Minneapolis': 0.9926787786698712, 'MN': 6.553842146802874e-05, 'M': 0.005967389600787028, 'Minnesota': 0.0010853980423037417}",Minneapolis,True
2,"Someone is looking for a small city to visit. Between Manila and Hamilton, this person should visit ->",Hamilton,Manila,"{'Hamilton': 0.9999994539509491, 'Havana': 1.1540699066671994e-08, 'McMaster': 2.135175284870352e-08, 'amilton': 4.785615515250329e-07, '0': 1.1609803110426578e-08}",Hamilton,True
3,"Someone is looking for a small city to visit. Between Kabul and Yinchuan, this person should visit ->",Yinchuan,Kabul,"{'y': 2.3733146344084996e-06, 'W': 9.956310367794693e-06, 'N': 4.671819255208277e-06, '': 1.617902350715071e-05, 'Y': 0.9999587999457455}",Y,True
4,"Someone is looking for a small city to visit. Between Riyadh and Goiânia, this person should visit ->",Goiânia,Riyadh,"{'GO': 0.00012383902762735214, 'Go': 0.9994405396063601, 'Gu': 1.0101536671469431e-05, 'G': 0.0002767084868432747, 'o': 0.00011253086706976298}",Go,True
5,"Someone is looking for a small city to visit. Between Lahore and Belgrade, this person should visit ->",Belgrade,Lahore,"{'Bl': 2.960758714520962e-06, 'el': 2.373630306246588e-06, 'Lah': 2.599005742005307e-05, 'B': 3.275346149364114e-06, 'Bel': 0.999958920081803}",Bel,True
6,"Someone is looking for a small city to visit. Between Jakarta and Ushuaia, this person should visit ->",Ushuaia,Jakarta,"{'is': 1.2741312297956942e-06, 'u': 2.493985561543631e-06, 'U': 0.999947236300053, '': 3.890343530720029e-05, '0': 1.418487350862809e-06}",U,True
7,"Someone is looking for a small city to visit. Between Bogotá and Piura, this person should visit ->",Piura,Bogotá,"{'Pir': 0.0001604574114221961, 'Pi': 0.9986950034495342, 'PI': 0.0001435408348256631, 'P': 0.0001364773351476858, 'i': 0.0008272620871725254}",Pi,True
8,"Someone is looking for a small city to visit. Between Shanghai and Tauranga, this person should visit ->",Tauranga,Shanghai,"{'Tai': 1.7408347576348148e-08, 'Tam': 4.0438036394269014e-08, 'T': 0.9999999317236823, 'W': 2.7232220159503884e-08, '': 8.286069605154591e-08}",T,True
9,"Someone is looking for a small city to visit. Between Bangkok and Minneapolis, this person should visit ->",Minneapolis,Bangkok,"{'Minneapolis': 0.9868492181999966, 'Winnipeg': 9.324286659567075e-05, 'MN': 0.00011075300679688817, 'M': 0.012060414722588791, 'Minnesota': 0.0006310310430755336}",Minneapolis,True
10,"Someone is looking for a small city to visit. Between Berlin and Garoua, this person should visit ->",Garoua,Berlin,"{'ar': 0.000731284193623995, 'G': 8.74928921912684e-05, 'gar': 1.3527701661755976e-05, 'Bat': 5.937068885485469e-06, 'Gar': 0.9991465067627283}",Gar,True
11,"Someone is looking for a small city to visit. Between Johannesburg and Suwałki, this person should visit ->",Suwałki,Johannesburg,"{'Su': 0.9992293607250913, 'Jos': 0.00012278189352345426, 'W': 7.502906396206873e-05, 'Johannes': 5.6835978981394405e-05, 'u': 0.0003437375939369508}",Su,True
12,"Someone is looking for a small city to visit. Between Ankara and Toliara, this person should visit ->",Toliara,Ankara,"{'Tam': 4.357270128505404e-08, 'Tol': 3.731222160455225e-09, 'T': 1.0, 'M': 4.440224050282909e-09, '': 4.3879921083619064e-08}",T,True
13,"Someone is looking for a small city to visit. Between Johannesburg and Kampala, this person should visit ->",Kampala,Johannesburg,"{'Kum': 0.002722626063263906, 'Jos': 0.00249430037480735, 'Johannes': 0.05602936783976521, 'Kamp': 0.9069921171766248, 'K': 0.028511992236004917}",Kamp,True
14,"Someone is looking for a small city to visit. Between Baghdad and Gabès, this person should visit ->",Gabès,Baghdad,"{'Gab': 0.9955095901734289, 'B': 0.00016702985317441714, 'G': 0.00370696795243233, 'ab': 0.0005082658095938005, 'Bat': 1.5803517754858512e-05}",Gab,True
15,"Someone is looking for a small city to visit. Between Nairobi and Lake Havasu City, this person should visit ->",Lake Havasu City,Nairobi,"{'Hav': 0.01816401754182666, 'Lakes': 5.823098247155896e-05, 'N': 5.790742171463328e-05, 'ake': 0.002270941672064198, 'Lake': 0.9792597596812799}",Lake,True
16,"Someone is looking for a small city to visit. Between Saint Petersburg and Algiers, this person should visit ->",Algiers,Saint Petersburg,"{'l': 0.0009784625937638914, 'Alger': 0.00360674346868081, 'St': 0.005119764689852766, 'Saint': 0.0013777810620007288, 'Al': 0.9880708799178277}",Al,True
17,"Someone is looking for a small city to visit. Between Cairo and Makurdi, this person should visit ->",Makurdi,Cairo,"{'Dak': 1.085407571035592e-06, 'Mar': 7.245670738266584e-07, 'Mak': 0.9999208910452784, 'Mack': 5.193151046293905e-07, 'M': 7.403200931319881e-05}",Mak,True
18,"Someone is looking for a small city to visit. Between Bogotá and Denver, this person should visit ->",Denver,Bogotá,"{'Denver': 0.997758788772757, 'Edmonton': 0.0002914278778822402, 'Nuggets': 0.00035415513725380797, 'D': 0.00047080573559273134, 'enver': 0.0003978901085403891}",Denver,True
19,"Someone is looking for a small city to visit. Between Toronto and Sapporo, this person should visit ->",Sapporo,Toronto,"{'Winnipeg': 1.6596213351144035e-05, 'Sapp': 0.9996738327641022, 'S': 0.00018890449274841793, 'Sap': 2.5184823170859125e-05, 'SAP': 1.802326742642186e-05}",Sapp,True
20,"Someone is looking for a small city to visit. Between Toronto and Tampa, this person should visit ->",Tampa,Toronto,"{'Tampa': 0.9455925915653561, 'Tall': 0.0001154186044284505, 'Winnipeg': 0.0003924022878058204, 'T': 0.05345192110829093, 'Buccaneers': 8.260056807827792e-05}",Tampa,True
21,"Someone is looking for a small city to visit. Between Buenos Aires and Toronto, this person should visit ->",Toronto,Buenos Aires,"{'Hamilton': 0.001245773944545154, 'Winnipeg': 0.0014106993565570478, 'T': 0.021871120741413536, 'oronto': 0.0012262892983673109, 'Toronto': 0.9729981627793709}",Toronto,True
22,"Someone is looking for a small city to visit. Between Riyadh and Omaha, this person should visit ->",Omaha,Riyadh,"{'Om': 2.1406070669929782e-05, 'Nebraska': 0.00011211549641703232, 'Omaha': 0.9901356510276536, 'Ou': 2.0841757742212515e-05, 'O': 0.009679921376393844}",Omaha,True
23,"Someone is looking for a small city to visit. Between Alexandria and Makassar, this person should visit ->",Makassar,Alexandria,"{'Mak': 0.4234910493755134, 'Alexand': 0.0008432500708519882, 'Alexandria': 0.5745428487806636, 'M': 0.00031165897400039025, 'Ant': 0.00010654032563738908}",Alexandria,False
24,"Someone is looking for a small city to visit. Between Douala and Boise, this person should visit ->",Boise,Douala,"{'o': 2.1730866103133174e-06, 'Idaho': 1.2968982668378354e-05, 'B': 0.0001800246089554022, 'Boise': 0.9997804635216602, 'Dou': 1.181836358684493e-05}",Boise,True
25,"Someone is looking for a small city to visit. Between Mexico City and Tamanrasset, this person should visit ->",Tamanrasset,Mexico City,"{'Tam': 2.441507210845873e-06, 'Tunis': 1.5253834742085716e-09, 'T': 0.9999976639519286, 'this': 6.801920031773871e-10, '': 1.776836869612018e-08}",T,True
26,"Someone is looking for a small city to visit. Between Lahore and Valencia, this person should visit ->",Valencia,Lahore,"{'Lah': 0.004979570682475404, 'Vil': 0.0003397404888091276, 'Valencia': 0.990578692252784, 'Valiant': 0.0013413893148507495, 'al': 0.0002653563283254506}",Valencia,True
27,"Someone is looking for a small city to visit. Between Ho Chi Minh City and Napier, this person should visit ->",Napier,Ho Chi Minh City,"{'Nap': 0.9979271125048781, 'nap': 4.7827919453264984e-05, 'N': 0.00045604120075433294, 'ap': 0.0006235416467291844, 'New': 0.0008402697388462945}",Nap,True
28,"Someone is looking for a small city to visit. Between Moscow and Houston, this person should visit ->",Houston,Moscow,"{'Hamilton': 4.804584013350799e-05, 'HOU': 0.00021366226298045018, 'Georgetown': 8.668514732357321e-05, 'ouston': 9.71599469341666e-05, 'Houston': 0.9994113924974022}",Houston,True
29,"Someone is looking for a small city to visit. Between Perth and Palmerston North, this person should visit ->",Palmerston North,Perth,"{'Pir': 0.00011104844615749816, 'Palmer': 0.9994463823028606, 'Perth': 0.00021022083175159444, 'Pal': 2.6660406387174884e-05, 'New': 3.0451996483412608e-05}",Palmer,True
30,"Someone is looking for a small city to visit. Between Ankara and Tauranga, this person should visit ->",Tauranga,Ankara,"{'Tam': 8.16119613946692e-08, 'T': 0.9999995722265915, 'W': 5.0137229551545786e-08, 'Tav': 2.0018139488904352e-08, '': 1.0105984205169597e-07}",T,True
31,"Someone is looking for a small city to visit. Between Guangzhou and Piura, this person should visit ->",Piura,Guangzhou,"{'Pir': 0.00048392060691620516, 'Pi': 0.9984439465085936, 'PI': 0.00021695729956173424, 'P': 0.00011513243310008648, 'i': 0.0006863613634876527}",Pi,True
32,"Someone is looking for a small city to visit. Between Nairobi and Port-Gentil, this person should visit ->",Port-Gentil,Nairobi,"{'ort': 0.00020938497808397513, 'N': 3.3141608852359825e-05, 'G': 0.0001319718388742841, 'Port': 0.9995543839363439, 'Fort': 1.667538296515875e-05}",Port,True
33,"Someone is looking for a small city to visit. Between Nairobi and Río Gallegos, this person should visit ->",Río Gallegos,Nairobi,"{'Rio': 2.660719207401479e-05, 'R': 0.9992064737486119, 'N': 0.0007571630030738268, 'G': 7.257436381336266e-07, 'Gal': 8.015567256873287e-06}",R,True
34,"Someone is looking for a small city to visit. Between Alexandria and Bangui, this person should visit ->",Bangui,Alexandria,"{'Alexand': 3.982571240219458e-07, 'Alexandria': 0.00011293332021663385, 'B': 0.9998851290881685, 'Ant': 4.179495940876776e-07, 'Bat': 4.6085563462007624e-07}",B,True
35,"Someone is looking for a small city to visit. Between Melbourne and Ségou, this person should visit ->",Ségou,Melbourne,"{'Se': 8.11069572859975e-07, 'a': 3.8829363201328977e-07, 'S': 0.9999886013379652, 'Seg': 8.27882169545496e-07, 'M': 5.942619669558858e-06}",S,True
36,"Someone is looking for a small city to visit. Between Denver and Garissa, this person should visit ->",Garissa,Denver,"{'a': 8.811824898700768e-06, 'ar': 0.0009632991023981487, 'G': 5.700055804012588e-05, 'gar': 1.9682374856854246e-05, 'Gar': 0.9989046336521618}",Gar,True
37,"Someone is looking for a small city to visit. Between Toronto and Villahermosa, this person should visit ->",Villahermosa,Toronto,"{'Vit': 0.000130755943378843, 'Villa': 0.9996587499390518, 'M': 1.9064435010514605e-05, 'Vil': 2.7009578381505567e-05, 'Vill': 5.378429757680601e-05}",Villa,True
38,"Someone is looking for a small city to visit. Between Ürümqi and San Juan, this person should visit ->",San Juan,Ürümqi,"{'Sant': 9.75331028651185e-08, 'an': 1.4377115541395996e-07, 'Juan': 2.129187726576688e-06, 'San': 0.9999969487016552, 'St': 4.549583320959792e-07}",San,True
39,"Someone is looking for a small city to visit. Between Santiago and Sacramento, this person should visit ->",Sacramento,Santiago,"{'Sacrament': 0.00043995843562616774, 'Sacramento': 0.9948829015834392, 'Salvador': 0.0011644691046409882, 'Santiago': 0.0016340569990715588, 'Sac': 0.001122288247270916}",Sacramento,True
