{'statement': 'Between Phoenix and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'Between Luanda and Ho Chi Minh City, the smaller city is Luanda.', 'answer': 'Luanda', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Shanghai and Maputo, the smaller city is Maputo.', 'answer': 'Maputo', 'candidate': 'Shanghai'}
{'statement': 'Between Ljubljana and Minneapolis, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Minneapolis'}
{'statement': 'Between Caracas and Cairo, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Cairo'}
{'statement': 'Between Cabo San Lucas and Minneapolis, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Minneapolis'}
{'statement': 'Between Upington and Brasília, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Brasília'}
{'statement': 'Between Manila and Bangkok, the smaller city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Manila'}
{'statement': 'Between Dar es Salaam and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Addis Ababa and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Between Bergen and Phoenix, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'Between Houston and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Houston'}
{'statement': 'Between Saint Petersburg and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Paris and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Paris'}
{'statement': 'Between Ndola and Mumbai, the smaller city is Ndola.', 'answer': 'Ndola', 'candidate': 'Mumbai'}
{'statement': 'Between Alexandria and Palembang, the smaller city is Palembang.', 'answer': 'Palembang', 'candidate': 'Alexandria'}
{'statement': 'Between Conakry and Ankara, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Ankara'}
{'statement': 'Between Saint Petersburg and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Christchurch and Los Angeles, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Los Angeles'}
{'statement': 'Between Honolulu and Ho Chi Minh City, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Alexandria and Bogotá, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bogotá'}
{'statement': 'Between Melbourne and Shanghai, the smaller city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Shanghai'}
{'statement': 'Between Bahía Blanca and Santiago, the smaller city is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Santiago'}
{'statement': 'Between Algiers and Ankara, the smaller city is Algiers.', 'answer': 'Algiers', 'candidate': 'Ankara'}
{'statement': 'Between Luanda and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Luanda'}
{'statement': 'Between Suwałki and Ankara, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ankara'}
{'statement': 'Between Fairbanks and London, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'London'}
{'statement': 'Between Moscow and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Moscow'}
{'statement': 'Between Cape Town and San Diego, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'San Diego'}
{'statement': 'Between Mendoza and Brisbane, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Brisbane'}
{'statement': 'Between Chicago and Medellín, the smaller city is Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'Between Jakarta and Saint Petersburg, the smaller city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Jakarta'}
{'statement': 'Between Melbourne and Bucharest, the smaller city is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Melbourne'}
{'statement': 'Between Antsiranana and Melbourne, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Melbourne'}
{'statement': 'Between Sacramento and Santiago, the smaller city is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'Between Chicago and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Chicago'}
{'statement': 'Between Port Sudan and Bangkok, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Bangkok'}
{'statement': 'Between Douala and Ankara, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Ankara'}
{'statement': 'Between Cairo and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Cairo'}
{'statement': 'Between Kabul and Juba, the smaller city is Juba.', 'answer': 'Juba', 'candidate': 'Kabul'}
{'statement': 'Between Saint Petersburg and Lake Havasu City, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Belize City and Perth, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Perth'}
{'statement': 'Between Shanghai and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Shanghai'}
{'statement': 'Between Melbourne and Paris, the smaller city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Paris'}
{'statement': 'Between Lomé and Baghdad, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Baghdad'}
{'statement': 'Between Jakarta and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Jakarta'}
{'statement': 'Between Wellington and Dar es Salaam, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ho Chi Minh City and Bishkek, the smaller city is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Kano and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Kano'}
