,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the cold weather. Between Darwin and Fukuoka, you should visit ->",Darwin,Fukuoka,"{'Living': 0.006951988119174559, 'Darwin': 0.8769366272967204, 'Fuk': 0.06348420145643463, 'Jos': 0.012117567739980017, 'ar': 0.014344811071121812}",Darwin,True
1,"You don't like the cold weather. Between Viedma and Saskatoon, you should visit ->",Viedma,Saskatoon,"{'Gu': 0.007812283314877017, 'San': 0.01825770675768191, 'C': 0.00720383324134945, 'Ver': 0.07594094349797491, 'V': 0.8653639578715576}",V,True
2,"You don't like the cold weather. Between Napier and Kuopio, you should visit ->",Napier,Kuopio,"{'Ku': 0.6534872999507291, 'Nap': 0.340745913888672, 'u': 0.0016304960260440974, 'ap': 0.0020800168174273195, 'K': 0.0008319146554405496}",Ku,False
3,"You don't like the cold weather. Between Panama City and Mendoza, you should visit ->",Panama City,Mendoza,"{'Col': 0.012748363099150947, 'Man': 0.030074362931673433, 'Panama': 0.8460812870569654, 'Ver': 0.02642188063957091, 'Pan': 0.016436455743084947}",Panama,True
4,"You don't like the cold weather. Between San Juan and Sacramento, you should visit ->",San Juan,Sacramento,"{'Sant': 3.5317502089193946e-06, 'an': 2.299136362753191e-06, 'Puerto': 1.0155552070579652e-05, 'Juan': 1.911732803928296e-06, 'San': 0.9999795425592563}",San,True
5,"You don't like the cold weather. Between Phnom Penh and Napier, you should visit ->",Phnom Penh,Napier,"{'Ph': 0.8635275472943273, 'Cambod': 0.0003145621141665858, 'h': 0.001946564996498781, 'Cambodia': 0.008680310318236694, 'Kh': 0.12435003839092007}",Ph,True
6,"You don't like the cold weather. Between Cabo San Lucas and Saint Petersburg, you should visit ->",Cabo San Lucas,Saint Petersburg,"{'Cab': 0.9475558984880361, 'cab': 0.0001506226282351512, 'San': 0.051943151438109195, 'C': 0.00011975842131646863, 'warm': 4.909462498156791e-05}",Cab,True
7,"You don't like the cold weather. Between Abéché and Los Angeles, you should visit ->",Abéché,Los Angeles,"{'Ab': 0.9904889875272372, 'Ou': 0.00036694649893691847, 'b': 0.0013718505283014674, 'K': 0.0003191039966504409, 'Acc': 0.0063083854929101195}",Ab,True
8,"You don't like the cold weather. Between Perth and Anchorage, you should visit ->",Perth,Anchorage,"{'Adelaide': 0.026305195809871118, 'Perth': 0.8070829967223838, 'C': 0.032130581746367404, 'K': 0.05983440194957038, 'Acc': 0.006779075115351456}",Perth,True
9,"You don't like the cold weather. Between Kuwait City and Indianapolis, you should visit ->",Kuwait City,Indianapolis,"{'Kum': 3.965506005472713e-05, 'Kuwait': 0.9904813578199522, 'u': 0.0034059465151219715, 'K': 0.00045012677169334157, 'Kh': 0.005155829823383641}",Kuwait,True
10,"You don't like the cold weather. Between Caracas and Kuopio, you should visit ->",Caracas,Kuopio,"{'Mar': 0.009825993566287905, 'Man': 0.0028177770078182196, 'Car': 0.8332907900809562, 'Gu': 0.13991529152941345, 'C': 0.005182170474240394}",Car,True
11,"You don't like the cold weather. Between Hanoi and Wellington, you should visit ->",Hanoi,Wellington,"{'Vietnam': 0.0026428748393640565, 'Tam': 0.00030656768346529184, 'ytes: \\xc4': 0.0009056261274035985, 'H': 0.9919957291488798, 'Ho': 0.0014296494566080511}",H,True
12,"You don't like the cold weather. Between Pretoria and Minneapolis, you should visit ->",Pretoria,Minneapolis,"{'Pret': 0.9913909241668037, 'Johannes': 0.0014505425791862243, 'G': 0.0014315908078295645, 'Ver': 0.0006901124518196952, 'Kh': 0.0008398415624904192}",Pret,True
13,"You don't like the cold weather. Between Barranquilla and Calgary, you should visit ->",Barranquilla,Calgary,"{'Man': 0.0012255251904066226, 'Gu': 0.021639736534687298, 'Med': 0.0019006411544928855, 'Bar': 0.9612532539927525, 'B': 0.006720242760669141}",Bar,True
14,"You don't like the cold weather. Between Piura and Brussels, you should visit ->",Piura,Brussels,"{'Pi': 0.9994591353200629, 'Gu': 2.3073495041630438e-05, 'pi': 4.101666952943807e-05, 'P': 9.64186413540795e-05, 'i': 0.0003337227498409023}",Pi,True
15,"You don't like the cold weather. Between Karachi and Melbourne, you should visit ->",Karachi,Melbourne,"{'ar': 0.0001383312343348245, 'Sind': 0.00017581012157434064, 'Karachi': 0.9902674953767291, 'K': 0.0004337325318092685, 'Kh': 0.007700592538740916}",Karachi,True
16,"You don't like the cold weather. Between Yaoundé and Minsk, you should visit ->",Yaoundé,Minsk,"{'ya': 0.0006998275572884469, 'Jos': 0.0006107801399286527, 'Ya': 0.9957677986131663, 'Ou': 0.0010054028218659708, 'Cameroon': 0.00028817950233071224}",Ya,True
17,"You don't like the cold weather. Between Mumbai and Lyon, you should visit ->",Mumbai,Lyon,"{'Col': 0.0006731112078461443, 'mbai': 0.0008114829351537421, 'Mumbai': 0.987149507818879, 'M': 0.0005442640733166063, 'Bombay': 0.007803834995695224}",Mumbai,True
18,"You don't like the cold weather. Between Hat Yai and Belgrade, you should visit ->",Hat Yai,Belgrade,"{'Hat': 0.998563633762861, 'Bel': 1.2636488707059086e-05, 'at': 0.000481482342142402, 'Kh': 3.2266274704869284e-05, 'Y': 0.0008649409666575266}",Hat,True
19,"You don't like the cold weather. Between Garoua and Omaha, you should visit ->",Garoua,Omaha,"{'Tam': 6.679455451373586e-05, 'ar': 0.0012681343174358113, 'Ou': 0.00021668237204677078, 'Libre': 7.308320290747811e-05, 'Gar': 0.9981182654865556}",Gar,True
20,"You don't like the cold weather. Between Bangui and Podgorica, you should visit ->",Bangui,Podgorica,"{'Gu': 0.00012111670173839332, 'C': 1.2512617784757587e-05, 'B': 0.9996707324704553, 'Libre': 3.8280803558441906e-05, 'K': 3.864531524421901e-05}",B,True
21,"You don't like the cold weather. Between Caracas and Ushuaia, you should visit ->",Caracas,Ushuaia,"{'Mar': 0.016574589656316224, 'Venezuela': 0.0023100865213961795, 'Car': 0.9073662469377943, 'Gu': 0.05875315648481662, 'C': 0.002862521497747067}",Car,True
22,"You don't like the cold weather. Between Brasília and Zürich, you should visit ->",Brasília,Zürich,"{'Rio': 0.039464221592982955, 'Gu': 0.007632872729684627, 'Bras': 0.912860502785456, 'Braz': 0.008159364442402065, 'Ver': 0.012162079567520948}",Bras,True
23,"You don't like the cold weather. Between Douala and Johannesburg, you should visit ->",Douala,Johannesburg,"{'Gu': 0.0005433178772583314, 'Jos': 0.0007885169147374146, 'ou': 0.0009828864089377583, 'Dou': 0.9947025373076389, 'Acc': 0.0010781410186248422}",Dou,True
24,"You don't like the cold weather. Between Paramaribo and Ljubljana, you should visit ->",Paramaribo,Ljubljana,"{'Br': 0.0005402848810583683, 'Gu': 0.0018784317984451514, 'aram': 0.0025686274214548202, 'Param': 0.9904925631989363, 'param': 0.0014040093694547015}",Param,True
25,"You don't like the cold weather. Between Pittsburgh and Murmansk, you should visit ->",Pittsburgh,Murmansk,"{'Tam': 0.0013686906856819855, 'Med': 0.0006073030092158457, 'ur': 0.0005457877467583666, 'M': 0.001020122460070298, 'Mur': 0.9928689772671523}",Mur,False
26,"You don't like the cold weather. Between Nouakchott and Chicago, you should visit ->",Nouakchott,Chicago,"{'Dak': 0.0057081591376482756, 'N': 0.025809996522144402, 'Ou': 0.5184421911534249, 'Nou': 0.42104776318040005, 'Acc': 0.005310294414358855}",Ou,True
27,"You don't like the cold weather. Between Neuquén and Reykjavík, you should visit ->",Neuquén,Reykjavík,"{'Rio': 0.0010840516819777004, 'Rey': 0.14720407347594133, 'San': 0.0019583597859345356, 'Ne': 0.8435810195320013, 'Ver': 0.001135126704907134}",Ne,True
28,"You don't like the cold weather. Between Ségou and Sacramento, you should visit ->",Ségou,Sacramento,"{'S': 0.9997620457656008, 'Seg': 7.491862750726974e-05, 'Ou': 7.261769013818469e-05, 'Libre': 1.3414021734543782e-05, 'Acc': 1.5460951048136753e-05}",S,False
29,"You don't like the cold weather. Between Riyadh and Toluca, you should visit ->",Riyadh,Toluca,"{'Tol': 0.026467439488660996, 'Dh': 0.039013833133944034, 'Jos': 0.03101960050324327, 'Riyadh': 0.22693678056559863, 'Kh': 0.5618571740995703}",Kh,True
30,"You don't like the cold weather. Between Tucson and Saskatoon, you should visit ->",Tucson,Saskatoon,"{'T': 0.000611756273920855, 'S': 0.00023936858436425528, 'Tuc': 0.00023118992479312573, 'Tucson': 0.996953643389572, 'Ver': 0.0004138561948150769}",Tucson,True
31,"You don't like the cold weather. Between Lima and Ushuaia, you should visit ->",Lima,Ushuaia,"{'Gu': 0.00014577751039190673, 'C': 0.00024237122974112794, 'Lima': 0.9657539667642187, 'Are': 0.00025796877693445977, 'U': 0.032744191218708744}",Lima,True
32,"You don't like the cold weather. Between Pontianak and Curitiba, you should visit ->",Pontianak,Curitiba,"{'Pont': 0.9961335942691002, 'B': 1.665550109517482e-05, 'Cur': 6.2541332049181775e-06, 'pont': 1.0612903349808122e-05, 'ont': 0.0037700575966987276}",Pont,True
33,"You don't like the cold weather. Between Paramaribo and Cape Town, you should visit ->",Paramaribo,Cape Town,"{'Br': 0.0004945859055237705, 'Gu': 0.00232347911052598, 'aram': 0.0014660962834706134, 'Param': 0.9916700499123668, 'param': 0.0009573935672566263}",Param,True
34,"You don't like the cold weather. Between Managua and Melbourne, you should visit ->",Managua,Melbourne,"{'Man': 0.9999900337026639, 'Nicaragua': 6.4290807024880905e-06, 'Teg': 5.949205319907987e-07, 'an': 5.661357197180113e-07, 'Nic': 9.61876281558152e-07}",Man,True
35,"You don't like the cold weather. Between Hat Yai and Sacramento, you should visit ->",Hat Yai,Sacramento,"{'Song': 1.417608738257287e-05, 'Hat': 0.9962477386921123, 'at': 0.000812475335929666, 'Kh': 3.457657943636946e-05, 'Y': 0.0028015708535174284}",Hat,True
36,"You don't like the cold weather. Between Hat Yai and Neuquén, you should visit ->",Hat Yai,Neuquén,"{'Hat': 0.996464641846995, 'Ne': 1.983025016560581e-05, 'at': 0.0006280489805695448, 'Kh': 4.286186736167987e-05, 'Y': 0.002769013941377778}",Hat,True
37,"You don't like the cold weather. Between Jakarta and Fairbanks, you should visit ->",Jakarta,Fairbanks,"{'Indonesia': 0.0026591429695552835, 'Med': 0.0006052302462612921, 'Jak': 0.00037323086080737986, 'Jakarta': 0.9932089612352247, 'Jay': 0.0007883578869142072}",Jakarta,True
38,"You don't like the cold weather. Between Darwin and Rome, you should visit ->",Darwin,Rome,"{'Living': 0.0025016083849285723, 'Darwin': 0.9765703600094787, 'Adelaide': 0.0008281990780920084, 'ar': 0.01673321353903504, 'N': 0.0006026419009988387}",Darwin,True
39,"You don't like the cold weather. Between Luanda and Oslo, you should visit ->",Luanda,Oslo,"{'Living': 0.0006922276378571108, 'u': 0.002104809531057325, 'Angola': 0.0006072369989664658, 'LU': 0.0006632881810496509, 'Lu': 0.994125148825333}",Lu,True
40,"You don't like the cold weather. Between Hanoi and Vienna, you should visit ->",Hanoi,Vienna,"{'Vietnam': 0.002578330197115592, 'HC': 0.0003868281578930261, 'ytes: \\xc4': 0.00021830552183918397, 'H': 0.9944887353504731, 'Ho': 0.0012106227286311543}",H,True
41,"You don't like the cold weather. Between Makassar and Belgrade, you should visit ->",Makassar,Belgrade,"{'Mak': 0.9993369459175749, 'Man': 3.519132340222134e-05, 'M': 0.0003390238835892128, 'B': 4.3743523080259945e-05, 'Bel': 7.963674109978532e-05}",Mak,True
42,"You don't like the cold weather. Between Lima and Irkutsk, you should visit ->",Lima,Irkutsk,"{'Gu': 5.159839451557778e-05, 'Peru': 3.363309518571897e-05, 'C': 0.0003127111928279139, 'Lima': 0.9994205108187495, 'Are': 2.670712965304026e-05}",Lima,True
43,"You don't like the cold weather. Between Ouahigouya and Ottawa, you should visit ->",Ouahigouya,Ottawa,"{'Gu': 9.848851377336244e-09, 'Ou': 0.9999980234482534, 'O': 1.778818816797121e-06, 'Libre': 2.484547980859288e-08, 'OU': 1.3102875945706157e-07}",Ou,True
44,"You don't like the cold weather. Between Managua and Toronto, you should visit ->",Managua,Toronto,"{'Man': 0.999992775475097, 'Nicaragua': 4.819255993554159e-06, 'Teg': 4.4127790054544035e-07, 'an': 4.1540121525630533e-07, 'Nic': 5.234480748492093e-07}",Man,True
45,"You don't like the cold weather. Between Palermo and Irkutsk, you should visit ->",Palermo,Irkutsk,"{'al': 0.001580151737756072, 'Sic': 0.002301978059011554, 'Pal': 0.9675999131542897, 'Sicily': 0.0009336676669717833, 'Ir': 0.02317849430091975}",Pal,True
46,"You don't like the cold weather. Between Aden and Palermo, you should visit ->",Aden,Palermo,"{'Col': 0.0013861761415968367, 'Dh': 0.00037774733944488523, 'Mog': 0.0016476278371000675, 'Aden': 0.9946114625341618, 'Kh': 0.0003192749226019861}",Aden,True
47,"You don't like the cold weather. Between Willemstad and Santiago, you should visit ->",Willemstad,Santiago,"{'Sant': 0.001787298530425246, 'il': 0.00211183719882271, 'Jos': 0.0008590628261042325, 'W': 0.0009139083180687979, 'Wil': 0.9920316082992463}",Wil,True
48,"You don't like the cold weather. Between San José and Boise, you should visit ->",San José,Boise,"{'an': 1.0494460620100078e-05, 'San': 0.9999845520483208, 'SJ': 4.910784234558834e-07, 'AN': 1.3279302910061593e-06, 'SAN': 1.219183726244116e-06}",San,True
49,"You don't like the cold weather. Between San José and Amsterdam, you should visit ->",San José,Amsterdam,"{'an': 8.584828847839444e-06, 'Costa': 8.91467371379041e-07, 'San': 0.9999871717882822, 'AN': 1.0329755882535077e-06, 'SAN': 6.24015268578837e-07}",San,True
50,"You don't like the cold weather. Between Dodoma and Yinchuan, you should visit ->",Dodoma,Yinchuan,"{'Tam': 9.222328532037557e-06, 'Living': 1.579517569998022e-05, 'Dod': 0.9990213416987087, 'dod': 1.7329089405847173e-05, 'Lod': 0.0009156810066107654}",Dod,True
51,"You don't like the cold weather. Between Mexico City and Halifax, you should visit ->",Mexico City,Halifax,"{'Gu': 0.2343719958608458, 'C': 0.019215760063690863, 'Ver': 0.23696896400205528, 'Mexico': 0.43149310402001373, 'Ch': 0.015257327492747583}",Mexico,True
52,"You don't like the cold weather. Between Medellín and Suwałki, you should visit ->",Medellín,Suwałki,"{'Su': 2.299975914579507e-07, 'Gu': 7.733229459589218e-06, 'Med': 0.9999883657376786, 'Colombia': 1.8368821505408063e-07, 'Ant': 2.551957107573834e-06}",Med,True
53,"You don't like the cold weather. Between Villahermosa and Minneapolis, you should visit ->",Villahermosa,Minneapolis,"{'Tam': 0.0001906304158480535, 'Villa': 0.9981090257489155, 'vill': 0.0002469783196216166, 'Ver': 0.00014244643837007568, 'warm': 0.0002283495474868499}",Villa,True
54,"You don't like the cold weather. Between Nakhon Ratchasima and Zagreb, you should visit ->",Nakhon Ratchasima,Zagreb,"{'S': 2.5209995380632107e-05, 'R': 7.219729342186093e-05, 'N': 0.999738086125429, 'K': 4.792343139405682e-05, 'Kh': 8.479355673091054e-05}",N,True
55,"You don't like the cold weather. Between Kampala and Río Gallegos, you should visit ->",Kampala,Río Gallegos,"{'Rio': 0.0046519909022121435, 'R': 0.9019680958496465, 'N': 0.0002024808993629623, 'Kamp': 0.08994885931400705, 'K': 0.0020221889816829835}",R,False
