,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. Between Basil Express Restaurant and Bagel Nash, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Pho 88 and Domino's Pizza, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between To-ne Sushi and Popeyes Louisiana Kitchen, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Queen Pita and La Cocina De Dona Luz, you should go to ->",Queen Pita,La Cocina De Dona Luz,"{'Queen': 0.579316336999886, 'La': 0.40759022898055974, 'ueen': 0.007128538817427577, 'a': 0.0015879581030103262, 'Don': 0.0007649959639760168}",Queen,True
1,"You don't like the restaurants nearby. Between Queen Pita and La Cocina De Dona Luz, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between To-ne Sushi and Popeyes Louisiana Kitchen, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to ->",Bagel Nash,Basil Express Restaurant,"{'as': 0.0005663450706908967, '': 0.0061281375539644955, 'Bag': 0.8287915441920054, 'Basil': 0.1613475895271259, 'Bas': 0.0006925033377907195}",Bag,True
2,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Basil Express Restaurant and Bagel Nash, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between The Empire and Top Sushi, you should go to -> Top Sushi. You don't like the restaurants nearby. Between To-ne Sushi and Popeyes Louisiana Kitchen, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Farmacia Health Bar and Mirage Grill & Lounge, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to ->",Domino's Pizza,Pho 88,"{'Ph': 0.8617841807723751, '': 0.0006627855991110337, 'om': 0.0008490738421443747, 'h': 0.0016392900946119108, 'Dom': 0.13272867129228322}",Ph,False
3,"You don't like the restaurants nearby. Between Queen Pita and La Cocina De Dona Luz, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and To-ne Sushi, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Beryl's Pepper Pot and Fit For Life, you should go to -> Beryl's Pepper Pot. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to ->",Smoke's Weinerie,Mysteriously Yours Dinner Theatre,"{'Myster': 0.8144798258505087, 'Smoke': 0.18318344436725853, 'Myst': 0.00030170766683725, 'myster': 0.0009933838626371772, 'm': 0.0002500084101669658}",Myster,False
4,"You don't like the restaurants nearby. Between Queen Pita and La Cocina De Dona Luz, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Pho 88 and Domino's Pizza, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between To-ne Sushi and Popeyes Louisiana Kitchen, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between The Empire and Top Sushi, you should go to ->",Top Sushi,The Empire,"{'': 0.001686327822979112, 'The': 0.3889845707624753, 'he': 0.0009697250308534192, 'Top': 0.6035947801431548, 'op': 0.0017894427865879127}",Top,True
5,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between Roncy's Bean and Tian An Cuisine, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Farmacia Health Bar and Mirage Grill & Lounge, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and To-ne Sushi, you should go to ->",To-ne Sushi,Popeyes Louisiana Kitchen,"{'pop': 0.0010332867890793915, 'To': 0.6115975566183746, 'op': 0.001644401978116631, '': 0.0007161389826458026, 'Pop': 0.3822523065695751}",To,True
6,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Basil Express Restaurant and Bagel Nash, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Domino's Pizza and Pho 88, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and To-ne Sushi, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to ->",Roncy's Bean,Tian An Cuisine,"{'': 0.0007062132586551672, 'Tian': 0.21419077267020392, 'on': 0.007066089951071804, 'Ronnie': 0.0005294864412262305, 'Ron': 0.7746464091491068}",Ron,True
7,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Pho 88 and Domino's Pizza, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between The Empire and Top Sushi, you should go to -> Top Sushi. You don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and To-ne Sushi, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to -> Mirage Grill & Lounge. You don't like the restaurants nearby. Between Beryl's Pepper Pot and Fit For Life, you should go to -> Beryl's Pepper Pot. You don't like the restaurants nearby. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, you should go to ->",Smoke's Weinerie,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.8936350487759013, '': 0.0009112803220214559, 'Sm': 0.0031336149648955413, 'Smoke': 0.09774500315912374, 'c': 0.002277445178570502}",Sc,False
8,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Bagel Nash and Basil Express Restaurant, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Pho 88 and Domino's Pizza, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between The Empire and Top Sushi, you should go to -> Top Sushi. You don't like the restaurants nearby. Between To-ne Sushi and Popeyes Louisiana Kitchen, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to ->",Mirage Grill & Lounge,Farmacia Health Bar,"{'Farm': 0.7169651104691618, '': 0.0008702433263156786, 'Mirage': 0.2753935261622518, 'arm': 0.003373601536782849, 'Mir': 0.0008705828744618348}",Farm,False
9,"You don't like the restaurants nearby. Between La Cocina De Dona Luz and Queen Pita, you should go to -> Queen Pita. You don't like the restaurants nearby. Between Basil Express Restaurant and Bagel Nash, you should go to -> Bagel Nash. You don't like the restaurants nearby. Between Pho 88 and Domino's Pizza, you should go to -> Domino's Pizza. You don't like the restaurants nearby. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Top Sushi and The Empire, you should go to -> Top Sushi. You don't like the restaurants nearby. Between Popeyes Louisiana Kitchen and To-ne Sushi, you should go to -> To-ne Sushi. You don't like the restaurants nearby. Between Tian An Cuisine and Roncy's Bean, you should go to -> Roncy's Bean. You don't like the restaurants nearby. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, you should go to -> Smoke's Weinerie. You don't like the restaurants nearby. Between Fit For Life and Beryl's Pepper Pot, you should go to ->",Beryl's Pepper Pot,Fit For Life,"{'': 0.0009594731751695793, 'Fit': 0.16891455223480595, 'it': 0.0021633641327870015, 'B': 0.8245637750534298, 'fit': 0.0005927682765536288}",B,True
