{'statement': 'Between Rome and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Rome'}
{'statement': 'Between Manila and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Manila'}
{'statement': 'Between Nairobi and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nairobi'}
{'statement': 'Between Mumbai and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Mumbai'}
{'statement': 'Between Ho Chi Minh City and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Bogotá and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Bogotá'}
{'statement': 'Between Algiers and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Algiers'}
{'statement': 'Between Jakarta and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Jakarta'}
{'statement': 'Between Beijing and Port Sudan, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Beijing'}
{'statement': 'Between Hanoi and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Hanoi'}
{'statement': 'Between Bogotá and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Bogotá'}
{'statement': 'Between Toronto and Goiânia, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Toronto'}
{'statement': 'Between Santiago and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Santiago'}
{'statement': 'Between Melbourne and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Melbourne'}
{'statement': 'Between Douala and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Douala'}
{'statement': 'Between Santiago and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Santiago'}
{'statement': 'Between Hanoi and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'Between Dar es Salaam and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Cairo and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Cairo'}
{'statement': 'Between Shanghai and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and Lisbon, the smaller city is Lisbon.', 'answer': 'Lisbon', 'candidate': 'Shanghai'}
{'statement': 'Between Lagos and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Lagos'}
{'statement': 'Between Kuwait City and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Kuwait City'}
{'statement': 'Between Saint Petersburg and Lyon, the smaller city is Lyon.', 'answer': 'Lyon', 'candidate': 'Saint Petersburg'}
{'statement': 'Between London and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'London'}
{'statement': 'Between Kunming and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Kunming'}
{'statement': 'Between Cairo and Phoenix, the smaller city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Cairo'}
{'statement': 'Between Lahore and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Lahore'}
{'statement': 'Between Chicago and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Chicago'}
{'statement': 'Between Buenos Aires and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Buenos Aires'}
{'statement': 'Between Medellín and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Medellín'}
{'statement': 'Between Lima and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Lima'}
{'statement': 'Between Ho Chi Minh City and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'San Diego'}
{'statement': 'Between Jakarta and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Jakarta'}
