,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like hot weather. Between Cotonou and Canberra, you should visit ->",Canberra,Cotonou,"{'ACT': 0.002210237064943947, 'C': 0.00043492324096403435, 'Canberra': 0.9937442700675297, 'cold': 0.0007364573004861874, 'Ark': 0.00041108522700068984}",Canberra,True
1,"You don't like hot weather. Between Mahajanga and Ljubljana, you should visit ->",Ljubljana,Mahajanga,"{'Sloven': 0.0004532684514258223, 'Slovenia': 4.0381613014529314e-05, 'L': 0.9992716180989792, '': 8.289423830396205e-05, 'cold': 5.074314617000009e-05}",L,True
2,"You don't like hot weather. Between Lake Havasu City and Skopje, you should visit ->",Skopje,Lake Havasu City,"{'SK': 0.0001441155715608399, 'k': 0.006218285831524192, 'Sk': 0.9928611088116862, 'Sof': 0.00019711012012388422, 'Ark': 0.000202462879364821}",Sk,True
3,"You don't like hot weather. Between Sapporo and La Paz, you should visit ->",Sapporo,La Paz,"{'Sapp': 0.9998265966560981, 'S': 5.5399388620664975e-05, 'O': 9.730595122185867e-06, 'cold': 5.284259336154667e-05, 'Ark': 1.5736794324191925e-05}",Sapp,True
4,"You don't like hot weather. Between Nur-Sultan and Sacramento, you should visit ->",Nur-Sultan,Sacramento,"{'Sacrament': 0.00025788933478588274, 'Sacramento': 0.9990900029386852, 'San': 0.00013595861772024612, 'S': 0.0003384400114758148, 'Sac': 5.760622057499062e-05}",Sacramento,False
5,"You don't like hot weather. Between Lyon and Luanda, you should visit ->",Lyon,Luanda,"{'Lyon': 0.9975852187863372, 'Lyons': 0.0016273022445327042, 'Marse': 0.0005410788722515496, 'Alps': 2.103358735622632e-05, 'cold': 0.0001342282297145843}",Lyon,True
6,"You don't like hot weather. Between Wellington and Novosibirsk, you should visit ->",Novosibirsk,Wellington,"{'ov': 0.01270060562051296, 'O': 0.0036271429743752488, 'cold': 0.002349819646362349, 'Nov': 0.9138692959469578, 'Ark': 0.06193551598114626}",Nov,True
7,"You don't like hot weather. Between Muscat and Copenhagen, you should visit ->",Copenhagen,Muscat,"{'Denmark': 0.0003685671638944053, 'Copenhagen': 0.7661108246552901, 'C': 0.23239146038751735, 'Christensen': 0.00018030909235347868, 'Cop': 0.0002566998639714151}",Copenhagen,True
8,"You don't like hot weather. Between Cotonou and Calgary, you should visit ->",Calgary,Cotonou,"{'Alberta': 0.0001568033634035937, 'Calgary': 0.987493248689853, 'Edmonton': 0.011803053615664806, 'C': 0.00012844162975248556, 'cold': 0.00022268952971634098}",Calgary,True
9,"You don't like hot weather. Between Douala and Campos do Jordão, you should visit ->",Campos do Jordão,Douala,"{'Monte': 0.010390438195759846, 'C': 0.019278727365342835, 'Jord': 0.006118667101811937, 'Camp': 0.9493615717856917, 'Com': 0.003426787656258175}",Camp,True
10,"You don't like hot weather. Between Ségou and Irkutsk, you should visit ->",Irkutsk,Ségou,"{'r': 0.0009727747530083292, 'cold': 0.0061388447867814526, 'Siberian': 0.0006761732011633618, 'Ir': 0.8460324526544508, 'Ark': 0.14259896914860287}",Ir,True
11,"You don't like hot weather. Between Gabès and Irkutsk, you should visit ->",Irkutsk,Gabès,"{'r': 0.0008554247746002329, 'cold': 0.0032140042156999127, 'Siberian': 0.00023956350971578283, 'Ir': 0.9369383200170568, 'Ark': 0.056723011728084576}",Ir,True
12,"You don't like hot weather. Between Ürümqi and Surabaya, you should visit ->",Ürümqi,Surabaya,"{'T': 0.001365177257229424, 'ytes: \\xc4': 0.0004149715476348244, 'cold': 0.0003871369699626526, 'U': 0.00026364870600575777, 'Ü': 0.9959858358826635}",Ü,True
13,"You don't like hot weather. Between Vladivostok and Pontianak, you should visit ->",Vladivostok,Pontianak,"{'Vlad': 0.9918864122832922, 'Vladimir': 0.0013958789366498778, 'Vit': 0.0007637760042043672, 'St': 0.00014775072422470932, 'Ark': 0.004799560153281651}",Vlad,True
14,"You don't like hot weather. Between Lviv and Paramaribo, you should visit ->",Lviv,Paramaribo,"{'Ukrainian': 2.8230884056021608e-05, 'Lv': 0.991218128388309, 'v': 0.00858074104783786, 'cold': 3.889437186270594e-05, 'Ark': 6.787267733756939e-05}",Lv,True
15,"You don't like hot weather. Between Pontianak and Minneapolis, you should visit ->",Minneapolis,Pontianak,"{'Minneapolis': 0.9981110523115387, 'Winnipeg': 0.00038475761244843035, 'M': 0.0001273612527023347, 'St': 0.0001138232216967122, 'Minnesota': 0.0010120862342881444}",Minneapolis,True
16,"You don't like hot weather. Between Parakou and Saint Petersburg, you should visit ->",Saint Petersburg,Parakou,"{'Petersburg': 0.000398376667293205, 'S': 0.0001045553459966458, 'St': 0.9879150694740692, 'Ark': 0.00018590495676181656, 'Saint': 0.011209170960334823}",St,True
17,"You don't like hot weather. Between Bangkok and Chihuahua, you should visit ->",Chihuahua,Bangkok,"{'Winnipeg': 0.00011596304444346272, 'C': 0.0007181884199602975, 'cold': 0.00011892446669938781, 'Ch': 0.9985535006900884, 'Detroit': 0.00017588415321809087}",Ch,True
18,"You don't like hot weather. Between Frankfurt and La Paz, you should visit ->",Frankfurt,La Paz,"{'rank': 9.04098804070872e-05, 'Frankfurt': 0.9995209449535286, 'Germany': 4.512988014053682e-05, 'cold': 0.00011786719893828234, 'Frank': 0.00013640965917448137}",Frankfurt,True
19,"You don't like hot weather. Between Erzurum and Mombasa, you should visit ->",Erzurum,Mombasa,"{'Har': 3.577225374887866e-05, 'cold': 0.0006527519258666732, 'Er': 0.9984266021902257, 'Ark': 0.0006005660084524042, 'r': 0.00013814247194119487}",Er,True
20,"You don't like hot weather. Between Nouakchott and Christchurch, you should visit ->",Christchurch,Nouakchott,"{'hrist': 0.003838273203923666, 'Christ': 0.9886243698926975, 'Canterbury': 0.007253895819680941, 'CHRIST': 0.0001912310834910978, 'Dun': 6.084730674919944e-05}",Christ,True
21,"You don't like hot weather. Between Lagos and Reykjavík, you should visit ->",Reykjavík,Lagos,"{'Iceland': 0.08944154460415643, 'Rey': 0.8567097150434836, 'Icelandic': 0.004081476372562283, 'cold': 0.0033335429221095112, 'Ark': 0.0319040186703127}",Rey,True
22,"You don't like hot weather. Between Barranquilla and Canberra, you should visit ->",Canberra,Barranquilla,"{'ACT': 0.0009957592962683295, 'Adelaide': 0.00023680536475397646, 'Canberra': 0.9961827692192687, 'cold': 0.0009160649405556697, 'Ark': 0.00023859881852741468}",Canberra,True
23,"You don't like hot weather. Between Willemstad and Sydney, you should visit ->",Sydney,Willemstad,"{'Sydney': 0.8282194611651361, 'Adelaide': 0.06935555739220704, 'W': 0.08766862476495506, 'cold': 0.004064916814619463, 'Wil': 0.0026939054449371443}",Sydney,True
24,"You don't like hot weather. Between Mombasa and Milwaukee, you should visit ->",Milwaukee,Mombasa,"{'Milwaukee': 0.9993557816977741, 'M': 0.00011470464932440728, 'Brewers': 3.957630410469054e-05, 'W': 8.98129844611609e-05, 'Wisconsin': 0.00034044883771770134}",Milwaukee,True
25,"You don't like hot weather. Between Toliara and Paris, you should visit ->",Paris,Toliara,"{'T': 0.0008334385364534689, 'aris': 0.0007253055091059088, 'Marse': 0.00033107520597878764, 'cold': 0.003254153820818478, 'Paris': 0.9939462111708133}",Paris,True
26,"You don't like hot weather. Between Niamey and Podgorica, you should visit ->",Podgorica,Niamey,"{'Ni': 0.2676648609140573, 'Pod': 0.7170505491220592, 'Split': 0.0005884497626432107, 'Sof': 0.0014825984814353552, 'od': 0.008844406974752073}",Pod,True
27,"You don't like hot weather. Between Hanoi and Halifax, you should visit ->",Halifax,Hanoi,"{'Nova': 0.00012570319814635082, 'Mon': 0.0006210866206557363, 'Halifax': 0.9981753072796442, 'al': 0.0006888493231870673, 'Dartmouth': 7.160834074000537e-05}",Halifax,True
28,"You don't like hot weather. Between Mahajanga and Skopje, you should visit ->",Skopje,Mahajanga,"{'SK': 0.00018324087752851734, 'k': 0.004501034588838609, 'Macedonia': 0.0001656219129814591, 'Sk': 0.9944523158508886, 'Sof': 0.00032426450557288276}",Sk,True
29,"You don't like hot weather. Between Suwałki and Kampala, you should visit ->",Suwałki,Kampala,"{'SU': 0.0013247745300815667, 'Su': 0.993961647971107, 'Warsaw': 0.002274528956739685, 'Vil': 0.00044401953444594077, 'u': 0.0013474019799218316}",Su,True
30,"You don't like hot weather. Between Bucharest and Makassar, you should visit ->",Bucharest,Makassar,"{'Buc': 0.0013382657763084322, 'Buch': 0.942521865933163, 'Warsaw': 0.0013585524786430532, 'Budapest': 0.0511723976861428, 'Sof': 0.0011688842706282896}",Buch,True
31,"You don't like hot weather. Between Pretoria and Bergen, you should visit ->",Bergen,Pretoria,"{'Har': 0.0003666489893029733, 'er': 0.004218388904559613, 'Oslo': 0.0002781071741615775, 'Ber': 0.9938292082250435, 'Ark': 0.00018293859644141818}",Ber,True
32,"You don't like hot weather. Between Auckland and Conakry, you should visit ->",Auckland,Conakry,"{'Auckland': 0.9973195574186057, 'A': 0.0003282654428127335, 'cold': 0.00046013791417144964, 'Dun': 0.0012470518915981008, 'New': 0.0001045409183544285}",Auckland,True
33,"You don't like hot weather. Between Buenos Aires and Port Sudan, you should visit ->",Buenos Aires,Port Sudan,"{'Salt': 0.04852039276644278, 'Bel': 0.004183000361921859, 'Conce': 0.008694679431483898, 'Buenos': 0.9103606766766879, 'cold': 0.0042567449798624046}",Buenos,True
34,"You don't like hot weather. Between Ulaanbaatar and Douala, you should visit ->",Ulaanbaatar,Douala,"{'T': 0.0024543262385130467, 'Mongolia': 0.004038851134900499, 'cold': 0.008920805801315181, 'U': 0.9769130244333961, 'Ark': 0.0024446563942016357}",U,True
35,"You don't like hot weather. Between Kansas City and Medellín, you should visit ->",Kansas City,Medellín,"{'KC': 0.0013999090622588758, 'ansas': 0.0034440815976495716, 'Wichita': 0.4952201984372591, 'K': 0.0005811718858670448, 'Kansas': 0.49880638227474744}",Kansas,True
36,"You don't like hot weather. Between Yinchuan and Willemstad, you should visit ->",Yinchuan,Willemstad,"{'C': 0.0013292843025095801, 'Vil': 0.00037685992171485375, 'W': 0.19057097149819807, 'Wil': 0.0016981129056294509, 'Y': 0.8041906588844012}",Y,True
37,"You don't like hot weather. Between Auckland and Honolulu, you should visit ->",Auckland,Honolulu,"{'Auckland': 0.9945053666230055, 'A': 0.0006911822643634697, 'cold': 0.0008914163104977707, 'Dun': 0.0024189824559135435, 'New': 0.00027645292628859054}",Auckland,True
38,"You don't like hot weather. Between Bujumbura and Berlin, you should visit ->",Berlin,Bujumbura,"{'Berlin': 0.9993623376930775, 'er': 0.0004309936073952949, 'Ber': 1.6480775130027385e-05, 'Germany': 4.942703580368378e-05, 'cold': 6.257930034221018e-05}",Berlin,True
39,"You don't like hot weather. Between Villahermosa and Moscow, you should visit ->",Moscow,Villahermosa,"{'Sochi': 0.0031650671727294953, 'cold': 0.002102185418297979, 'oscow': 0.0011756282422712148, 'Moscow': 0.9912190239542926, 'Ark': 0.0004746720563760988}",Moscow,True
40,"You don't like hot weather. Between Upington and Suwałki, you should visit ->",Suwałki,Upington,"{'SU': 0.005358423876678149, 'Su': 0.922175118650691, 'Up': 0.0680007870233645, 'Warsaw': 0.0012963923340165028, 'u': 0.0006930047531469396}",Su,True
41,"You don't like hot weather. Between Lyon and Jakarta, you should visit ->",Lyon,Jakarta,"{'Lyon': 0.9979686597698312, 'Lyons': 0.0010002025995026445, 'Marse': 0.0008226078165204932, 'Alps': 2.264437683982525e-05, 'cold': 0.00011523546513570245}",Lyon,True
42,"You don't like hot weather. Between Campos do Jordão and Garoua, you should visit ->",Campos do Jordão,Garoua,"{'Monte': 0.022068522655254996, 'C': 0.09421677826910173, 'Jord': 0.004550648175551634, 'Camp': 0.8516391114480398, 'Com': 0.010475577326405972}",Camp,True
43,"You don't like hot weather. Between Ljubljana and Abéché, you should visit ->",Ljubljana,Abéché,"{'Sloven': 0.0003391056999230665, 'Slovenia': 3.09798055383929e-05, 'L': 0.999261726408154, '': 0.00011506907013792028, 'cold': 0.00010764906712570954}",L,True
44,"You don't like hot weather. Between Kano and Albuquerque, you should visit ->",Albuquerque,Kano,"{'Albuquerque': 0.998490139887412, 'Wichita': 9.999163754729088e-05, 'cold': 0.0009793913016895445, 'AB': 9.658071252340165e-05, 'New': 0.00013331670763989096}",Albuquerque,True
45,"You don't like hot weather. Between Fairbanks and Ho Chi Minh City, you should visit ->",Fairbanks,Ho Chi Minh City,"{'Alaska': 0.00044731505079135305, 'air': 0.0027396275458316612, 'cold': 0.0012361671431543343, 'Fair': 0.9947052177361777, 'Ark': 0.00037272711546257933}",Fair,True
46,"You don't like hot weather. Between Tucson and Minsk, you should visit ->",Minsk,Tucson,"{'Winnipeg': 1.2233456787518658e-05, 'Belarus': 1.3673074827574957e-05, 'M': 0.9999291186322029, 'Vil': 1.0895376859857658e-05, 'cold': 8.912399933006919e-06}",M,True
47,"You don't like hot weather. Between Juba and Copenhagen, you should visit ->",Copenhagen,Juba,"{'Denmark': 0.0005752987999801204, 'Copenhagen': 0.701555967509393, 'C': 0.2963545907188124, 'Christensen': 0.00029447866568278313, 'Cop': 0.000272533231728277}",Copenhagen,True
48,"You don't like hot weather. Between Skopje and San José, you should visit ->",Skopje,San José,"{'SK': 0.00043252678624313573, 'k': 0.012039471926362585, 'Sk': 0.9864422376960915, 'Sof': 0.0003164349078287097, 'Ark': 0.00020516787736035445}",Sk,True
49,"You don't like hot weather. Between Johannesburg and Kuopio, you should visit ->",Kuopio,Johannesburg,"{'Ni': 0.014052659680701976, 'Ku': 0.2995784677245864, 'O': 0.11765037222269008, 'Helsinki': 0.5073113811035993, 'Ark': 0.02340046932957903}",Helsinki,True
50,"You don't like hot weather. Between Anchorage and Hamilton, you should visit ->",Anchorage,Hamilton,"{'Alaska': 0.02548148675750233, 'cold': 0.013473506543238119, 'Anchorage': 0.9522395830356328, 'Ash': 0.0008271289086976453, 'Ark': 0.0032825871573989745}",Anchorage,True
51,"You don't like hot weather. Between Port Sudan and Tirana, you should visit ->",Tirana,Port Sudan,"{'Edinburgh': 0.001212242898634615, 'Istanbul': 0.00028300131887392646, 'T': 0.3182252225111567, 'Tir': 0.6781447827228295, 'Ark': 0.00032025468118848763}",Tir,True
