,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for restaurants nearby. Between Fitness Avenue and Paradise Farms Prime Beef Bistro, I should go to ->",Paradise Farms Prime Beef Bistro,Fitness Avenue,"{'1': 0.0645438268422562, '2': 0.822311592049154, '3': 0.0769757147294, '4': 0.026568326653115627, '5': 0.0045881724189721865}",2,False
1,"I'm looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and Capitol Trattoria Pizzeria, I should go to ->",Sky Dragon Chinese Restaurant,Capitol Trattoria Pizzeria,"{'1': 0.02642708097737723, '2': 0.8300173954812279, '3': 0.09801289767918407, '4': 0.03617858897187818, '5': 0.004322436634372975}",2,False
2,"I'm looking for restaurants nearby. Between Freshii and Lebanese Bakery, I should go to ->",Lebanese Bakery,Freshii,"{'1': 0.062431788639408736, '2': 0.33191960267789933, '3': 0.30864871297608326, '4': 0.16774186484738185, '6': 0.050362415817372365}",2,False
3,"I'm looking for restaurants nearby. Between Thompson Rooftop and Basha Middle Eastern Grill, I should go to ->",Basha Middle Eastern Grill,Thompson Rooftop,"{'1': 0.05939140262748275, '2': 0.6543637758357189, '3': 0.184420131652163, '4': 0.07680453431587865, '5': 0.01038282791006244}",2,False
4,"I'm looking for restaurants nearby. Between Magic Oven and Breakfast Room, I should go to ->",Breakfast Room,Magic Oven,"{'1': 0.1169034264481462, '2': 0.7053292950802509, '3': 0.10026235284374331, '4': 0.03216514069385091, 'Magic': 0.011265976775273263}",2,False
5,"I'm looking for restaurants nearby. Between Kim PO Vietnamese and Viccino Pizzeria, I should go to ->",Kim PO Vietnamese,Viccino Pizzeria,"{'1': 0.12050390740254747, '2': 0.7724479431414778, '3': 0.0783110783532972, '4': 0.01957439391071885, '6': 0.003666077461802274}",2,False
6,"I'm looking for restaurants nearby. Between Eggspectation and Thai 4 You Restaurant, I should go to ->",Thai 4 You Restaurant,Eggspectation,"{'1': 0.007193006819664364, '2': 0.885698331490329, '3': 0.09555722464578707, '4': 0.0096503152091894, '5': 0.001206803681565477}",2,False
7,"I'm looking for restaurants nearby. Between The Empire and Thompson Rooftop, I should go to ->",The Empire,Thompson Rooftop,"{'2': 0.22832589649804336, '3': 0.23625430276788953, '4': 0.298976590888257, '5': 0.07097443054310917, '6': 0.08501229380076336}",4,False
8,"I'm looking for restaurants nearby. Between Freshii and Verona Restaurant, I should go to ->",Verona Restaurant,Freshii,"{'1': 0.03247212012861779, '2': 0.38339325542860947, '3': 0.2806217224554167, '4': 0.20885283788121584, '5': 0.05030315903358068}",2,False
9,"I'm looking for restaurants nearby. Between EJ Sushi and Tortería San Cosme, I should go to ->",Tortería San Cosme,EJ Sushi,"{'1': 0.03972283769042198, '2': 0.7718453290513897, '3': 0.13675964636795856, '4': 0.03751472711629894, '5': 0.005322083590259028}",2,False
10,"I'm looking for restaurants nearby. Between Aris Place and Kairali - Taste of Kerala, I should go to ->",Kairali - Taste of Kerala,Aris Place,"{'1': 0.1287460267639885, '2': 0.6892870613335386, '3': 0.1384314253217233, '4': 0.03047316252305825, '6': 0.006300506197518392}",2,False
