,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like big cities. Between Mumbai and Florianópolis, this person should visit ->",Florianópolis,Mumbai,"{'lor': 0.0014982606655193353, 'Flo': 6.8034685156213414e-06, 'Fior': 4.170148130011297e-06, 'Flor': 0.9984633193047415, 'St': 6.115573545561388e-06}",Flor,True
1,"Someone doesn't like big cities. Between Lagos and Auckland, this person should visit ->",Auckland,Lagos,"{'Hamilton': 0.0024686594709059082, 'Auckland': 0.9269784043184471, 'A': 0.06044936539447579, 'Dun': 0.0028369331132804257, 'New': 0.003982560598898172}",Auckland,True
2,"Someone doesn't like big cities. Between Cairo and Garoua, this person should visit ->",Garoua,Cairo,"{'small': 9.747623950872033e-06, 'Gu': 5.931039886747798e-06, 'ar': 0.0006765273381564651, 'G': 7.38249357969567e-05, 'Gar': 0.9992081394371841}",Gar,True
3,"Someone doesn't like big cities. Between Nairobi and Garissa, this person should visit ->",Garissa,Nairobi,"{'ar': 0.0003287233639368837, 'N': 8.414458405539981e-05, 'G': 2.65765715255058e-05, 'gar': 1.1425875430565094e-05, 'Gar': 0.9995289900300395}",Gar,True
4,"Someone doesn't like big cities. Between Los Angeles and Denver, this person should visit ->",Denver,Los Angeles,"{'Denver': 0.9992463477386356, 'Nuggets': 0.00010592375660156395, 'enver': 0.00032370045221959896, 'Fort': 6.40188491498563e-05, 'Colorado': 0.0001594034736201885}",Denver,True
5,"Someone doesn't like big cities. Between Ankara and Mombasa, this person should visit ->",Mombasa,Ankara,"{'small': 7.059694911807468e-09, 'M': 0.9999998115819777, 'N': 1.1440547428477446e-08, '': 2.9439071185351425e-07, 'K': 1.5738199351890063e-08}",M,True
6,"Someone doesn't like big cities. Between Guangzhou and Monterrey, this person should visit ->",Monterrey,Guangzhou,"{'Gu': 7.21771011456917e-08, 'Monte': 2.863227708736602e-06, 'Mon': 0.999996829488026, 'N': 1.0136864647139314e-07, 'on': 1.2034165675074142e-07}",Mon,True
7,"Someone doesn't like big cities. Between Guadalajara and Florianópolis, this person should visit ->",Florianópolis,Guadalajara,"{'Gu': 0.08192379443311579, 'lor': 0.0011161716707681207, 'Flo': 4.851192533710177e-06, 'Flor': 0.9169383858374932, 'St': 3.699469969729577e-06}",Flor,True
8,"Someone doesn't like big cities. Between Tampa and La Ceiba, this person should visit ->",La Ceiba,Tampa,"{'a': 0.0002675979206785282, 'Tampa': 0.01654431071009248, 'Ce': 0.06455817007405457, 'La': 0.9182713902239114, 'St': 0.00019751145012246105}",La,True
9,"Someone doesn't like big cities. Between Guadalajara and Beirut, this person should visit ->",Beirut,Guadalajara,"{'Gu': 0.9993954168340983, 'Lebanese': 8.56920153048793e-06, 'G': 1.133442608946124e-06, 'Beirut': 0.000586592199105384, 'u': 1.4840243574170147e-06}",Gu,False
10,"Someone doesn't like big cities. Between Paris and Baku, this person should visit ->",Baku,Paris,"{'Barcelona': 2.2703425971324873e-08, 'Azerbaijan': 1.4534276319516284e-07, 'B': 0.9999998115819777, 'Marse': 1.0926519729106603e-08, 'Bat': 3.3186256751312426e-08}",B,True
11,"Someone doesn't like big cities. Between Tampa and Aden, this person should visit ->",Aden,Tampa,"{'small': 0.0001675824649153352, 'Tampa': 0.16802479855933494, 'Adin': 0.0003976262755412818, 'Aden': 0.8299610226141709, 'St': 0.0006077991961738366}",Aden,True
12,"Someone doesn't like big cities. Between Medellín and Saskatoon, this person should visit ->",Saskatoon,Medellín,"{'small': 5.360185367450433e-06, 'Med': 0.0045110605405338094, 'Winnipeg': 7.4970795993953535e-06, 'Sask': 0.9891480588029786, 'Saskatchewan': 0.00631352829139694}",Sask,True
13,"Someone doesn't like big cities. Between Ankara and Albuquerque, this person should visit ->",Albuquerque,Ankara,"{'Albuquerque': 0.99949639158331, 'ABE': 2.016298621472968e-05, 'AB': 7.82818402615659e-06, 'New': 0.00044586024815096073, 'Al': 4.3758139926412925e-06}",Albuquerque,True
14,"Someone doesn't like big cities. Between Tampa and Malabo, this person should visit ->",Malabo,Tampa,"{'small': 0.0007699161077701405, 'Tampa': 0.2611436343112554, 'Man': 0.001640253788554241, 'Mal': 0.7222767162585604, 'St': 0.010931070938817749}",Mal,True
15,"Someone doesn't like big cities. Between Beijing and Parakou, this person should visit ->",Parakou,Beijing,"{'ar': 0.00013631611423786942, 'Pir': 2.5807846096552235e-05, 'Par': 0.999615716215935, 'PAR': 9.321228795059935e-05, 'P': 6.037381943828148e-05}",Par,True
