,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like expensive restaurants. Between Chick Fiesta and Basil Express Restaurant, I should go to ->",Chick Fiesta,Basil Express Restaurant,"{'1': 0.6107583238733707, '2': 0.3038666576353598, '3': 0.04975481679819869, '4': 0.010647466526089746, '0': 0.013578739248571526}",1,False
1,"I don't like expensive restaurants. Between Juice & Java Cafe and Adega Restaurante, I should go to ->",Juice & Java Cafe,Adega Restaurante,"{'1': 0.016794740618643764, '2': 0.4773781475521051, '3': 0.3649972352813414, '4': 0.11121450111025213, '5': 0.011885596382512778}",2,False
2,"I don't like expensive restaurants. Between Dinah's Cupboard and Basha Middle Eastern Grill, I should go to ->",Basha Middle Eastern Grill,Dinah's Cupboard,"{'1': 0.04154301011964557, '2': 0.8005013660907325, '3': 0.12643686326920273, '4': 0.028235373716905137, '5': 0.001202658206477467}",2,False
3,"I don't like expensive restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, I should go to ->",z-teca Gourmet Burritos,Grappa Ristorante,"{'1': 0.008966606420216391, '2': 0.5221656313459122, '3': 0.3268071295453561, '4': 0.1173333558674544, '5': 0.013918922968804703}",2,False
4,"I don't like expensive restaurants. Between Anatolia Restaurant and Mi Mi Restaurant, I should go to ->",Mi Mi Restaurant,Anatolia Restaurant,"{'1': 0.07705318355726114, '2': 0.5958988744825455, '3': 0.24610199873021615, '4': 0.04967953506478706, '6': 0.011030082126561234}",2,False
5,"I don't like expensive restaurants. Between EJ Sushi and McDonald's, I should go to ->",McDonald's,EJ Sushi,"{'1': 0.5653870885162103, '2': 0.372225881742708, '3': 0.029633011076449414, '4': 0.008555764608529573, '0': 0.012107744376455225}",1,False
6,"I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Popeyes Louisiana Kitchen, I should go to ->",Popeyes Louisiana Kitchen,Mysteriously Yours Dinner Theatre,"{'1': 0.1240475275647781, '2': 0.772561261841414, '3': 0.059783773559809225, '4': 0.029993160699318518, '6': 0.0045563655580224335}",2,False
7,"I don't like expensive restaurants. Between Watson's and Big Al's Diner, I should go to ->",Big Al's Diner,Watson's,"{'1': 0.23020268937195001, '2': 0.7245960875481953, '3': 0.0331492959793872, '4': 0.005186362990518381, '0': 0.0024669031510210293}",2,False
8,"I don't like expensive restaurants. Between McDonald's and Modo Mio Italian Bistro, I should go to ->",McDonald's,Modo Mio Italian Bistro,"{'1': 0.06116447694871489, '2': 0.7992151463004397, '3': 0.10379857880611555, '4': 0.02631181239861846, '5': 0.006207820567189534}",2,False
9,"I don't like expensive restaurants. Between Goldstone Noodle Restaurant and Viccino Pizzeria, I should go to ->",Goldstone Noodle Restaurant,Viccino Pizzeria,"{'1': 0.16344315907611956, '2': 0.731155733645396, '3': 0.07309044734797115, '4': 0.02476085500642586, '6': 0.002937186877755877}",2,False
10,"I don't like expensive restaurants. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to ->",St. Clair Shawarma and Falafel,Kairali - Taste of Kerala,"{'1': 0.7934789241388358, '2': 0.15677243244677985, '3': 0.03398476646211987, '4': 0.007643515787842769, '6': 0.002673483433910392}",1,False
11,"I don't like expensive restaurants. Between La Cocina De Dona Luz and Falafel Hut Village, I should go to ->",Falafel Hut Village,La Cocina De Dona Luz,"{'1': 0.6406759616029782, '2': 0.2741335178112428, '3': 0.03753376691882716, '4': 0.0194754691043629, '6': 0.006903273911371559}",1,False
12,"I don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Anatolia Restaurant, I should go to ->",Anatolia Restaurant,Oxygen Restaurant & Lounge,"{'2': 0.4484472763104794, '3': 0.32111498861922516, '4': 0.20269897140636162, '5': 0.0121517996599961, '6': 0.01055315301215025}",2,False
13,"I don't like expensive restaurants. Between 9 Restaurant and St. Clair Shawarma and Falafel, I should go to ->",St. Clair Shawarma and Falafel,9 Restaurant,"{'1': 0.905493617749417, '2': 0.024058755370754224, '3': 0.015983137799556832, '4': 0.010215776887569772, '6': 0.02177688048839854}",1,False
14,"I don't like expensive restaurants. Between Smoke's Weinerie and Phil's Original BBQ, I should go to ->",Smoke's Weinerie,Phil's Original BBQ,"{'1': 0.07142530933272391, '2': 0.8637251968249743, '3': 0.04481013219794387, '4': 0.013573137816412487, '5': 0.002028739327049166}",2,False
15,"I don't like expensive restaurants. Between Basha Middle Eastern Grill and Mirage Grill & Lounge, I should go to ->",Basha Middle Eastern Grill,Mirage Grill & Lounge,"{'1': 0.008756289822455672, '2': 0.9200333772293685, '3': 0.0666823352478088, '4': 0.004066270657321029, '0': 0.00015975310951714706}",2,False
16,"I don't like expensive restaurants. Between Bonne Journee and Lebanese Bakery, I should go to ->",Bonne Journee,Lebanese Bakery,"{'1': 0.4507877369716828, '2': 0.36353452759983707, '3': 0.12104484284700583, '4': 0.030080724332127873, '5': 0.00948556319423992}",1,False
17,"I don't like expensive restaurants. Between Madras Pantry and St. Louis Bar & Grill, I should go to ->",Madras Pantry,St. Louis Bar & Grill,"{'1': 0.22239055189380505, '2': 0.7242152167972262, '3': 0.0294424049081971, '4': 0.010657738830056213, '0': 0.005704060439163492}",2,False
18,"I don't like expensive restaurants. Between Thompson Rooftop and Shawarma Twist, I should go to ->",Shawarma Twist,Thompson Rooftop,"{'1': 0.0681043970747451, '2': 0.43619181051549033, '3': 0.28468855093377726, '4': 0.13725868800678662, '5': 0.042847679047117226}",2,False
19,"I don't like expensive restaurants. Between Pisco 1641 and Cafe Jules, I should go to ->",Cafe Jules,Pisco 1641,"{'1': 0.10970901899432284, '2': 0.5938273015638537, '3': 0.17120813480825592, '4': 0.08362828322658457, '6': 0.01583760663955017}",2,False
20,"I don't like expensive restaurants. Between Maurya East Indian Roti and Mamma's Pizza, I should go to ->",Mamma's Pizza,Maurya East Indian Roti,"{'1': 0.8214406664340178, '2': 0.14458338196961015, '3': 0.019919181839169988, '4': 0.0029161442430284236, '0': 0.00810633033252103}",1,False
21,"I don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and Nook, I should go to ->",Nook,Sichuan Landscape Chinese Restaurant,"{'S': 0.003861199084856379, '1': 0.02078998497116839, '2': 0.8021486413074903, '3': 0.10231901995421938, '4': 0.061105524472098036}",2,False
22,"I don't like expensive restaurants. Between Nook and Helena's Magic Kitchen, I should go to ->",Helena's Magic Kitchen,Nook,"{'1': 0.06652527023297437, '2': 0.8356626968348717, '3': 0.0634386615351475, '4': 0.026252141823417677, '5': 0.0037122378134015386}",2,False
23,"I don't like expensive restaurants. Between Sweet Jesus and Dinah's Cupboard, I should go to ->",Sweet Jesus,Dinah's Cupboard,"{'1': 0.1583403418942485, '2': 0.38924257250669536, '3': 0.28603774538495313, '4': 0.10692640338584504, '5': 0.01805016776114822}",2,False
24,"I don't like expensive restaurants. Between Marcello’s pizzeria and Big Al's Diner, I should go to ->",Big Al's Diner,Marcello’s pizzeria,"{'1': 0.12595149581419635, '2': 0.781587180500117, '3': 0.07862795352194812, '4': 0.008311538074975288, '5': 0.0014992144620727447}",2,False
25,"I don't like expensive restaurants. Between LCBO and Nutella Cafe by Pusateri's, I should go to ->",LCBO,Nutella Cafe by Pusateri's,"{'1': 0.06163467259443394, '2': 0.5392628524828265, '3': 0.23447673666594984, '4': 0.12842189249020128, '5': 0.014953363816604458}",2,False
26,"I don't like expensive restaurants. Between Lebanese Bakery and Lahore Grill & Fast Food, I should go to ->",Lahore Grill & Fast Food,Lebanese Bakery,"{'Lah': 0.0027732632044328567, '1': 0.8997057891914153, '2': 0.0699538178262352, '3': 0.018924308865159785, '0': 0.0038386981242862464}",1,True
27,"I don't like expensive restaurants. Between Beryl's Pepper Pot and Mysteriously Yours Dinner Theatre, I should go to ->",Beryl's Pepper Pot,Mysteriously Yours Dinner Theatre,"{'1': 0.059554465415831766, '2': 0.7578811498700316, '3': 0.10987861747162411, '4': 0.05302773502216061, '5': 0.005995666624123895}",2,False
28,"I don't like expensive restaurants. Between Bagel Nash and Pizzeria Via Mercanti, I should go to ->",Bagel Nash,Pizzeria Via Mercanti,"{'Via': 0.19203498692256976, '2': 0.24483631347169488, '3': 0.37037671968786134, '4': 0.15071921145824632, '6': 0.013134827352653925}",3,False
29,"I don't like expensive restaurants. Between Tian An Cuisine and Goldstone Noodle Restaurant, I should go to ->",Goldstone Noodle Restaurant,Tian An Cuisine,"{'1': 0.21560315639574149, '2': 0.7551860320638938, '3': 0.02083542949936121, '4': 0.0069442590273087095, '6': 0.000604618425839965}",2,False
30,"I don't like expensive restaurants. Between Basil Express Restaurant and Ici Bistro, I should go to ->",Basil Express Restaurant,Ici Bistro,"{'1': 0.02675387650673031, '2': 0.6033902263611358, '3': 0.2736105866735667, '4': 0.07723627877626399, '6': 0.006454527218796907}",2,False
31,"I don't like expensive restaurants. Between Just Soups Take Out & Catering and Kibo Sushi House, I should go to ->",Just Soups Take Out & Catering,Kibo Sushi House,"{'1': 0.08936256683327065, '2': 0.8872428731535434, '3': 0.01639931685832106, '4': 0.005464340727706595, '0': 0.00039015674083642856}",2,False
32,"I don't like expensive restaurants. Between Farmacia Health Bar and Cake Opera, I should go to ->",Farmacia Health Bar,Cake Opera,"{'1': 0.015485230194860674, '2': 0.25750130266446913, '3': 0.4740683828863129, '4': 0.1897338079394421, '5': 0.03170008869985929}",3,False
33,"I don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Thompson Rooftop, I should go to ->",Popeyes Louisiana Kitchen,Thompson Rooftop,"{'1': 0.018100802584650917, '2': 0.5147740049346717, '3': 0.24604522954768604, '4': 0.16742081261683506, '6': 0.02451074466045813}",2,False
