,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Guadalajara and Kansas City, the city with a larger population is ->",Guadalajara,Kansas City,"{'Tokyo': 1.803596027404821e-05, 'Gu': 0.998995770076705, 'Wichita': 0.0002521468253106699, 'Detroit': 2.7252072083075646e-05, 'Kansas': 0.0005967084036455789}",Gu,True
1,"Between Guadalajara and Dodoma, the city with a larger population is ->",Guadalajara,Dodoma,"{'Madrid': 3.283715507496004e-06, 'Gu': 0.9999773959104763, 'T': 1.9546077969964125e-06, 'S': 3.7894146375261054e-06, 'Detroit': 1.3879704301959513e-06}",Gu,True
2,"Between Toronto and Minneapolis, the city with a larger population is ->",Toronto,Minneapolis,"{'Tokyo': 0.4785426688329687, 'T': 0.005591438446288868, 'S': 0.009773377221873294, 'Toronto': 0.26134497528699807, 'Detroit': 0.21071356070320543}",Tokyo,True
3,"Between Bangkok and Garissa, the city with a larger population is ->",Bangkok,Garissa,"{'Tokyo': 0.13200123505001893, 'Dh': 0.04821915163583077, 'Bangkok': 0.6217361576977599, 'Kuala': 0.017238265980201943, 'Kh': 0.1336326448564121}",Bangkok,True
4,"Between Mumbai and Mahajanga, the city with a larger population is ->",Mumbai,Mahajanga,"{'Tokyo': 0.006678826369887784, 'Delhi': 0.001549585194993182, 'Dh': 0.0016398354131788296, 'Mumbai': 0.9807508904159492, 'Bombay': 0.004827597244505821}",Mumbai,True
5,"Between Shanghai and Cape Town, the city with a larger population is ->",Shanghai,Cape Town,"{'Tokyo': 0.0019466506472429295, 'Shanghai': 0.338016827241558, 'S': 0.0034989911321336915, 'Chong': 0.6529827281862493, 'Detroit': 0.0010904127333097066}",Chong,True
6,"Between Bogotá and Douala, the city with a larger population is ->",Bogotá,Douala,"{'Barcelona': 0.027930938436534884, 'Rio': 0.020205514839085732, 'Gu': 0.022245111552818022, 'Bog': 0.7472014137541766, 'Dou': 0.09009287466630228}",Bog,True
7,"Between Brasília and Campos do Jordão, the city with a larger population is ->",Brasília,Campos do Jordão,"{'Rio': 0.6013686909854291, 'Salvador': 0.04585519419501693, 'S': 0.14071068162649633, 'Bras': 0.09864354322486955, 'Camp': 0.051318754952627846}",Rio,True
8,"Between Hanoi and Asmara, the city with a larger population is ->",Hanoi,Asmara,"{'As': 0.9860964694171245, 'Tokyo': 0.0010174830492500502, 'ytes: \\xc4': 0.0028750937401350435, 'H': 0.00594579519002687, 'Kh': 0.0025819423873347166}",As,False
9,"Between Moscow and Napier, the city with a larger population is ->",Moscow,Napier,"{'Tokyo': 0.08888180727325395, 'Tehran': 0.017290523536797272, 'S': 0.004974017576162049, 'oscow': 0.012472937271427158, 'Moscow': 0.8499009378460927}",Moscow,True
10,"Between Denver and Upington, the city with a larger population is ->",Denver,Upington,"{'Rio': 0.06655922008571823, 'S': 0.45763749678441473, 'Bel': 0.06543490809495107, 'Kh': 0.11919952610356785, 'Acc': 0.056415304551091346}",S,False
