{'statement': 'Between Guadalajara and Kansas City, the city with a smaller population is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Guadalajara'}
{'statement': 'Between Guadalajara and Dodoma, the city with a smaller population is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guadalajara'}
{'statement': 'Between Toronto and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Toronto'}
{'statement': 'Between Bangkok and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Between Mumbai and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Mumbai'}
{'statement': 'Between Shanghai and Cape Town, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Shanghai'}
{'statement': 'Between Bogotá and Douala, the city with a smaller population is Douala.', 'answer': 'Douala', 'candidate': 'Bogotá'}
{'statement': 'Between Brasília and Campos do Jordão, the city with a smaller population is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Brasília'}
{'statement': 'Between Hanoi and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Hanoi'}
{'statement': 'Between Moscow and Napier, the city with a smaller population is Napier.', 'answer': 'Napier', 'candidate': 'Moscow'}
{'statement': 'Between Denver and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Denver'}
{'statement': 'Between Chicago and Murmansk, the city with a smaller population is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'Between Alexandria and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Alexandria'}
{'statement': 'Between Guangzhou and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Guangzhou'}
{'statement': 'Between Los Angeles and Palermo, the city with a smaller population is Palermo.', 'answer': 'Palermo', 'candidate': 'Los Angeles'}
{'statement': 'Between Denver and Bergen, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Denver'}
{'statement': 'Between Lahore and Asmara, the city with a smaller population is Asmara.', 'answer': 'Asmara', 'candidate': 'Lahore'}
{'statement': 'Between Monterrey and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Monterrey'}
{'statement': 'Between Guangzhou and Tampa, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'Between Buenos Aires and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Buenos Aires'}
{'statement': 'Between Lima and Baltimore, the city with a smaller population is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Lima'}
{'statement': 'Between Lima and Irkutsk, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Lima'}
{'statement': 'Between Beijing and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Beijing'}
{'statement': 'Between Guadalajara and Honolulu, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guadalajara'}
{'statement': 'Between Moscow and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Moscow'}
{'statement': 'Between Beijing and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Beijing'}
{'statement': 'Between Minneapolis and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Minneapolis'}
{'statement': 'Between Mexico City and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Mexico City'}
{'statement': 'Between Paris and Palermo, the city with a smaller population is Palermo.', 'answer': 'Palermo', 'candidate': 'Paris'}
{'statement': 'Between Riyadh and Kano, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Riyadh'}
{'statement': 'Between Luanda and Guadalajara, the city with a smaller population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Luanda'}
{'statement': 'Between Lagos and Lake Havasu City, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Lagos'}
{'statement': 'Between Kabul and Canberra, the city with a smaller population is Canberra.', 'answer': 'Canberra', 'candidate': 'Kabul'}
{'statement': 'Between Kunming and Omaha, the city with a smaller population is Omaha.', 'answer': 'Omaha', 'candidate': 'Kunming'}
{'statement': 'Between Kuwait City and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuwait City'}
{'statement': 'Between Chicago and Perth, the city with a smaller population is Perth.', 'answer': 'Perth', 'candidate': 'Chicago'}
{'statement': 'Between Karachi and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Karachi'}
{'statement': 'Between London and Bamako, the city with a smaller population is Bamako.', 'answer': 'Bamako', 'candidate': 'London'}
{'statement': 'Between Santiago and Berlin, the city with a smaller population is Berlin.', 'answer': 'Berlin', 'candidate': 'Santiago'}
{'statement': 'Between Lima and Lviv, the city with a smaller population is Lviv.', 'answer': 'Lviv', 'candidate': 'Lima'}
{'statement': 'Between Lagos and Cape Town, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Lagos'}
{'statement': 'Between Mexico City and Amsterdam, the city with a smaller population is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Mexico City'}
{'statement': 'Between Mexico City and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Mexico City'}
{'statement': 'Between Jakarta and Mombasa, the city with a smaller population is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Jakarta'}
{'statement': 'Between Sydney and Brussels, the city with a smaller population is Brussels.', 'answer': 'Brussels', 'candidate': 'Sydney'}
{'statement': 'Between Jakarta and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Jakarta'}
{'statement': 'Between Mexico City and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Mexico City'}
{'statement': 'Between Baghdad and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Baghdad'}
{'statement': 'Between Buenos Aires and Almaty, the city with a smaller population is Almaty.', 'answer': 'Almaty', 'candidate': 'Buenos Aires'}
{'statement': 'Between Luanda and Minneapolis, the city with a smaller population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Luanda'}
{'statement': 'Between Rome and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Rome'}
{'statement': 'Between Guangzhou and Dodoma, the city with a smaller population is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guangzhou'}
{'statement': 'Between Phoenix and Bergen, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'Between Nairobi and Bahía Blanca, the city with a smaller population is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Nairobi'}
{'statement': 'Between Johannesburg and Makassar, the city with a smaller population is Makassar.', 'answer': 'Makassar', 'candidate': 'Johannesburg'}
{'statement': 'Between Bangkok and Muscat, the city with a smaller population is Muscat.', 'answer': 'Muscat', 'candidate': 'Bangkok'}
{'statement': 'Between Paris and Makassar, the city with a smaller population is Makassar.', 'answer': 'Makassar', 'candidate': 'Paris'}
{'statement': 'Between Los Angeles and Cotonou, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Los Angeles'}
{'statement': 'Between Dar es Salaam and Phoenix, the city with a smaller population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Shanghai and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Shanghai'}
{'statement': 'Between Baku and La Serena, the city with a smaller population is La Serena.', 'answer': 'La Serena', 'candidate': 'Baku'}
