,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. If I were you, between Eggspectation and Queen Pita I would go to ->",Queen Pita,Eggspectation,"{'Egg': 0.3569921093884944, 'ueen': 0.0006284441476453397, 'P': 0.5405374589764776, 'Peter': 0.0006541188468529235, 'Queen': 0.10037039356724232}",P,False
1,"You don't like expensive restaurants. If I were you, between Verona Restaurant and Le Papillon Park I would go to ->",Le Papillon Park,Verona Restaurant,"{'Le': 0.7849222348439009, 'er': 1.0030421760181516e-06, 'e': 3.053909737804272e-07, 'Ver': 0.21507546767566, 'Peter': 5.411734497309352e-07}",Le,True
2,"You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and Fit For Life I would go to ->",Fit For Life,Mysteriously Yours Dinner Theatre,"{'it': 0.0015927949113534459, 'Fit': 0.9981604662200539, 'F': 5.117671062547579e-05, 'fit': 0.00014406341116553588}",Fit,True
3,"You don't like expensive restaurants. If I were you, between Magic Oven and Queen Slice I would go to ->",Queen Slice,Magic Oven,"{'King': 0.00042772991555239996, 'ueen': 0.0018782026437444616, 'Magic': 0.5567610086401001, 'Queen': 0.4402670959463923, 'Golden': 0.00018291737679499424}",Magic,False
4,"You don't like expensive restaurants. If I were you, between Tim Hortons and Hina Sushi I would go to ->",Tim Hortons,Hina Sushi,"{'im': 0.0008836433738237449, 'Timothy': 7.192576589935807e-05, 'H': 0.32076089782238837, 'tim': 8.655495740937479e-05, 'Tim': 0.6781073094775316}",Tim,True
5,"You don't like expensive restaurants. If I were you, between Bake Island and Sky Dragon Chinese Restaurant I would go to ->",Bake Island,Sky Dragon Chinese Restaurant,"{'Starbucks': 0.0002552495152601622, 'Cafe': 0.0005914404830383706, 'bake': 0.021214310530659135, 'Bake': 0.9739648288518028, 'Sky': 0.0033481621353620133}",Bake,True
6,"You don't like expensive restaurants. If I were you, between Basha Middle Eastern Grill and Madras Pantry I would go to ->",Madras Pantry,Basha Middle Eastern Grill,"{'Bab': 2.1305256726680382e-08, 'B': 0.9999995722265915, 'Bib': 1.138776739719802e-07, 'Mad': 2.91777882648533e-07, 'Middle': 2.0618935176828504e-08}",B,False
7,"You don't like expensive restaurants. If I were you, between The Empire and Milestones Restaurants I would go to ->",The Empire,Milestones Restaurants,"{'mil': 9.360564120562765e-06, 'il': 3.2892137615471245e-06, 'MIL': 2.8406402445007416e-05, 'Mil': 0.9994942441376348}",Mil,False
8,"You don't like expensive restaurants. If I were you, between Cake Opera and Itamae Ayce Sushi I would go to ->",Itamae Ayce Sushi,Cake Opera,"{'cake': 0.012394728719739019, 'Pizza': 0.0012013215938462187, 'Cafe': 0.0037670220380399662, 'Cake': 0.10943750754419102, 'It': 0.8716273215248204}",It,True
9,"You don't like expensive restaurants. If I were you, between Tik Talk Cafe and Fit For Life I would go to ->",Fit For Life,Tik Talk Cafe,"{'Fit': 0.9981916990498595, 'it': 0.0013393772658714007, 'F': 7.972781793535823e-05, 'fit': 9.630946089583429e-05, 'Tik': 0.00025463892414583734}",Fit,True
10,"You don't like expensive restaurants. If I were you, between Dangerous Dan's Diner and Falafel House I would go to ->",Falafel House,Dangerous Dan's Diner,"{'affordable': 0.0008656894642722335, 'fal': 0.001704811894737732, 'Dangerous': 0.000687158897937819, 'F': 0.0006199082963361587, 'Fal': 0.9938174058775961}",Fal,True
11,"You don't like expensive restaurants. If I were you, between Adega Restaurante and Evoo Ristorante I would go to ->",Adega Restaurante,Evoo Ristorante,"{'affordable': 0.0021091747958601388, 'Ad': 0.8163279461209745, 'v': 0.0014487944241519076, 'Ev': 0.17362039516277733, 'Peter': 0.0014852343614817215}",Ad,True
12,"You don't like expensive restaurants. If I were you, between Branca and Tik Talk Cafe I would go to ->",Tik Talk Cafe,Branca,"{'Nik': 6.471458220583044e-05, 'Br': 0.25757385099938296, 'Cafe': 0.00015550059499778364, 'T': 0.00020560535068282296, 'Tik': 0.7418370864218267}",Tik,True
13,"You don't like expensive restaurants. If I were you, between Big Al's Diner and Carole's Cheesecake Cafe I would go to ->",Big Al's Diner,Carole's Cheesecake Cafe,"{'affordable': 0.0001444482855406401, 'Car': 0.9976890495669661, 'Cafe': 0.00013180816340387658, 'Big': 0.001280897339736372, 'Peter': 0.00012387098221844486}",Car,False
14,"You don't like expensive restaurants. If I were you, between Oxygen Restaurant & Lounge and Cantine Bar & Grill I would go to ->",Cantine Bar & Grill,Oxygen Restaurant & Lounge,"{'Cant': 0.9912693900636841, 'cant': 0.0024098928332485637, 'Chand': 0.00024073206654707814, 'Cafe': 0.004783939063393026, 'Oxy': 0.00018118843335038375}",Cant,True
15,"You don't like expensive restaurants. If I were you, between Eastern legend and Cantine Bar & Grill I would go to ->",Eastern legend,Cantine Bar & Grill,"{'Cant': 0.23987193553351863, 'cant': 0.0006399370153302321, 'Cafe': 0.00027835814000124934, 'astern': 0.0003567827160484486, 'Eastern': 0.757866416803684}",Eastern,True
16,"You don't like expensive restaurants. If I were you, between Nutella Cafe by Pusateri's and Chipotle Mexican Grill I would go to ->",Chipotle Mexican Grill,Nutella Cafe by Pusateri's,"{'chip': 0.0003775551149743856, 'Chip': 0.7437248930022407, 'Cafe': 0.00019198083665620793, 'P': 0.24367285780373232, 'hip': 0.011602740021647497}",Chip,True
17,"You don't like expensive restaurants. If I were you, between Tian An Cuisine and Verona Restaurant I would go to ->",Tian An Cuisine,Verona Restaurant,"{'affordable': 4.735211840741573e-05, 'Tai': 3.963091747531537e-05, 'Tian': 0.9966792808244535, 'T': 8.355453713239461e-05, 'Ver': 0.0029364937834410725}",Tian,True
18,"You don't like expensive restaurants. If I were you, between Hapa Toronto and Juice & Java Cafe I would go to ->",Juice & Java Cafe,Hapa Toronto,"{'juice': 7.309394692797168e-05, 'Starbucks': 8.237117501734647e-05, 'Cafe': 5.5931182883392814e-05, 'Juice': 0.7555252320583271, 'H': 0.24419780643586314}",Juice,True
19,"You don't like expensive restaurants. If I were you, between FreshCo and Hapa Toronto I would go to ->",FreshCo,Hapa Toronto,"{'Fresh': 0.0063196275785770565, 'Starbucks': 1.0284014002237833e-06, 'resh': 6.099523485265194e-07, 'H': 0.9936754258492908, 'Peter': 5.659902415327916e-07}",H,False
20,"You don't like expensive restaurants. If I were you, between St. Clair Shawarma and Falafel and Joe Badali's Ristorante Italiano & Bar I would go to ->",St. Clair Shawarma and Falafel,Joe Badali's Ristorante Italiano & Bar,"{'oe': 0.0026091102921382307, 'fal': 0.001791926465766252, 'St': 0.22293872969610495, 'Joe': 0.7258542658872063, 'Fal': 0.04568173649582364}",Joe,False
21,"You don't like expensive restaurants. If I were you, between Cake Opera and Mövenpick Café I would go to ->",Mövenpick Café,Cake Opera,"{'cake': 3.8198091665505e-05, 'Pizza': 8.436138253184219e-07, 'Cafe': 0.0004022732394952097, 'Cake': 0.007940524086857007, 'M': 0.9916155720312743}",M,True
22,"You don't like expensive restaurants. If I were you, between Farmacia Health Bar and Sizzlers I would go to ->",Sizzlers,Farmacia Health Bar,"{'Farm': 0.9681603060432914, 'S': 0.026594581153001295, 'Farmer': 0.0006406948932052269, 'arm': 0.0030259656962963732, 'farm': 0.0006936884621813541}",Farm,False
23,"You don't like expensive restaurants. If I were you, between Tian An Cuisine and Supermodel Pizza I would go to ->",Supermodel Pizza,Tian An Cuisine,"{'affordable': 7.227350175925055e-05, 'Tian': 0.9994793412898123, 'Super': 8.930036345904617e-05, 'Chinese': 4.9479159363711584e-05, 'Cy': 4.782715421267565e-05}",Tian,False
24,"You don't like expensive restaurants. If I were you, between Nook and McDonald's I would go to ->",McDonald's,Nook,"{'McDonald': 0.949975573332211, 'McD': 1.858371311164319e-05, 'Starbucks': 5.6210724042879e-05, 'N': 0.04990895666734111, 'c': 6.290638387208145e-06}",McDonald,True
25,"You don't like expensive restaurants. If I were you, between Ardor Bistro and Chick Fiesta I would go to ->",Chick Fiesta,Ardor Bistro,"{'Chicken': 7.759108666009189e-05, 'chick': 0.00016273067895845308, 'Chand': 1.0984372248560297e-05, 'Chick': 0.9996775279852806, 'Ch': 2.3532243815422365e-05}",Chick,True
26,"You don't like expensive restaurants. If I were you, between Verona Restaurant and Sheriff Broaster Chicken I would go to ->",Sheriff Broaster Chicken,Verona Restaurant,"{'Sheriff': 0.6152682237970659, 'sheriff': 0.0013996543019934324, 'Bro': 0.01893230418171641, 'Ver': 0.35547544637013073, 'Peter': 0.0017551797599283953}",Sheriff,True
27,"You don't like expensive restaurants. If I were you, between Grappa Ristorante and Pisco 1641 I would go to ->",Pisco 1641,Grappa Ristorante,"{'Pizza': 1.4591775133212744e-10, 'P': 1.0, '': 6.605851432584084e-09, 'Peter': 1.5724986277646865e-09, 'Gra': 1.4213411958086717e-10}",P,True
