,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Chicago and Mandalay, the city with a smaller population is ->",Mandalay,Chicago,"{'Pir': 2.3087262487155188e-05, 'Mand': 5.100065919149743e-05, 'Mon': 1.5217065951021078e-05, 'M': 0.00011977494911900241, 'Mandal': 0.999668586489594}",Mandal,True
1,"Between Moscow and Minneapolis, the city with a smaller population is ->",Minneapolis,Moscow,"{'Min': 0.00017157792866776494, 'Minneapolis': 0.9964018173297502, 'MN': 0.00015769654072999737, 'M': 0.0005356996009450901, 'Minnesota': 0.002270479355405199}",Minneapolis,True
2,"Between Manila and Hamilton, the city with a smaller population is ->",Hamilton,Manila,"{'Hamilton': 0.9999995722265915, 'Havana': 6.526748175531644e-09, 'McMaster': 3.127039605196326e-08, 'amilton': 3.6486661080730027e-07, '0': 6.582797697385141e-09}",Hamilton,True
3,"Between Kabul and Yinchuan, the city with a smaller population is ->",Yinchuan,Kabul,"{'y': 1.419532451607828e-06, 'W': 6.431472167316896e-05, 'N': 3.3367309091469708e-06, '': 2.425002506420254e-06, 'Y': 0.9999231586424484}",Y,True
4,"Between Riyadh and Goiânia, the city with a smaller population is ->",Goiânia,Riyadh,"{'GO': 5.8693650830741556e-05, 'Go': 0.9995720275463481, 'Gu': 7.411505262111262e-06, 'G': 0.00024175650887538365, 'o': 9.554855599032356e-05}",Go,True
5,"Between Lahore and Belgrade, the city with a smaller population is ->",Belgrade,Lahore,"{'Bl': 6.636254021851262e-07, 'el': 2.24177857602551e-06, 'Lah': 1.646759578236533e-05, 'B': 5.187420971122284e-07, 'Bel': 0.9999775160487678}",Bel,True
6,"Between Jakarta and Ushuaia, the city with a smaller population is ->",Ushuaia,Jakarta,"{'N': 8.762547305339261e-07, 'O': 1.4449338731109379e-06, 'U': 0.9999512910663186, '': 3.6345832856223276e-05, '0': 1.6941168252062808e-06}",U,True
7,"Between Bogotá and Piura, the city with a smaller population is ->",Piura,Bogotá,"{'Pir': 5.8902913696432316e-05, 'Pi': 0.9988029463410127, 'PI': 4.6927345158547814e-05, 'P': 9.723041343671455e-05, 'i': 0.0009732237921646583}",Pi,True
8,"Between Shanghai and Tauranga, the city with a smaller population is ->",Tauranga,Shanghai,"{'Tai': 2.7518976932229446e-08, 'Tam': 2.6392208577331505e-08, 'T': 0.9999996923682474, 'W': 1.5382380698712844e-07, '': 8.632013086091986e-08}",T,True
9,"Between Bangkok and Minneapolis, the city with a smaller population is ->",Minneapolis,Bangkok,"{'Minneapolis': 0.9946478202260688, 'Winnipeg': 0.0007521222355123, 'M': 0.0025672910554972762, 'Timberwolves': 0.0003017146061933897, 'Minnesota': 0.0007578637028753673}",Minneapolis,True
10,"Between Berlin and Garoua, the city with a smaller population is ->",Garoua,Berlin,"{'ar': 0.0007336261437851937, 'G': 1.756208923321356e-05, 'gar': 2.0574584623771418e-05, 'Bat': 2.4561855521094815e-06, 'Gar': 0.9992176771042518}",Gar,True
11,"Between Johannesburg and Suwałki, the city with a smaller population is ->",Suwałki,Johannesburg,"{'SU': 4.0931160809842994e-06, 'Su': 0.999673355160046, 'u': 0.00031222483646131015, 'Suk': 1.0711186374904754e-06}",Su,True
12,"Between Ankara and Toliara, the city with a smaller population is ->",Toliara,Ankara,"{'Tam': 8.42431985794503e-08, 'T': 0.9999998115819777, 'R': 4.4923315221484255e-09, 'Ant': 6.987304342014904e-09, '': 7.215408032244268e-08}",T,True
13,"Between Johannesburg and Kampala, the city with a smaller population is ->",Kampala,Johannesburg,"{'Kum': 0.0013384072384771315, 'Johannes': 0.00018604983314515883, 'amp': 0.0003937692421760275, 'Kamp': 0.9722278406783003, 'K': 0.02534908105241086}",Kamp,True
14,"Between Baghdad and Gabès, the city with a smaller population is ->",Gabès,Baghdad,"{'Gab': 0.9962693761328423, 'B': 7.140541101217761e-06, 'G': 0.003205159576465973, 'Libre': 1.564544871823022e-05, 'ab': 0.00046159484985154007}",Gab,True
15,"Between Nairobi and Lake Havasu City, the city with a smaller population is ->",Lake Havasu City,Nairobi,"{'lake': 5.205389155458668e-05, 'Hav': 0.03763576815684268, 'Lakes': 4.775102620806938e-05, 'ake': 0.002650685481949973, 'Lake': 0.9595120970054966}",Lake,True
16,"Between Saint Petersburg and Algiers, the city with a smaller population is ->",Algiers,Saint Petersburg,"{'l': 0.0007797111713477362, 'Alger': 0.0007467376047010957, 'St': 0.0010286150429976882, 'Saint': 0.0011233589717838221, 'Al': 0.9961631581598369}",Al,True
17,"Between Cairo and Makurdi, the city with a smaller population is ->",Makurdi,Cairo,"{'Pir': 4.399872885986224e-07, 'Dak': 9.449469959192991e-07, 'Mar': 1.0237932049830444e-06, 'Mak': 0.9999835974555232, 'M': 1.1187628370175896e-05}",Mak,True
