{'statement': "You don't like cheap restaurants. Between Branca and Piper's Pub And Grill, you should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between The Duke of Devon and Sweet Jesus, you should go to The Duke of Devon.", 'answer': 'The Duke of Devon', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and The Empire, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Eastern legend and Hawthorne Food and Drink, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Solero Mediterranean Bakery and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Sichuan Landscape Chinese Restaurant and New Bilan Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Watson's and St. Clair Shawarma and Falafel, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Milo's Pita and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Eastern legend and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Pisco 1641 and Villa Madina, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between KFC and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Falafel House'}
