,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Manila and Mexicali, this person should visit ->",Mexicali,Manila,"{'Man': 0.0027019487690637233, 'Med': 0.001641008971165057, 'San': 0.0014910107996496192, 'M': 0.002614754676039779, 'Mex': 0.9835105826674339}",Mex,True
1,"Someone is looking for a small city to visit. Between Buenos Aires and Zürich, this person should visit ->",Zürich,Buenos Aires,"{'Z': 0.9995075962705274, 'Zur': 8.675175515514997e-06, 'R': 1.2276864521174447e-05, 'Zurich': 0.00038446788367901494, '': 5.462466703697766e-05}",Z,True
2,"Someone is looking for a small city to visit. Between Saint Petersburg and Barranquilla, this person should visit ->",Barranquilla,Saint Petersburg,"{'ar': 0.00042084805664825687, 'Bar': 0.9973807130339134, 'B': 0.0002894468124318456, 'St': 0.00038057674723105013, 'Saint': 0.0002079042335316574}",Bar,True
3,"Someone is looking for a small city to visit. Between Luanda and Bratislava, this person should visit ->",Bratislava,Luanda,"{'Bl': 1.5467402485907744e-07, 'Br': 0.99999813984753, 'Slov': 2.906628013214452e-07, 'B': 2.9615970032213303e-07, 'Lu': 6.135942241449532e-07}",Br,True
4,"Someone is looking for a small city to visit. Between Los Angeles and Nairobi, this person should visit ->",Nairobi,Los Angeles,"{'os': 7.182745208178033e-07, 'San': 9.573967065381787e-07, 'N': 0.9993380190061637, 'Los': 0.0006591331469102514, 'LA': 1.6718831919669613e-07}",N,True
5,"Someone is looking for a small city to visit. Between Ürümqi and Garissa, this person should visit ->",Garissa,Ürümqi,"{'ar': 0.0005197501201798062, 'G': 2.9635695325996816e-05, 'gar': 2.5970792935666353e-05, '0': 1.862635583198478e-05, 'Gar': 0.9993556616151906}",Gar,True
6,"Someone is looking for a small city to visit. Between Ho Chi Minh City and Santiago, this person should visit ->",Santiago,Ho Chi Minh City,"{'Sant': 0.000523394382832373, 'San': 0.0021830659306830784, 'Santiago': 0.9702620949529471, 'Conce': 0.02495567569223889, 'Ho': 0.000446331771589493}",Santiago,True
7,"Someone is looking for a small city to visit. Between San Diego and Gabès, this person should visit ->",Gabès,San Diego,"{'Gab': 0.9946851928307141, 'Gabriel': 2.2164979824700457e-05, 'San': 0.004098263219573024, 'G': 0.0009313870791648828, 'ab': 0.0002279833404229152}",Gab,True
8,"Someone is looking for a small city to visit. Between Lahore and Mandalay, this person should visit ->",Mandalay,Lahore,"{'Pir': 0.0008939243554154011, 'Lah': 0.002498394383591634, 'M': 0.005358817199425464, 'Mandal': 0.9878654220618883, 'Hon': 0.00038922565210364906}",Mandal,True
9,"Someone is looking for a small city to visit. Between Baghdad and Fairbanks, this person should visit ->",Fairbanks,Baghdad,"{'air': 0.0008887247392816106, 'Conce': 7.253213107752196e-06, '0': 1.785530312544148e-05, 'Fair': 0.9989392653771182, 'Ash': 1.1885076743500674e-05}",Fair,True
10,"Someone is looking for a small city to visit. Between Mexico City and Bangkok, this person should visit ->",Bangkok,Mexico City,"{'Gu': 0.06851728018863755, 'Mon': 0.028720894205437084, 'exico': 0.036829294657935954, 'Mexico': 0.6363564096957068, 'Ch': 0.03384969127667527}",Mexico,False
11,"Someone is looking for a small city to visit. Between Mumbai and Mexicali, this person should visit ->",Mexicali,Mumbai,"{'Gu': 0.0008323682557367593, 'ex': 0.0010376659155942331, 'Mon': 0.0003863230196430581, 'M': 0.0017136451681280995, 'Mex': 0.9935187876503692}",Mex,True
12,"Someone is looking for a small city to visit. Between Ankara and Kuopio, this person should visit ->",Kuopio,Ankara,"{'Ku': 0.9919044737074132, 'Kum': 0.0001206038922675539, 'u': 0.003653094362479069, 'K': 0.0037385090379255335, '0': 7.923091455614812e-05}",Ku,True
13,"Someone is looking for a small city to visit. Between Brasília and Garoua, this person should visit ->",Garoua,Brasília,"{'ar': 0.0005381253674223392, 'Bras': 0.0001726196394270189, 'G': 0.00015493296786070053, 'Bat': 4.294187933228037e-05, 'Gar': 0.9987975826837123}",Gar,True
14,"Someone is looking for a small city to visit. Between Lima and Ankara, this person should visit ->",Ankara,Lima,"{'Salt': 0.0013758158202395508, 'C': 0.0009528856986126152, 'Ant': 0.0021788937175519166, 'Lima': 0.9804662226958057, 'Conce': 0.010544828803856683}",Lima,False
15,"Someone is looking for a small city to visit. Between Johannesburg and Paramaribo, this person should visit ->",Paramaribo,Johannesburg,"{'Mar': 0.00014371548664759794, 'Gu': 0.00018521004473369583, 'aram': 0.00265518857618193, 'Param': 0.9948975648726304, 'Johannes': 0.0003325524386758564}",Param,True
16,"Someone is looking for a small city to visit. Between Douala and Ljubljana, this person should visit ->",Ljubljana,Douala,"{'Jos': 3.904619990446098e-05, 'L': 0.9895491981136806, '': 2.249318912801474e-05, 'Dun': 1.7037547039607843e-05, 'Dou': 0.01020052897237329}",L,True
17,"Someone is looking for a small city to visit. Between Alexandria and Malabo, this person should visit ->",Malabo,Alexandria,"{'al': 0.0013120322604564503, 'Alexandria': 0.002282178065798349, 'M': 0.0021337634082190656, 'Ant': 0.0017176091228843571, 'Mal': 0.9889948150420627}",Mal,True
18,"Someone is looking for a small city to visit. Between Ho Chi Minh City and Anchorage, this person should visit ->",Anchorage,Ho Chi Minh City,"{'Alaska': 0.0010164755279512393, 'Ant': 8.086058977490919e-05, 'N': 0.00011874728244322661, 'Anchorage': 0.9978491498003734, 'Ash': 7.595420234791796e-05}",Anchorage,True
19,"Someone is looking for a small city to visit. Between San Diego and Tucson, this person should visit ->",Tucson,San Diego,"{'an': 1.1216934563524504e-06, 'San': 0.9996407500857096, 'Tuc': 2.548575691982706e-07, 'Tucson': 0.00035710132247368737, 'SAN': 1.7151742019805422e-07}",San,False
20,"Someone is looking for a small city to visit. Between Paris and Berlin, this person should visit ->",Berlin,Paris,"{'Berlin': 0.987805159170003, 'City': 9.649176336372496e-06, 'aris': 1.004011489541235e-05, 'smaller': 2.039430220098457e-05, 'Paris': 0.012082187722701173}",Berlin,True
21,"Someone is looking for a small city to visit. Between Toronto and Panama City, this person should visit ->",Panama City,Toronto,"{'Panama': 0.9870317271794481, 'a': 0.0009022553363205122, 'PAN': 0.0015298478392408315, 'smaller': 0.0007718507157649507, 'Pan': 0.0025424604136888426}",Panama,True
22,"Someone is looking for a small city to visit. Between Paris and Milwaukee, this person should visit ->",Milwaukee,Paris,"{'Milwaukee': 0.999205399802071, 'Warsaw': 0.0006009683422146882, 'M': 3.041687514837871e-05, 'W': 3.61720802688693e-05, 'Miller': 2.3906384519352226e-05}",Milwaukee,True
23,"Someone is looking for a small city to visit. Between Jakarta and Ushuaia, this person should visit ->",Ushuaia,Jakarta,"{'San': 3.2386852647582596e-05, 'is': 1.3218264639117e-05, 'Conce': 2.8811239112128574e-05, 'U': 0.9998387576709419, '': 3.92518885095636e-05}",U,True
24,"Someone is looking for a small city to visit. Between London and Tirana, this person should visit ->",Tirana,London,"{'Pir': 1.7731089327042355e-05, 'T': 0.0011320665626525937, 'Tir': 0.9987571706528917, 'Albania': 1.0469424512183285e-05, 'smaller': 1.0146720582532605e-05}",Tir,True
25,"Someone is looking for a small city to visit. Between Brasília and Kathmandu, this person should visit ->",Kathmandu,Brasília,"{'Br': 0.00029229061318382523, 'Kath': 0.9920695170313676, 'Bras': 0.006525291189668538, 'smaller': 0.00014013504403960136, 'K': 0.00042458429378244573}",Kath,True
26,"Someone is looking for a small city to visit. Between Lahore and Hobart, this person should visit ->",Hobart,Lahore,"{'Hamilton': 2.0902830030551636e-05, 'Hob': 0.9998032332711125, 'hob': 3.7939491359183556e-05, 'Hobbit': 1.1894707555615267e-05, 'Tasmania': 5.4179009669481894e-05}",Hob,True
27,"Someone is looking for a small city to visit. Between Jakarta and Kano, this person should visit ->",Kano,Jakarta,"{'Kum': 2.8324264410217763e-08, 'Jos': 4.95478979438329e-08, 'B': 4.200513349754601e-08, 'K': 0.9999995722265915, 'Jay': 1.2309425182657418e-07}",K,True
28,"Someone is looking for a small city to visit. Between Algiers and Dublin, this person should visit ->",Dublin,Algiers,"{'Dublin': 0.014203895798436218, 'Edinburgh': 9.942897378551072e-05, 'l': 0.0005403294023668203, 'Acc': 0.0001382564865050873, 'Al': 0.983987357580221}",Al,False
29,"Someone is looking for a small city to visit. Between Houston and Punta Arenas, this person should visit ->",Punta Arenas,Houston,"{'C': 3.847584893051555e-07, 'P': 0.9999964709302271, 'R': 2.0586504586500762e-07, 'O': 3.2106122497310134e-07, '': 1.5561060173273195e-06}",P,True
30,"Someone is looking for a small city to visit. Between Jakarta and Monterrey, this person should visit ->",Monterrey,Jakarta,"{'Monte': 4.759504460867508e-06, 'Mon': 0.999992775475097, 'San': 5.13601584237934e-07, 'M': 4.983316588313639e-07, 'on': 2.746775425023035e-07}",Mon,True
31,"Someone is looking for a small city to visit. Between Los Angeles and Nouakchott, this person should visit ->",Nouakchott,Los Angeles,"{'N': 0.0069973064278586695, 'Ou': 0.015678185365470092, 'Nou': 0.9681229958003528, 'Los': 0.005693164695254327, 'New': 0.0018123535037848765}",Nou,True
32,"Someone is looking for a small city to visit. Between Cairo and Pittsburgh, this person should visit ->",Pittsburgh,Cairo,"{'Pitt': 0.019192006783312714, 'Pittsburgh': 0.9751473180130986, 'Cairo': 0.0001203227310258074, 'itt': 0.005042635585248122, 'PIT': 0.00013745554530572983}",Pittsburgh,True
33,"Someone is looking for a small city to visit. Between Ankara and Neuquén, this person should visit ->",Neuquén,Ankara,"{'Ni': 0.003194406395882837, 'Ne': 0.9903331800175038, 'Ant': 0.0001241372189200966, 'N': 0.00507341813590817, 'e': 0.000839000966106596}",Ne,True
34,"Someone is looking for a small city to visit. Between Kuwait City and La Ceiba, this person should visit ->",La Ceiba,Kuwait City,"{'a': 0.00023819878543155696, 'Ce': 0.01182067691537174, 'C': 0.00019419572805617595, 'Conce': 6.139163315072454e-05, 'La': 0.9875745498869007}",La,True
35,"Someone is looking for a small city to visit. Between Bogotá and Harare, this person should visit ->",Harare,Bogotá,"{'Har': 0.9190154454194999, 'Bog': 0.08031890950587264, 'B': 0.00013107603281027565, 'smaller': 0.00011119835159985225, 'Bat': 4.304467621045857e-05}",Har,True
36,"Someone is looking for a small city to visit. Between Lahore and Cabo San Lucas, this person should visit ->",Cabo San Lucas,Lahore,"{'Sant': 0.00016721218218662147, 'Cab': 0.9654577285485396, 'cab': 6.005186214564069e-05, 'San': 0.03351821019268916, 'C': 0.0005491325536333247}",Cab,True
37,"Someone is looking for a small city to visit. Between Hanoi and Surabaya, this person should visit ->",Surabaya,Hanoi,"{'ur': 0.0035670890783956544, 'H': 0.08879955857487751, 'SUR': 0.0005790384934260654, 'Sur': 0.9036158803568012, 'Hon': 0.0010761719770950645}",Sur,True
38,"Someone is looking for a small city to visit. Between Ankara and Tauranga, this person should visit ->",Tauranga,Ankara,"{'Tam': 3.4325404773026784e-07, 'T': 0.999997903306798, 'R': 2.81343357705144e-07, 'N': 3.28619266824204e-07, '': 1.4445439279622767e-07}",T,True
39,"Someone is looking for a small city to visit. Between Manila and Willemstad, this person should visit ->",Willemstad,Manila,"{'Man': 7.625618736487803e-05, 'il': 0.0013065502659461471, 'Vil': 6.587964771784233e-05, 'W': 0.06959425904705085, 'Wil': 0.9284386914880144}",Wil,True
40,"Someone is looking for a small city to visit. Between Santiago and Zürich, this person should visit ->",Zürich,Santiago,"{'Z': 0.9111063943612423, 'San': 4.3937912504470954e-05, 'Santiago': 0.08859813245316235, 'Conce': 3.6303550919639716e-05, '': 6.904873488501427e-05}",Z,True
41,"Someone is looking for a small city to visit. Between Kunming and El Paso, this person should visit ->",El Paso,Kunming,"{'Kum': 0.00032863922152640386, 'Kun': 0.23821863322367035, 'El': 0.7594665500373468, 'un': 0.00017530556867474797, 'l': 0.000594802583447008}",El,True
42,"Someone is looking for a small city to visit. Between Buenos Aires and San Salvador, this person should visit ->",San Salvador,Buenos Aires,"{'an': 7.577767649668701e-07, 'Salvador': 5.767683679911913e-06, 'San': 0.9999928937497495, 'SAN': 1.0230410885857083e-07, 'Ant': 1.0537135626129489e-07}",San,True
43,"Someone is looking for a small city to visit. Between Guangzhou and Tripoli, this person should visit ->",Tripoli,Guangzhou,"{'Gu': 0.0015388221390074004, 'T': 0.0001698591489376962, 'G': 0.0002257105797415311, 'Gaddafi': 0.00029710394417595634, 'Tripoli': 0.996134012246844}",Tripoli,True
44,"Someone is looking for a small city to visit. Between Baghdad and San Antonio, this person should visit ->",San Antonio,Baghdad,"{'an': 2.497575973651356e-07, 'San': 0.9999989771165232, 'S': 2.2106125541736465e-07, 'B': 1.2823914446830306e-07, 'SAN': 9.682302590802672e-08}",San,True
45,"Someone is looking for a small city to visit. Between Berlin and Kingston, this person should visit ->",Kingston,Berlin,"{'Berlin': 0.06863671385646346, 'Kum': 0.005289063927991423, 'Georgetown': 0.007041087121966233, 'Kingston': 0.8808325228841126, 'K': 0.006600918981641798}",Kingston,True
46,"Someone is looking for a small city to visit. Between Ürümqi and Toluca, this person should visit ->",Toluca,Ürümqi,"{'Tol': 0.9994510279403318, 'T': 0.0003618184468443662, 'smaller': 1.7335467684279775e-05, 'Ü': 4.1613122322217964e-05, 'Teg': 3.189663626409304e-05}",Tol,True
47,"Someone is looking for a small city to visit. Between Jakarta and Phoenix, this person should visit ->",Phoenix,Jakarta,"{'Salt': 2.144493652279596e-05, 'Mar': 6.0964672554940845e-05, 'City': 4.936262495399691e-05, 'hoenix': 0.0011994351995840019, 'Phoenix': 0.9985107056012184}",Phoenix,True
48,"Someone is looking for a small city to visit. Between Shanghai and Wau, this person should visit ->",Wau,Shanghai,"{'M': 1.3376637884681103e-07, 'W': 0.9999996923682474, 'Wichita': 2.78671572782504e-08, 'smaller': 9.338567211059545e-09, '': 6.2939681858625e-08}",W,True
49,"Someone is looking for a small city to visit. Between Toronto and Bata, this person should visit ->",Bata,Toronto,"{'T': 6.185240175028725e-09, '': 1.3186753947656181e-08, 'B': 0.9999943242451071, 'Bat': 5.6925685324685084e-06, 'Toronto': 1.2052822163397451e-08}",B,True
50,"Someone is looking for a small city to visit. Between Ankara and Kuwait City, this person should visit ->",Kuwait City,Ankara,"{'Kuwait': 0.4147633592759785, 'Ankara': 0.2077248316246418, 'Ant': 0.12414324233044308, 'Wichita': 0.09920837925124841, 'K': 0.0194172506356676}",Kuwait,True
51,"Someone is looking for a small city to visit. Between Guadalajara and Dublin, this person should visit ->",Dublin,Guadalajara,"{'Dublin': 0.12859067261744503, 'Gu': 0.8712209416026716, 'G': 2.800893476332643e-05, 'Dun': 4.7414854134073606e-05, 'Ireland': 2.3692689910412947e-05}",Gu,False
52,"Someone is looking for a small city to visit. Between Los Angeles and Cape Town, this person should visit ->",Cape Town,Los Angeles,"{'Cape': 0.9963940110502916, 'San': 0.00021181188756558842, 'C': 0.002616092465166975, 'cape': 0.00021392095079322127, 'Cap': 0.00012999793399254706}",Cape,True
53,"Someone is looking for a small city to visit. Between Yaoundé and Saskatoon, this person should visit ->",Saskatoon,Yaoundé,"{'Winnipeg': 9.761816158917576e-05, 'Sask': 0.9937225145604928, 'Ya': 0.002712042331677989, 'S': 0.00019792289941467068, 'Saskatchewan': 0.0029437959234456202}",Sask,True
