,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. If I were you, between Moscow and Dublin I would visit ->",Dublin,Moscow,"{'Tokyo': 0.03227703152503409, 'Madrid': 0.0464561324421747, 'Dublin': 0.513175411247779, 'D': 0.027196195140646355, 'Moscow': 0.18410822774965635}",Dublin,True
1,"You don't like big cities. If I were you, between Riyadh and Palmerston North I would visit ->",Palmerston North,Riyadh,"{'Man': 0.005543140841351274, 'Palmer': 0.9404099441395519, 'R': 0.009590441055074323, 'Dun': 0.00477265559732037, 'New': 0.020467954725638293}",Palmer,True
2,"You don't like big cities. If I were you, between Lahore and La Paz I would visit ->",La Paz,Lahore,"{'city': 0.01549746990990034, 'Gu': 0.008778295715752848, 'Lah': 0.33391293287611784, 'La': 0.5139594179749915, 'Kh': 0.007355003125351516}",La,False
3,"You don't like big cities. If I were you, between Lahore and Tashkent I would visit ->",Tashkent,Lahore,"{'Tehran': 0.0011548751916785056, 'Lah': 0.013312471185291245, 'T': 0.974783314716462, 'Kuala': 0.0010122744998358744, 'Kh': 0.0024859666527551963}",T,True
4,"You don't like big cities. If I were you, between Beijing and Hobart I would visit ->",Hobart,Beijing,"{'Beijing': 0.16076839340243207, 'Tokyo': 0.03361108015016501, 'Hob': 0.46827894233024964, 'city': 0.02820221945660917, 'New': 0.0189661171442515}",Hob,True
5,"You don't like big cities. If I were you, between Alexandria and Tampa I would visit ->",Tampa,Alexandria,"{'Tampa': 0.6639624382542402, 'Tall': 0.023973450263237342, 'Alexandria': 0.017721848891477453, 'T': 0.23149129702662205, 'St': 0.01370423321611262}",Tampa,True
6,"You don't like big cities. If I were you, between Luanda and Tripoli I would visit ->",Tripoli,Luanda,"{'city': 0.009534166104697012, 'Tripoli': 0.6158660440835475, 'Kh': 0.03385839176529827, 'Lu': 0.17313692907673162, 'New': 0.009008251395031797}",Tripoli,True
7,"You don't like big cities. If I were you, between Mexico City and Cayenne I would visit ->",Cayenne,Mexico City,"{'city': 0.0627594446465792, 'Gu': 0.07628756721782498, 'C': 0.027196709153591927, 'M': 0.0541828793276851, 'Mexico': 0.6120563901172775}",Mexico,False
8,"You don't like big cities. If I were you, between Lahore and Conakry I would visit ->",Conakry,Lahore,"{'Delhi': 0.020936148934089606, 'Singapore': 0.020702402968777907, 'Lah': 0.6469204914850801, 'Kuala': 0.020336780196150383, 'Kh': 0.04740715558337951}",Lah,False
9,"You don't like big cities. If I were you, between Sydney and La Ceiba I would visit ->",La Ceiba,Sydney,"{'Tokyo': 0.0018390383129480456, 'Sydney': 0.9510312469846757, 'city': 0.0028801266791086927, 'S': 0.02241377172246893, 'New': 0.009525191054074346}",Sydney,False
10,"You don't like big cities. If I were you, between Mexico City and Conakry I would visit ->",Conakry,Mexico City,"{'Madrid': 0.03947613369250511, 'city': 0.031005827757124415, 'Gu': 0.08198729358543753, 'Mon': 0.04988679203191945, 'Mexico': 0.5845032720810818}",Mexico,False
