{'statement': 'Between Tampa and Anchorage, the city with warmer weather is Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Between Auckland and Bamako, the city with warmer weather is Bamako.', 'answer': 'Bamako', 'candidate': 'Auckland'}
{'statement': 'Between Luanda and Suwałki, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'Between Sucre and Pontianak, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Sucre'}
{'statement': 'Between Bergen and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'Between Barranquilla and Frankfurt, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Frankfurt'}
{'statement': 'Between Pontianak and Lyon, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lyon'}
{'statement': 'Between Port Sudan and Vladivostok, the city with warmer weather is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Vladivostok'}
{'statement': 'Between Kansas City and Managua, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Kansas City'}
{'statement': 'Between Managua and Belgrade, the city with warmer weather is Managua.', 'answer': 'Managua', 'candidate': 'Belgrade'}
{'statement': 'Between Hanoi and Reykjavík, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Reykjavík'}
{'statement': 'Between Maputo and Ushuaia, the city with warmer weather is Maputo.', 'answer': 'Maputo', 'candidate': 'Ushuaia'}
{'statement': 'Between Suva and Bogotá, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Bogotá'}
{'statement': 'Between Mendoza and Ottawa, the city with warmer weather is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Ottawa'}
{'statement': 'Between Paris and Ulaanbaatar, the city with warmer weather is Paris.', 'answer': 'Paris', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between London and Makurdi, the city with warmer weather is Makurdi.', 'answer': 'Makurdi', 'candidate': 'London'}
{'statement': 'Between Bishkek and Irkutsk, the city with warmer weather is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Irkutsk'}
{'statement': 'Between Mexico City and Panama City, the city with warmer weather is Panama City.', 'answer': 'Panama City', 'candidate': 'Mexico City'}
{'statement': 'Between Port Moresby and Addis Ababa, the city with warmer weather is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Addis Ababa'}
{'statement': 'Between Harare and Djibouti, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Harare'}
{'statement': 'Between Riyadh and Oslo, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': 'Between Sapporo and Medellín, the city with warmer weather is Medellín.', 'answer': 'Medellín', 'candidate': 'Sapporo'}
{'statement': 'Between Antsiranana and Milan, the city with warmer weather is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Milan'}
{'statement': 'Between Saint Petersburg and Djibouti, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Bangkok and Asmara, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Asmara'}
{'statement': 'Between Pittsburgh and Entebbe, the city with warmer weather is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Pittsburgh'}
{'statement': 'Between Reykjavík and Buenos Aires, the city with warmer weather is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Between Curitiba and Willemstad, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Curitiba'}
{'statement': 'Between Changsha and Anchorage, the city with warmer weather is Changsha.', 'answer': 'Changsha', 'candidate': 'Anchorage'}
{'statement': 'Between Vladivostok and Auckland, the city with warmer weather is Auckland.', 'answer': 'Auckland', 'candidate': 'Vladivostok'}
{'statement': 'Between Bratislava and Manaus, the city with warmer weather is Manaus.', 'answer': 'Manaus', 'candidate': 'Bratislava'}
{'statement': 'Between Toluca and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Toluca'}
{'statement': 'Between San Juan and Shanghai, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Shanghai'}
{'statement': 'Between Paramaribo and Napier, the city with warmer weather is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Napier'}
{'statement': 'Between Dodoma and Sapporo, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Sapporo'}
{'statement': 'Between Ségou and La Serena, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'La Serena'}
{'statement': 'Between Anchorage and Conakry, the city with warmer weather is Conakry.', 'answer': 'Conakry', 'candidate': 'Anchorage'}
{'statement': 'Between Phnom Penh and Baku, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Baku'}
{'statement': 'Between Djibouti and Dublin, the city with warmer weather is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Dublin'}
{'statement': 'Between Vladivostok and Mendoza, the city with warmer weather is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Vladivostok'}
{'statement': 'Between Suva and Santiago, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Santiago'}
{'statement': 'Between Denpasar and Canberra, the city with warmer weather is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Canberra'}
{'statement': 'Between Yinchuan and Manila, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Yinchuan'}
{'statement': 'Between La Ceiba and Lyon, the city with warmer weather is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lyon'}
{'statement': 'Between Ottawa and Mombasa, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ottawa'}
{'statement': 'Between Rome and Erzurum, the city with warmer weather is Rome.', 'answer': 'Rome', 'candidate': 'Erzurum'}
{'statement': 'Between San José and Omaha, the city with warmer weather is San José.', 'answer': 'San José', 'candidate': 'Omaha'}
{'statement': 'Between Ouahigouya and Yakutsk, the city with warmer weather is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Yakutsk'}
{'statement': 'Between Hanoi and Ürümqi, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ürümqi'}
{'statement': 'Between Cotonou and Kuopio, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Kuopio'}
