,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. If I were you, between Popeyes Louisiana Kitchen and Adega Restaurante I would go to ->",Popeyes Louisiana Kitchen,Adega Restaurante,"{'Ad': 2.1553270275594706e-05, 'op': 7.185000944305435e-07, 'Pizza': 4.2655181010788364e-07, 'd': 2.5108281801146083e-07, 'Pop': 0.9999758481046617}",Pop,True
1,"You don't like expensive restaurants. If I were you, between La Pupusa Loka and Pizza Pizza I would go to ->",Pizza Pizza,La Pupusa Loka,"{'pizza': 2.218642991626325e-08, 'Pizza': 0.9999998115819777, 'Starbucks': 8.568269928818535e-09, 'P': 1.7310387311502115e-07, 'La': 1.6356834740666416e-08}",Pizza,True
2,"You don't like expensive restaurants. If I were you, between Tim Hortons and Harry's Char Broil & Dining Lounge I would go to ->",Tim Hortons,Harry's Char Broil & Dining Lounge,"{'im': 3.005681902792005e-05, 'tim': 5.3323362606725154e-05, 'Tim': 0.9443729997734971, 'Harry': 0.0004555261196947317}",Tim,True
3,"You don't like expensive restaurants. If I were you, between Pizzeria Via Mercanti and Verona Restaurant I would go to ->",Pizzeria Via Mercanti,Verona Restaurant,"{'er': 5.811800763766858e-05, 'Pizza': 1.8549793389486064e-06, 'P': 0.9982119046507318, 'Ver': 0.0017246916467236638, 'V': 1.7106947216230476e-06}",P,True
4,"You don't like expensive restaurants. If I were you, between Nutella Cafe by Pusateri's and La Cocina De Dona Luz I would go to ->",La Cocina De Dona Luz,Nutella Cafe by Pusateri's,"{'Le': 0.0025879014051430616, 'Nut': 0.6640745112921463, 'a': 0.00510553721396523, 'La': 0.31871882219979547, 'ut': 0.0059395239019899735}",Nut,False
5,"You don't like expensive restaurants. If I were you, between Eggspectation and Edible Arrangements I would go to ->",Eggspectation,Edible Arrangements,"{'Egg': 0.4692679273420988, 'Ed': 0.5282324003164046, 'gg': 1.0297009960186459e-05, 'Eggs': 3.9374663771163074e-05, 'd': 0.0024377616920841496}",Ed,False
6,"You don't like expensive restaurants. If I were you, between Branca and Mysteriously Yours Dinner Theatre I would go to ->",Branca,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9178215603126804, 'Br': 0.08108692918192796, 'My': 0.0002779548131808585, 'myster': 0.00018886048312892703, 'r': 0.0003292181358514596}",Myster,False
7,"You don't like expensive restaurants. If I were you, between El Fogón and Helena's Magic Kitchen I would go to ->",Helena's Magic Kitchen,El Fogón,"{'el': 0.0002335746106974277, 'EL': 7.504849900636461e-05, 'El': 0.9567007063299721, 'Helena': 0.015792786402607447, 'l': 0.027060223414763024}",El,False
8,"You don't like expensive restaurants. If I were you, between Villa Madina and Ardor Bistro I would go to ->",Villa Madina,Ardor Bistro,"{'Garden': 9.734561147720976e-06, 'Village': 1.1048023663264605e-05, 'Villa': 0.9967180229993977, 'Ard': 0.003176646177182352, 'ill': 4.781854609967077e-05}",Villa,True
9,"You don't like expensive restaurants. If I were you, between Verona Restaurant and Breakfast Room I would go to ->",Breakfast Room,Verona Restaurant,"{'breakfast': 7.135707927303173e-05, 'Morning': 2.0908077299394005e-05, 'reak': 0.00013918368811671544, 'Breakfast': 0.9996691814025436, 'The': 1.6123076326183276e-05}",Breakfast,True
10,"You don't like expensive restaurants. If I were you, between Hapa Toronto and Solero Mediterranean Bakery I would go to ->",Solero Mediterranean Bakery,Hapa Toronto,"{'P': 7.673148471983596e-11, 'H': 0.9999999317236823, 'ol': 6.4131452995741195e-09, '': 6.161318174084191e-08, 'Sol': 3.2094120037216174e-08}",H,False
11,"You don't like expensive restaurants. If I were you, between McDonald's and Phil's Original BBQ I would go to ->",McDonald's,Phil's Original BBQ,"{'McDonald': 0.938631861901423, 'hil': 0.0023794409829525883, 'Starbucks': 0.00010849548486468728, 'Phil': 0.05812830828285679, 'c': 0.0003992802526656298}",McDonald,True
12,"You don't like expensive restaurants. If I were you, between Queen Pita and Kibo Sushi House I would go to ->",Queen Pita,Kibo Sushi House,"{'Q': 0.0008870217988735738, 'ueen': 0.00019570111227629203, 'P': 0.000903804664512173, 'K': 0.8947683061781532, 'Queen': 0.10309230778556537}",K,False
13,"You don't like expensive restaurants. If I were you, between St. Louis Bar & Grill and Verona Restaurant I would go to ->",St. Louis Bar & Grill,Verona Restaurant,"{'t': 0.001362463255814588, 'er': 1.8255869613167105e-06, 'Starbucks': 1.4057886541299922e-05, 'Ver': 8.170569052901385e-06, 'St': 0.998603688151797}",St,True
14,"You don't like expensive restaurants. If I were you, between Queen Pita and Green Grotto I would go to ->",Queen Pita,Green Grotto,"{'King': 0.0018422051018144225, 'ueen': 0.0017868115579287203, 'Green': 0.012137306352158766, 'P': 0.36357917238095977, 'Queen': 0.6203640350150158}",Queen,True
15,"You don't like expensive restaurants. If I were you, between Pho 88 and Joe Badali's Ristorante Italiano & Bar I would go to ->",Pho 88,Joe Badali's Ristorante Italiano & Bar,"{'Ph': 0.9679217710521898, 'oe': 0.0023601113000937314, 'Starbucks': 4.089941435315062e-07, 'h': 1.0659053777469488e-06, 'Joe': 0.029714596180752714}",Ph,True
16,"You don't like expensive restaurants. If I were you, between Maurya East Indian Roti and Sushi World I would go to ->",Sushi World,Maurya East Indian Roti,"{'a': 1.975171964054915e-05, 'S': 0.9874189811280296, 'R': 0.011918779661223433, 'V': 6.333637679187937e-08, 'Ma': 0.0006421694167937984}",S,True
17,"You don't like expensive restaurants. If I were you, between Milo's Pita and Banjara Indian Cuisine I would go to ->",Milo's Pita,Banjara Indian Cuisine,"{'Ban': 0.00014913568929716297, 'an': 1.5855787219879754e-05, 'Milo': 0.9877417411512041, 'P': 0.012001579654291676, 'Mil': 1.6495713478345158e-05}",Milo,True
18,"You don't like expensive restaurants. If I were you, between Milestones Restaurants and Fitness Avenue I would go to ->",Fitness Avenue,Milestones Restaurants,"{'fitness': 7.915979713137959e-05, 'Pizza': 3.602080365876784e-06, 'il': 1.9663901781329946e-05, 'Fitness': 0.9958860550522426, 'Mil': 0.003996397294859378}",Fitness,True
19,"You don't like expensive restaurants. If I were you, between Verona Restaurant and Tortería San Cosme I would go to ->",Tortería San Cosme,Verona Restaurant,"{'er': 0.00033686274346437416, 'or': 0.023642626229408367, 'T': 0.02582939485860413, 'Tor': 0.9315729383185294, 'Ver': 0.017489242523657234}",Tor,True
