,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Bamako and Dublin, the city with higher average temperature is ->",Bamako,Dublin,"{'Tam': 7.820570180215514e-05, 'B': 0.00012173086191752273, 'Bam': 0.9997934582526842, 'Ou': 4.712208296721569e-07, 'Libre': 1.1774081715990954e-06}",Bam,True
1,"Between Willemstad and Baltimore, the city with higher average temperature is ->",Willemstad,Baltimore,"{'Gu': 4.0320077987066254e-05, 'il': 0.003530322685118149, 'Georgetown': 7.705038495802913e-05, 'W': 0.00015317354474524066, 'Wil': 0.9961123742596164}",Wil,True
2,"Between Willemstad and Tirana, the city with higher average temperature is ->",Willemstad,Tirana,"{'Tam': 0.008669721595074648, 'il': 0.0005455039018069759, 'W': 0.0003821337040480993, 'Tir': 0.9242811765554249, 'Wil': 0.0648359529506201}",Tir,False
3,"Between Toamasina and Indianapolis, the city with higher average temperature is ->",Toamasina,Indianapolis,"{'Tam': 0.5123979549949583, 'To': 0.48683133528699674, 'o': 4.5613355525273594e-05, 'to': 1.517312177020403e-05, 'T': 0.0006701097855317974}",Tam,True
4,"Between Pontianak and Zagreb, the city with higher average temperature is ->",Pontianak,Zagreb,"{'Phill': 2.0260831875330047e-05, 'Pap': 5.647215308818416e-06, 'Pont': 0.9941156105385262, 'pont': 6.073077419430218e-05, 'ont': 0.005742848140432986}",Pont,True
5,"Between Hat Yai and Skopje, the city with higher average temperature is ->",Hat Yai,Skopje,"{'Hat': 0.9992508789313976, 'Tam': 3.319477745459968e-05, 'Sk': 0.0001990815536211903, 'at': 0.0003715331741302002, 'Y': 6.684019077747877e-05}",Hat,True
6,"Between Lomé and Lhasa, the city with higher average temperature is ->",Lomé,Lhasa,"{'Tam': 0.0006112567954111094, 'T': 2.1844530240578288e-05, 'L': 0.9993207941647804, '': 1.2959505806262877e-05, 'Ch': 7.238489542925272e-06}",L,False
7,"Between Muscat and Punta Arenas, the city with higher average temperature is ->",Muscat,Punta Arenas,"{'us': 0.003011480080440399, 'Tam': 0.0017825982285736056, 'Dh': 0.0005263142974518685, 'Mus': 0.9929739409803414, 'Oman': 0.0011701831546360325}",Mus,True
8,"Between Garissa and Podgorica, the city with higher average temperature is ->",Garissa,Podgorica,"{'ar': 1.7775118653302754e-06, 'G': 7.013631117112021e-06, 'gar': 2.57330626868859e-06, 'Gar': 0.9935150307655286}",Gar,True
9,"Between Kathmandu and Suwałki, the city with higher average temperature is ->",Kathmandu,Suwałki,"{'Tam': 9.19484178209546e-07, 'Kath': 0.9999846721884721, 'K': 7.05794301185766e-07, 'Kh': 1.0416671567188368e-05, 'Kat': 7.162783417978561e-07}",Kath,True
10,"Between Ouahigouya and Saint Petersburg, the city with higher average temperature is ->",Ouahigouya,Saint Petersburg,"{'Tam': 8.693240276583919e-08, 'Ou': 0.9999983792026135, 'O': 9.616098787266574e-07, 'Libre': 4.2210109077448377e-07, 'OU': 1.285160548433969e-07}",Ou,True
11,"Between Hamilton and Erzurum, the city with higher average temperature is ->",Hamilton,Erzurum,"{'Tam': 3.663714967079874e-07, 'Hamilton': 0.999995041369894, 'Gu': 2.1658148200703752e-07, 'amilton': 3.628852773488826e-06, 'Er': 4.046347615744857e-07}",Hamilton,True
12,"Between Douala and Skopje, the city with higher average temperature is ->",Douala,Skopje,"{'Living': 7.214851125338811e-06, 'Gu': 1.1404061432530991e-05, 'Sk': 5.874844302425714e-06, 'ou': 0.0002984255708825493, 'Dou': 0.9996381265619929}",Dou,True
13,"Between Antofagasta and Minsk, the city with higher average temperature is ->",Antofagasta,Minsk,"{'Tam': 2.2407769333113305e-07, 'nt': 1.0933387171783107e-06, 'Gu': 4.067113975340175e-07, 'M': 0.013545464648133056, 'Ant': 0.986452070601324}",Ant,True
14,"Between Malabo and Sacramento, the city with higher average temperature is ->",Malabo,Sacramento,"{'Tam': 0.0008729031042325501, 'al': 0.0021071330489458866, 'Man': 8.906527768014917e-05, 'Gu': 0.00010657026767555245, 'Mal': 0.9964455088134486}",Mal,True
15,"Between Lusaka and Murmansk, the city with higher average temperature is ->",Lusaka,Murmansk,"{'Tam': 0.0001799598117603734, 'Living': 5.243008448471267e-05, 'L': 0.9978765681779345, '': 4.7488689075793885e-05, 'Mur': 0.0017357858997270879}",L,True
16,"Between Sydney and Fairbanks, the city with higher average temperature is ->",Sydney,Fairbanks,"{'Sydney': 0.8351424498991208, 'Adelaide': 0.00096872808450409, 'air': 0.0006240336280132762, 'Kuala': 0.0008756658408668425, 'Fair': 0.1576241621775997}",Sydney,True
17,"Between Tampa and Anchorage, the city with higher average temperature is ->",Tampa,Anchorage,"{'Tam': 0.0003895201348089333, 'Tampa': 0.9986048796864286, 'TAM': 7.50192357984485e-05, 'Tucson': 8.294755643913494e-05, 'Buccaneers': 0.0001521838086893754}",Tampa,True
18,"Between Port Sudan and Ulaanbaatar, the city with higher average temperature is ->",Port Sudan,Ulaanbaatar,"{'Tam': 3.228457487023356e-05, 'ort': 0.00027302914779467476, 'Gu': 1.9882929667756454e-05, 'Ports': 4.697770173511769e-05, 'Port': 0.9995123613543906}",Port,True
19,"Between Toamasina and Chicago, the city with higher average temperature is ->",Toamasina,Chicago,"{'Tam': 0.6028822349009171, 'To': 0.39634400711399487, 'o': 4.448101896048735e-05, 'to': 1.78740431658528e-05, 'T': 0.000654303007227669}",Tam,True
20,"Between Florianópolis and Fairbanks, the city with higher average temperature is ->",Florianópolis,Fairbanks,"{'Salvador': 0.0009099180658813668, 'lor': 0.0047871329299986705, 'Fior': 7.009010005018499e-05, 'Flor': 0.9927934605390165, 'Fair': 0.0008257652713085157}",Flor,True
21,"Between Djibouti and Pittsburgh, the city with higher average temperature is ->",Djibouti,Pittsburgh,"{'DJ': 1.8788078718118375e-05, 'Dj': 0.9891723179565974, 'Dh': 0.010369709195478645, 'D': 1.882187124907033e-05, 'dj': 0.00039477862231867487}",Dj,True
22,"Between Abéché and Kabul, the city with higher average temperature is ->",Abéché,Kabul,"{'Tam': 0.00017815581952734886, 'Col': 0.00015129756971333415, 'Ab': 0.9982696023673241, 'Libre': 8.148749378361358e-05, 'b': 0.0007630068110871006}",Ab,True
23,"Between Antsiranana and Murmansk, the city with higher average temperature is ->",Antsiranana,Murmansk,"{'Pir': 5.164553016445435e-06, 'Tam': 2.330834966172173e-06, 'nt': 2.8948319412675272e-06, 'Ant': 0.9999858605059636, 'Mur': 2.396824072677718e-06}",Ant,True
24,"Between La Ceiba and Albuquerque, the city with higher average temperature is ->",La Ceiba,Albuquerque,"{'a': 0.00015502254500142368, 'Ce': 0.017413352186447333, 'Libre': 0.0001323470392698025, 'La': 0.9816103319690382, 'la': 0.0001496795324001768}",La,True
25,"Between Fukuoka and Saskatoon, the city with higher average temperature is ->",Fukuoka,Saskatoon,"{'Singapore': 6.401427196577834e-05, 'Kum': 1.0563625655757226e-05, 'Gu': 1.7927566532476462e-05, 'Fuk': 0.9997535839854146, 'Fuj': 6.591180483162628e-05}",Fuk,True
26,"Between San Antonio and Murmansk, the city with higher average temperature is ->",San Antonio,Murmansk,"{'Sant': 1.2604559971144568e-06, 'Tam': 1.0382577395965553e-06, 'an': 8.37487002312869e-06, 'San': 0.9989721054458998, 'Mur': 0.0010141129393356548}",San,True
27,"Between Bangui and Oslo, the city with higher average temperature is ->",Bangui,Oslo,"{'Gu': 7.281952726946187e-06, 'C': 1.8992567984860398e-07, '': 1.1764655546702322e-07, 'B': 0.999988485878288, 'Libre': 3.3817744534452432e-06}",B,True
28,"Between Ouahigouya and Vladivostok, the city with higher average temperature is ->",Ouahigouya,Vladivostok,"{'Tam': 4.126723472126516e-08, 'Ou': 0.9999993338092819, 'O': 2.7125269409326397e-07, 'Libre': 1.7078984719687035e-07, 'OU': 1.686078892110136e-07}",Ou,True
29,"Between Honolulu and Toronto, the city with higher average temperature is ->",Honolulu,Toronto,"{'Hawai': 0.0353911390322, 'Hawaii': 0.01915480080492528, 'Hawaiian': 0.010686222329314734, 'Honolulu': 0.9119679199681472, 'Hon': 0.0203958261409381}",Honolulu,True
30,"Between Ho Chi Minh City and Punta Arenas, the city with higher average temperature is ->",Ho Chi Minh City,Punta Arenas,"{'Tam': 0.002265094044859132, 'Singapore': 0.0011868771083639205, 'o': 0.0011109526372182637, 'Hai': 0.0013094483988813194, 'Ho': 0.9903318093973311}",Ho,True
31,"Between Mombasa and Zagreb, the city with higher average temperature is ->",Mombasa,Zagreb,"{'Z': 1.993176421658117e-06, 'Mog': 1.8219248606779131e-06, 'M': 0.9999911075055384, '': 2.2399164318568957e-06, 'K': 1.4445336818571355e-06}",M,True
32,"Between Makurdi and Bucharest, the city with higher average temperature is ->",Makurdi,Bucharest,"{'Tam': 1.219436123397652e-06, 'Mak': 0.9999766825498559, 'Kum': 1.390788090370102e-06, 'Buch': 2.1319318872286125e-06, 'M': 9.572080289489227e-06}",Mak,True
