,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like cheap restaurants. Between Falafel Hut Village and The Duke of Devon, this person should go to ->",The Duke of Devon,Falafel Hut Village,"{'the': 1.3876820204612693e-08, 'A': 7.659125685366427e-09, 'Conv': 3.361935144169066e-08, 'The': 1.0, 'he': 7.674182989645256e-09}",The,True
1,"Someone doesn't like cheap restaurants. Between Branca and Sushi World, this person should go to ->",Branca,Sushi World,"{'Fl': 0.00019781268705668773, 'Brussels': 0.0002806528672967197, 'Br': 0.9911892818824823, 'B': 0.004999531854657559, 'r': 0.0027213851009405183}",Br,True
2,"Someone doesn't like cheap restaurants. Between Thai 4 You Restaurant and Evoo Ristorante, this person should go to ->",Evoo Ristorante,Thai 4 You Restaurant,"{'v': 0.012236267392479036, 'Conv': 0.004347492660277742, 'R': 0.00023537230991142752, 'Ev': 0.9830664715621155, 'EV': 2.0488721376065136e-05}",Ev,True
3,"Someone doesn't like cheap restaurants. Between Druxy's Famous Deli and Mövenpick Café, this person should go to ->",Mövenpick Café,Druxy's Famous Deli,"{'Z': 7.972296210055525e-06, 'M': 0.9998453140451062, 'R': 6.29038047632147e-06, 'The': 1.1587159646198904e-05, '': 8.8660773885253e-05}",M,True
4,"Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Sheriff Broaster Chicken, this person should go to ->",Nutella Cafe by Pusateri's,Sheriff Broaster Chicken,"{'Nut': 0.008175916977399495, 'Shell': 0.0002847545434038771, 'Gor': 0.00045620499455694124, 'Conv': 0.00046570154052694444, 'P': 0.9897111461428371}",P,True
5,"Someone doesn't like cheap restaurants. Between Tian An Cuisine and Falafel Hut Village, this person should go to ->",Tian An Cuisine,Falafel Hut Village,"{'Fl': 0.004423740384125429, 'Gor': 0.0024106086777176796, 'Tian': 0.9712881779657283, 'Conv': 0.003067480924440032, 'Fal': 0.01262621968214854}",Tian,True
6,"Someone doesn't like cheap restaurants. Between Dangerous Dan's Diner and Lahore Grill & Fast Food, this person should go to ->",Dangerous Dan's Diner,Lahore Grill & Fast Food,"{'Danger': 8.075424722750916e-05, 'Deadly': 9.96192638427124e-05, 'Dangerous': 0.9992943265547036, 'Conv': 9.854236507198877e-05, 'D': 0.00018912564035105373}",Dangerous,True
7,"Someone doesn't like cheap restaurants. Between The Empire and Thai 4 You Restaurant, this person should go to ->",Thai 4 You Restaurant,The Empire,"{'the': 3.416548202760297e-08, 'THE': 1.566122382018753e-08, 'The': 0.9999998115819777, 'he': 1.9134803256256883e-08, 'Empire': 2.031386674943478e-07}",The,False
8,"Someone doesn't like cheap restaurants. Between Piper's Pub And Grill and The Coffee Pocket, this person should go to ->",Piper's Pub And Grill,The Coffee Pocket,"{'Shell': 6.421787835375759e-06, 'Gor': 2.1749973909359024e-05, 'Piper': 0.9980616407494516, 'P': 3.4149418496957216e-05, 'The': 0.0018414015230419582}",Piper,True
9,"Someone doesn't like cheap restaurants. Between Ciao Europa wine bar and Buk Chang Dong Soon Tofu, this person should go to ->",Ciao Europa wine bar,Buk Chang Dong Soon Tofu,"{'Brussels': 3.4670793649116085e-06, 'Gor': 3.542524320697719e-06, 'C': 0.9999521254940208, 'B': 3.6427524299061107e-06, 'Conv': 2.4367202248880406e-05}",C,True
