,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. If I were you, between Sizzlers and Tortería San Cosme I would go to ->",Tortería San Cosme,Sizzlers,"{'or': 0.09301021064256759, 'Torres': 6.500684408475526e-05, 'Tor': 0.9064743997021186, 'TOR': 0.00011463011552845428, 'tor': 4.8633498254286835e-05}",Tor,True
1,"You don't like restaurants further away. If I were you, between Helena's Magic Kitchen and Dinah's Cupboard I would go to ->",Dinah's Cupboard,Helena's Magic Kitchen,"{'Nik': 0.0008396327198644845, 'el': 0.00012503198167335865, 'Din': 0.3188272050233793, 'Helena': 0.6790493321085186, 'Asuka': 0.00017290175758498576}",Helena,False
2,"You don't like restaurants further away. If I were you, between Tik Talk Cafe and Bagel Nash I would go to ->",Tik Talk Cafe,Bagel Nash,"{'Nik': 0.0024683286926994417, 'Bag': 0.04091521419069988, 'ag': 0.00015229699942457758, 'Tik': 0.9553987599167085, 'bag': 0.0006857256070353584}",Tik,True
3,"You don't like restaurants further away. If I were you, between Villa Madina and Freshii I would go to ->",Villa Madina,Freshii,"{'Fl': 5.474443123705437e-06, 'Fresh': 0.9996802688848907, 'resh': 1.3687740223037657e-05, 'Friendly': 3.78508167391707e-05}",Fresh,False
4,"You don't like restaurants further away. If I were you, between Amaya Express and Eggspectation I would go to ->",Amaya Express,Eggspectation,"{'Egg': 0.9363734416055779, 'Am': 0.055348279739184776, 'gg': 0.0005291552981009689, 'm': 0.005525026142032068, 'egg': 0.0018813091276141305}",Egg,False
5,"You don't like restaurants further away. If I were you, between Dangerous Dan's Diner and Druxy's Famous Deli I would go to ->",Dangerous Dan's Diner,Druxy's Famous Deli,"{'Dru': 0.9999776343221155, 'Dangerous': 2.0465852057710868e-07, '': 1.8405097254620565e-06, 'dru': 1.9485128975024465e-05, 'Friendly': 3.156565757312042e-07}",Dru,False
6,"You don't like restaurants further away. If I were you, between Mamma's Pizza and Eggspectation I would go to ->",Mamma's Pizza,Eggspectation,"{'Egg': 0.0028440220895507933, 'mom': 2.2947421057366307e-05, 'Mam': 0.9969543581058952, 'Mama': 2.3442287697538153e-05, '': 2.623799518022247e-05}",Mam,True
7,"You don't like restaurants further away. If I were you, between Tortería San Cosme and New Bilan Restaurant I would go to ->",Tortería San Cosme,New Bilan Restaurant,"{'or': 0.06633797967679488, 'Gor': 8.239350063076012e-05, 'Yes': 7.0752902326474e-05, 'Tor': 0.9329839507978006, 'TOR': 9.344504952978866e-05}",Tor,True
8,"You don't like restaurants further away. If I were you, between Warung Indonesia D'Eglinton and Falafel House I would go to ->",Warung Indonesia D'Eglinton,Falafel House,"{'WAR': 0.0002049660914639748, 'ar': 0.007431417929756401, 'AR': 4.394933784695231e-05, 'War': 0.9919208660561952, 'Fal': 0.0002885604390065699}",War,True
9,"You don't like restaurants further away. If I were you, between Roncy's Bean and Solero Mediterranean Bakery I would go to ->",Solero Mediterranean Bakery,Roncy's Bean,"{'Gor': 0.00013154849382399975, 'on': 0.008689728352280941, 'ol': 0.01105106473004613, 'Sol': 0.07974741114306622, 'Ron': 0.8999363323441334}",Ron,False
