,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like the restaurants nearby. Between Green Grotto and Pasta Pantry, this person should go to ->",Pasta Pantry,Green Grotto,"{'Past': 0.9998929978601374, 'pasta': 1.669682615827785e-06, 'ast': 8.911793081672744e-05, 'Green': 1.183002224011307e-05}",Past,True
1,"Someone doesn't like the restaurants nearby. Between Lahore Grill & Fast Food and Modo Mio Italian Bistro, this person should go to ->",Modo Mio Italian Bistro,Lahore Grill & Fast Food,"{'Chand': 1.3540322911787913e-11, 'Lah': 1.0, 'Mod': 2.0253972151384164e-09, 'L': 6.049642116094689e-12, 'ah': 6.633682739214558e-12}",Lah,False
2,"Someone doesn't like the restaurants nearby. Between Supermodel Pizza and Marcello’s pizzeria, this person should go to ->",Marcello’s pizzeria,Supermodel Pizza,"{'uper': 0.004542249068755834, 'Mar': 0.17918859937934867, 'Pizza': 0.4468806465398693, 'Super': 0.3633182888933099, 'ar': 0.0044191129194140885}",Pizza,False
3,"Someone doesn't like the restaurants nearby. Between Domino's Pizza and Falafel House, this person should go to ->",Domino's Pizza,Falafel House,"{'fal': 7.430539483952078e-05, 'om': 0.00129814663127054, 'al': 0.0013523063997545547, 'Fal': 0.7515108590949702, 'Dom': 0.24554660811773668}",Fal,False
4,"Someone doesn't like the restaurants nearby. Between Basha Middle Eastern Grill and Carole's Cheesecake Cafe, this person should go to ->",Carole's Cheesecake Cafe,Basha Middle Eastern Grill,"{'Car': 0.9997589461581472, 'C': 1.0295949422779162e-05, 'B': 3.792613900837675e-05, 'Middle': 1.0722995611358639e-05, 'ar': 0.00016800060119932637}",Car,True
5,"Someone doesn't like the restaurants nearby. Between Helena's Magic Kitchen and It's All Grk, this person should go to ->",Helena's Magic Kitchen,It's All Grk,"{'My': 6.824147773824519e-05, 'Ich': 4.686651984561939e-05, 'Helena': 0.9935950212844977, 'Magic': 0.00010912876965777567, 'It': 0.005932028798188573}",Helena,True
6,"Someone doesn't like the restaurants nearby. Between Ardor Bistro and Big Al's Diner, this person should go to ->",Big Al's Diner,Ardor Bistro,"{'ig': 2.311222390538842e-06, 'r': 1.7022817516561072e-06, 'ard': 1.809568583066109e-05, 'Ard': 0.9914391446112368, 'Big': 0.008537457774357063}",Ard,False
7,"Someone doesn't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Daily Press Juicery, this person should go to ->",Capitol Trattoria Pizzeria,Daily Press Juicery,"{'Capitol': 0.9974998038098425, 'ap': 4.037898829498771e-05, 'Capitals': 0.00013009742046077356, 'Cap': 5.8745500212558305e-05, 'Daily': 0.0021125416139832166}",Capitol,True
8,"Someone doesn't like the restaurants nearby. Between Madras Pantry and Chick Fiesta, this person should go to ->",Chick Fiesta,Madras Pantry,"{'Chicken': 5.5792561718412056e-05, 'chick': 0.0017724083633353879, 'ad': 0.00029336499719582657, 'Chick': 0.869809027543265, 'Mad': 0.128031852290503}",Chick,True
9,"Someone doesn't like the restaurants nearby. Between Basha Middle Eastern Grill and Domino's Pizza, this person should go to ->",Domino's Pizza,Basha Middle Eastern Grill,"{'Domin': 9.252118552141235e-06, 'om': 0.001813166164004802, 'B': 0.00014449870679029007, 'omin': 5.9345699055568686e-06, 'Dom': 0.9980186664378966}",Dom,True
10,"Someone doesn't like the restaurants nearby. Between Tierra Azteca and Dangerous Dan's Diner, this person should go to ->",Tierra Azteca,Dangerous Dan's Diner,"{'tier': 0.00044041534957966474, 'Tier': 0.9576263101708975, 'Dangerous': 0.040105162993598314, 'ier': 0.0016370474419184129, 'dangerous': 5.755785166749286e-05}",Tier,True
11,"Someone doesn't like the restaurants nearby. Between Ciao Europa wine bar and Hapa Toronto, this person should go to ->",Ciao Europa wine bar,Hapa Toronto,"{'Lah': 1.323420594059487e-08, 'S': 4.1123915460079426e-08, 'C': 0.43501154848694534, 'H': 0.5649884276956816, '': 1.0948908204637547e-07}",H,False
12,"Someone doesn't like the restaurants nearby. Between Hina Sushi and Mamma's Pizza, this person should go to ->",Hina Sushi,Mamma's Pizza,"{'Mam': 0.08012014166706896, 'Lah': 4.744739188318151e-05, 'S': 1.7259136422735014e-06, 'H': 0.919821895066026, '': 6.324320246722577e-06}",H,True
13,"Someone doesn't like the restaurants nearby. Between Topham Corner and Le Papillon Park, this person should go to ->",Topham Corner,Le Papillon Park,"{'Le': 0.9999996923682474, 'LE': 4.7526151428454584e-11, 'T': 2.17941098724978e-07, 'e': 1.1912612871139214e-07, 'le': 2.6052457874290516e-11}",Le,False
14,"Someone doesn't like the restaurants nearby. Between Banjara Indian Cuisine and Amaya Express, this person should go to ->",Banjara Indian Cuisine,Amaya Express,"{'Ban': 0.9190489395477512, 'Cu': 7.717013716939274e-05, 'Am': 0.08030529660443737, 'an': 0.00047815639155444315, 'm': 8.22205736093821e-05}",Ban,True
15,"Someone doesn't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Mysteriously Yours Dinner Theatre, this person should go to ->",St. Clair Shawarma and Falafel,Mysteriously Yours Dinner Theatre,"{'Myster': 0.8328686519337598, 'al': 0.0023542586485277147, 'St': 0.026183139654587607, 'myster': 0.0011855794933550063, 'Fal': 0.13570662396924}",Myster,False
16,"Someone doesn't like the restaurants nearby. Between Goldstone Noodle Restaurant and Hina Sushi, this person should go to ->",Hina Sushi,Goldstone Noodle Restaurant,"{'old': 6.900410047051528e-09, 'S': 1.6731056297948732e-06, 'Gold': 3.324837002023291e-07, 'H': 0.9999980234482534, '': 3.5816899566230123e-08}",H,True
17,"Someone doesn't like the restaurants nearby. Between Tik Talk Cafe and Aroma Espresso Bar, this person should go to ->",Aroma Espresso Bar,Tik Talk Cafe,"{'Mong': 6.410591587170661e-06, 'a': 3.721506148490233e-05, 'Cafe': 4.172934331521375e-05, 'A': 0.5586493407871266, 'Tik': 0.4412407429962586}",A,True
18,"Someone doesn't like the restaurants nearby. Between Cake Opera and Fit For Life, this person should go to ->",Cake Opera,Fit For Life,"{'it': 0.0025114600543430132, 'cake': 0.00031382972381104686, 'Fit': 0.8095476614153098, 'Cake': 0.1872095876820286}",Fit,False
19,"Someone doesn't like the restaurants nearby. Between Smoke's Weinerie and Itamae Ayce Sushi, this person should go to ->",Smoke's Weinerie,Itamae Ayce Sushi,"{'Ay': 0.05331089285121826, 'Smoke': 0.2770165852606572, 'Ich': 0.0013450393632496083, 'S': 0.04132042703327912, 'It': 0.6232706651801228}",It,False
20,"Someone doesn't like the restaurants nearby. Between Lahore Grill & Fast Food and Thompson Rooftop, this person should go to ->",Thompson Rooftop,Lahore Grill & Fast Food,"{'Thompson': 4.402232668761763e-09, 'Lah': 1.0, 'Punjab': 7.475097150603494e-12, 'hompson': 2.642903234437977e-11, 'ah': 8.20703009743015e-12}",Lah,False
21,"Someone doesn't like the restaurants nearby. Between Tian An Cuisine and Villa Madina, this person should go to ->",Villa Madina,Tian An Cuisine,"{'Tian': 0.8201434787046069, 'Villa': 0.1798148623328712, 'ill': 6.699082374345582e-06, 'vill': 1.9022368153526014e-05, 'Vill': 3.1268951831175234e-06}",Tian,False
22,"Someone doesn't like the restaurants nearby. Between El Fogón and EJ Sushi, this person should go to ->",EJ Sushi,El Fogón,"{'EL': 4.1992732095509134e-05, 'El': 0.7185208895868717, 'S': 0.0009156395272006818, 'E': 0.2794700074544948, 'l': 0.0009896445695060099}",El,False
23,"Someone doesn't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Magic Oven, this person should go to ->",Magic Oven,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9447746174376848, 'My': 9.545515518300451e-05, 'Myst': 2.83132971417605e-05, 'Magic': 0.0548444764586466, 'myster': 0.00022121599075348547}",Myster,False
24,"Someone doesn't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Mövenpick Café, this person should go to ->",Mövenpick Café,Warung Indonesia D'Eglinton,"{'ar': 0.003192729772677101, 'War': 0.13702891733353956, 'T': 1.3004215289798197e-05, 'M': 0.8597148108687337, '': 1.2920711389743093e-05}",M,True
25,"Someone doesn't like the restaurants nearby. Between Cantine Bar & Grill and Hawthorne Food and Drink, this person should go to ->",Hawthorne Food and Drink,Cantine Bar & Grill,"{'Cant': 0.6882064729772697, 'cant': 5.236930084803562e-05, 'Lah': 2.4701588615044255e-05, 'aw': 0.00045946030834382413, 'Hawth': 0.3111992800949953}",Cant,False
26,"Someone doesn't like the restaurants nearby. Between EJ Sushi and Juice & Java Cafe, this person should go to ->",EJ Sushi,Juice & Java Cafe,"{'juice': 0.0006615378219529416, 'S': 0.00034552450191715134, 'u': 1.7987562700051585e-05, 'Juice': 0.9936613003566753, 'E': 0.005279113991420244}",Juice,False
27,"Someone doesn't like the restaurants nearby. Between Kim PO Vietnamese and Bao Bao Plus Dim Sum, this person should go to ->",Bao Bao Plus Dim Sum,Kim PO Vietnamese,"{'Dim': 0.999982166037027, 'im': 1.34198727711495e-06, 'B': 1.3211174942119398e-05, 'Kim': 2.495376346139374e-06}",Dim,True
28,"Someone doesn't like the restaurants nearby. Between To-ne Sushi and Anatolia Restaurant, this person should go to ->",To-ne Sushi,Anatolia Restaurant,"{'To': 0.7378251400923798, 'anat': 0.00011325020312551028, 'o': 0.00014701278532024313, 'Anat': 0.26177827817875016, 'S': 0.00011803905661505065}",To,True
29,"Someone doesn't like the restaurants nearby. Between Pizza Pizza and Roncy's Bean, this person should go to ->",Roncy's Bean,Pizza Pizza,"{'pizza': 7.546929138905472e-08, 'Pizza': 0.9999850251241246, 'on': 5.002534334689377e-07, 'Ron': 1.4443190502191206e-05, 'Pop': 1.5859518192250283e-08}",Pizza,False
30,"Someone doesn't like the restaurants nearby. Between Bonne Journee and The Duke of Devon, this person should go to ->",Bonne Journee,The Duke of Devon,"{'on': 4.487021227914523e-06, 'The': 2.758250122223439e-05, 'bon': 1.1746279568274881e-05, 'Bon': 0.9841060296751419}",Bon,True
31,"Someone doesn't like the restaurants nearby. Between Sweet Jesus and KFC, this person should go to ->",Sweet Jesus,KFC,"{'Sweet': 0.9983700367353737, 'S': 4.0523896491906945e-08, 'weet': 2.6878471520413296e-06, 'K': 0.0016270918479549177, 'sweet': 4.569042863686214e-08}",Sweet,True
32,"Someone doesn't like the restaurants nearby. Between Evoo Ristorante and Shawarma Twist, this person should go to ->",Shawarma Twist,Evoo Ristorante,"{'v': 0.004500314480914564, 'Shaw': 0.0011591897607827052, 'Conv': 1.8854536686565756e-05, 'Ev': 0.9942754082783462, 'ev': 3.954596071761875e-05}",Ev,False
33,"Someone doesn't like the restaurants nearby. Between Fitness Avenue and St. Louis Bar & Grill, this person should go to ->",Fitness Avenue,St. Louis Bar & Grill,"{'fitness': 0.0008375308157639, 'Athlet': 0.0010356220689611295, 'Fitness': 0.984545029995242, 'Stamina': 4.82255304380101e-05, 'St': 0.0134741263387943}",Fitness,True
34,"Someone doesn't like the restaurants nearby. Between Beryl's Pepper Pot and Piper's Pub And Grill, this person should go to ->",Beryl's Pepper Pot,Piper's Pub And Grill,"{'Ph': 4.324046488358091e-07, 'Pepper': 2.474953606405551e-07, 'Pry': 1.8380471030751804e-07, 'Piper': 0.9995909193763048, 'B': 0.0004061548772682827}",Piper,False
35,"Someone doesn't like the restaurants nearby. Between Farmacia Health Bar and Galata Cafe, this person should go to ->",Galata Cafe,Farmacia Health Bar,"{'Farm': 0.9830107431034807, 'al': 0.00041997263649990233, 'arm': 0.0009882340456107625, 'Gal': 0.015490691249754784, 'gal': 6.706696232446772e-05}",Farm,False
36,"Someone doesn't like the restaurants nearby. Between Ciao Europa wine bar and Evoo Ristorante, this person should go to ->",Ciao Europa wine bar,Evoo Ristorante,"{'v': 0.0015553323908809548, 'C': 0.7671408936697242, 'Conv': 1.5894921424780549e-06, 'Ev': 0.231273820575615, 'ev': 2.7114796032823115e-05}",C,True
37,"Someone doesn't like the restaurants nearby. Between Tortería San Cosme and Druxy's Famous Deli, this person should go to ->",Druxy's Famous Deli,Tortería San Cosme,"{'or': 5.579206477594581e-06, 'Dru': 0.9994128211570089, 'T': 1.556314694232979e-07, 'dru': 0.00022152435935747335, 'Tor': 0.00035899011667792926}",Dru,True
38,"Someone doesn't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Aris Place, this person should go to ->",Aris Place,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9995715509105362, 'My': 0.00013678242954819476, 'Myst': 2.2255219335154453e-05, 'myster': 0.0002074456874052376, 'Ar': 3.0965124590227274e-05}",Myster,False
39,"Someone doesn't like the restaurants nearby. Between Fit For Life and FreshCo, this person should go to ->",FreshCo,Fit For Life,"{'it': 0.0044455334765329405, 'Fresh': 0.005043726929667978, 'Fit': 0.9904481564508313, 'Fitness': 9.51700842135022e-06}",Fit,False
40,"Someone doesn't like the restaurants nearby. Between Freshii and Falafel Hut Village, this person should go to ->",Freshii,Falafel Hut Village,"{'Fresh': 0.41997407323625124, 'resh': 0.0008271049223070977, 'al': 0.00013925580394354644, 'Fal': 0.5778241473154774}",Fal,False
41,"Someone doesn't like the restaurants nearby. Between Pisco 1641 and Helena's Magic Kitchen, this person should go to ->",Helena's Magic Kitchen,Pisco 1641,"{'el': 7.594098746643736e-05, 'Chile': 0.00011585733435805626, 'P': 0.20780716928954535, 'H': 4.783471150005127e-05, 'Helena': 0.7917680945155736}",Helena,True
42,"Someone doesn't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Oxygen Restaurant & Lounge, this person should go to ->",Nutella Cafe by Pusateri's,Oxygen Restaurant & Lounge,"{'oxy': 0.0006843952201302951, 'Nut': 0.9451037416404693, 'Oxy': 0.04853870781850578, 'Nutr': 0.0007324323326317132, 'ut': 0.003596241524003028}",Nut,True
43,"Someone doesn't like the restaurants nearby. Between Dangerous Dan's Diner and Shawarma Twist, this person should go to ->",Shawarma Twist,Dangerous Dan's Diner,"{'Shaw': 0.007729265038581041, 'Danger': 7.310608153030573e-05, 'Deadly': 1.2641329409169163e-05, 'Dangerous': 0.9921346043830879, 'dangerous': 3.521719853286764e-05}",Dangerous,False
44,"Someone doesn't like the restaurants nearby. Between Assembly Chef's Hall and LCBO, this person should go to ->",Assembly Chef's Hall,LCBO,"{'Assembly': 0.5698374695239907, 'LC': 0.4248482426254541, 'Conv': 0.0001549091100207508, 'ssembly': 0.0045372362854011255, 'C': 0.00020502431010060578}",Assembly,True
45,"Someone doesn't like the restaurants nearby. Between Milo's Pita and Phil's Original BBQ, this person should go to ->",Phil's Original BBQ,Milo's Pita,"{'Ph': 0.07107415573672292, 'hil': 0.0414464436348394, 'BBQ': 0.002705094045514203, 'Milo': 0.47499203666681356, 'Phil': 0.4042932289759066}",Milo,False
46,"Someone doesn't like the restaurants nearby. Between Daily Press Juicery and 9 Restaurant, this person should go to ->",9 Restaurant,Daily Press Juicery,"{'aily': 0.004048862506117653, '3': 4.2201533445981545e-05, 'Daily': 0.9832611979737569, '6': 4.7587711110784444e-05, '9': 0.012402481567282646}",Daily,False
47,"Someone doesn't like the restaurants nearby. Between Madras Pantry and Pizzeria Via Mercanti, this person should go to ->",Pizzeria Via Mercanti,Madras Pantry,"{'ad': 0.0011228861371953666, 'P': 0.004258675851502824, 'MAD': 5.1410048576864445e-06, 'Mad': 0.9945447649323861, 'mad': 5.211180767739171e-05}",Mad,False
48,"Someone doesn't like the restaurants nearby. Between Villa Madina and Banjara Indian Cuisine, this person should go to ->",Banjara Indian Cuisine,Villa Madina,"{'Ban': 0.058404624829356336, 'Cu': 1.741999279752686e-05, 'Villa': 0.9407797314705133, 'an': 0.000727385470629351, 'Vill': 1.865832744005426e-05}",Villa,False
49,"Someone doesn't like the restaurants nearby. Between Tian An Cuisine and Taste of Greek Cuisine, this person should go to ->",Taste of Greek Cuisine,Tian An Cuisine,"{'Cu': 9.579033033789881e-07, 'Tian': 0.37074603224142005, 'Taste': 0.6292376196070961, '->': 1.1490879697706069e-06, 'taste': 5.219865096427203e-06}",Taste,True
50,"Someone doesn't like the restaurants nearby. Between Pasta Pantry and Magic Oven, this person should go to ->",Magic Oven,Pasta Pantry,"{'Past': 0.9943134370571253, 'pasta': 5.639777706309536e-07, 'ast': 4.1196922541224345e-05, 'Magic': 0.0056414621534797895}",Past,False
51,"Someone doesn't like the restaurants nearby. Between Mirage Grill & Lounge and Goldstone Noodle Restaurant, this person should go to ->",Mirage Grill & Lounge,Goldstone Noodle Restaurant,"{'ir': 8.586065152205317e-06, 'Gold': 2.1728410653999033e-06, 'Mirage': 0.9999853836778195, 'mir': 2.3060718010045366e-06, 'Mir': 1.7631899691517502e-07}",Mirage,True
52,"Someone doesn't like the restaurants nearby. Between Buk Chang Dong Soon Tofu and To-ne Sushi, this person should go to ->",To-ne Sushi,Buk Chang Dong Soon Tofu,"{'No': 0.00021200345208606522, 'To': 0.7184222793620573, 'T': 0.00040075351318009976, 'S': 0.0035518577589311847, 'Buk': 0.27709058627297556}",To,True
53,"Someone doesn't like the restaurants nearby. Between 9 Restaurant and Domino's Pizza, this person should go to ->",Domino's Pizza,9 Restaurant,"{'Domin': 3.493050645882508e-05, 'om': 0.0020828533967522495, 'omin': 1.8525618500463637e-05, '9': 0.000361595635314107, 'Dom': 0.9974382315436044}",Dom,True
54,"Someone doesn't like the restaurants nearby. Between Pho 88 and z-teca Gourmet Burritos, this person should go to ->",z-teca Gourmet Burritos,Pho 88,"{'Ph': 0.99999909445401, 'h': 7.77553238705591e-10, 'ph': 5.983607524023618e-07, 'PH': 7.749489187792679e-10}",Ph,False
55,"Someone doesn't like the restaurants nearby. Between Green Grotto and Big Al's Diner, this person should go to ->",Big Al's Diner,Green Grotto,"{'ig': 0.00013251509427098177, 'reen': 1.3694229749799699e-05, 'No': 5.109954795855604e-06, 'Green': 0.013659876033869986, 'Big': 0.9861713357168375}",Big,True
56,"Someone doesn't like the restaurants nearby. Between Harvey's and Warung Indonesia D'Eglinton, this person should go to ->",Harvey's,Warung Indonesia D'Eglinton,"{'WAR': 5.353805186829538e-06, 'ar': 4.979176246326709e-05, 'Harvey': 0.9970956208933786, 'War': 0.0023365312995519334}",Harvey,True
57,"Someone doesn't like the restaurants nearby. Between St. Clair Shawarma and Falafel and Mövenpick Café, this person should go to ->",St. Clair Shawarma and Falafel,Mövenpick Café,"{'M': 0.023420089483601237, 'al': 0.0005947737362212616, 'St': 0.006107529040207795, 'Fal': 0.966461055989694}",Fal,False
58,"Someone doesn't like the restaurants nearby. Between Le Papillon Park and St. Clair Shawarma and Falafel, this person should go to ->",St. Clair Shawarma and Falafel,Le Papillon Park,"{'Le': 0.9999993338092819, 'e': 1.5712832637711616e-07, 'al': 1.0580554517793164e-08, 'St': 5.005742452644911e-08, 'Fal': 4.789249176226306e-07}",Le,False
59,"Someone doesn't like the restaurants nearby. Between The Duke of Devon and Green Grotto, this person should go to ->",The Duke of Devon,Green Grotto,"{'reen': 0.001014950942671278, 'Richmond': 0.0001861922157219069, 'Green': 0.7374624332733378, 'Devon': 0.0024816105853916024, 'The': 0.2582655912768276}",Green,False
60,"Someone doesn't like the restaurants nearby. Between Juice & Java Cafe and Bao Bao Plus Dim Sum, this person should go to ->",Bao Bao Plus Dim Sum,Juice & Java Cafe,"{'juice': 6.251350153449138e-05, 'Dim': 0.7282921400527596, 'im': 6.218719752319256e-06, 'B': 8.469576928140098e-06, 'Juice': 0.27162533692536467}",Dim,False
61,"Someone doesn't like the restaurants nearby. Between Madras Pantry and Verona Restaurant, this person should go to ->",Verona Restaurant,Madras Pantry,"{'er': 0.0018676972949087888, 'ad': 2.166015847361809e-05, 'Chand': 3.833267443741803e-06, 'Mad': 0.07024016363517717, 'Ver': 0.9278589233543103}",Ver,True
62,"Someone doesn't like the restaurants nearby. Between The Empire and Thompson Rooftop, this person should go to ->",Thompson Rooftop,The Empire,"{'Thompson': 0.9866085925168705, 'R': 0.004478021318938109, 'The': 0.0016566860954080234, 'hompson': 0.00665049494010815, 'Empire': 0.0005567313223678712}",Thompson,True
63,"Someone doesn't like the restaurants nearby. Between Tortería San Cosme and Falafel House, this person should go to ->",Falafel House,Tortería San Cosme,"{'or': 2.4751486751155337e-05, 'fal': 1.2740355550591376e-05, 'Tor': 0.0010263104450290782, 'al': 0.0012631243302993725, 'Fal': 0.9976554332003303}",Fal,True
64,"Someone doesn't like the restaurants nearby. Between Tortería San Cosme and Bao Bao Plus Dim Sum, this person should go to ->",Bao Bao Plus Dim Sum,Tortería San Cosme,"{'Dim': 0.8866562979360185, 'or': 0.0012992592300031685, 'San': 2.263133743447475e-05, 'B': 0.005442525932788233, 'Tor': 0.10652807644340409}",Dim,False
65,"Someone doesn't like the restaurants nearby. Between Topham Corner and Goldstone Noodle Restaurant, this person should go to ->",Topham Corner,Goldstone Noodle Restaurant,"{'old': 0.00011980453718541077, 'T': 0.9961229250381496, 'S': 4.761456257787493e-06, 'Gold': 0.003743718163661668, 'gold': 2.9945517611042002e-06}",T,True
66,"Someone doesn't like the restaurants nearby. Between Dinah's Cupboard and Shawarma Twist, this person should go to ->",Shawarma Twist,Dinah's Cupboard,"{'din': 3.713665762616067e-05, 'Shaw': 0.4412375881362248, 'Din': 0.5586997499913228, 'in': 5.477794508316234e-06, 'Lah': 6.254633555588323e-06}",Din,False
67,"Someone doesn't like the restaurants nearby. Between Madras Pantry and Freshii, this person should go to ->",Freshii,Madras Pantry,"{'ad': 3.334744477409328e-06, 'Fresh': 0.9966132374621277, 'resh': 1.6970416987078803e-06, 'Mad': 0.0031368179017252436}",Fresh,True
68,"Someone doesn't like the restaurants nearby. Between Tian An Cuisine and Pasta Pantry, this person should go to ->",Pasta Pantry,Tian An Cuisine,"{'Past': 0.970138892103041, 'Tian': 0.029495487306467276, 'pasta': 9.608600261126693e-06, 'ast': 0.0003031929974331099}",Past,True
69,"Someone doesn't like the restaurants nearby. Between Chipotle Mexican Grill and Fitness Avenue, this person should go to ->",Fitness Avenue,Chipotle Mexican Grill,"{'chip': 2.964598069668359e-05, 'Chip': 0.9930831373774851, 'Fitness': 0.00020719296517778308, 'hip': 0.006568820439310815}",Chip,False
70,"Someone doesn't like the restaurants nearby. Between Sushi Shop and Bonne Journee, this person should go to ->",Bonne Journee,Sushi Shop,"{'on': 7.157794945036888e-05, 'S': 0.9941516674673687, 'J': 1.611212741381567e-07, 'bon': 4.0333554643897774e-07, 'Bon': 0.005775979075851851}",S,False
71,"Someone doesn't like the restaurants nearby. Between Ardor Bistro and Topham Corner, this person should go to ->",Topham Corner,Ardor Bistro,"{'T': 0.0005773393131000764, 'r': 1.9992470825534958e-07, 'ard': 2.269139212336392e-06, 'Ard': 0.9994200361440906, 'Ar': 5.453827980983788e-08}",Ard,False
72,"Someone doesn't like the restaurants nearby. Between Goldstone Noodle Restaurant and Bonne Journee, this person should go to ->",Bonne Journee,Goldstone Noodle Restaurant,"{'on': 6.059877334012802e-06, 'Gold': 0.00011956743932022, 'bon': 2.1191211799293813e-05, 'Bon': 0.9892554683087635}",Bon,True
73,"Someone doesn't like the restaurants nearby. Between Supermodel Pizza and New Bilan Restaurant, this person should go to ->",New Bilan Restaurant,Supermodel Pizza,"{'uper': 0.009217326047653875, 'Pizza': 0.009288369062172064, 'Bil': 0.0020354161188166184, 'Super': 0.8371805674826275, 'New': 0.1378464216689191}",Super,False
74,"Someone doesn't like the restaurants nearby. Between Green Room and Farmacia Health Bar, this person should go to ->",Green Room,Farmacia Health Bar,"{'Farm': 0.9989054663394115, 'Green': 3.47816016224227e-05, 'arm': 0.00104812334960984, 'farm': 8.092409778402034e-06}",Farm,False
