{'statement': 'Between Guangzhou and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Guangzhou'}
{'statement': 'Between Kabul and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Kabul'}
{'statement': 'Between Manila and Kunming, the city with a smaller population is Kunming.', 'answer': 'Kunming', 'candidate': 'Manila'}
{'statement': 'Between Mexico City and Algiers, the city with a smaller population is Algiers.', 'answer': 'Algiers', 'candidate': 'Mexico City'}
{'statement': 'Between Ankara and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ankara'}
{'statement': 'Between Entebbe and Mumbai, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Mumbai'}
{'statement': 'Between Kano and Bahía Blanca, the city with a smaller population is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kano'}
{'statement': 'Between Luanda and Bucharest, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Luanda'}
{'statement': 'Between Panama City and Paris, the city with a smaller population is Panama City.', 'answer': 'Panama City', 'candidate': 'Paris'}
{'statement': 'Between Buenos Aires and Surabaya, the city with a smaller population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Buenos Aires'}
{'statement': 'Between Calgary and Bangkok, the city with a smaller population is Calgary.', 'answer': 'Calgary', 'candidate': 'Bangkok'}
{'statement': 'Between Johannesburg and Kansas City, the city with a smaller population is Kansas City.', 'answer': 'Kansas City', 'candidate': 'Johannesburg'}
{'statement': 'Between Algiers and Suwałki, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Algiers'}
{'statement': 'Between Toronto and Moscow, the city with a smaller population is Toronto.', 'answer': 'Toronto', 'candidate': 'Moscow'}
{'statement': 'Between Durban and Houston, the city with a smaller population is Durban.', 'answer': 'Durban', 'candidate': 'Houston'}
{'statement': 'Between Santiago and Shanghai, the city with a smaller population is Santiago.', 'answer': 'Santiago', 'candidate': 'Shanghai'}
{'statement': 'Between Mendoza and Riyadh, the city with a smaller population is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Riyadh'}
{'statement': 'Between Medellín and Nairobi, the city with a smaller population is Medellín.', 'answer': 'Medellín', 'candidate': 'Nairobi'}
{'statement': 'Between Lake Havasu City and Berlin, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Berlin'}
{'statement': 'Between Saint Petersburg and Hamilton, the city with a smaller population is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Shanghai and Baltimore, the city with a smaller population is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Shanghai'}
{'statement': 'Between Mexico City and Piura, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Mexico City'}
{'statement': 'Between Guangzhou and Santiago, the city with a smaller population is Santiago.', 'answer': 'Santiago', 'candidate': 'Guangzhou'}
{'statement': 'Between Moscow and Jakarta, the city with a smaller population is Moscow.', 'answer': 'Moscow', 'candidate': 'Jakarta'}
{'statement': 'Between Cairo and Lagos, the city with a smaller population is Lagos.', 'answer': 'Lagos', 'candidate': 'Cairo'}
{'statement': 'Between Honolulu and Guangzhou, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guangzhou'}
{'statement': 'Between Brussels and Sydney, the city with a smaller population is Brussels.', 'answer': 'Brussels', 'candidate': 'Sydney'}
{'statement': 'Between Perth and Belize City, the city with a smaller population is Belize City.', 'answer': 'Belize City', 'candidate': 'Perth'}
{'statement': 'Between San Antonio and Jakarta, the city with a smaller population is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Jakarta'}
{'statement': 'Between Buenos Aires and Beijing, the city with a smaller population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Beijing'}
{'statement': 'Between Mahajanga and Minneapolis, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Minneapolis'}
{'statement': 'Between Phnom Penh and Houston, the city with a smaller population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Houston'}
{'statement': 'Between Makurdi and Johannesburg, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Johannesburg'}
{'statement': 'Between Entebbe and Alexandria, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Alexandria'}
{'statement': 'Between Palmerston North and Los Angeles, the city with a smaller population is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Los Angeles'}
{'statement': 'Between Cotonou and Shanghai, the city with a smaller population is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Shanghai'}
{'statement': 'Between Curitiba and Riyadh, the city with a smaller population is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Riyadh'}
{'statement': 'Between Chicago and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Chicago'}
{'statement': 'Between Kuwait City and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kuwait City'}
{'statement': 'Between Guangzhou and Palermo, the city with a smaller population is Palermo.', 'answer': 'Palermo', 'candidate': 'Guangzhou'}
{'statement': 'Between Toronto and Halifax, the city with a smaller population is Halifax.', 'answer': 'Halifax', 'candidate': 'Toronto'}
{'statement': 'Between Jakarta and Rome, the city with a smaller population is Rome.', 'answer': 'Rome', 'candidate': 'Jakarta'}
{'statement': 'Between Kano and Djibouti, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kano'}
