,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with cold weather. If I were you, between Sokoto and Auckland I would visit ->",Auckland,Sokoto,"{'Edmonton': 0.09429002258288681, 'Winnipeg': 0.0180881129419416, 'Auckland': 0.8107585159962859, 'Ark': 0.023622099160462127, 'New': 0.01890828487104102}",Auckland,True
1,"You are looking for a city with cold weather. If I were you, between Wau and Fukuoka I would visit ->",Fukuoka,Wau,"{'Tokyo': 0.00036580341000624076, 'Fuk': 0.9019156479298109, 'Winnipeg': 0.00031899232979445264, 'W': 0.09470071771414258, 'Hiroshima': 0.001884307310788836}",Fuk,True
2,"You are looking for a city with cold weather. If I were you, between Juba and Kunming I would visit ->",Kunming,Juba,"{'Kum': 0.0021434362788210594, 'Kun': 0.9898373898710017, 'Winnipeg': 0.000721514559836783, 'cold': 0.00044489822936927183, 'K': 0.005002904676127903}",Kun,True
3,"You are looking for a city with cold weather. If I were you, between Buenos Aires and Moscow I would visit ->",Moscow,Buenos Aires,"{'Russia': 0.0004710248524750921, 'Sochi': 0.0024053520586614524, 'cold': 7.21604821898778e-05, 'oscow': 0.01082816141669047, 'Moscow': 0.9860078982658226}",Moscow,True
4,"You are looking for a city with cold weather. If I were you, between Medellín and Ljubljana I would visit ->",Ljubljana,Medellín,"{'Sloven': 0.003425236700571493, 'Slovenia': 0.005819493782346184, 'L': 0.9890710487113811, '': 0.0006006008422910662, 'cold': 0.0001689906787310316}",L,True
5,"You are looking for a city with cold weather. If I were you, between Brisbane and Novosibirsk I would visit ->",Novosibirsk,Brisbane,"{'ov': 0.02519777706656201, 'Winnipeg': 0.0015932138715059776, 'Sochi': 0.005144305007331, 'Siberia': 0.0008621351612486076, 'Nov': 0.9643152837609887}",Nov,True
6,"You are looking for a city with cold weather. If I were you, between Cotonou and London I would visit ->",London,Cotonou,"{'ondon': 0.004805188535368943, 'Edinburgh': 0.00014672697662206793, 'London': 0.9945174040893625, 'England': 0.00045401164975447363, 'Britain': 3.8778251377472644e-05}",London,True
7,"You are looking for a city with cold weather. If I were you, between Barranquilla and Bogotá I would visit ->",Bogotá,Barranquilla,"{'Barcelona': 0.00011787403543407713, 'Bog': 0.9964613633840701, 'B': 0.002101885878218609, 'Budapest': 0.0003751477160834493, 'cold': 0.00015788336401177961}",Bog,True
8,"You are looking for a city with cold weather. If I were you, between Antsiranana and Fairbanks I would visit ->",Fairbanks,Antsiranana,"{'Alaska': 0.0060173422732048105, 'air': 0.0014687714146365762, 'Ant': 0.0001162807537612172, 'cold': 8.166463613906881e-05, 'Fair': 0.9921210171927194}",Fair,True
9,"You are looking for a city with cold weather. If I were you, between Kingston and Zagreb I would visit ->",Zagreb,Kingston,"{'Z': 0.985482602520281, 'Winnipeg': 0.0004017598644281193, 'R': 0.0005126211421279743, 'Budapest': 0.011340640509027928, '': 0.0006913232799284985}",Z,True
10,"You are looking for a city with cold weather. If I were you, between Mandalay and Toluca I would visit ->",Toluca,Mandalay,"{'Madrid': 1.868037594183855e-05, 'Tol': 0.9899018808675929, 'T': 0.009899708170533091, 'colder': 2.9930126786731534e-05, 'cold': 6.344748513319623e-05}",Tol,True
11,"You are looking for a city with cold weather. If I were you, between Belize City and Lhasa I would visit ->",Lhasa,Belize City,"{'Tibet': 0.01845656214345166, 'Bel': 0.0002538033001026511, 'L': 0.9774909426468196, '': 0.0017126643870447199, 'cold': 0.0005944567468435079}",L,True
12,"You are looking for a city with cold weather. If I were you, between Suva and Lhasa I would visit ->",Lhasa,Suva,"{'Tibet': 0.018522986586417912, 'Edinburgh': 0.00026268393934732805, 'L': 0.9778526205862424, '': 0.001553535931520807, 'cold': 0.0005382656749939236}",L,True
13,"You are looking for a city with cold weather. If I were you, between Fukuoka and Kuopio I would visit ->",Kuopio,Fukuoka,"{'Ku': 0.011481950480958476, 'Fuk': 0.4215972772126937, 'Finnish': 0.0035455073931560076, 'cold': 0.005894752680420756, 'Helsinki': 0.5289124139100886}",Helsinki,False
14,"You are looking for a city with cold weather. If I were you, between Beirut and Brussels I would visit ->",Brussels,Beirut,"{'Belg': 0.0004947566660499284, 'Belgium': 0.022181355174187095, 'Brussels': 0.9764517520002511, 'Br': 0.0005408614022593015, 'Belgian': 6.621556511998022e-05}",Brussels,True
15,"You are looking for a city with cold weather. If I were you, between Cotonou and Frankfurt I would visit ->",Frankfurt,Cotonou,"{'rank': 1.7074304131117519e-06, 'Frankfurt': 0.9999616627178923, 'Germany': 2.2420227347132936e-05, 'cold': 2.741369348986779e-06, 'Frank': 1.2798758204659617e-06}",Frankfurt,True
16,"You are looking for a city with cold weather. If I were you, between Manila and Albuquerque I would visit ->",Albuquerque,Manila,"{'Edmonton': 0.0019472308355795763, 'colder': 0.0014083234846689991, 'Albuquerque': 0.9860202964070823, 'cold': 0.002331164152302019, 'New': 0.006234318550807534}",Albuquerque,True
17,"You are looking for a city with cold weather. If I were you, between Hanoi and Kabul I would visit ->",Kabul,Hanoi,"{'Tehran': 0.0012715220900912064, 'Warsaw': 0.0006852025979505296, 'Kabul': 0.9845894344696917, 'Hiroshima': 0.0006240849880943, 'Afghanistan': 0.009884395277522154}",Kabul,True
18,"You are looking for a city with cold weather. If I were you, between Port-Gentil and Melbourne I would visit ->",Melbourne,Port-Gentil,"{'Vancouver': 0.0002205712028023202, 'Melbourne': 0.9972475565376738, 'Edinburgh': 0.00024871646626451377, 'Adelaide': 0.0012792011467323565, 'Detroit': 0.0005297801758516172}",Melbourne,True
19,"You are looking for a city with cold weather. If I were you, between Phoenix and Saskatoon I would visit ->",Saskatoon,Phoenix,"{'Edmonton': 6.452705272515377e-05, 'Winnipeg': 0.0003676921201473308, 'Sask': 0.8959175413370153, 'S': 1.6891770623274792e-05, 'Saskatchewan': 0.10359373748192892}",Sask,True
20,"You are looking for a city with cold weather. If I were you, between Brasília and Bratislava I would visit ->",Bratislava,Brasília,"{'Br': 0.9989158393273035, 'Slov': 7.637264313995425e-05, 'Slovakia': 0.0007768553419701101, 'Budapest': 3.013395346063968e-05, 'r': 0.00012604595440576344}",Br,False
21,"You are looking for a city with cold weather. If I were you, between Lagos and Yinchuan I would visit ->",Yinchuan,Lagos,"{'Ni': 0.00021799574798965794, 'colder': 0.0001871801567137435, '': 0.0009161119358925403, 'Y': 0.9946602772733751, 'Ash': 0.0027035258162292383}",Y,True
22,"You are looking for a city with cold weather. If I were you, between Port Moresby and Minsk I would visit ->",Minsk,Port Moresby,"{'Warsaw': 5.205885143267268e-08, 'Belarus': 7.89189643246298e-05, 'M': 0.9999204142471141, 'Bel': 5.453080857729512e-08, '': 3.620623146564768e-07}",M,True
23,"You are looking for a city with cold weather. If I were you, between Florianópolis and Reykjavík I would visit ->",Reykjavík,Florianópolis,"{'Iceland': 0.17582763683003172, 'ce': 0.0001370184458443262, 'Rey': 0.8142710281359257, 'R': 3.2978227070322474e-05, 'Icelandic': 0.00962399711578156}",Rey,True
24,"You are looking for a city with cold weather. If I were you, between Kunming and Irkutsk I would visit ->",Irkutsk,Kunming,"{'r': 0.0013509395035800303, 'Siber': 0.0010166188611054304, 'Siberia': 0.0007704421400913359, 'Ir': 0.9919615738359443, 'Ark': 0.0014376300784933614}",Ir,True
25,"You are looking for a city with cold weather. If I were you, between Port-Gentil and Belgrade I would visit ->",Belgrade,Port-Gentil,"{'el': 9.160287438698418e-06, 'Serbia': 0.00020610145714613706, 'Bel': 0.9997740248762254, 'Serbian': 1.7064779327079824e-06, 'Balkans': 1.1754106289174013e-06}",Bel,True
26,"You are looking for a city with cold weather. If I were you, between Cape Town and Yakutsk I would visit ->",Yakutsk,Cape Town,"{'Yak': 0.9967804285713294, 'Sochi': 2.6405162967023918e-05, 'yak': 5.3032374037350636e-05, 'Ash': 0.0003420989278536827, 'Ark': 0.002618865683987069}",Yak,True
27,"You are looking for a city with cold weather. If I were you, between Lahore and Saskatoon I would visit ->",Saskatoon,Lahore,"{'Edmonton': 2.7754765577323743e-05, 'Winnipeg': 0.00013736842610970933, 'Sask': 0.7746991643658645, 'S': 2.4637349354107968e-05, 'Saskatchewan': 0.22509926416493603}",Sask,True
28,"You are looking for a city with cold weather. If I were you, between Vientiane and Kunming I would visit ->",Kunming,Vientiane,"{'Kum': 0.001285068827259115, 'Kun': 0.9939668355698812, 'Winnipeg': 0.00017686558865501588, 'cold': 0.0003395005469232357, 'K': 0.003253913998519445}",Kun,True
29,"You are looking for a city with cold weather. If I were you, between Phnom Penh and Anchorage I would visit ->",Anchorage,Phnom Penh,"{'Alaska': 0.08596072268662273, 'cold': 1.6552473683985933e-05, 'Anchorage': 0.9136609803404917, 'Ash': 2.494285872957426e-05, 'Ark': 0.0002752598492712129}",Anchorage,True
30,"You are looking for a city with cold weather. If I were you, between Suva and Irkutsk I would visit ->",Irkutsk,Suva,"{'r': 0.0013544883465269248, 'Siberia': 0.0008597757143480087, 'Siberian': 0.0009953197655725677, 'Ir': 0.992061534376115, 'Ark': 0.0015784877666190952}",Ir,True
31,"You are looking for a city with cold weather. If I were you, between Conakry and Boise I would visit ->",Boise,Conakry,"{'o': 2.688699084619316e-05, 'Idaho': 0.0014755020119655506, 'B': 4.711236805555195e-05, 'Boise': 0.998313113994284, 'cold': 3.537967695492544e-05}",Boise,True
32,"You are looking for a city with cold weather. If I were you, between Lomé and Curitiba I would visit ->",Curitiba,Lomé,"{'ur': 0.0007645863418443104, 'C': 0.052935028224250474, 'Cur': 0.9442238771087068, 'Conce': 0.0010201093005754423, 'cold': 0.00037472579979426344}",Cur,True
33,"You are looking for a city with cold weather. If I were you, between San Salvador and Yinchuan I would visit ->",Yinchuan,San Salvador,"{'Har': 0.0004819169797169706, 'San': 0.028721566282224758, '': 0.0013239118529571156, 'Y': 0.956255219075073, 'Ash': 0.01087618546143802}",Y,True
34,"You are looking for a city with cold weather. If I were you, between Ho Chi Minh City and Frankfurt I would visit ->",Frankfurt,Ho Chi Minh City,"{'rank': 3.521776528759431e-06, 'Frankfurt': 0.9999101631655701, 'Germany': 6.500417885878533e-05, 'cold': 2.7407827587134944e-06, 'Frank': 3.056491097888344e-06}",Frankfurt,True
35,"You are looking for a city with cold weather. If I were you, between Cayenne and Amsterdam I would visit ->",Amsterdam,Cayenne,"{'Netherlands': 7.892930338615005e-05, 'Holland': 0.0008976170753830013, 'terdam': 2.5265139443488253e-05, 'Amsterdam': 0.9988418084221847, 'cold': 6.507578787323761e-05}",Amsterdam,True
36,"You are looking for a city with cold weather. If I were you, between Palembang and Lyon I would visit ->",Lyon,Palembang,"{'Lyon': 0.999773548144093, 'Lyons': 0.00017108706140524775, 'Alps': 6.828312408849818e-06, 'cold': 1.9132291423641037e-05, 'France': 1.353545525600076e-05}",Lyon,True
37,"You are looking for a city with cold weather. If I were you, between Mandalay and Punta Arenas I would visit ->",Punta Arenas,Mandalay,"{'Penguins': 1.1536311215734393e-05, 'Antarctica': 9.755658395899844e-05, 'P': 0.9996479029207306, 'cold': 1.8095269634673247e-05, '': 0.00017181246426967164}",P,True
38,"You are looking for a city with cold weather. If I were you, between Makurdi and Auckland I would visit ->",Auckland,Makurdi,"{'Edmonton': 0.010202265250157432, 'Winnipeg': 0.0019201278627068285, 'Auckland': 0.9738439497869644, 'A': 0.0027633866620446566, 'New': 0.004439022874804068}",Auckland,True
39,"You are looking for a city with cold weather. If I were you, between San Juan and Tirana I would visit ->",Tirana,San Juan,"{'San': 0.04542242287210081, 'T': 0.07139217567679616, 'Tir': 0.8663373210824306, 'Albania': 0.010705014526057814, 'tir': 0.0009009939636409189}",Tir,True
40,"You are looking for a city with cold weather. If I were you, between Riyadh and Tashkent I would visit ->",Tashkent,Riyadh,"{'Tehran': 0.00010174244367862344, 'T': 0.9076814435789418, 'Sochi': 0.0001771317060711962, 'Riyadh': 0.09187852085060103, 'Saudi': 7.812105087385497e-05}",T,True
41,"You are looking for a city with cold weather. If I were you, between El Paso and Novosibirsk I would visit ->",Novosibirsk,El Paso,"{'ov': 0.01268880716124256, 'Sochi': 0.0003222473949882482, 'Siberia': 0.0005721385932739018, 'Nov': 0.9851254544464669, 'Ark': 0.0005513382793937284}",Nov,True
