,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like hot weather. Between Dar es Salaam and Indianapolis, you should visit ->",Indianapolis,Dar es Salaam,"{'Indiana': 0.0004263898028139621, 'Indianapolis': 0.9960244014000535, 'Indy': 0.003233596156270201, 'ndian': 8.31628353864122e-05, 'Detroit': 5.1726620793750314e-05}",Indianapolis,True
1,"You don't like hot weather. Between Caracas and Omaha, you should visit ->",Omaha,Caracas,"{'Nebraska': 0.0010879136494634871, 'Omaha': 0.9921362741470322, 'O': 0.006681521820098543, '': 3.934486842964792e-05, 'cold': 1.72892264327778e-05}",Omaha,True
2,"You don't like hot weather. Between Phnom Penh and Irkutsk, you should visit ->",Irkutsk,Phnom Penh,"{'Siberia': 0.0011709282133037248, 'cold': 0.007495852585458466, 'Siberian': 0.0013400129511884713, 'Ir': 0.967928924020508, 'Ark': 0.017297013888118874}",Ir,True
3,"You don't like hot weather. Between Parakou and Skopje, you should visit ->",Skopje,Parakou,"{'k': 0.009182026014067037, 'Macedonia': 0.0006768399659981639, 'Sk': 0.9796769328740832, 'Sof': 0.004915376136649296, 'cold': 0.002897676702907049}",Sk,True
4,"You don't like hot weather. Between Mandalay and Podgorica, you should visit ->",Podgorica,Mandalay,"{'Pod': 0.8383872106537856, 'Split': 0.011422136593538919, 'Sof': 0.01182005043609707, 'od': 0.062387459085443034, 'cold': 0.015235912094106609}",Pod,True
5,"You don't like hot weather. Between Rosario and Novosibirsk, you should visit ->",Novosibirsk,Rosario,"{'ov': 0.007562052733892173, 'Siberia': 0.0011162973587743516, 'cold': 0.0013996018159412279, 'Nov': 0.9839006908066821, 'Ark': 0.0015184305658645612}",Nov,True
6,"You don't like hot weather. Between Bata and Lviv, you should visit ->",Lviv,Bata,"{'Edmonton': 9.668368310664896e-06, 'Lv': 0.9969461941797789, 'v': 0.002969401089111917, 'Vil': 1.026921472444832e-05, 'cold': 1.7942075802009433e-05}",Lv,True
7,"You don't like hot weather. Between Tampa and Ushuaia, you should visit ->",Ushuaia,Tampa,"{'Tampa': 0.014737323344394846, 'Winnipeg': 0.002060091870180647, 'San': 0.0018647598517408297, 'cold': 0.0021234772961073213, 'U': 0.9753725006488632}",U,True
8,"You don't like hot weather. Between Bangui and Baku, you should visit ->",Baku,Bangui,"{'Istanbul': 4.700065594852542e-05, 'T': 2.156034090776538e-05, 'Azerbaijan': 1.98394932156464e-05, 'B': 0.9997715220650597, 'Budapest': 9.882934333377563e-05}",B,False
9,"You don't like hot weather. Between San Juan and Indianapolis, you should visit ->",Indianapolis,San Juan,"{'Indiana': 0.00024517973601420514, 'Indianapolis': 0.9967115268111808, 'Colts': 5.129562972306511e-05, 'Indy': 0.002849644583562892, 'ndian': 5.1014533257585e-05}",Indianapolis,True
