,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Kabul and Changsha, the smaller city is ->",Changsha,Kabul,"{'Chand': 0.0009986599776150155, 'Casey': 0.003069077043131402, 'Chang': 0.9842267859090601, 'Chandler': 8.08693231902009e-05, 'Ch': 0.010980909652728877}",Chang,True
1,"Between Berlin and Managua, the smaller city is ->",Managua,Berlin,"{'Man': 0.9999992145956385, 'Mann': 9.220993106340211e-08, 'Mon': 2.0375735241583782e-07, 'M': 1.6221633359434297e-07, 'an': 1.1993786739053314e-07}",Man,True
2,"Between Kuwait City and Gabès, the smaller city is ->",Gabès,Kuwait City,"{'Gab': 0.9965343803705022, 'G': 0.002212052635878613, 'Bib': 0.00022862876119871098, 'Libre': 7.570744905880843e-05, 'ab': 0.0004993073599647794}",Gab,True
3,"Between Cayenne and Buenos Aires, the smaller city is ->",Cayenne,Buenos Aires,"{'Casey': 0.006506521482855326, 'Cay': 0.9898966957751206, 'Georgetown': 0.0005277066583245402, 'C': 0.0009488399735211384, 'Ash': 0.00018322621884467013}",Cay,True
4,"Between Canberra and Ürümqi, the smaller city is ->",Canberra,Ürümqi,"{'Georgetown': 0.003637674409518591, 'Canberra': 0.9122530630355677, 'Conce': 0.002993287491790532, 'Ü': 0.03565410469642999, 'Cy': 0.008907033797964255}",Canberra,True
5,"Between Dublin and Paris, the smaller city is ->",Dublin,Paris,"{'Dublin': 0.9961074270797947, 'Edinburgh': 0.00027571026724112227, 'D': 0.0001732730299022131, 'Dun': 0.001955721695415579, 'Ireland': 0.0007047488921127651}",Dublin,True
6,"Between Niamey and Algiers, the smaller city is ->",Niamey,Algiers,"{'Ni': 0.999964522681335, 'i': 5.536201694785496e-07, 'N': 3.0535793654328995e-05, 'Nic': 1.0634481049187477e-06, 'Al': 2.1098936807837006e-06}",Ni,True
7,"Between Lima and Guadalajara, the smaller city is ->",Guadalajara,Lima,"{'Gu': 0.999982166037027, 'Georgetown': 7.016662312812593e-07, 'G': 2.517825313117207e-06, 'Lima': 7.890524095716055e-06, 'u': 6.530429085181906e-07}",Gu,True
8,"Between Cairo and Shanghai, the smaller city is ->",Cairo,Shanghai,"{'Cairo': 0.5012274444386307, 'Istanbul': 0.029180669276872382, 'C': 0.10123773663352065, 'Chong': 0.05702176739066421, 'Detroit': 0.06191809597074009}",Cairo,True
9,"Between Guangzhou and Honolulu, the smaller city is ->",Honolulu,Guangzhou,"{'Hawai': 0.029665328668410654, 'Hawaii': 0.028379262335348838, 'Hiroshima': 0.02283491624925565, 'Honolulu': 0.8098410379658235, 'Hon': 0.06843863326398232}",Honolulu,True
10,"Between Santiago and Johannesburg, the smaller city is ->",Johannesburg,Santiago,"{'Monte': 0.000676759629862244, 'Jos': 0.014658828456610457, 'Poor': 0.0005605734389715942, 'Johannes': 0.9746359717588129, 'Peter': 0.0006774959385422324}",Johannes,True
11,"Between Damascus and Chicago, the smaller city is ->",Damascus,Chicago,"{'Damascus': 0.7826935569742304, 'Georgetown': 0.018864992936301332, 'Chicago': 0.16446235170261567, 'Seattle': 0.0048146472358428245, 'Detroit': 0.0040774650293452395}",Damascus,True
12,"Between Saint Petersburg and Ürümqi, the smaller city is ->",Ürümqi,Saint Petersburg,"{'Poor': 0.0008855806733811439, 'ytes: \\xc4': 0.0022252271025739808, 'Ü': 0.9789252605611906, 'St': 0.007339122455313198, 'Saint': 0.001560496248958001}",Ü,True
13,"Between Kuwait City and Denpasar, the smaller city is ->",Denpasar,Kuwait City,"{'en': 0.0010034893526484148, 'San': 0.0002854723160841656, 'D': 0.001282442905549971, 'Den': 0.9967776292171048, 'Dun': 0.00021892945572866163}",Den,True
14,"Between Brussels and Houston, the smaller city is ->",Brussels,Houston,"{'Belgium': 1.369443898528987e-08, 'Brussels': 0.9999999317236823, 'Br': 6.622492064847629e-08, 'Georgetown': 1.8319569076539998e-08, 'Budapest': 8.52748807545717e-09}",Brussels,True
15,"Between Mendoza and Hanoi, the smaller city is ->",Mendoza,Hanoi,"{'Mar': 3.5556950516279865e-06, 'Man': 1.8784548638172612e-06, 'Mend': 0.02143022007644327, 'M': 8.078284680384778e-06, 'H': 0.9785332423095201}",H,False
