,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for restaurants nearby. Between Eggspectation and Cantine Bar & Grill, I should go to ->",Cantine Bar & Grill,Eggspectation,"{'Nik': 0.014523837701452828, 'Egg': 0.856802159008999, 'Cant': 0.04835638538156316, 'nearby': 0.007954591260266628, 'Beach': 0.03165774666478876}",Egg,False
1,"I'm looking for restaurants nearby. Between Supermodel Pizza and Nook, I should go to ->",Supermodel Pizza,Nook,"{'Nik': 0.029662747897081676, 'Super': 0.14225506504021518, 'P': 0.0016333061590310435, 'N': 0.8164889908549462, 'Cy': 0.002578675716511288}",N,False
2,"I'm looking for restaurants nearby. Between La Pupusa Loka and Cafe Jules, I should go to ->",La Pupusa Loka,Cafe Jules,"{'Cafe': 0.8572808338131311, 'P': 0.004164972108601663, 'The': 0.0022454462555807964, 'L': 0.10164682235964449, 'La': 0.03396362771737258}",Cafe,False
3,"I'm looking for restaurants nearby. Between Sushi World and St. Clair Shawarma and Falafel, I should go to ->",Sushi World,St. Clair Shawarma and Falafel,"{'Sakura': 5.202496247326878e-06, 'S': 0.01235486458427813, 'B': 7.392341692932278e-06, 'F': 4.998533442771949e-06, 'St': 0.9876016102940877}",St,False
4,"I'm looking for restaurants nearby. Between New Bilan Restaurant and Warung Indonesia D'Eglinton, I should go to ->",Warung Indonesia D'Eglinton,New Bilan Restaurant,"{'Nik': 0.0007883718409722986, 'War': 0.20398834890086445, 'Water': 0.000645797868631093, 'Beach': 0.018392615986374056, 'New': 0.7731106709067711}",New,False
5,"I'm looking for restaurants nearby. Between Breakfast Room and Cafe Jules, I should go to ->",Breakfast Room,Cafe Jules,"{'breakfast': 7.298249062774546e-05, 'Casey': 6.511748226657446e-05, 'Cafe': 0.9913135565596245, 'Breakfast': 0.008346078426167905, 'Beach': 4.366843622568451e-05}",Cafe,False
6,"I'm looking for restaurants nearby. Between 9 Restaurant and Green Grotto, I should go to ->",Green Grotto,9 Restaurant,"{'reen': 0.0002833428243508995, 'Greens': 0.00039500347327521535, 'Green': 0.6818160151780601, 'Beach': 0.007642601678019403, '9': 0.3091516332368266}",Green,True
7,"I'm looking for restaurants nearby. Between Carole's Cheesecake Cafe and Just Soups Take Out & Catering, I should go to ->",Just Soups Take Out & Catering,Carole's Cheesecake Cafe,"{'Just': 0.9834295191650629, 'UST': 0.00040248392491603924, 'JUST': 0.008762859503144819, 'ust': 0.0035904454622053194, 'just': 0.0027877261930478476}",Just,True
8,"I'm looking for restaurants nearby. Between To-ne Sushi and El Fogón, I should go to ->",El Fogón,To-ne Sushi,"{'el': 0.000849672990127273, 'EL': 0.0007880791728449455, 'El': 0.9964068840458734, 'F': 0.00016238508103575078, 'l': 0.0015478955194310631}",El,True
9,"I'm looking for restaurants nearby. Between Green Grotto and Edible Arrangements, I should go to ->",Green Grotto,Edible Arrangements,"{'reen': 0.000325433636116894, 'Ed': 0.0012089492319514734, 'Green': 0.482265088486452, 'The': 0.0011727962785143418, 'Beach': 0.5137730746601313}",Beach,True
