,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like restaurants further away. Between Cantine Bar & Grill and Eggspectation, I should go to ->",Cantine Bar & Grill,Eggspectation,"{'Egg': 0.03742976632770227, 'Cant': 0.5260317536029819, 'Cafe': 0.08532766936521191, 'nearby': 0.03504985158114314, 'Beach': 0.16479351714382873}",Cant,True
1,"I don't like restaurants further away. Between Supermodel Pizza and Nook, I should go to ->",Supermodel Pizza,Nook,"{'Nik': 0.019586896152146673, 'Pizza': 0.006837640930765105, 'Super': 0.3780118404164835, 'P': 0.006763045314884881, 'N': 0.5648589641328555}",N,False
2,"I don't like restaurants further away. Between La Pupusa Loka and Cafe Jules, I should go to ->",La Pupusa Loka,Cafe Jules,"{'Cafe': 0.9334719310108411, 'P': 0.004223580715221223, 'The': 3.6285004544122256e-05, 'L': 0.05646724745373028, 'La': 0.0056571842097468275}",Cafe,False
3,"I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Sushi World, I should go to ->",Sushi World,St. Clair Shawarma and Falafel,"{'Sakura': 2.712355552652379e-05, 'S': 0.5325763773716754, 'St': 0.46703019780958743, 'nearby': 3.247035625790828e-05, 'Fal': 0.00023393763388238233}",S,False
4,"I don't like restaurants further away. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, I should go to ->",Warung Indonesia D'Eglinton,New Bilan Restaurant,"{'ar': 6.583341643422363e-05, 'War': 0.07954139508040847, 'D': 5.6892558924334526e-05, 'Beach': 0.002509107165687602, 'New': 0.9173901304978996}",New,False
5,"I don't like restaurants further away. Between Cafe Jules and Breakfast Room, I should go to ->",Breakfast Room,Cafe Jules,"{'breakfast': 1.807600843092385e-05, 'Starbucks': 1.2385625396648835e-05, 'Cafe': 0.9932116436976097, 'Breakfast': 0.006694022600274107, 'Beach': 1.6981127120243665e-05}",Cafe,False
6,"I don't like restaurants further away. Between 9 Restaurant and Green Grotto, I should go to ->",Green Grotto,9 Restaurant,"{'reen': 0.0002796278348956772, 'Greens': 0.00030351667701371867, 'Green': 0.6999150419131559, 'Beach': 0.004919283446696172, '9': 0.29398903742756527}",Green,True
7,"I don't like restaurants further away. Between Carole's Cheesecake Cafe and Just Soups Take Out & Catering, I should go to ->",Just Soups Take Out & Catering,Carole's Cheesecake Cafe,"{'Just': 0.9749952068964641, 'UST': 0.00039849464408999325, 'JUST': 0.007408586600799919, 'ust': 0.0032046224367345234, 'just': 0.012373483790668424}",Just,True
8,"I don't like restaurants further away. Between To-ne Sushi and El Fogón, I should go to ->",El Fogón,To-ne Sushi,"{'el': 0.00038551710307180883, 'EL': 0.0007563541795684185, 'El': 0.9965348575112778, 'F': 0.0006476287127342317, 'l': 0.0013955113105564468}",El,True
9,"I don't like restaurants further away. Between Green Grotto and Edible Arrangements, I should go to ->",Green Grotto,Edible Arrangements,"{'reen': 0.00046563583467523317, 'Ed': 0.0011134889444105232, 'Green': 0.7465337141964534, 'GREEN': 0.000169979621776868, 'Beach': 0.2508399230692192}",Green,True
10,"I don't like restaurants further away. Between FreshCo and Daily Press Juicery, I should go to ->",Daily Press Juicery,FreshCo,"{'Nik': 0.00038918630337933286, 'Fresh': 0.009613287720419576, 'aily': 0.00422607336310202, 'daily': 0.00037862874409607555, 'Daily': 0.9841435189242895}",Daily,True
11,"I don't like restaurants further away. Between Eggspectation and Solero Mediterranean Bakery, I should go to ->",Solero Mediterranean Bakery,Eggspectation,"{'Egg': 0.85539668378258, 'ol': 0.0028045182545944516, 'Sun': 0.008260294816631994, 'Sol': 0.11473757669480761, 'nearby': 0.0020248926341542377}",Egg,False
12,"I don't like restaurants further away. Between Smoke's Weinerie and McDonald's, I should go to ->",McDonald's,Smoke's Weinerie,"{'McDonald': 0.8964031347659105, 'nearest': 0.011644154320104577, 'Smoke': 0.07857118105696322, 'nearby': 0.004657353083755043, 'restaurant': 0.002682414385246166}",McDonald,True
13,"I don't like restaurants further away. Between St. Louis Bar & Grill and Verona Restaurant, I should go to ->",St. Louis Bar & Grill,Verona Restaurant,"{'Bar': 1.9622574250493078e-06, 'B': 1.921958191988605e-06, 'F': 2.351911867337674e-06, 'St': 0.9999845520483208, 'nearby': 2.2372055348373623e-06}",St,True
14,"I don't like restaurants further away. Between La Cocina De Dona Luz and The Coffee Pocket, I should go to ->",La Cocina De Dona Luz,The Coffee Pocket,"{'Cafe': 8.593452344273501e-06, 'The': 0.9941258601221314, 'La': 0.005833801691339087, 'Second': 5.723574701250718e-06, 'Beach': 5.733295853583573e-06}",The,False
15,"I don't like restaurants further away. Between Milo's Pita and Oxygen Restaurant & Lounge, I should go to ->",Milo's Pita,Oxygen Restaurant & Lounge,"{'Nik': 4.0514606279233034e-05, 'nearest': 1.1488730035718826e-05, 'Milo': 0.0003560212990890838, 'P': 0.9995075962705274, 'Oxy': 2.9984889095998992e-05}",P,True
16,"I don't like restaurants further away. Between Maurya East Indian Roti and Adega Restaurante, I should go to ->",Maurya East Indian Roti,Adega Restaurante,"{'Ad': 0.2278326980178347, 'a': 0.006435910217473717, 'Andrea': 0.002025712071475009, 'Ma': 0.7492292256724428, 'restaurant': 0.002065642423463831}",Ma,True
17,"I don't like restaurants further away. Between Tian An Cuisine and Green Room, I should go to ->",Tian An Cuisine,Green Room,"{'Nik': 0.00026205189534010773, 'Tian': 0.996452245704663, 'Green': 0.0003034031830012186, 'Chinese': 0.0025269278566355854, 'nearby': 0.00015084571476825284}",Tian,True
18,"I don't like restaurants further away. Between Dinah's Cupboard and Queen Slice, I should go to ->",Dinah's Cupboard,Queen Slice,"{'Nik': 0.01618393816294269, 'Din': 0.20642550134059806, 'King': 0.01779366115492353, 'Cup': 0.005780078587135826, 'Queen': 0.725624075938906}",Queen,False
19,"I don't like restaurants further away. Between Adega Restaurante and Breakfast Room, I should go to ->",Breakfast Room,Adega Restaurante,"{'Ad': 0.0013705036211692583, 'breakfast': 0.0040810906912688025, 'Breakfast': 0.9864257859496428, 'B': 0.0009289905420389001, 'The': 0.0013471554279197023}",Breakfast,True
20,"I don't like restaurants further away. Between Verona Restaurant and Amaya Express, I should go to ->",Amaya Express,Verona Restaurant,"{'Am': 0.9723670756186641, 'AM': 0.000533112013083018, 'Ver': 0.016425323815685216, 'Asuka': 0.008748495817164673, 'm': 0.0009074160527143958}",Am,True
21,"I don't like restaurants further away. Between 9 Restaurant and The Empire, I should go to ->",The Empire,9 Restaurant,"{'': 0.0001231852177326531, 'F': 7.58540159969855e-06, 'The': 0.0014867804034229676, 'restaurant': 9.624121063866661e-06, '9': 0.9983396979289836}",9,False
22,"I don't like restaurants further away. Between Mirage Grill & Lounge and Evoo Ristorante, I should go to ->",Evoo Ristorante,Mirage Grill & Lounge,"{'Nik': 0.014907445393435756, 'v': 0.011564618168153311, 'Casey': 0.010691652309356182, 'Ev': 0.9256287154292501, 'EV': 0.019912743008574436}",Ev,True
23,"I don't like restaurants further away. Between Warung Indonesia D'Eglinton and Cake Opera, I should go to ->",Warung Indonesia D'Eglinton,Cake Opera,"{'cake': 0.005368767030945998, 'War': 0.41099747831144184, 'Cafe': 0.005915649393523881, 'Cake': 0.13032638775073094, 'Beach': 0.43931156604283184}",Beach,True
24,"I don't like restaurants further away. Between Freshii and Sushi World, I should go to ->",Sushi World,Freshii,"{'Fresh': 0.0017442519450926253, 'Sakura': 2.1010421109905885e-05, 'S': 0.9980468042742124, 'F': 0.00010259195906345964, 'Beach': 1.1586244296743639e-05}",S,True
25,"I don't like restaurants further away. Between Cake Opera and Fit For Life, I should go to ->",Fit For Life,Cake Opera,"{'cake': 0.024236619186799153, 'Fit': 0.0444644182295501, 'Cafe': 0.01584982214274063, 'Cake': 0.8944666501135553, 'Beach': 0.006423565124937414}",Cake,False
26,"I don't like restaurants further away. Between Eggspectation and Kim PO Vietnamese, I should go to ->",Kim PO Vietnamese,Eggspectation,"{'Nik': 0.19870350299749934, 'Egg': 0.6357280954076185, 'K': 0.004951560497811025, 'egg': 0.001986937043721929, 'Kim': 0.1514141017466825}",Egg,False
27,"I don't like restaurants further away. Between Pizza Pizza and Phil's Original BBQ, I should go to ->",Pizza Pizza,Phil's Original BBQ,"{'Nik': 4.217660755270622e-07, 'Pizza': 0.9998341055420077, 'Cafe': 1.3705259317548232e-06, 'P': 0.00015811451642008614, 'Phil': 4.51426579019888e-06}",Pizza,True
28,"I don't like restaurants further away. Between Domino's Pizza and Tim Hortons, I should go to ->",Tim Hortons,Domino's Pizza,"{'Nik': 0.0019916743740983184, 'im': 0.0010242533201499544, 'nearest': 0.0008005932841196524, 'TIM': 0.0006567763555113589, 'Tim': 0.9939839427809063}",Tim,True
29,"I don't like restaurants further away. Between Lebanese Bakery and z-teca Gourmet Burritos, I should go to ->",Lebanese Bakery,z-teca Gourmet Burritos,"{'Z': 0.16678311886908143, 'Lebanon': 0.003560684063174619, 'Lebanese': 0.8235953086465162, 'B': 0.0013365655200239153, 'L': 0.0009658841098963655}",Lebanese,True
30,"I don't like restaurants further away. Between Sushi Shop and Thompson Rooftop, I should go to ->",Sushi Shop,Thompson Rooftop,"{'Thompson': 7.843306280931668e-05, 'Sakura': 8.244783117688586e-07, 'S': 0.9999137391106845, 'Asuka': 1.020509036257797e-06, 'hompson': 1.8371373240629128e-06}",S,True
31,"I don't like restaurants further away. Between Banjara Indian Cuisine and Milo's Pita, I should go to ->",Milo's Pita,Banjara Indian Cuisine,"{'Ban': 0.6874328960160518, 'Nik': 0.003081244824038247, 'an': 0.00938481332429289, 'B': 0.005769995375128335, 'P': 0.2906873755851433}",Ban,False
32,"I don't like restaurants further away. Between Fit For Life and Freshii, I should go to ->",Fit For Life,Freshii,"{'Fresh': 0.43453768767760503, 'Fit': 0.5490337466796119, 'it': 0.004145095710791768, 'F': 0.010641615222118586, 'fit': 0.00037396699990158025}",Fit,True
33,"I don't like restaurants further away. Between Queen Pita and Supermodel Pizza, I should go to ->",Supermodel Pizza,Queen Pita,"{'Q': 1.8708660742694693e-05, 'nearest': 6.703652706831112e-06, 'ueen': 1.981142037351589e-05, 'P': 0.9961080238479331, 'Queen': 0.003827999255038462}",P,False
34,"I don't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Ciao Europa wine bar, I should go to ->",Harry's Char Broil & Dining Lounge,Ciao Europa wine bar,"{'arry': 0.0002704552250489604, 'C': 0.942426142618527, 'D': 0.00019405945049410158, 'F': 0.0003758924096760925, 'Harry': 0.05649171436447747}",C,False
35,"I don't like restaurants further away. Between JJ Bean and Tik Talk Cafe, I should go to ->",Tik Talk Cafe,JJ Bean,"{'Nik': 0.005374570581359644, 'Casey': 0.000986573233080936, 'J': 0.00021114868592986833, 'JJ': 0.9921163085975453}",JJ,False
36,"I don't like restaurants further away. Between 9 Restaurant and Pizzeria Via Mercanti, I should go to ->",9 Restaurant,Pizzeria Via Mercanti,"{'p': 2.18583525434008e-11, 'Via': 1.0142020198317852e-12, 'P': 1.0, '': 3.745192172007839e-10, '9': 1.8157124587333394e-10}",P,False
37,"I don't like restaurants further away. Between Top Sushi and Milo's Pita, I should go to ->",Milo's Pita,Top Sushi,"{'Nik': 4.074302086752012e-05, 'nearest': 1.946658795916411e-05, 'Milo': 0.004574522304605883, 'P': 0.9951021889845992, 'Top': 0.00017451672074920036}",P,True
38,"I don't like restaurants further away. Between St. Clair Shawarma and Falafel and Pisco 1641, I should go to ->",Pisco 1641,St. Clair Shawarma and Falafel,"{'nearest': 6.753022050848952e-12, 'P': 1.0, '': 1.232775137044952e-09, 'St': 1.1266929443612234e-08, 'nearby': 1.0889762371724925e-11}",P,True
39,"I don't like restaurants further away. Between McDonald's and Green Grotto, I should go to ->",Green Grotto,McDonald's,"{'reen': 0.0010331705508541426, 'McDonald': 0.010169166795066522, 'Green': 0.952855484056058, 'GREEN': 0.00036774492452704746, 'Beach': 0.034720343354374114}",Green,True
