,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Garoua and Belgrade, the city with colder weather is ->",Belgrade,Garoua,"{'el': 1.2636553064784709e-06, 'Serbia': 0.00025244200974550466, 'Yugoslavia': 2.944911162042253e-07, 'Bel': 0.9997427340485617, 'Serbian': 2.3210868782155954e-06}",Bel,True
1,"Between Port Moresby and Wellington, the city with colder weather is ->",Wellington,Port Moresby,"{'WE': 2.1956507349227417e-05, 'Wellington': 0.9996242987533952, 'W': 0.0002250043100872486, 'O': 1.8723465147712438e-05, 'Dun': 4.461385932557356e-05}",Wellington,True
2,"Between Panama City and Kuopio, the city with colder weather is ->",Kuopio,Panama City,"{'Ku': 0.9732156599580117, 'u': 0.015512588862857045, 'O': 0.004443253058397435, 'Helsinki': 0.0021948854952254723, 'K': 0.003328015828082766}",Ku,True
3,"Between Rabat and Saint Petersburg, the city with colder weather is ->",Saint Petersburg,Rabat,"{'Petersburg': 0.0008346116759744459, 'Russia': 9.671916353595338e-05, 'St': 0.9460957683612553, 'Moscow': 8.993116622320564e-05, 'Saint': 0.05281999324501706}",St,True
4,"Between Dar es Salaam and Murmansk, the city with colder weather is ->",Murmansk,Dar es Salaam,"{'Arctic': 2.9343634812796287e-06, 'ur': 0.00040806531932066094, 'O': 2.7751937316375028e-06, 'Mur': 0.9995487808100116, 'Ark': 1.9070212409554557e-05}",Mur,True
5,"Between Bangkok and Milwaukee, the city with colder weather is ->",Milwaukee,Bangkok,"{'Milwaukee': 0.9965295522727786, 'Warsaw': 7.795716880342045e-05, 'M': 0.00010189568133877509, 'W': 0.00024850614111413677, 'Wisconsin': 0.00280926330232541}",Milwaukee,True
6,"Between Baghdad and Zürich, the city with colder weather is ->",Zürich,Baghdad,"{'Z': 0.9254193841026627, 'Zur': 0.00013466477712764915, 'Zurich': 0.07415003043103248, 'St': 0.00015964674936806955, '': 4.4201492609725214e-05}",Z,True
7,"Between Caracas and Fairbanks, the city with colder weather is ->",Fairbanks,Caracas,"{'Cold': 1.934212883109857e-05, 'Alaska': 2.5925928231394146e-05, 'Car': 0.00024052729070292629, 'air': 0.001182176556702835, 'Fair': 0.9984812613525621}",Fair,True
8,"Between Bahía Blanca and Fairbanks, the city with colder weather is ->",Fairbanks,Bahía Blanca,"{'Cold': 1.3107014671025449e-05, 'Alaska': 5.330619524805884e-05, 'Arctic': 1.749909312160787e-05, 'air': 0.0015168168767137513, 'Fair': 0.9983652688309743}",Fair,True
9,"Between Mombasa and Addis Ababa, the city with colder weather is ->",Addis Ababa,Mombasa,"{'Har': 3.2848876977352006e-05, 'Ab': 0.00011708364079274722, 'Add': 0.9985649449776294, 'Ethiopia': 0.0001301472573159585, 'dd': 0.0010347911086769025}",Add,True
