{'statement': 'Someone is looking for an expensive restaurant. Between Nook and Thompson Rooftop, this person should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': 'Someone is looking for an expensive restaurant. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': 'Someone is looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and LCBO, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'Someone is looking for an expensive restaurant. Between Juice & Java Cafe and Cake Opera, this person should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for an expensive restaurant. Between Hina Sushi and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': 'Someone is looking for an expensive restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, this person should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for an expensive restaurant. Between LCBO and Queen Pita, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': 'Someone is looking for an expensive restaurant. Between Lebanese Bakery and Supermodel Pizza, this person should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone is looking for an expensive restaurant. Between Joe Badali's Ristorante Italiano & Bar and New Bilan Restaurant, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for an expensive restaurant. Between Madras Pantry and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "Someone is looking for an expensive restaurant. Between FreshCo and Helena's Magic Kitchen, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone is looking for an expensive restaurant. Between Piper's Pub And Grill and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': 'Someone is looking for an expensive restaurant. Between Top Sushi and Maurya East Indian Roti, this person should go to Maurya East Indian Roti.', 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': 'Someone is looking for an expensive restaurant. Between La Pupusa Loka and KFC, this person should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': 'Someone is looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and Hapa Toronto, this person should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone is looking for an expensive restaurant. Between Milo's Pita and Topham Corner, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': 'Someone is looking for an expensive restaurant. Between Just Soups Take Out & Catering and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'Someone is looking for an expensive restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, this person should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone is looking for an expensive restaurant. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "Someone is looking for an expensive restaurant. Between Sushi World and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
{'statement': "Someone is looking for an expensive restaurant. Between LCBO and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': 'Someone is looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'Someone is looking for an expensive restaurant. Between Lahore Grill & Fast Food and Thai 4 You Restaurant, this person should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for an expensive restaurant. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for an expensive restaurant. Between Falafel House and Nook, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': 'Someone is looking for an expensive restaurant. Between Grappa Ristorante and z-teca Gourmet Burritos, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for an expensive restaurant. Between Falafel Hut Village and Hapa Toronto, this person should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone is looking for an expensive restaurant. Between Edible Arrangements and Carole's Cheesecake Cafe, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': 'Someone is looking for an expensive restaurant. Between Aris Place and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': 'Someone is looking for an expensive restaurant. Between 9 Restaurant and Fit For Life, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "Someone is looking for an expensive restaurant. Between Big Al's Diner and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': 'Someone is looking for an expensive restaurant. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "Someone is looking for an expensive restaurant. Between Beryl's Pepper Pot and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': 'Someone is looking for an expensive restaurant. Between Edible Arrangements and Bao Bao Plus Dim Sum, this person should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone is looking for an expensive restaurant. Between Queen Slice and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': 'Someone is looking for an expensive restaurant. Between Top Sushi and Ciao Europa wine bar, this person should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': 'Someone is looking for an expensive restaurant. Between Tortería San Cosme and Tim Hortons, this person should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': 'Someone is looking for an expensive restaurant. Between Grappa Ristorante and Supermodel Pizza, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': 'Someone is looking for an expensive restaurant. Between Ardor Bistro and Mi Mi Restaurant, this person should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
