,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between London and Milan, the bigger city is ->",London,Milan,"{'12': 0.032712860203438235, '11': 0.9396795369332596, '13': 0.0050481355595159315, '10': 0.007367818602287654, '9': 0.002298792485995266}",11,False
1,"Between Lagos and Calgary, the bigger city is ->",Lagos,Calgary,"{'15': 0.11677066452764322, 'Lag': 0.2861808286364051, '1': 0.0938457783418261, '2': 0.14471426021400524, '3': 0.11007484890458936}",Lag,True
2,"Between Douala and Reykjavík, the bigger city is ->",Douala,Reykjavík,"{'Rey': 0.025658332662103194, 'Haf': 0.022052815459549683, '5': 0.004044979890217943, '0': 0.8956991522212356, 'Ak': 0.005770905375150613}",0,False
3,"Between Jakarta and Hanoi, the bigger city is ->",Jakarta,Hanoi,"{'17': 0.0381040386940059, 'Jakarta': 0.7217848544659771, '5': 0.024936367472498056, 'Java': 0.026134928568366498, '7': 0.02427990319075458}",Jakarta,True
4,"Between Houston and Pretoria, the bigger city is ->",Houston,Pretoria,"{'20': 0.038893283652993965, 'Tex': 0.036410313738850196, '2': 0.5348027187987366, 'Texas': 0.051676342193614805, 'Houston': 0.059749049275752295}",2,True
5,"Between Karachi and Lusaka, the bigger city is ->",Karachi,Lusaka,"{'15': 0.1936085774714456, '14': 0.4052766454014002, '13': 0.06740028719631712, '17': 0.047749045585183676, '19': 0.09390446906725448}",14,False
6,"Between Melbourne and Makurdi, the bigger city is ->",Melbourne,Makurdi,"{'Mak': 0.26924977462320765, '23': 0.10765140539841433, '28': 0.028178238030463303, '26': 0.11957481937202788, 'Ben': 0.08791968075310452}",Mak,False
7,"Between Tashkent and Gabès, the bigger city is ->",Tashkent,Gabès,"{'1': 0.5407867258231424, '2': 0.22998191582454475, '3': 0.10607390614896935, '4': 0.06902952964959637, '5': 0.036267922720167274}",1,False
8,"Between Luanda and Toliara, the bigger city is ->",Luanda,Toliara,"{'24': 0.04687741387581734, 'Pra': 0.0452205205816197, 'Nos': 0.046171294738681506, '0': 0.4861705454863044, 'Mah': 0.06589355776442496}",0,False
9,"Between Guadalajara and Harare, the bigger city is ->",Guadalajara,Harare,"{'17': 0.04369714984263098, '4': 0.05442317526165375, '5': 0.22800689711063316, '0': 0.11828129919440208, '6': 0.09754332897022688}",5,False
10,"Between Nairobi and Zagreb, the bigger city is ->",Nairobi,Zagreb,"{'Z': 0.5890565793070226, '11': 0.042710132150443864, '1': 0.16265016688919623, '2': 0.04106107444714648, '0': 0.034799536891700934}",Z,False
11,"Between Hanoi and Barranquilla, the bigger city is ->",Hanoi,Barranquilla,"{'2': 0.22394085548604437, '4': 0.11660876924040739, '5': 0.10023157702575003, '7': 0.3165661989085298, '8': 0.07427438037331024}",7,False
12,"Between Berlin and Ndola, the bigger city is ->",Berlin,Ndola,"{'1': 0.06847568227686339, '2': 0.03631840650400267, '3': 0.00817326595740985, '5': 0.008045201115750317, '0': 0.8492684220810758}",0,False
13,"Between Ho Chi Minh City and Bratislava, the bigger city is ->",Ho Chi Minh City,Bratislava,"{'Br': 0.3833590467746694, 'Bangkok': 0.03529432827670639, '1': 0.048783223791083886, '2': 0.050716864021184194, '0': 0.08786737531611477}",Br,False
14,"Between Ankara and Cayenne, the bigger city is ->",Ankara,Cayenne,"{'4': 0.0746507132839291, '5': 0.12749877783977373, '0': 0.0782959579439897, '6': 0.22073855209104815, '7': 0.09313201278908594}",6,False
15,"Between Algiers and Chihuahua, the bigger city is ->",Algiers,Chihuahua,"{'18': 0.04951960634756369, '17': 0.12117290335749212, '2': 0.051751689501375375, '3': 0.10682605730054735, '4': 0.35107549260347065}",4,False
16,"Between Manila and Managua, the bigger city is ->",Manila,Managua,"{'Mak': 0.04254061552464842, '23': 0.050183991377772026, 'Manila': 0.46909318573764097, '1': 0.041650316973086875, '2': 0.06365042989219737}",Manila,True
17,"Between Berlin and San Juan, the bigger city is ->",Berlin,San Juan,"{'Berlin': 0.07558096599874806, '3': 0.11358660424803979, '0': 0.15095945321207158, '7': 0.05532408122784495, '10': 0.06068691333256107}",0,True
18,"Between Berlin and Córdoba, the bigger city is ->",Berlin,Córdoba,"{'11': 0.023145560219907012, '1': 0.4309110890785571, '2': 0.4330533579715305, '3': 0.04567282942567451, '10': 0.013879213358072387}",2,False
19,"Between Jakarta and Luanda, the bigger city is ->",Jakarta,Luanda,"{'15': 0.0465755757867397, 'Mak': 0.07069411136507558, '17': 0.09446756792015419, 'J': 0.1771319046391141, 'Jakarta': 0.1328116393596465}",J,True
20,"Between Ankara and Brisbane, the bigger city is ->",Ankara,Brisbane,"{'12': 0.2543450930542271, '11': 0.12019774709821306, '13': 0.1635631376810161, '5': 0.0815869464323876, '6': 0.16705335943924338}",12,False
21,"Between Karachi and Alexandria, the bigger city is ->",Karachi,Alexandria,"{'20': 0.046117287466540105, '15': 0.08839681848277968, '14': 0.6192850199570854, '13': 0.03906026379391335, '23': 0.0600546378679815}",14,False
22,"Between Phnom Penh and Port-Gentil, the bigger city is ->",Phnom Penh,Port-Gentil,"{'1': 0.10258071775692675, 'D': 0.009564979684821664, '2': 0.005530356494357155, 'Port': 0.014146712698643382, '0': 0.6762131783930018}",0,False
23,"Between Paris and Juba, the bigger city is ->",Paris,Juba,"{'2': 0.1291086088208434, 'J': 0.14238471845262934, 'has': 0.05312243687289139, '0': 0.13256017310542229, '6': 0.09915567392356012}",J,False
24,"Between Santiago and Indianapolis, the bigger city is ->",Santiago,Indianapolis,"{'1': 0.47210125174171336, '2': 0.3550001737749286, '3': 0.019271807544400856, '4': 0.10516759063024643, '5': 0.0223378730057819}",1,False
25,"Between Buenos Aires and Frankfurt, the bigger city is ->",Buenos Aires,Frankfurt,"{'15': 0.026703527665498532, '11': 0.047143643189465234, 'Frankfurt': 0.4112644379671106, 'Paris': 0.03183731020693074, '7': 0.023340031558589124}",Frankfurt,False
26,"Between Manila and Ankara, the bigger city is ->",Manila,Ankara,"{'12': 0.037722596025630516, '15': 0.5519102867042588, '16': 0.05167167086342781, '14': 0.10847646955307468, '17': 0.07977155433830746}",15,False
27,"Between Guadalajara and Manaus, the bigger city is ->",Guadalajara,Manaus,"{'Man': 0.2671731577201558, 'Gu': 0.08735336674370174, '1': 0.1927360196823606, '2': 0.300538954839272, '3': 0.03299228278051308}",2,False
28,"Between Bangkok and Entebbe, the bigger city is ->",Bangkok,Entebbe,"{'1': 0.337876275272916, '2': 0.13987370089599577, 'Kamp': 0.04834653135438187, '3': 0.07325883675995659, '0': 0.2916435912898768}",1,False
29,"Between Lima and Rome, the bigger city is ->",Lima,Rome,"{'12': 0.2123961958681555, '11': 0.13024568858127097, '14': 0.08547164461282845, '21': 0.032117507260434996, '4': 0.3320647496550074}",4,False
30,"Between London and Mendoza, the bigger city is ->",London,Mendoza,"{'12': 0.020147106478150774, '15': 0.6551732201929321, '14': 0.1901398737568271, '13': 0.05187893229640538, '17': 0.03542093675193117}",15,False
31,"Between Dar es Salaam and Bucharest, the bigger city is ->",Dar es Salaam,Bucharest,"{'1': 0.3677209192962154, '2': 0.252147057542507, '3': 0.20870921741795923, '4': 0.04120206098376572, '6': 0.06132272420019389}",1,False
32,"Between Bangkok and Canberra, the bigger city is ->",Bangkok,Canberra,"{'20': 0.1148846497107086, '15': 0.20108101347747692, '17': 0.3356952918392229, '23': 0.049892609171003, 'Bangkok': 0.06067261717993284}",17,True
33,"Between Tashkent and Beirut, the bigger city is ->",Tashkent,Beirut,"{'1': 0.11185722474181921, '2': 0.09898249130434439, '3': 0.149107896129303, '4': 0.46716731932016703, '5': 0.15991814314607578}",4,False
34,"Between Santiago and Reykjavík, the bigger city is ->",Santiago,Reykjavík,"{'Is': 0.0008869597095208054, 'Rey': 0.005116572488207267, 'Haf': 0.0013189385429525388, '0': 0.977125450886269, 'Ak': 0.0018139781002347896}",0,False
35,"Between Nairobi and Ljubljana, the bigger city is ->",Nairobi,Ljubljana,"{'1': 0.10229248184258515, '2': 0.012843523531821428, 'L': 0.15317612130184305, '5': 0.006746817275746058, '0': 0.6905989116333825}",0,False
36,"Between Mexico City and Fukuoka, the bigger city is ->",Mexico City,Fukuoka,"{'17': 0.02940528673161772, 'Fuk': 0.18780107275572153, 'Hak': 0.07064650784632512, 'Mexico': 0.03880737395591579, 'Ch': 0.03711040835733316}",Fuk,False
37,"Between Bogotá and Bergen, the bigger city is ->",Bogotá,Bergen,"{'L': 0.0005628164524175631, '5': 0.0016048018306872407, '0': 0.9880288591449328, '6': 0.0008439367558525407, '7': 0.005235452504998974}",0,False
38,"Between Mumbai and Rangpur, the bigger city is ->",Mumbai,Rangpur,"{'14': 0.13071441156108415, '13': 0.15562447270653584, '2': 0.06077255438905898, '3': 0.1976548601229289, '0': 0.0773996515758959}",3,False
